日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價成,交易筆數
2010/1/4,39511138,2557720928,65,65,64,64.9,0.4,8255
2010/1/5,38394084,2464115096,65,65.1,63.9,64.5,-0.4,9205
2010/1/6,52734385,3390698544,64.5,64.9,63.7,64.9,0.4,12597
2010/1/7,53294614,3437221996,64.9,65,64.2,64.2,-0.7,11195
2010/1/8,48047497,3068341466,63.5,64.3,63.5,64,-0.2,9804
2010/1/11,37446686,2413758179,64,64.9,63.5,64.5,0.5,8066
2010/1/12,52444792,3337576396,64.4,64.4,63.3,63.6,-0.9,12865
2010/1/13,49806496,3129817596,63,63.1,62.6,62.8,-0.8,10609
2010/1/14,39254264,2469193916,63.6,63.6,63,63.2,0.4,8755
2010/1/15,50011109,3155482441,62.9,63.5,62.8,63.5,0.3,11048
2010/1/18,30586332,1924772947,62.8,63.1,62.8,62.9,-0.6,9875
2010/1/19,47541231,2970283048,63,63.2,62,62.5,-0.4,14132
2010/1/20,52519052,3292097534,62.9,63.2,62.2,63,0.5,13043
2010/1/21,24842055,1552278255,63,63,62.1,62.6,-0.4,8212
2010/1/22,64001109,3916952764,61.5,61.7,61,61.1,-1.5,18967
2010/1/25,62230836,3759976086,60.1,60.8,60.1,60.4,-0.7,18763
2010/1/26,80078237,4839012506,60.6,61.2,60,60.1,-0.3,17643
2010/1/27,53876237,3227674030,60.1,60.4,59.5,59.6,-0.5,13505
2010/1/28,44033633,2666239239,60.5,61.5,59.8,60,0.4,11197
2010/1/29,98124608,5948654037,60.1,61.5,59.4,61.5,1.5,18337
2010/2/1,82234872,4934428435,60.7,60.7,59.5,59.8,-1.7,16893
2010/2/2,72141345,4296416714,60.2,60.4,59,59,-0.8,15211
2010/2/3,42627861,2534155240,60.2,60.3,58.8,59.8,0.8,9966
2010/2/4,46032165,2726713591,60,60,59,59.1,-0.7,11819
2010/2/5,66295018,3811514312,57.6,57.9,57.2,57.2,-1.9,18203
2010/2/6,16391569,948580952,57.6,58.1,57.3,58,0.8,5867
2010/2/8,45835431,2635605686,58,58.2,57,57.4,-0.6,11834
2010/2/9,49551665,2905054055,58.4,59.2,57.7,58.6,1.2,10807
2010/2/10,53809831,3156970629,59,59.2,58.2,58.4,-0.2,13992
2010/2/22,49684787,2964348523,60.5,60.5,59,59,0.6,15040
2010/2/23,52030754,3098100688,59.6,59.9,59.1,59.8,0.8,11574
2010/2/24,60489712,3559090588,59.2,59.2,58.4,58.5,-1.3,13513
2010/2/25,57502162,3357159422,58.5,58.9,57.9,58.2,-0.3,12447
2010/2/26,31376014,1835097974,58.2,58.9,58,58.8,0.6,8183
2010/3/1,65860360,3910413197,59.5,59.9,58.2,59.6,0.8,14348
2010/3/2,54451553,3269667531,60.5,60.5,59.5,59.9,0.3,13024
2010/3/3,34984387,2093549040,59.6,60.1,59.6,60,0.1,5904
2010/3/4,54471642,3220104005,59.8,59.8,58.4,59.2,-0.8,13969
2010/3/5,60054500,3606334057,59.8,60.4,59.6,60.4,1.2,12880
2010/3/8,44396339,2704346592,60.9,61.2,60.6,61.2,0.8,11378
2010/3/9,31475924,1924797115,61.2,61.4,60.8,61.3,0.1,6949
2010/3/10,30588530,1870897516,61.3,61.4,60.8,61.4,0.1,6050
2010/3/11,30381134,1864708630,61.6,61.8,61.2,61.4,0,6607
2010/3/12,69392867,4236637111,61.4,61.5,60.6,60.8,-0.6,9260
2010/3/15,41567794,2503666271,61.3,61.3,59.8,59.8,-1,8294
2010/3/16,29927456,1791764421,60.1,60.2,59.7,59.7,-0.1,7444
2010/3/17,69118250,4174403125,60.5,60.9,59.9,60.5,0.8,10228
2010/3/18,70256871,4238210166,60.1,60.6,60,60.4,-0.1,10353
2010/3/19,46018065,2758221800,60,60.3,59.7,60,-0.4,12648
2010/3/22,47084489,2782670724,59.6,59.6,58.8,59,-1,14854
2010/3/23,51751303,3093844050,59.5,60.1,59.5,59.6,0.6,10645
2010/3/24,48661236,2940235842,60.1,60.8,60.1,60.6,1,10606
2010/3/25,64155258,3908737600,60.9,61.5,60.2,61.5,0.9,13334
2010/3/26,81172895,4989163519,61.3,62,60.3,62,0.5,16419
2010/3/29,37559622,2333337564,62,62.3,61.7,62.2,0.2,9423
2010/3/30,30055532,1865717231,62.4,62.4,61.7,62.2,0,7639
2010/3/31,39288879,2433883486,62.2,62.2,61.5,61.5,-0.7,6916
2010/4/1,54739709,3404396540,61.5,62.5,61.5,62.1,0.6,10586
2010/4/2,17373507,1083207922,62.5,62.5,62.1,62.4,0.3,4724
2010/4/6,53216421,3367687345,62.8,63.5,62.8,63.4,1,14967
2010/4/7,49685972,3150811649,63.5,63.5,63.1,63.5,0.1,13008
2010/4/8,48608322,3038128062,62.8,63,62.1,62.3,-1.2,10165
2010/4/9,31648457,1981046902,61.9,63,61.9,62.7,0.4,8230
2010/4/12,36942889,2330663522,63.3,63.4,62.8,63.1,0.4,6735
2010/4/13,42767182,2688670621,63,63.1,62.1,62.9,-0.2,8860
2010/4/14,55676512,3527079086,63.1,63.8,62.9,63.8,0.9,11370
2010/4/15,72063334,4640697360,64.5,64.9,64,64.4,0.6,16835
2010/4/16,49739068,3141988184,63.6,63.7,62.9,63,-1.4,10410
2010/4/19,71160569,4470883925,62.5,63.2,62.4,62.6,-0.4,12360
2010/4/20,37544680,2356565247,62.9,63,62.4,62.8,0.2,5688
2010/4/21,46602838,2920088786,62.9,63.1,62.3,62.4,-0.4,7337
2010/4/22,92244238,5654288355,61.8,61.8,60.8,61.6,-0.8,20151
2010/4/23,48952350,3029878300,61.9,62.4,61.6,61.7,0.1,9075
2010/4/26,67547718,4269797576,62.4,63.6,62.4,63.5,1.8,15594
2010/4/27,25421212,1613547865,63.5,63.7,63.1,63.7,0.2,7737
2010/4/28,73211720,4560692856,62.1,62.6,62,62.1,-1.6,17781
2010/4/29,41236312,2546990946,62.2,62.2,61.6,61.6,-0.5,11966
2010/4/30,43450247,2706561981,61.8,62.7,61.8,61.8,0.2,9089
2010/5/3,22439818,1385450014,62.6,62.6,61.4,61.6,-0.2,6710
2010/5/4,38777618,2376239427,61.9,62,60.8,61,-0.6,9981
2010/5/5,94194138,5645924542,59.9,60.2,59.8,59.8,-1.2,20462
2010/5/6,52111898,3101589477,59.8,59.9,59.2,59.5,-0.3,13732
2010/5/7,61576134,3655990467,58.6,60.1,58.5,59.4,-0.1,13096
2010/5/10,56310864,3357154081,59.4,60,59,59.8,0.4,10944
2010/5/11,69348267,4169995425,60.4,60.6,59.9,60.1,0.3,12600
2010/5/12,27731388,1678095823,61,61,60,60.1,0,6714
2010/5/13,39908872,2435149845,60.6,61.5,60.5,61.2,1.1,10578
2010/5/14,35601187,2170501328,60.7,61.5,60.5,61.2,0,5834
2010/5/17,73215488,4365205080,60.5,60.5,59.1,59.2,-2,17347
2010/5/18,30477112,1819941228,59.6,60,59.4,59.5,0.3,8112
2010/5/19,51605073,3046472074,59,59.6,58.6,59.3,-0.2,12043
2010/5/20,31740239,1877107593,59.5,59.7,58.9,58.9,-0.4,7298
2010/5/21,46257409,2701929090,58.3,59.1,57.9,58.8,-0.1,10795
2010/5/24,19317628,1144068926,59.6,59.6,58.7,59,0.2,5152
2010/5/25,51282269,3002288110,58.8,58.9,58.1,58.4,-0.6,9811
2010/5/26,42971865,2525447035,58.9,59,58.5,58.9,0.5,7675
2010/5/27,55503342,3240035278,58.5,59.3,57.7,58.7,-0.2,12878
2010/5/28,61148591,3595771564,58.9,59.4,58.3,58.7,0,14229
2010/5/31,25401129,1513537640,59.1,60.2,58.8,60.2,1.5,7031
2010/6/1,28375043,1693571037,59.9,60,59.2,59.8,-0.4,6226
2010/6/2,35323855,2116301888,59.8,60.4,59.3,59.8,0,8627
2010/6/3,49528536,3011804844,60.8,61,60.5,60.8,1,9507
2010/6/4,42722087,2593295558,60.5,61,60.2,61,0.2,8388
2010/6/7,70649054,4176382384,59.7,59.7,58.7,59.2,-1.8,13147
2010/6/8,40431068,2376891912,58.9,59.2,58.4,58.5,-0.7,7778
2010/6/9,46104845,2704079846,58.4,59,58.3,58.6,0.1,9355
2010/6/10,28817238,1713397898,59.8,59.8,58.8,59.4,0.8,6818
2010/6/11,42325183,2550183392,60.2,60.5,60,60.5,1.1,10428
2010/6/14,44942360,2747038920,60.9,61.4,60.9,61.1,0.6,11658
2010/6/15,37547033,2306145419,61.3,61.9,60.7,61.4,0.3,9450
2010/6/17,62015957,3848586894,62,62.3,61.7,62.1,0.7,15990
2010/6/18,46332963,2891306694,62.4,62.7,61.8,62.7,0.6,13592
2010/6/21,68409797,4336348911,63.1,63.7,63.1,63.3,0.6,16863
2010/6/22,33389957,2099475321,63.3,63.3,62.6,62.6,-0.7,6657
2010/6/23,37195840,2312250380,62,62.5,62,62.1,-0.5,9160
2010/6/24,35361329,2190425890,62.1,62.2,61.7,62,-0.1,4937
2010/6/25,30579700,1882338037,61.5,61.9,61.3,61.4,-0.6,7418
2010/6/28,20546533,1261547520,61.2,61.7,61.1,61.7,0.3,6131
