年月,年,月,行業別,用電量
2018年1月,2018,1,全國用電量,20695282.4
2018年1月,2018,1,工業用電,12189231.9
2018年1月,2018,1,紡織成衣及服飾品製造業,514825
2018年1月,2018,1,紙漿、紙及紙製品製造業,303909.3
2018年1月,2018,1,化學材料及肥料製造業,2694312.6
2018年1月,2018,1,塑膠製品製造業,449108.6
2018年1月,2018,1,非金屬礦物製品製造業,487544.7
2018年1月,2018,1,基本金屬製造業,1615958.6
2018年1月,2018,1,金屬製品製造業,571833.3
2018年1月,2018,1,電子產品及電力設備製造業,4097906.1
2018年1月,2018,1,住宅用電,3294706.9
2018年1月,2018,1,服務業用電,3404896.1
2018年1月,2018,1,運輸及倉儲業,179173.6
2018年1月,2018,1,住宿及餐飲業,484323.2
2018年1月,2018,1,出版影音及資通訊業,257298.6
2018年1月,2018,1,金融及保險業,135553.3
2018年1月,2018,1,不動產業,108009.6
2018年1月,2018,1,醫療保健及社會工作服務業,227018.3
2018年1月,2018,1,藝術、娛樂及休閒服務業,82735
2018年1月,2018,1,運輸用電,119149.6
2018年1月,2018,1,公路,3267.6
2018年1月,2018,1,鐵路,112812.6
2018年1月,2018,1,管線運輸,3069.2
2018年1月,2018,1,能源部門自用,1475474.2
2018年1月,2018,1,農業部門,211823.5
2018年2月,2018,2,全國用電量,18072952.8
2018年2月,2018,2,工業用電,10414277.1
2018年2月,2018,2,紡織成衣及服飾品製造業,407642
2018年2月,2018,2,紙漿、紙及紙製品製造業,231149.8
2018年2月,2018,2,化學材料及肥料製造業,2404035
2018年2月,2018,2,塑膠製品製造業,358132.7
2018年2月,2018,2,非金屬礦物製品製造業,396853.4
2018年2月,2018,2,基本金屬製造業,1338788.6
2018年2月,2018,2,金屬製品製造業,440378
2018年2月,2018,2,電子產品及電力設備製造業,3677472.3
2018年2月,2018,2,住宅用電,3188496.9
2018年2月,2018,2,服務業用電,2864713.2
2018年2月,2018,2,運輸及倉儲業,173901.1
2018年2月,2018,2,住宿及餐飲業,424737.6
2018年2月,2018,2,出版影音及資通訊業,225530.2
2018年2月,2018,2,金融及保險業,109213.8
2018年2月,2018,2,不動產業,91981.7
2018年2月,2018,2,醫療保健及社會工作服務業,194350
2018年2月,2018,2,藝術、娛樂及休閒服務業,72603.7
2018年2月,2018,2,運輸用電,111369.2
2018年2月,2018,2,公路,3409.2
2018年2月,2018,2,鐵路,104906.6
2018年2月,2018,2,管線運輸,3053.3
2018年2月,2018,2,能源部門自用,1299205.3
2018年2月,2018,2,農業部門,194890.8
2018年3月,2018,3,全國用電量,21128319
2018年3月,2018,3,工業用電,12296612.8
2018年3月,2018,3,紡織成衣及服飾品製造業,529188
2018年3月,2018,3,紙漿、紙及紙製品製造業,308082.5
2018年3月,2018,3,化學材料及肥料製造業,2699413.6
2018年3月,2018,3,塑膠製品製造業,454066.9
2018年3月,2018,3,非金屬礦物製品製造業,466805.9
2018年3月,2018,3,基本金屬製造業,1669028.9
2018年3月,2018,3,金屬製品製造業,569091.9
2018年3月,2018,3,電子產品及電力設備製造業,4133695.7
2018年3月,2018,3,住宅用電,3481564.2
2018年3月,2018,3,服務業用電,3496827.6
2018年3月,2018,3,運輸及倉儲業,203274.1
2018年3月,2018,3,住宿及餐飲業,488097.3
2018年3月,2018,3,出版影音及資通訊業,267489.7
2018年3月,2018,3,金融及保險業,132967
2018年3月,2018,3,不動產業,109971.8
