年,名稱,人口數,占總人口比率
2026,新北市,4043220,17.37
2026,台北市,2434479,10.46
2026,桃園市,2355512,10.12
2026,台中市,2868409,12.32
2026,台南市,1851244,7.95
2026,高雄市,2715827,11.67
2026,宜蘭縣,448865,1.93
2026,新竹縣,597224,2.57
2026,苗栗縣,530591,2.28
2026,彰化縣,1208018,5.19
2026,南投縣,467487,2.01
2026,雲林縣,649652,2.79
2026,嘉義縣,472361,2.03
2026,屏東縣,781129,3.36
2026,台東縣,208092,0.89
2026,花蓮縣,312161,1.34
2026,澎湖縣,106669,0.46
2026,基隆市,359309,1.54
2026,新竹市,455961,1.96
2026,嘉義市,261529,1.12
2026,金門縣,138903,0.6
2026,連江縣,13631,0.06
2025,新北市,4044831,17.36
2025,台北市,2439507,10.47
2025,桃園市,2355106,10.11
2025,台中市,2868465,12.31
2025,台南市,1852477,7.95
2025,高雄市,2718545,11.67
2025,宜蘭縣,449336,1.93
2025,新竹縣,597235,2.56
2025,苗栗縣,531172,2.28
2025,彰化縣,1210206,5.19
2025,南投縣,467881,2.01
2025,雲林縣,650989,2.79
2025,嘉義縣,473181,2.03
2025,屏東縣,782256,3.36
2025,台東縣,208320,0.89
2025,花蓮縣,312807,1.34
2025,澎湖縣,106716,0.46
2025,基隆市,359836,1.54
2025,新竹市,455740,1.96
2025,嘉義市,261592,1.12
2025,金門縣,139313,0.6
2025,連江縣,13621,0.06
2024,新北市,4047001,17.29
2024,台北市,2490869,10.64
2024,桃園市,2338648,9.99
2024,台中市,2860601,12.22
2024,台南市,1858651,7.94
2024,高雄市,2731412,11.67
2024,宜蘭縣,449212,1.92
2024,新竹縣,594641,2.54
2024,苗栗縣,532854,2.28
2024,彰化縣,1225675,5.24
2024,南投縣,472299,2.02
2024,雲林縣,658427,2.81
2024,嘉義縣,478786,2.05
2024,屏東縣,789239,3.37
2024,台東縣,210219,0.9
2024,花蓮縣,315374,1.35
2024,澎湖縣,107901,0.46
2024,基隆市,361441,1.54
2024,新竹市,457242,1.95
2024,嘉義市,262177,1.12
2024,金門縣,143601,0.61
2024,連江縣,13950,0.06
2023,新北市,4041120,17.25
2023,台北市,2511886,10.73
2023,桃園市,2317445,9.89
2023,台中市,2845909,12.15
2023,台南市,1859946,7.94
2023,高雄市,2737941,11.69
2023,宜蘭縣,449890,1.92
2023,新竹縣,589289,2.52
2023,苗栗縣,534575,2.28
2023,彰化縣,1239048,5.29
2023,南投縣,477094,2.04
2023,雲林縣,659468,2.82
2023,嘉義縣,484560,2.07
2023,屏東縣,794997,3.39
2023,台東縣,211544,0.9
2023,花蓮縣,317489,1.36
2023,澎湖縣,107739,0.46
2023,基隆市,362255,1.55
2023,新竹市,456475,1.95
2023,嘉義市,263584,1.13
2023,金門縣,144149,0.62
2023,連江縣,14039,0.06
2022,新北市,3995551,17.17
2022,台北市,2480681,10.66
2022,桃園市,2281464,9.81
2022,台中市,2814459,12.1
2022,台南市,1852997,7.96
2022,高雄市,2728137,11.73
2022,宜蘭縣,449062,1.93
2022,新竹縣,580503,2.5
2022,苗栗縣,535132,2.3
2022,彰化縣,1245239,5.35
2022,南投縣,479595,2.06
2022,雲林縣,664092,2.85
2022,嘉義縣,488158,2.1
2022,屏東縣,798703,3.43
2022,台東縣,212551,0.91
2022,花蓮縣,318892,1.37
2022,澎湖縣,107223,0.46
2022,基隆市,361526,1.55
2022,新竹市,452473,1.94
2022,嘉義市,262924,1.13
2022,金門縣,141295,0.61
2022,連江縣,13983,0.06
2021,新北市,4008113,17.15
2021,台北市,2524393,10.8
2021,桃園市,2272391,9.72
