年,月,行業別,營業額_千元,年月
2018,1,百貨公司業,24224703,201801
2018,1,超級市場業,15538120,201801
2018,1,便利商店業,27197516,201801
2018,1,零售式量販業,18148286,201801
2018,1,其他綜合商品零售業,12819156,201801
2018,1,食品、飲料及菸草製品零售業,24968168,201801
2018,1,文教育樂用品零售業,5870959,201801
2018,1,燃料及相關產品零售業,21816499,201801
2018,1,資通訊及家電設備零售業,22987766,201801
2018,1,汽機車及其零配件、用品零售業,70566420,201801
2018,1,電子購物及郵購業,19164890,201801
2018,1,餐飲業,62745728,201801
2018,2,百貨公司業,30819612,201802
2018,2,超級市場業,16387025,201802
2018,2,便利商店業,25489437,201802
2018,2,零售式量販業,20405491,201802
2018,2,其他綜合商品零售業,14393713,201802
2018,2,食品、飲料及菸草製品零售業,24936794,201802
2018,2,文教育樂用品零售業,6550568,201802
2018,2,燃料及相關產品零售業,20117193,201802
2018,2,資通訊及家電設備零售業,22924402,201802
2018,2,汽機車及其零配件、用品零售業,39695267,201802
2018,2,電子購物及郵購業,17630542,201802
2018,2,餐飲業,69118507,201802
2018,3,百貨公司業,22742033,201803
2018,3,超級市場業,14791437,201803
2018,3,便利商店業,26631271,201803
2018,3,零售式量販業,13920917,201803
2018,3,其他綜合商品零售業,13009793,201803
2018,3,食品、飲料及菸草製品零售業,22666513,201803
2018,3,文教育樂用品零售業,5912009,201803
2018,3,燃料及相關產品零售業,21769441,201803
2018,3,資通訊及家電設備零售業,19910409,201803
2018,3,汽機車及其零配件、用品零售業,56966101,201803
2018,3,電子購物及郵購業,17358651,201803
2018,3,餐飲業,59689149,201803
2018,4,百貨公司業,28786209,201804
2018,4,超級市場業,14883954,201804
2018,4,便利商店業,25853636,201804
2018,4,零售式量販業,14511659,201804
2018,4,其他綜合商品零售業,13791258,201804
2018,4,食品、飲料及菸草製品零售業,22013195,201804
2018,4,文教育樂用品零售業,6014796,201804
2018,4,燃料及相關產品零售業,21566513,201804
2018,4,資通訊及家電設備零售業,19661963,201804
2018,4,汽機車及其零配件、用品零售業,50901672,201804
2018,4,電子購物及郵購業,16522474,201804
2018,4,餐飲業,59862019,201804
2018,5,百貨公司業,27587829,201805
2018,5,超級市場業,15688447,201805
2018,5,便利商店業,27510763,201805
2018,5,零售式量販業,15123533,201805
2018,5,其他綜合商品零售業,14127011,201805
2018,5,食品、飲料及菸草製品零售業,23450199,201805
2018,5,文教育樂用品零售業,5866415,201805
2018,5,燃料及相關產品零售業,23648495,201805
2018,5,資通訊及家電設備零售業,21983758,201805
2018,5,汽機車及其零配件、用品零售業,53121953,201805
2018,5,電子購物及郵購業,17894172,201805
2018,5,餐飲業,63498829,201805
2018,6,百貨公司業,23449654,201806
2018,6,超級市場業,15323961,201806
2018,6,便利商店業,27341855,201806
2018,6,零售式量販業,15263352,201806
2018,6,其他綜合商品零售業,13464515,201806
2018,6,食品、飲料及菸草製品零售業,21913890,201806
2018,6,文教育樂用品零售業,5772360,201806
2018,6,燃料及相關產品零售業,23746040,201806
2018,6,資通訊及家電設備零售業,19546066,201806
2018,6,汽機車及其零配件、用品零售業,52814358,201806
2018,6,電子購物及郵購業,17205795,201806
2018,6,餐飲業,64144203,201806
2018,7,百貨公司業,24537695,201807
2018,7,超級市場業,16783503,201807
2018,7,便利商店業,28155687,201807
2018,7,零售式量販業,16566901,201807
