年,月,餐飲細分行業,營業額_千元,年月
2018,1,餐館,50573485,201801
2018,1,外燴及團膳承包業,3928470,201801
2018,1,飲料店,8243773,201801
2018,2,餐館,57662207,201802
2018,2,外燴及團膳承包業,3334206,201802
2018,2,飲料店,8122094,201802
2018,3,餐館,47673607,201803
2018,3,外燴及團膳承包業,3704342,201803
2018,3,飲料店,8311200,201803
2018,4,餐館,47886801,201804
2018,4,外燴及團膳承包業,3844305,201804
2018,4,飲料店,8130913,201804
2018,5,餐館,51087278,201805
2018,5,外燴及團膳承包業,3828185,201805
2018,5,飲料店,8583366,201805
2018,6,餐館,51829437,201806
2018,6,外燴及團膳承包業,3889204,201806
2018,6,飲料店,8425562,201806
2018,7,餐館,53201736,201807
2018,7,外燴及團膳承包業,3595068,201807
2018,7,飲料店,8432106,201807
2018,8,餐館,54684884,201808
2018,8,外燴及團膳承包業,3460701,201808
2018,8,飲料店,8943661,201808
2018,9,餐館,50150235,201809
2018,9,外燴及團膳承包業,3356595,201809
2018,9,飲料店,9380997,201809
2018,10,餐館,48668303,201810
2018,10,外燴及團膳承包業,3727001,201810
2018,10,飲料店,8572238,201810
2018,11,餐館,47496224,201811
2018,11,外燴及團膳承包業,3804279,201811
2018,11,飲料店,7998488,201811
2018,12,餐館,56091235,201812
2018,12,外燴及團膳承包業,3888254,201812
2018,12,飲料店,9662180,201812
2019,1,餐館,54909175,201901
2019,1,外燴及團膳承包業,4019363,201901
2019,1,飲料店,9368304,201901
2019,2,餐館,56565228,201902
2019,2,外燴及團膳承包業,3261811,201902
2019,2,飲料店,8227284,201902
2019,3,餐館,51344258,201903
2019,3,外燴及團膳承包業,3724010,201903
2019,3,飲料店,8649343,201903
2019,4,餐館,47955537,201904
2019,4,外燴及團膳承包業,3810034,201904
2019,4,飲料店,8537767,201904
2019,5,餐館,53030753,201905
2019,5,外燴及團膳承包業,3975316,201905
2019,5,飲料店,8687719,201905
2019,6,餐館,53837725,201906
2019,6,外燴及團膳承包業,3860574,201906
2019,6,飲料店,8797858,201906
2019,7,餐館,54655020,201907
