日期,年,月,行業代號,行業名稱,家數
2020/1/18,2018,1,561,　　餐館業,103969
2020/1/18,2018,1,562,　　飲料店業,21346
2020/1/18,2018,1,563,　　餐飲攤販業,9141
2020/2/18,2018,2,561,　　餐食業,112396
2020/2/18,2018,2,562,　　外燴及團膳承包業,2434
2020/2/18,2018,2,563,　　飲料業,21978
2020/3/18,2018,3,561,　　餐食業,112545
2020/3/18,2018,3,562,　　外燴及團膳承包業,2431
2020/3/18,2018,3,563,　　飲料業,22002
2020/4/18,2018,4,561,　　餐食業,112705
2020/4/18,2018,4,562,　　外燴及團膳承包業,2418
2020/4/18,2018,4,563,　　飲料業,22136
2020/5/18,2018,5,561,　　餐食業,112950
2020/5/18,2018,5,562,　　外燴及團膳承包業,2408
2020/5/18,2018,5,563,　　飲料業,22246
2020/6/18,2018,6,561,　　餐食業,113304
2020/6/18,2018,6,562,　　外燴及團膳承包業,2391
2020/6/18,2018,6,563,　　飲料業,22481
2020/7/18,2018,7,561,　　餐食業,113533
2020/7/18,2018,7,562,　　外燴及團膳承包業,2383
2020/7/18,2018,7,563,　　飲料業,22751
2020/8/18,2018,8,561,　　餐食業,113772
2020/8/18,2018,8,562,　　外燴及團膳承包業,2371
2020/8/18,2018,8,563,　　飲料業,22882
2020/9/18,2018,9,561,　　餐食業,114331
2020/9/18,2018,9,562,　　外燴及團膳承包業,2374
2020/9/18,2018,9,563,　　飲料業,23069
2020/10/18,2018,10,561,　　餐食業,114891
2020/10/18,2018,10,562,　　外燴及團膳承包業,2367
2020/10/18,2018,10,563,　　飲料業,23145
2020/11/18,2018,11,561,　　餐食業,115458
2020/11/18,2018,11,562,　　外燴及團膳承包業,2354
2020/11/18,2018,11,563,　　飲料業,23134
2020/12/18,2018,12,561,　　餐食業,116311
2020/12/18,2018,12,562,　　外燴及團膳承包業,2348
2020/12/18,2018,12,563,　　飲料業,23164
2020/1/19,2019,1,561,　　餐食業,116311
2020/1/19,2019,1,562,　　外燴及團膳承包業,2348
2020/1/19,2019,1,563,　　飲料業,23164
2020/2/19,2019,2,561,　　餐食業,116276
2020/2/19,2019,2,562,　　外燴及團膳承包業,2346
2020/2/19,2019,2,563,　　飲料業,23115
2020/3/19,2019,3,561,　　餐食業,116290
2020/3/19,2019,3,562,　　外燴及團膳承包業,2340
2020/3/19,2019,3,563,　　飲料業,23120
2020/4/19,2019,4,561,　　餐食業,116637
2020/4/19,2019,4,562,　　外燴及團膳承包業,2348
2020/4/19,2019,4,563,　　飲料業,23181
2020/5/19,2019,5,561,　　餐食業,116813
2020/5/19,2019,5,562,　　外燴及團膳承包業,2349
2020/5/19,2019,5,563,　　飲料業,23301
2020/6/19,2019,6,561,　　餐食業,117044
2020/6/19,2019,6,562,　　外燴及團膳承包業,2351
2020/6/19,2019,6,563,　　飲料業,23450
2020/7/19,2019,7,561,　　餐食業,117217
2020/7/19,2019,7,562,　　外燴及團膳承包業,2340
2020/7/19,2019,7,563,　　飲料業,23552
2020/8/19,2019,8,561,　　餐食業,117546
2020/8/19,2019,8,562,　　外燴及團膳承包業,2332
2020/8/19,2019,8,563,　　飲料業,23706
2020/9/19,2019,9,561,　　餐食業,117981
2020/9/19,2019,9,562,　　外燴及團膳承包業,2328
2020/9/19,2019,9,563,　　飲料業,23835
2020/10/19,2019,10,561,　　餐食業,118563
2020/10/19,2019,10,562,　　外燴及團膳承包業,2317
2020/10/19,2019,10,563,　　飲料業,23828
2020/11/19,2019,11,561,　　餐食業,118967
2020/11/19,2019,11,562,　　外燴及團膳承包業,2321
2020/11/19,2019,11,563,　　飲料業,23850
2020/12/19,2019,12,561,　　餐食業,119356
2020/12/19,2019,12,562,　　外燴及團膳承包業,2317
2020/12/19,2019,12,563,　　飲料業,23805
2020/1/20,2020,1,561,　　餐食業,119861
2020/1/20,2020,1,562,　　外燴及團膳承包業,2299
2020/1/20,2020,1,563,　　飲料業,23849
2020/2/20,2020,2,561,　　餐食業,119805
2020/2/20,2020,2,562,　　外燴及團膳承包業,2303
2020/2/20,2020,2,563,　　飲料業,23807
2020/3/20,2020,3,561,　　餐食業,119951
2020/3/20,2020,3,562,　　外燴及團膳承包業,2293
2020/3/20,2020,3,563,　　飲料業,23849
2020/4/20,2020,4,561,　　餐食業,120088
2020/4/20,2020,4,562,　　外燴及團膳承包業,2280
2020/4/20,2020,4,563,　　飲料業,23939
2020/5/20,2020,5,561,　　餐食業,120083
2020/5/20,2020,5,562,　　外燴及團膳承包業,2277
2020/5/20,2020,5,563,　　飲料業,24045
2020/6/20,2020,6,561,　　餐食業,120532
2020/6/20,2020,6,562,　　外燴及團膳承包業,2273
2020/6/20,2020,6,563,　　飲料業,24259
2020/7/20,2020,7,561,　　餐食業,121073
2020/7/20,2020,7,562,　　外燴及團膳承包業,2278
2020/7/20,2020,7,563,　　飲料業,24452
2020/8/20,2020,8,561,　　餐食業,121652
2020/8/20,2020,8,562,　　外燴及團膳承包業,2270
2020/8/20,2020,8,563,　　飲料業,24730
2020/9/20,2020,9,561,　　餐食業,122566
2020/9/20,2020,9,562,　　外燴及團膳承包業,2268
2020/9/20,2020,9,563,　　飲料業,25062
2020/10/20,2020,10,561,　　餐食業,123400
2020/10/20,2020,10,562,　　外燴及團膳承包業,2264
2020/10/20,2020,10,563,　　飲料業,25250
2020/11/20,2020,11,561,　　餐食業,124264
2020/11/20,2020,11,562,　　外燴及團膳承包業,2268
2020/11/20,2020,11,563,　　飲料業,25427
2020/12/20,2020,12,561,　　餐食業,125019
2020/12/20,2020,12,562,　　外燴及團膳承包業,2265
2020/12/20,2020,12,563,　　飲料業,25505
2020/1/21,2021,1,561,　　餐食業,125791
2020/1/21,2021,1,562,　　外燴及團膳承包業,2273
2020/1/21,2021,1,563,　　飲料業,25625
2020/2/21,2021,2,561,　　餐食業,126196
2020/2/21,2021,2,562,　　外燴及團膳承包業,2280
2020/2/21,2021,2,563,　　飲料業,25711
2020/3/21,2021,3,561,　　餐食業,126470
2020/3/21,2021,3,562,　　外燴及團膳承包業,2280
2020/3/21,2021,3,563,　　飲料業,25757
2020/4/21,2021,4,561,　　餐食業,126881
2020/4/21,2021,4,562,　　外燴及團膳承包業,2276
2020/4/21,2021,4,563,　　飲料業,25951
2020/5/21,2021,5,561,　　餐食業,127554
2020/5/21,2021,5,562,　　外燴及團膳承包業,2283
2020/5/21,2021,5,563,　　飲料業,26249
2020/6/21,2021,6,561,　　餐食業,127760
2020/6/21,2021,6,562,　　外燴及團膳承包業,2281
2020/6/21,2021,6,563,　　飲料業,26478
2020/7/21,2021,7,561,　　餐食業,127868
2020/7/21,2021,7,562,　　外燴及團膳承包業,2275
2020/7/21,2021,7,563,　　飲料業,26625
2020/8/21,2021,8,561,　　餐食業,127918
2020/8/21,2021,8,562,　　外燴及團膳承包業,2274
2020/8/21,2021,8,563,　　飲料業,26747
2020/9/21,2021,9,561,　　餐食業,128163
2020/9/21,2021,9,562,　　外燴及團膳承包業,2261
2020/9/21,2021,9,563,　　飲料業,26881
2020/10/21,2021,10,561,　　餐食業,128537
2020/10/21,2021,10,562,　　外燴及團膳承包業,2254
2020/10/21,2021,10,563,　　飲料業,26971
2020/11/21,2021,11,561,　　餐食業,129224
2020/11/21,2021,11,562,　　外燴及團膳承包業,2252
2020/11/21,2021,11,563,　　飲料業,27135
2020/12/21,2021,12,561,　　餐食業,129789
2020/12/21,2021,12,562,　　外燴及團膳承包業,2257
2020/12/21,2021,12,563,　　飲料業,27238
2020/1/22,2022,1,561,　　餐食業,130469
2020/1/22,2022,1,562,　　外燴及團膳承包業,2255
2020/1/22,2022,1,563,　　飲料業,27414
2020/2/22,2022,2,561,　　餐食業,130451
2020/2/22,2022,2,562,　　外燴及團膳承包業,2250
2020/2/22,2022,2,563,　　飲料業,27366
2020/3/22,2022,3,561,　　餐食業,130473
2020/3/22,2022,3,562,　　外燴及團膳承包業,2241
2020/3/22,2022,3,563,　　飲料業,27388
2020/4/22,2022,4,561,　　餐食業,130842
2020/4/22,2022,4,562,　　外燴及團膳承包業,2238
2020/4/22,2022,4,563,　　飲料業,27539
2020/5/22,2022,5,561,　　餐食業,131049
2020/5/22,2022,5,562,　　外燴及團膳承包業,2237
2020/5/22,2022,5,563,　　飲料業,27749
2020/6/22,2022,6,561,　　餐食業,131008
2020/6/22,2022,6,562,　　外燴及團膳承包業,2231
2020/6/22,2022,6,563,　　飲料業,27809
2020/7/22,2022,7,561,　　餐食業,131165
2020/7/22,2022,7,562,　　外燴及團膳承包業,2215
2020/7/22,2022,7,563,　　飲料業,28001
2020/8/22,2022,8,561,　　餐食業,131309
2020/8/22,2022,8,562,　　外燴及團膳承包業,2212
2020/8/22,2022,8,563,　　飲料業,28148
2020/9/22,2022,9,561,　　餐食業,131688
2020/9/22,2022,9,562,　　外燴及團膳承包業,2210
2020/9/22,2022,9,563,　　飲料業,28229
2020/10/22,2022,10,561,　　餐食業,132033
2020/10/22,2022,10,562,　　外燴及團膳承包業,2207
2020/10/22,2022,10,563,　　飲料業,28268
2020/11/22,2022,11,561,　　餐食業,132475
2020/11/22,2022,11,562,　　外燴及團膳承包業,2202
2020/11/22,2022,11,563,　　飲料業,28223
2020/12/22,2022,12,561,　　餐食業,132954
2020/12/22,2022,12,562,　　外燴及團膳承包業,2204
2020/12/22,2022,12,563,　　飲料業,28158
2020/1/23,2023,1,561,　　餐食業,133301
2020/1/23,2023,1,562,　　外燴及團膳承包業,2202
2020/1/23,2023,1,563,　　飲料業,28140
2020/2/23,2023,2,561,　　餐食業,133371
2020/2/23,2023,2,562,　　外燴及團膳承包業,2198
2020/2/23,2023,2,563,　　飲料業,27563
2020/3/23,2023,3,561,　　餐食業,133579
2020/3/23,2023,3,562,　　外燴及團膳承包業,2197
2020/3/23,2023,3,563,　　飲料業,27634
2020/4/23,2023,4,561,　　餐食業,134095
2020/4/23,2023,4,562,　　外燴及團膳承包業,2200
2020/4/23,2023,4,563,　　飲料業,27775
2020/5/23,2023,5,561,　　餐食業,134448
2020/5/23,2023,5,562,　　外燴及團膳承包業,2205
2020/5/23,2023,5,563,　　飲料業,27968
2020/6/23,2023,6,561,　　餐食業,134890
2020/6/23,2023,6,562,　　外燴及團膳承包業,2206
2020/6/23,2023,6,563,　　飲料業,28096
2020/7/23,2023,7,561,　　餐食業,135328
2020/7/23,2023,7,562,　　外燴及團膳承包業,2199
2020/7/23,2023,7,563,　　飲料業,28249
2020/8/23,2023,8,561,　　餐食業,135643
2020/8/23,2023,8,562,　　外燴及團膳承包業,2196
2020/8/23,2023,8,563,　　飲料業,28360
2020/9/23,2023,9,561,　　餐食業,136204
2020/9/23,2023,9,562,　　外燴及團膳承包業,2192
2020/9/23,2023,9,563,　　飲料業,28471
2020/10/23,2023,10,561,　　餐食業,136871
2020/10/23,2023,10,562,　　外燴及團膳承包業,2204
2020/10/23,2023,10,563,　　飲料業,28527
2020/11/23,2023,11,561,　　餐食業,137468
2020/11/23,2023,11,562,　　外燴及團膳承包業,2206
2020/11/23,2023,11,563,　　飲料業,28542
2020/12/23,2023,12,561,　　餐食業,138143
2020/12/23,2023,12,562,　　外燴及團膳承包業,2211
2020/12/23,2023,12,563,　　飲料業,28526
2020/1/24,2024,1,561,　　餐食業,138729
2020/1/24,2024,1,562,　　外燴及團膳承包業,2222
2020/1/24,2024,1,563,　　飲料業,28574
2020/2/24,2024,2,561,　　餐食業,138275
2020/2/24,2024,2,562,　　外燴及團膳承包業,2207
2020/2/24,2024,2,563,　　飲料業,28476
2020/3/24,2024,3,561,　　餐食業,138265
2020/3/24,2024,3,562,　　外燴及團膳承包業,2202
2020/3/24,2024,3,563,　　飲料業,28494
2020/4/24,2024,4,561,　　餐食業,138660
2020/4/24,2024,4,562,　　外燴及團膳承包業,2202
2020/4/24,2024,4,563,　　飲料業,28528
2020/5/24,2024,5,561,　　餐食業,138979
2020/5/24,2024,5,562,　　外燴及團膳承包業,2198
2020/5/24,2024,5,563,　　飲料業,28671
2020/6/24,2024,6,561,　　餐食業,139354
2020/6/24,2024,6,562,　　外燴及團膳承包業,2195
2020/6/24,2024,6,563,　　飲料業,28947
2020/7/24,2024,7,561,　　餐食業,139717
2020/7/24,2024,7,562,　　外燴及團膳承包業,2192
2020/7/24,2024,7,563,　　飲料業,29008
2020/8/24,2024,8,561,　　餐食業,140017
2020/8/24,2024,8,562,　　外燴及團膳承包業,2180
2020/8/24,2024,8,563,　　飲料業,29077
2020/9/24,2024,9,561,　　餐食業,140561
2020/9/24,2024,9,562,　　外燴及團膳承包業,2176
2020/9/24,2024,9,563,　　飲料業,29182
2020/10/24,2024,10,561,　　餐食業,140980
2020/10/24,2024,10,562,　　外燴及團膳承包業,2176
2020/10/24,2024,10,563,　　飲料業,29189
2020/11/24,2024,11,561,　　餐食業,141383
2020/11/24,2024,11,562,　　外燴及團膳承包業,2184
2020/11/24,2024,11,563,　　飲料業,29201
2020/12/24,2024,12,561,　　餐食業,141696
2020/12/24,2024,12,562,　　外燴及團膳承包業,2198
2020/12/24,2024,12,563,　　飲料業,29117
2020/1/25,2025,1,561,　　餐食業,142057
2020/1/25,2025,1,562,　　外燴及團膳承包業,2200
2020/1/25,2025,1,563,　　飲料業,29089
2020/2/25,2025,2,561,　　餐食業,142099
2020/2/25,2025,2,562,　　外燴及團膳承包業,2199
2020/2/25,2025,2,563,　　飲料業,29012
2020/3/25,2025,3,561,　　餐食業,142154
2020/3/25,2025,3,562,　　外燴及團膳承包業,2204
2020/3/25,2025,3,563,　　飲料業,28991
2020/4/25,2025,4,561,　　餐食業,142468
2020/4/25,2025,4,562,　　外燴及團膳承包業,2198
2020/4/25,2025,4,563,　　飲料業,29004
2020/5/25,2025,5,561,　　餐食業,142741
2020/5/25,2025,5,562,　　外燴及團膳承包業,2199
2020/5/25,2025,5,563,　　飲料業,29096
2020/6/25,2025,6,561,　　餐食業,143263
2020/6/25,2025,6,562,　　外燴及團膳承包業,2193
2020/6/25,2025,6,563,　　飲料業,29196
2020/7/25,2025,7,561,　　餐食業,143685
2020/7/25,2025,7,562,　　外燴及團膳承包業,2195
2020/7/25,2025,7,563,　　飲料業,29311
2020/8/25,2025,8,561,　　餐食業,144093
2020/8/25,2025,8,562,　　外燴及團膳承包業,2193
2020/8/25,2025,8,563,　　飲料業,29431
2020/9/25,2025,9,561,　　餐食業,144865
2020/9/25,2025,9,562,　　外燴及團膳承包業,2200
2020/9/25,2025,9,563,　　飲料業,29524
2020/10/25,2025,10,561,　　餐食業,145496
2020/10/25,2025,10,562,　　外燴及團膳承包業,2205
2020/10/25,2025,10,563,　　飲料業,29582
2020/11/25,2025,11,561,　　餐食業,146140
2020/11/25,2025,11,562,　　外燴及團膳承包業,2206
2020/11/25,2025,11,563,　　飲料業,29513
2020/12/25,2025,12,561,　　餐食業,146732
2020/12/25,2025,12,562,　　外燴及團膳承包業,2206
2020/12/25,2025,12,563,　　飲料業,29485
