年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數
2018,1,2018/1/1,新北市,板橋區,14
2018,1,2018/1/1,新北市,三重區,13
2018,1,2018/1/1,新北市,中和區,8
2018,1,2018/1/1,新北市,永和區,8
2018,1,2018/1/1,新北市,新莊區,16
2018,1,2018/1/1,新北市,新店區,16
2018,1,2018/1/1,新北市,樹林區,2
2018,1,2018/1/1,新北市,鶯歌區,4
2018,1,2018/1/1,新北市,三峽區,6
2018,1,2018/1/1,新北市,淡水區,5
2018,1,2018/1/1,新北市,汐止區,15
2018,1,2018/1/1,新北市,瑞芳區,3
2018,1,2018/1/1,新北市,土城區,7
2018,1,2018/1/1,新北市,蘆洲區,12
2018,1,2018/1/1,新北市,五股區,2
2018,1,2018/1/1,新北市,泰山區,3
2018,1,2018/1/1,新北市,林口區,3
2018,1,2018/1/1,新北市,三芝區,7
2018,1,2018/1/1,新北市,八里區,2
2018,1,2018/1/1,新北市,貢寮區,1
2018,1,2018/1/1,臺北市,信義區,4
2018,1,2018/1/1,臺北市,大安區,7
2018,1,2018/1/1,臺北市,中山區,5
2018,1,2018/1/1,臺北市,中正區,5
2018,1,2018/1/1,臺北市,大同區,5
2018,1,2018/1/1,臺北市,萬華區,6
2018,1,2018/1/1,臺北市,文山區,5
2018,1,2018/1/1,臺北市,南港區,3
2018,1,2018/1/1,臺北市,內湖區,10
2018,1,2018/1/1,臺北市,士林區,13
2018,1,2018/1/1,臺北市,北投區,15
2018,1,2018/1/1,桃園市,桃園區,11
2018,1,2018/1/1,桃園市,中壢區,7
2018,1,2018/1/1,桃園市,平鎮區,6
2018,1,2018/1/1,桃園市,八德區,1
2018,1,2018/1/1,桃園市,楊梅區,12
2018,1,2018/1/1,桃園市,蘆竹區,3
2018,1,2018/1/1,桃園市,龜山區,1
2018,1,2018/1/1,桃園市,觀音區,1
2018,1,2018/1/1,臺中市,東區,2
2018,1,2018/1/1,臺中市,南區,3
2018,1,2018/1/1,臺中市,西區,1
2018,1,2018/1/1,臺中市,北區,8
2018,1,2018/1/1,臺中市,西屯區,5
2018,1,2018/1/1,臺中市,南屯區,6
2018,1,2018/1/1,臺中市,北屯區,3
2018,1,2018/1/1,臺中市,豐原區,5
2018,1,2018/1/1,臺中市,大甲區,1
2018,1,2018/1/1,臺中市,清水區,2
2018,1,2018/1/1,臺中市,沙鹿區,1
2018,1,2018/1/1,臺中市,后里區,1
2018,1,2018/1/1,臺中市,潭子區,2
2018,1,2018/1/1,臺中市,大雅區,2
2018,1,2018/1/1,臺中市,石岡區,1
2018,1,2018/1/1,臺中市,烏日區,1
2018,1,2018/1/1,臺中市,大肚區,1
2018,1,2018/1/1,臺中市,霧峰區,1
2018,1,2018/1/1,臺中市,太平區,3
2018,1,2018/1/1,臺中市,大里區,3
2018,1,2018/1/1,臺南市,新營區,4
2018,1,2018/1/1,臺南市,鹽水區,1
2018,1,2018/1/1,臺南市,柳營區,1
2018,1,2018/1/1,臺南市,後壁區,2
2018,1,2018/1/1,臺南市,東山區,2
2018,1,2018/1/1,臺南市,麻豆區,2
2018,1,2018/1/1,臺南市,下營區,24
2018,1,2018/1/1,臺南市,六甲區,3
2018,1,2018/1/1,臺南市,七股區,1
2018,1,2018/1/1,臺南市,新化區,5
2018,1,2018/1/1,臺南市,善化區,5
2018,1,2018/1/1,臺南市,新市區,1
2018,1,2018/1/1,臺南市,南化區,1
2018,1,2018/1/1,臺南市,仁德區,2
2018,1,2018/1/1,臺南市,歸仁區,3
2018,1,2018/1/1,臺南市,永康區,11
2018,1,2018/1/1,臺南市,東區,6
2018,1,2018/1/1,臺南市,南區,6
2018,1,2018/1/1,臺南市,北區,5
2018,1,2018/1/1,臺南市,安南區,7
2018,1,2018/1/1,臺南市,安平區,1
2018,1,2018/1/1,高雄市,鹽埕區,2
2018,1,2018/1/1,高雄市,鼓山區,9
2018,1,2018/1/1,高雄市,左營區,11
2018,1,2018/1/1,高雄市,楠梓區,8
2018,1,2018/1/1,高雄市,三民區,11
2018,1,2018/1/1,高雄市,前金區,4
2018,1,2018/1/1,高雄市,苓雅區,2
2018,1,2018/1/1,高雄市,前鎮區,7
2018,1,2018/1/1,高雄市,小港區,4
2018,1,2018/1/1,高雄市,鳳山區,12
2018,1,2018/1/1,高雄市,林園區,10
2018,1,2018/1/1,高雄市,大寮區,5
2018,1,2018/1/1,高雄市,大社區,1
2018,1,2018/1/1,高雄市,仁武區,1
2018,1,2018/1/1,高雄市,鳥松區,5
2018,1,2018/1/1,高雄市,岡山區,7
2018,1,2018/1/1,高雄市,橋頭區,1
2018,1,2018/1/1,高雄市,燕巢區,2
2018,1,2018/1/1,高雄市,阿蓮區,1
2018,1,2018/1/1,高雄市,湖內區,2
2018,1,2018/1/1,高雄市,茄萣區,1
2018,1,2018/1/1,高雄市,梓官區,4
2018,1,2018/1/1,高雄市,旗山區,2
2018,1,2018/1/1,高雄市,美濃區,2
2018,1,2018/1/1,高雄市,杉林區,2
2018,1,2018/1/1,宜蘭縣,宜蘭市,1
2018,1,2018/1/1,宜蘭縣,羅東鎮,2
2018,1,2018/1/1,宜蘭縣,頭城鎮,2
2018,1,2018/1/1,宜蘭縣,礁溪鄉,3
2018,1,2018/1/1,宜蘭縣,壯圍鄉,1
2018,1,2018/1/1,宜蘭縣,冬山鄉,1
2018,1,2018/1/1,宜蘭縣,五結鄉,1
2018,1,2018/1/1,新竹縣,竹北市,3
