日期,匯率
2018/1/1,29.65099907
2018/1/2,29.77300072
2018/1/3,29.62199974
2018/1/4,29.59300041
2018/1/5,29.56999969
2018/1/8,29.46699905
2018/1/9,29.50300026
2018/1/10,29.51799965
2018/1/11,29.59600067
2018/1/12,29.58799934
2018/1/15,29.58300018
2018/1/16,29.52300072
2018/1/17,29.54999924
2018/1/18,29.55599976
2018/1/19,29.54299927
2018/1/22,29.36400032
2018/1/23,29.26199913
2018/1/24,29.26799965
2018/1/25,29.08799934
2018/1/26,29.06399918
2018/1/29,29.09799957
2018/1/30,29.13100052
2018/1/31,29.21999931
2018/2/1,29.1420002
2018/2/2,29.18700027
2018/2/5,29.34600067
2018/2/6,29.3010006
2018/2/7,29.375
2018/2/8,29.26399994
2018/2/9,29.36899948
2018/2/12,29.30599976
2018/2/13,29.39599991
2018/2/14,29.3390007
2018/2/15,29.13599968
2018/2/16,28.94199944
2018/2/19,29.06100082
2018/2/20,29.02199936
2018/2/21,29.31900024
2018/2/22,29.21800041
2018/2/23,29.28100014
2018/2/26,28.47900009
2018/2/27,29.20199966
2018/2/28,29.27400017
2018/3/1,29.33300018
2018/3/2,29.28899956
2018/3/5,29.26799965
2018/3/6,29.25699997
2018/3/7,29.1989994
2018/3/8,29.25699997
2018/3/9,29.32900047
2018/3/12,29.24799919
2018/3/13,29.25600052
2018/3/14,29.25699997
2018/3/15,29.17300034
2018/3/16,29.12800026
2018/3/19,29.11300087
2018/3/20,29.15699959
2018/3/21,29.14500046
2018/3/22,29.0720005
2018/3/23,29.17700005
2018/3/26,29.17700005
2018/3/27,29.07500076
2018/3/28,29.17700005
2018/3/29,29.13699913
2018/3/30,29.10199928
2018/4/2,28.97400093
2018/4/3,29.1420002
2018/4/4,29.12299919
2018/4/5,29.21199989
2018/4/6,29.23800087
2018/4/9,29.30999947
2018/4/10,29.24200058
2018/4/11,29.19000053
2018/4/12,29.18600082
2018/4/13,29.2840004
2018/4/16,29.30900002
2018/4/17,29.34600067
2018/4/18,29.37400055
2018/4/19,29.28000069
2018/4/20,29.38299942
2018/4/23,29.46800041
2018/4/24,29.59799957
2018/4/25,29.61199951
2018/4/26,29.6779995
2018/4/27,29.63299942
2018/4/30,29.54000092
2018/5/1,29.62599945
2018/5/2,29.6970005
2018/5/3,29.77300072
2018/5/4,29.66799927
2018/5/7,29.67399979
2018/5/8,29.81299973
2018/5/9,29.80400085
2018/5/10,29.88400078
2018/5/11,29.70199966
2018/5/14,29.66799927
2018/5/15,29.79400063
2018/5/16,29.88500023
2018/5/17,29.80900002
2018/5/18,29.89500046
2018/5/21,29.9260006
2018/5/22,29.91900063
2018/5/23,29.83300018
2018/5/24,29.91399956
2018/5/25,29.91200066
2018/5/28,29.94499969
2018/5/29,29.8939991
2018/5/30,30.05999947
2018/5/31,29.89599991
2018/6/1,29.96999931
2018/6/4,29.80400085
2018/6/5,29.64299965
2018/6/6,29.79999924
2018/6/7,29.67700005
2018/6/8,29.75699997
2018/6/11,29.83600044
2018/6/12,29.81599998
2018/6/13,29.8010006
2018/6/14,29.80599976
2018/6/15,29.87899971
2018/6/18,30.13199997
2018/6/19,30.1590004
2018/6/20,30.1760006
2018/6/21,30.16200066
2018/6/22,30.31900024
2018/6/25,30.29800034
2018/6/26,30.34199905
2018/6/27,30.40699959
2018/6/28,30.49300003
2018/6/29,30.56900024
2018/7/2,30.4640007
2018/7/3,30.53499985
2018/7/4,30.51099968
2018/7/5,30.50699997
2018/7/6,30.50900078
2018/7/9,30.4279995
2018/7/10,30.30900002
2018/7/11,30.39999962
2018/7/12,30.64500046
2018/7/13,30.47900009
2018/7/16,30.56599998
2018/7/17,30.46999931
2018/7/18,30.48500061
2018/7/19,30.55999947
2018/7/20,30.67000008
2018/7/23,30.57099915
2018/7/24,30.56999969
2018/7/25,30.61899948
2018/7/26,30.39800072
2018/7/27,30.60300064
2018/7/30,30.55500031
2018/7/31,30.5720005
2018/8/1,30.57099915
2018/8/2,30.62100029
2018/8/3,30.66799927
2018/8/6,30.57299995
2018/8/7,30.5720005
2018/8/8,30.46699905
2018/8/9,30.57299995
2018/8/10,30.59199905
2018/8/13,30.7310009
2018/8/14,30.84799957
2018/8/15,30.80999947
2018/8/16,30.82600021
2018/8/17,30.74399948
2018/8/20,30.65500069
2018/8/21,30.70599937
2018/8/22,30.63100052
2018/8/23,30.66699982
2018/8/24,30.81299973
2018/8/27,30.65999985
2018/8/28,30.67700005
2018/8/29,30.5890007
2018/8/30,30.61199951
2018/8/31,30.68300056
2018/9/3,30.66900063
2018/9/4,30.72999954
2018/9/5,30.7140007
2018/9/6,30.72800064
2018/9/7,30.7840004
2018/9/10,30.80500031
2018/9/11,30.78199959
2018/9/12,30.74200058
2018/9/13,30.71800041
2018/9/14,30.6970005
2018/9/17,30.75699997
2018/9/18,30.79899979
2018/9/19,30.71899986
2018/9/20,30.67000008
2018/9/21,30.71100044
2018/9/24,30.61499977
2018/9/25,30.66699982
2018/9/26,30.5909996
2018/9/27,30.5909996
2018/9/28,30.52099991
2018/10/1,30.4470005
2018/10/2,30.54999924
2018/10/3,30.6420002
2018/10/4,30.7310009
2018/10/5,30.80900002
2018/10/8,30.90099907
2018/10/9,30.95299911
2018/10/10,30.94099998
2018/10/11,31.06900024
2018/10/12,30.94300079
2018/10/15,30.8920002
2018/10/16,30.82500076
2018/10/17,30.76799965
2018/10/18,30.80200005
2018/10/19,30.9470005
2018/10/22,30.88500023
2018/10/23,30.84499931
2018/10/24,30.93799973
2018/10/25,30.90500069
2018/10/26,30.88100052
2018/10/29,30.96299934
2018/10/30,30.89699936
2018/10/31,30.8579998
2018/11/1,30.93099976
2018/11/2,30.62000084
2018/11/5,30.59199905
2018/11/6,30.69499969
2018/11/7,30.68199921
2018/11/8,30.56900024
2018/11/9,30.61400032
2018/11/12,30.77400017
2018/11/13,30.88899994
2018/11/14,30.76600075
2018/11/15,30.76399994
2018/11/16,30.78800011
2018/11/19,30.77000046
2018/11/20,30.87999916
2018/11/21,30.94099998
2018/11/22,30.84799957
2018/11/23,30.79599953
2018/11/26,30.90500069
2018/11/27,30.85199928
2018/11/28,30.89599991
2018/11/29,30.72200012
2018/11/30,30.6420002
2018/12/3,30.83200073
2018/12/4,30.56100082
2018/12/5,30.75
2018/12/6,30.70800018
2018/12/7,30.81999969
2018/12/10,30.92000008
2018/12/11,30.86700058
2018/12/12,30.75399971
2018/12/13,30.67399979
2018/12/14,30.7159996
2018/12/17,30.82500076
2018/12/18,30.72400093
2018/12/19,30.67000008
2018/12/20,30.81599998
2018/12/21,30.71100044
2018/12/24,30.79500008
2018/12/25,30.79000092
2018/12/26,30.79899979
2018/12/27,30.80599976
2018/12/28,30.7670002
2018/12/31,30.5529995
2019/1/1,30.56500053
2019/1/2,30.50099945
2019/1/3,30.75900078
2019/1/4,30.86300087
2019/1/7,30.78300095
2019/1/8,30.8029995
2019/1/9,30.81599998
2019/1/10,30.71100044
2019/1/11,30.77899933
2019/1/14,30.7859993
2019/1/15,30.83399963
2019/1/16,30.82799911
2019/1/17,30.76499939
2019/1/18,30.82699966
2019/1/21,30.85300064
2019/1/22,30.87599945
2019/1/23,30.87700081
2019/1/24,30.8579998
2019/1/25,30.87400055
2019/1/28,30.70800018
2019/1/29,30.78800011
2019/1/30,30.78100014
2019/1/31,30.72299957
2019/2/1,30.68600082
2019/2/4,30.76300049
2019/2/5,30.77700043
2019/2/6,30.72900009
2019/2/7,30.78700066
2019/2/8,30.80800056
2019/2/11,30.81999969
2019/2/12,30.87700081
2019/2/13,30.79199982
2019/2/14,30.85199928
2019/2/15,30.82099915
2019/2/18,30.81200027
2019/2/19,30.81800079
2019/2/20,30.77899933
