Date,年,季,月,月份名稱,年份月份,星期,工作日,年周序,交通匹配欄,年月
00:00.0,2000,Q1,1,1月,2000-Jan,週六,週末,2000W1,週六,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週一,平日,2000W3,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週二,平日,2000W3,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週三,平日,2000W3,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週四,平日,2000W3,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週五,平日,2000W3,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週六,週末,2000W3,週六,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週日,週末,2000W3,週日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週一,平日,2000W4,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週二,平日,2000W4,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週三,平日,2000W4,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週日,週末,2000W1,週日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週四,平日,2000W4,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週五,平日,2000W4,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週六,週末,2000W4,週六,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週日,週末,2000W4,週日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週一,平日,2000W5,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週二,平日,2000W5,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週三,平日,2000W5,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週四,平日,2000W5,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週五,平日,2000W5,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週六,週末,2000W5,週六,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週一,平日,2000W2,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週日,週末,2000W5,週日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週一,平日,2000W6,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週二,平日,2000W2,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週三,平日,2000W2,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週四,平日,2000W2,週2-4,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週五,平日,2000W2,非參考日,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週六,週末,2000W2,週六,200001
00:00.0,2000,Q1,1,1月,2000-Jan,週日,週末,2000W2,週日,200001
00:00.0,2000,Q4,10,10月,2000-Oct,週日,週末,2000W40,週日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週二,平日,2000W42,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週三,平日,2000W42,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週四,平日,2000W42,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週五,平日,2000W42,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週六,週末,2000W42,週六,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週日,週末,2000W42,週日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週一,平日,2000W43,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週二,平日,2000W43,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週三,平日,2000W43,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週四,平日,2000W43,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週一,平日,2000W41,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週五,平日,2000W43,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週六,週末,2000W43,週六,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週日,週末,2000W43,週日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週一,平日,2000W44,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週二,平日,2000W44,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週三,平日,2000W44,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週四,平日,2000W44,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週五,平日,2000W44,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週六,週末,2000W44,週六,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週日,週末,2000W44,週日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週二,平日,2000W41,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週一,平日,2000W45,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週二,平日,2000W45,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週三,平日,2000W41,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週四,平日,2000W41,週2-4,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週五,平日,2000W41,非參考日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週六,週末,2000W41,週六,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週日,週末,2000W41,週日,200010
00:00.0,2000,Q4,10,10月,2000-Oct,週一,平日,2000W42,非參考日,200010
00:00.0,2000,Q4,11,11月,2000-Nov,週三,平日,2000W45,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週五,平日,2000W46,非參考日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週六,週末,2000W46,週六,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週日,週末,2000W46,週日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週一,平日,2000W47,非參考日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週二,平日,2000W47,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週三,平日,2000W47,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週四,平日,2000W47,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週五,平日,2000W47,非參考日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週六,週末,2000W47,週六,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週日,週末,2000W47,週日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週四,平日,2000W45,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週一,平日,2000W48,非參考日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週二,平日,2000W48,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週三,平日,2000W48,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週四,平日,2000W48,週2-4,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週五,平日,2000W48,非參考日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週六,週末,2000W48,週六,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週日,週末,2000W48,週日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週一,平日,2000W49,非參考日,200011
00:00.0,2000,Q4,11,11月,2000-Nov,週二,平日,2000W49,週2-4,200011
