Date,年份,季度,月份數字,月份名稱,年份月份,星期,工作日,年週序
2018-07-02,2018,Q3,7,7月,2018-Jul,週一,平日,2018W27
2018-07-09,2018,Q3,7,7月,2018-Jul,週一,平日,2018W28
2018-07-16,2018,Q3,7,7月,2018-Jul,週一,平日,2018W29
2018-07-23,2018,Q3,7,7月,2018-Jul,週一,平日,2018W30
2018-07-30,2018,Q3,7,7月,2018-Jul,週一,平日,2018W31
2018-08-06,2018,Q3,8,8月,2018-Aug,週一,平日,2018W32
2018-08-13,2018,Q3,8,8月,2018-Aug,週一,平日,2018W33
2018-08-20,2018,Q3,8,8月,2018-Aug,週一,平日,2018W34
2018-08-27,2018,Q3,8,8月,2018-Aug,週一,平日,2018W35
2018-09-03,2018,Q3,9,9月,2018-Sep,週一,平日,2018W36
2018-09-10,2018,Q3,9,9月,2018-Sep,週一,平日,2018W37
2018-09-17,2018,Q3,9,9月,2018-Sep,週一,平日,2018W38
2018-09-24,2018,Q3,9,9月,2018-Sep,週一,平日,2018W39
2019-07-01,2019,Q3,7,7月,2019-Jul,週一,平日,2019W27
2019-07-08,2019,Q3,7,7月,2019-Jul,週一,平日,2019W28
2019-07-15,2019,Q3,7,7月,2019-Jul,週一,平日,2019W29
2019-07-22,2019,Q3,7,7月,2019-Jul,週一,平日,2019W30
2019-07-29,2019,Q3,7,7月,2019-Jul,週一,平日,2019W31
2019-08-05,2019,Q3,8,8月,2019-Aug,週一,平日,2019W32
2019-08-12,2019,Q3,8,8月,2019-Aug,週一,平日,2019W33
2019-08-19,2019,Q3,8,8月,2019-Aug,週一,平日,2019W34
2019-08-26,2019,Q3,8,8月,2019-Aug,週一,平日,2019W35
2019-09-02,2019,Q3,9,9月,2019-Sep,週一,平日,2019W36
2019-09-09,2019,Q3,9,9月,2019-Sep,週一,平日,2019W37
2019-09-16,2019,Q3,9,9月,2019-Sep,週一,平日,2019W38
2019-09-23,2019,Q3,9,9月,2019-Sep,週一,平日,2019W39
2019-09-30,2019,Q3,9,9月,2019-Sep,週一,平日,2019W40
2020-07-06,2020,Q3,7,7月,2020-Jul,週一,平日,2020W28
2020-07-13,2020,Q3,7,7月,2020-Jul,週一,平日,2020W29
2020-07-20,2020,Q3,7,7月,2020-Jul,週一,平日,2020W30
2020-07-27,2020,Q3,7,7月,2020-Jul,週一,平日,2020W31
2020-08-03,2020,Q3,8,8月,2020-Aug,週一,平日,2020W32
2020-08-10,2020,Q3,8,8月,2020-Aug,週一,平日,2020W33
2020-08-17,2020,Q3,8,8月,2020-Aug,週一,平日,2020W34
2020-08-24,2020,Q3,8,8月,2020-Aug,週一,平日,2020W35
2020-08-31,2020,Q3,8,8月,2020-Aug,週一,平日,2020W36
2020-09-07,2020,Q3,9,9月,2020-Sep,週一,平日,2020W37
2020-09-14,2020,Q3,9,9月,2020-Sep,週一,平日,2020W38
2020-09-21,2020,Q3,9,9月,2020-Sep,週一,平日,2020W39
2020-09-28,2020,Q3,9,9月,2020-Sep,週一,平日,2020W40
2021-07-05,2021,Q3,7,7月,2021-Jul,週一,平日,2021W28
2021-07-12,2021,Q3,7,7月,2021-Jul,週一,平日,2021W29
2021-07-19,2021,Q3,7,7月,2021-Jul,週一,平日,2021W30
2021-07-26,2021,Q3,7,7月,2021-Jul,週一,平日,2021W31
2021-08-02,2021,Q3,8,8月,2021-Aug,週一,平日,2021W32
2021-08-09,2021,Q3,8,8月,2021-Aug,週一,平日,2021W33
2021-08-16,2021,Q3,8,8月,2021-Aug,週一,平日,2021W34
2021-08-23,2021,Q3,8,8月,2021-Aug,週一,平日,2021W35
2021-08-30,2021,Q3,8,8月,2021-Aug,週一,平日,2021W36
2021-09-06,2021,Q3,9,9月,2021-Sep,週一,平日,2021W37
2021-09-13,2021,Q3,9,9月,2021-Sep,週一,平日,2021W38
2021-09-20,2021,Q3,9,9月,2021-Sep,週一,平日,2021W39
2021-09-27,2021,Q3,9,9月,2021-Sep,週一,平日,2021W40
2022-07-04,2022,Q3,7,7月,2022-Jul,週一,平日,2022W28
2022-07-11,2022,Q3,7,7月,2022-Jul,週一,平日,2022W29
2022-07-18,2022,Q3,7,7月,2022-Jul,週一,平日,2022W30
2022-07-25,2022,Q3,7,7月,2022-Jul,週一,平日,2022W31
2022-08-01,2022,Q3,8,8月,2022-Aug,週一,平日,2022W32
2022-08-08,2022,Q3,8,8月,2022-Aug,週一,平日,2022W33
2022-08-15,2022,Q3,8,8月,2022-Aug,週一,平日,2022W34
2022-08-22,2022,Q3,8,8月,2022-Aug,週一,平日,2022W35
2022-08-29,2022,Q3,8,8月,2022-Aug,週一,平日,2022W36
2022-09-05,2022,Q3,9,9月,2022-Sep,週一,平日,2022W37
2022-09-12,2022,Q3,9,9月,2022-Sep,週一,平日,2022W38
2022-09-19,2022,Q3,9,9月,2022-Sep,週一,平日,2022W39
2022-09-26,2022,Q3,9,9月,2022-Sep,週一,平日,2022W40
2023-07-03,2023,Q3,7,7月,2023-Jul,週一,平日,2023W28
2023-07-10,2023,Q3,7,7月,2023-Jul,週一,平日,2023W29
2023-07-17,2023,Q3,7,7月,2023-Jul,週一,平日,2023W30
