月,年,月2,行業別,營業額(千元)
2018年1月,2018,1月,百貨公司業,24224703
2018年1月,2018,1月,超級市場業,15538120
2018年1月,2018,1月,便利商店業,27197516
2018年1月,2018,1月,零售式量販業,18148286
2018年1月,2018,1月,其他綜合商品零售業,12819156
2018年1月,2018,1月,食品、飲料及菸草製品零售業,24968168
2018年1月,2018,1月,文教育樂用品零售業,5870959
2018年1月,2018,1月,燃料及相關產品零售業,21816499
2018年1月,2018,1月,資通訊及家電設備零售業,22987766
2018年1月,2018,1月,汽機車及其零配件、用品零售業,70566420
2018年1月,2018,1月,電子購物及郵購業,19164890
2018年1月,2018,1月,餐飲業,62745728
2018年2月,2018,2月,百貨公司業,30819612
2018年2月,2018,2月,超級市場業,16387025
2018年2月,2018,2月,便利商店業,25489437
2018年2月,2018,2月,零售式量販業,20405491
2018年2月,2018,2月,其他綜合商品零售業,14393713
2018年2月,2018,2月,食品、飲料及菸草製品零售業,24936794
2018年2月,2018,2月,文教育樂用品零售業,6550568
2018年2月,2018,2月,燃料及相關產品零售業,20117193
2018年2月,2018,2月,資通訊及家電設備零售業,22924402
2018年2月,2018,2月,汽機車及其零配件、用品零售業,39695267
2018年2月,2018,2月,電子購物及郵購業,17630542
2018年2月,2018,2月,餐飲業,69118507
2018年3月,2018,3月,百貨公司業,22742033
2018年3月,2018,3月,超級市場業,14791437
2018年3月,2018,3月,便利商店業,26631271
2018年3月,2018,3月,零售式量販業,13920917
2018年3月,2018,3月,其他綜合商品零售業,13009793
2018年3月,2018,3月,食品、飲料及菸草製品零售業,22666513
2018年3月,2018,3月,文教育樂用品零售業,5912009
2018年3月,2018,3月,燃料及相關產品零售業,21769441
2018年3月,2018,3月,資通訊及家電設備零售業,19910409
2018年3月,2018,3月,汽機車及其零配件、用品零售業,56966101
2018年3月,2018,3月,電子購物及郵購業,17358651
2018年3月,2018,3月,餐飲業,59689149
2018年4月,2018,4月,百貨公司業,28786209
2018年4月,2018,4月,超級市場業,14883954
2018年4月,2018,4月,便利商店業,25853636
2018年4月,2018,4月,零售式量販業,14511659
2018年4月,2018,4月,其他綜合商品零售業,13791258
2018年4月,2018,4月,食品、飲料及菸草製品零售業,22013195
2018年4月,2018,4月,文教育樂用品零售業,6014796
2018年4月,2018,4月,燃料及相關產品零售業,21566513
2018年4月,2018,4月,資通訊及家電設備零售業,19661963
2018年4月,2018,4月,汽機車及其零配件、用品零售業,50901672
2018年4月,2018,4月,電子購物及郵購業,16522474
2018年4月,2018,4月,餐飲業,59862019
2018年5月,2018,5月,百貨公司業,27587829
2018年5月,2018,5月,超級市場業,15688447
2018年5月,2018,5月,便利商店業,27510763
2018年5月,2018,5月,零售式量販業,15123533
2018年5月,2018,5月,其他綜合商品零售業,14127011
2018年5月,2018,5月,食品、飲料及菸草製品零售業,23450199
2018年5月,2018,5月,文教育樂用品零售業,5866415
2018年5月,2018,5月,燃料及相關產品零售業,23648495
2018年5月,2018,5月,資通訊及家電設備零售業,21983758
2018年5月,2018,5月,汽機車及其零配件、用品零售業,53121953
2018年5月,2018,5月,電子購物及郵購業,17894172
2018年5月,2018,5月,餐飲業,63498829
2018年6月,2018,6月,百貨公司業,23449654
2018年6月,2018,6月,超級市場業,15323961
2018年6月,2018,6月,便利商店業,27341855
2018年6月,2018,6月,零售式量販業,15263352
2018年6月,2018,6月,其他綜合商品零售業,13464515
2018年6月,2018,6月,食品、飲料及菸草製品零售業,21913890
2018年6月,2018,6月,文教育樂用品零售業,5772360
2018年6月,2018,6月,燃料及相關產品零售業,23746040
2018年6月,2018,6月,資通訊及家電設備零售業,19546066
2018年6月,2018,6月,汽機車及其零配件、用品零售業,52814358
2018年6月,2018,6月,電子購物及郵購業,17205795
2018年6月,2018,6月,餐飲業,64144203
2018年7月,2018,7月,百貨公司業,24537695
2018年7月,2018,7月,超級市場業,16783503
2018年7月,2018,7月,便利商店業,28155687
