日期,年,月,日,屬性,值
2018/1/1,2018,1,1,白肉雞(2.0Kg以上),30
2018/1/1,2018,1,1,白肉雞(1.75-1.95Kg),30
2018/1/1,2018,1,1,白肉雞(門市價高屏),31.5
2018/1/1,2018,1,1,雞蛋(大運輸價),24.5
2018/1/2,2018,1,2,白肉雞(2.0Kg以上),30.3
2018/1/2,2018,1,2,白肉雞(1.75-1.95Kg),30.3
2018/1/2,2018,1,2,白肉雞(門市價高屏),31.8
2018/1/2,2018,1,2,雞蛋(大運輸價),24.5
2018/1/3,2018,1,3,白肉雞(2.0Kg以上),30.3
2018/1/3,2018,1,3,白肉雞(1.75-1.95Kg),30.3
2018/1/3,2018,1,3,白肉雞(門市價高屏),31.8
2018/1/3,2018,1,3,雞蛋(大運輸價),26.5
2018/1/4,2018,1,4,白肉雞(2.0Kg以上),30.3
2018/1/4,2018,1,4,白肉雞(1.75-1.95Kg),30.3
2018/1/4,2018,1,4,白肉雞(門市價高屏),31.8
2018/1/4,2018,1,4,雞蛋(大運輸價),26.5
2018/1/5,2018,1,5,白肉雞(2.0Kg以上),30.3
2018/1/5,2018,1,5,白肉雞(1.75-1.95Kg),30.3
2018/1/5,2018,1,5,白肉雞(門市價高屏),31.8
2018/1/5,2018,1,5,雞蛋(大運輸價),26.5
2018/1/6,2018,1,6,白肉雞(2.0Kg以上),30.3
2018/1/6,2018,1,6,白肉雞(1.75-1.95Kg),30.3
2018/1/6,2018,1,6,白肉雞(門市價高屏),31.8
2018/1/6,2018,1,6,雞蛋(大運輸價),26.5
2018/1/7,2018,1,7,白肉雞(2.0Kg以上),30.3
2018/1/7,2018,1,7,白肉雞(1.75-1.95Kg),30.3
2018/1/7,2018,1,7,白肉雞(門市價高屏),31.8
2018/1/7,2018,1,7,雞蛋(大運輸價),26.5
2018/1/8,2018,1,8,白肉雞(2.0Kg以上),30.3
2018/1/8,2018,1,8,白肉雞(1.75-1.95Kg),30.3
2018/1/8,2018,1,8,白肉雞(門市價高屏),31.8
2018/1/8,2018,1,8,雞蛋(大運輸價),26.5
2018/1/9,2018,1,9,白肉雞(2.0Kg以上),30.3
2018/1/9,2018,1,9,白肉雞(1.75-1.95Kg),30.3
2018/1/9,2018,1,9,白肉雞(門市價高屏),31.8
2018/1/9,2018,1,9,雞蛋(大運輸價),26.5
2018/1/10,2018,1,10,白肉雞(2.0Kg以上),30.3
2018/1/10,2018,1,10,白肉雞(1.75-1.95Kg),30.3
2018/1/10,2018,1,10,白肉雞(門市價高屏),31.8
2018/1/10,2018,1,10,雞蛋(大運輸價),26.5
2018/1/11,2018,1,11,白肉雞(2.0Kg以上),30.3
2018/1/11,2018,1,11,白肉雞(1.75-1.95Kg),30.3
2018/1/11,2018,1,11,白肉雞(門市價高屏),31.8
2018/1/11,2018,1,11,雞蛋(大運輸價),26.5
2018/1/12,2018,1,12,白肉雞(2.0Kg以上),30.3
2018/1/12,2018,1,12,白肉雞(1.75-1.95Kg),30.3
2018/1/12,2018,1,12,白肉雞(門市價高屏),31.8
2018/1/12,2018,1,12,雞蛋(大運輸價),26.5
2018/1/13,2018,1,13,白肉雞(2.0Kg以上),30.3
2018/1/13,2018,1,13,白肉雞(1.75-1.95Kg),30.3
2018/1/13,2018,1,13,白肉雞(門市價高屏),31.8
2018/1/13,2018,1,13,雞蛋(大運輸價),26.5
2018/1/14,2018,1,14,白肉雞(2.0Kg以上),30.3
2018/1/14,2018,1,14,白肉雞(1.75-1.95Kg),30.3
2018/1/14,2018,1,14,白肉雞(門市價高屏),31.8
2018/1/14,2018,1,14,雞蛋(大運輸價),26.5
2018/1/15,2018,1,15,白肉雞(2.0Kg以上),30.3
2018/1/15,2018,1,15,白肉雞(1.75-1.95Kg),30.3
2018/1/15,2018,1,15,白肉雞(門市價高屏),31.8
2018/1/15,2018,1,15,雞蛋(大運輸價),26.5
2018/1/16,2018,1,16,白肉雞(2.0Kg以上),30.3
2018/1/16,2018,1,16,白肉雞(1.75-1.95Kg),30.3
2018/1/16,2018,1,16,白肉雞(門市價高屏),31.8
2018/1/16,2018,1,16,雞蛋(大運輸價),26.5
2018/1/17,2018,1,17,白肉雞(2.0Kg以上),30.3
2018/1/17,2018,1,17,白肉雞(1.75-1.95Kg),30.3
2018/1/17,2018,1,17,白肉雞(門市價高屏),31.8
2018/1/17,2018,1,17,雞蛋(大運輸價),28.5
2018/1/18,2018,1,18,白肉雞(2.0Kg以上),30.5
2018/1/18,2018,1,18,白肉雞(1.75-1.95Kg),30.5
2018/1/18,2018,1,18,白肉雞(門市價高屏),32
2018/1/18,2018,1,18,雞蛋(大運輸價),28.5
2018/1/19,2018,1,19,白肉雞(2.0Kg以上),30.5
