股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
卜蜂,1215,107/01/02,"1,814,627","117,474,985",64.7,65.2,64.2,64.7,0.5,"1,044",
卜蜂,1215,107/01/03,"1,184,949","76,689,583",64.9,65.2,64.2,64.5,-0.2,936,
卜蜂,1215,107/01/04,"919,698","58,748,909",64.5,64.5,63.6,64,-0.5,690,
卜蜂,1215,107/01/05,"547,095","34,882,050",64,64.1,63.6,63.7,-0.3,413,
卜蜂,1215,107/01/08,"1,591,418","103,018,170",63.8,65.3,63.8,65,1.3,"1,007",
卜蜂,1215,107/01/09,"783,825","50,851,125",65.4,65.5,64.6,65,0,574,
卜蜂,1215,107/01/10,"923,618","59,552,555",65,65.1,64.2,64.2,-0.8,603,
卜蜂,1215,107/01/11,"1,596,837","103,605,405",64.1,65.2,64,65.1,0.9,"1,160",
卜蜂,1215,107/01/12,"621,306","40,357,011",64.8,65.3,64.7,64.9,-0.2,482,
卜蜂,1215,107/01/15,"656,105","42,567,980",65.1,65.2,64.5,64.6,-0.3,437,
卜蜂,1215,107/01/16,"556,158","35,845,206",64.6,64.8,64,64.7,0.1,367,
卜蜂,1215,107/01/17,"5,688,864","378,779,948",65,67.8,64.8,67.8,3.1,"3,259",
卜蜂,1215,107/01/18,"5,099,765","345,289,425",68,68.7,66.4,67.9,0.1,"3,231",
卜蜂,1215,107/01/19,"1,561,251","105,229,979",67.3,67.8,67.1,67.2,-0.7,915,
卜蜂,1215,107/01/22,"1,271,675","84,864,125",67.2,67.2,66.4,66.7,-0.5,780,
卜蜂,1215,107/01/23,"1,085,287","72,351,289",66.9,67.5,66.1,66.1,-0.6,720,
卜蜂,1215,107/01/24,"1,194,698","78,311,950",66.2,66.4,65.2,65.2,-0.9,904,
卜蜂,1215,107/01/25,"865,251","56,661,354",65.1,65.8,65.1,65.6,0.4,678,
卜蜂,1215,107/01/26,"423,761","27,810,536",65.8,65.9,65.4,65.9,0.3,327,
卜蜂,1215,107/01/29,"603,893","39,672,947",66.1,66.1,65.4,65.5,-0.4,389,
卜蜂,1215,107/01/30,"766,568","50,413,408",65.6,66.2,65.3,65.6,0.1,465,
卜蜂,1215,107/01/31,"721,641","47,524,963",65.4,66.2,65.1,66.1,0.5,488,
卜蜂,1215,107/02/01,"449,365","29,653,758",66.2,66.5,65.6,65.9,-0.2,330,
卜蜂,1215,107/02/02,"426,997","28,189,102",65.9,66.4,65.8,65.9,0,344,
卜蜂,1215,107/02/05,"752,664","48,990,224",65,65.5,64.7,65.5,-0.4,527,
卜蜂,1215,107/02/06,"2,854,644","181,473,316",64.8,65,61.6,62.3,-3.2,"2,239",
卜蜂,1215,107/02/07,"1,079,138","68,990,397",63.4,64.5,63.4,64,1.7,818,
卜蜂,1215,107/02/08,"818,560","52,774,074",64,65.2,63.7,65.2,1.2,570,
卜蜂,1215,107/02/09,"847,220","54,390,738",62.5,65.2,62.5,65,-0.2,652,
卜蜂,1215,107/02/12,"676,078","43,678,270",65.2,65.2,64.1,64.2,-0.8,458,
卜蜂,1215,107/02/21,"1,064,515","68,995,468",64.9,65.4,64.2,65.2,1,775,
卜蜂,1215,107/02/22,"545,112","35,200,280",64.5,64.8,64.4,64.6,-0.6,417,
卜蜂,1215,107/02/23,"729,370","47,098,760",65,65,64.2,64.2,-0.4,569,
卜蜂,1215,107/02/26,"5,415,032","363,803,730",64.8,68.6,64.5,67.9,3.7,"2,931",
卜蜂,1215,107/02/27,"2,507,319","169,088,024",68.5,68.6,66.6,67.2,-0.7,"1,439",
卜蜂,1215,107/03/01,"5,535,492","381,381,415",66.8,69.7,66.6,69.6,2.4,"3,334",
卜蜂,1215,107/03/02,"5,001,936","349,483,141",69.2,71,68.6,69.2,-0.4,"3,133",
卜蜂,1215,107/03/05,"2,415,830","165,086,802",69,69.5,67.5,67.5,-1.7,"1,456",
卜蜂,1215,107/03/06,"957,190","64,938,681",68,68.4,67.6,67.9,0.4,646,
卜蜂,1215,107/03/07,"1,395,274","95,396,932",67.7,69.2,67.6,67.6,-0.3,909,
卜蜂,1215,107/03/08,"3,316,753","230,331,370",68.5,70.8,68.5,68.5,0.9,"2,068",
卜蜂,1215,107/03/09,"1,464,387","100,078,528",68.9,69.3,67.6,68.4,-0.1,"1,074",
卜蜂,1215,107/03/12,"1,524,274","104,125,855",68.6,68.7,68,68.1,-0.3,958,
卜蜂,1215,107/03/13,"1,018,392","69,251,856",68.1,68.5,67.7,67.8,-0.3,746,
卜蜂,1215,107/03/14,"538,899","36,566,690",68,68.2,67.7,67.7,-0.1,492,
卜蜂,1215,107/03/15,"618,040","41,961,220",68,68.1,67.7,67.7,0,446,
卜蜂,1215,107/03/16,"1,295,119","87,274,387",67.9,68,67,67,-0.7,854,
卜蜂,1215,107/03/19,"1,794,966","118,934,291",66.7,66.8,65.8,66.2,-0.8,"1,337",
卜蜂,1215,107/03/20,"710,429","47,190,741",66.2,66.9,65.9,66.6,0.4,691,
卜蜂,1215,107/03/21,"947,940","63,749,904",66.8,67.8,66.6,67.3,0.7,791,
卜蜂,1215,107/03/22,"903,081","60,407,292",67.4,67.5,66.5,66.5,-0.8,740,
卜蜂,1215,107/03/23,"1,805,211","118,683,758",66,66.1,65.5,65.6,-0.9,"1,217",
卜蜂,1215,107/03/26,"1,454,989","95,384,374",65.4,66.4,65,65.5,-0.1,930,
卜蜂,1215,107/03/27,"719,540","47,303,777",65.9,66.2,65.4,65.4,-0.1,571,
卜蜂,1215,107/03/28,"552,254","36,001,166",65.4,65.4,65,65.2,-0.2,472,
卜蜂,1215,107/03/29,"311,587","20,362,307",65.3,65.6,65.2,65.4,0.2,248,
卜蜂,1215,107/03/30,"499,030","32,690,244",65.7,65.7,65.4,65.6,0.2,392,
卜蜂,1215,107/03/31,"204,787","13,405,642",65.7,65.7,65.3,65.4,-0.2,195,
卜蜂,1215,107/04/02,"232,667","15,252,422",65.8,65.8,65.4,65.5,0.1,239,
卜蜂,1215,107/04/03,"805,916","52,309,575",65.5,65.5,64.8,65,-0.5,642,
卜蜂,1215,107/04/09,"1,109,009","71,281,205",65.2,65.2,64,64.1,-0.9,"1,015",
卜蜂,1215,107/04/10,"1,621,322","104,016,158",64.2,64.5,64,64,-0.1,972,
卜蜂,1215,107/04/11,"1,396,597","88,909,356",64.2,64.2,63.4,63.5,-0.5,"1,105",
卜蜂,1215,107/04/12,"1,502,479","94,586,407",63.1,63.3,62.7,62.9,-0.6,"1,149",
卜蜂,1215,107/04/13,"958,190","60,733,610",63,64,62.9,63.2,0.3,702,
卜蜂,1215,107/04/16,"960,246","60,146,532",63.2,63.2,62.4,62.7,-0.5,687,
卜蜂,1215,107/04/17,"529,326","33,320,882",62.8,63.2,62.7,63.1,0.4,383,
卜蜂,1215,107/04/18,"1,274,427","79,670,857",63.5,63.5,62.1,62.2,-0.9,"1,006",
卜蜂,1215,107/04/19,"443,964","27,782,924",62.2,62.9,62.2,62.7,0.5,338,
卜蜂,1215,107/04/20,"573,859","35,904,717",62.8,62.8,62.5,62.6,-0.1,357,
卜蜂,1215,107/04/23,"457,392","28,874,889",62.7,63.3,62.7,63.1,0.5,321,
卜蜂,1215,107/04/24,"468,043","29,406,504",63.1,63.1,62.6,62.9,-0.2,346,
卜蜂,1215,107/04/25,"548,301","34,617,306",62.5,63.5,62.4,63.5,0.6,405,
卜蜂,1215,107/04/26,"830,144","52,601,637",63.7,63.7,62.9,63.2,-0.3,531,
卜蜂,1215,107/04/27,"358,003","22,664,180",63.2,63.5,63.2,63.2,0,282,
卜蜂,1215,107/04/30,"625,663","39,905,657",63.2,64.3,63,64,0.8,429,
卜蜂,1215,107/05/02,"757,904","47,723,891",63.5,63.5,62.4,63.4,-0.6,615,
卜蜂,1215,107/05/03,"575,591","36,076,286",62.5,62.9,62.5,62.8,-0.6,478,
卜蜂,1215,107/05/04,"484,833","30,382,579",62.8,62.8,62.6,62.6,-0.2,422,
卜蜂,1215,107/05/07,"471,386","29,378,229",62.6,63,62.1,62.2,-0.4,302,
卜蜂,1215,107/05/08,"429,553","26,675,755",62.1,62.2,62,62.1,-0.1,287,
卜蜂,1215,107/05/09,"591,681","36,321,741",62.1,62.2,60.5,61.3,-0.8,493,
卜蜂,1215,107/05/10,"3,036,960","181,555,567",60,60.4,59.1,59.8,-1.5,"1,943",
卜蜂,1215,107/05/11,"1,017,985","61,410,085",60,60.5,60,60.5,0.7,716,
卜蜂,1215,107/05/14,"1,447,318","86,436,955",60.1,60.3,59.4,59.8,-0.7,"1,007",
卜蜂,1215,107/05/15,"910,913","54,361,550",59.8,60.2,59.2,59.9,0.1,644,
卜蜂,1215,107/05/16,"884,238","53,347,918",59.9,60.7,59.5,60.6,0.7,650,
卜蜂,1215,107/05/17,"437,504","26,557,644",61,61,60.5,60.7,0.1,379,
卜蜂,1215,107/05/18,"578,211","34,963,381",60.7,60.8,60.1,60.1,-0.6,444,
卜蜂,1215,107/05/21,"502,657","30,398,830",60.2,60.6,60.2,60.5,0.4,333,
卜蜂,1215,107/05/22,"391,893","23,729,620",60.7,60.7,60.2,60.2,-0.3,312,
卜蜂,1215,107/05/23,"468,885","28,172,957",60.2,60.6,60,60,-0.2,437,
卜蜂,1215,107/05/24,"518,695","31,070,527",60.1,60.1,59.7,59.9,-0.1,463,
卜蜂,1215,107/05/25,"681,612","40,884,078",60,60.4,59.7,59.7,-0.2,524,
卜蜂,1215,107/05/28,"783,242","46,714,720",59.8,60,59.5,59.5,-0.2,634,
卜蜂,1215,107/05/29,"832,037","49,307,292",59.5,59.7,59.1,59.1,-0.4,701,
卜蜂,1215,107/05/30,"1,106,774","64,641,466",59.1,59.2,58,58.4,-0.7,922,
卜蜂,1215,107/05/31,"919,485","53,581,555",58.5,58.6,58,58.5,0.1,609,
卜蜂,1215,107/06/01,"665,787","39,518,220",58.5,60.4,58.3,59.9,1.4,555,
卜蜂,1215,107/06/04,"1,078,920","65,576,820",60.1,61,60.1,60.5,0.6,787,
卜蜂,1215,107/06/05,"392,776","23,789,967",60.9,60.9,60.5,60.5,0,344,
卜蜂,1215,107/06/06,"546,496","33,204,385",60.7,60.9,60.5,60.8,0.3,462,
卜蜂,1215,107/06/07,"656,766","39,638,733",61,61,60.1,60.1,-0.7,584,
卜蜂,1215,107/06/08,"336,262","20,269,245",60.1,60.5,60.1,60.3,0.2,284,
卜蜂,1215,107/06/11,"438,054","26,694,279",61,61.3,60.7,60.7,0.4,334,
卜蜂,1215,107/06/12,"339,200","20,608,500",61,61,60.5,60.7,0,289,
卜蜂,1215,107/06/13,"346,289","20,994,434",60.7,61,60.4,60.4,-0.3,304,
卜蜂,1215,107/06/14,"428,512","25,913,923",60.4,60.6,60.3,60.3,-0.1,329,
卜蜂,1215,107/06/15,"908,050","54,898,435",60.3,60.9,60.2,60.5,0.2,571,
卜蜂,1215,107/06/19,"562,996","34,088,045",60.5,60.8,60.2,60.6,0.1,500,
卜蜂,1215,107/06/20,"549,027","33,006,217",60.5,60.5,60,60,-0.6,383,
卜蜂,1215,107/06/21,"434,675","26,152,661",60,60.7,60,60,0,274,
卜蜂,1215,107/06/22,"776,813","46,560,531",60.1,60.4,59.5,59.9,-0.1,554,
卜蜂,1215,107/06/25,"605,037","36,399,617",60.1,60.7,60,60,0.1,447,
卜蜂,1215,107/06/26,"324,090","19,460,442",59.9,60.2,59.8,60,0,264,
卜蜂,1215,107/06/27,"585,963","35,271,460",60,60.4,60,60,0,302,
卜蜂,1215,107/06/28,"378,290","22,723,553",60,60.3,60,60,0,262,
卜蜂,1215,107/06/29,"436,199","26,206,192",60,60.2,60,60.1,0.1,305,
卜蜂,1215,107/07/02,"635,892","38,442,467",60.5,60.7,60.2,60.3,0.2,403,
卜蜂,1215,107/07/03,"517,221","31,213,500",60.6,60.8,60,60,-0.3,384,
卜蜂,1215,107/07/04,"365,677","21,958,953",60,60.3,59.9,60.2,0.2,226,
卜蜂,1215,107/07/05,"427,832","25,676,662",60.3,60.3,59.8,59.8,-0.4,274,
