股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
聯華,1229,2018/1/2,"2,920,460","105,833,892",36.6,36.6,36,36.35,-0.25,"1,352",
聯華,1229,2018/1/3,"6,954,775","260,404,557",36.35,37.9,36.35,37.9,1.55,"2,921",
聯華,1229,2018/1/4,"4,523,064","171,316,331",37.85,38.15,37.4,37.8,-0.1,"2,382",
聯華,1229,2018/1/5,"7,116,308","277,162,012",37.95,39.6,37.9,39.15,1.35,"3,841",
聯華,1229,2018/1/8,"3,816,976","150,272,907",39.15,39.9,38.7,39.55,0.4,"2,070",
聯華,1229,2018/1/9,"4,396,632","174,444,930",39.55,40.55,38.75,40.1,0.55,"2,241",
聯華,1229,2018/1/10,"4,358,785","175,013,367",40.3,40.85,39.6,40,-0.1,"2,383",
聯華,1229,2018/1/11,"3,606,867","142,239,687",40,40,38.7,39.95,-0.05,"2,069",
聯華,1229,2018/1/12,"2,391,912","95,593,074",39.9,40.5,39.5,39.9,-0.05,"1,481",
聯華,1229,2018/1/15,"1,656,476","65,290,062",39.9,39.9,39.2,39.3,-0.6,"1,092",
聯華,1229,2018/1/16,"2,732,840","108,376,363",39.1,40.3,38.9,39.55,0.25,"1,720",
聯華,1229,2018/1/17,"3,116,266","124,829,207",39.55,40.25,39.55,40.25,0.7,"1,778",
聯華,1229,2018/1/18,"2,638,030","106,956,254",40.4,40.8,40.25,40.45,0.2,"1,791",
聯華,1229,2018/1/19,"2,184,032","87,336,158",40.6,40.65,39.5,39.55,-0.9,"1,349",
聯華,1229,2018/1/22,"8,338,617","319,562,496",39.4,39.5,37.65,38,-1.55,"4,271",
聯華,1229,2018/1/23,"4,975,930","194,764,579",38.2,39.7,38.2,39.1,1.1,"2,733",
聯華,1229,2018/1/24,"3,071,257","120,477,965",39.3,39.45,38.85,39.15,0.05,"1,959",
聯華,1229,2018/1/25,"2,590,708","100,244,619",39.2,39.3,38.4,38.75,-0.4,"1,342",
聯華,1229,2018/1/26,"2,245,381","85,854,709",38.75,38.8,38.05,38.35,-0.4,"1,350",
聯華,1229,2018/1/29,"5,344,624","201,375,019",38.35,38.5,37.3,37.85,-0.5,"3,025",
聯華,1229,2018/1/30,"2,642,072","99,013,762",37.95,38,37.3,37.4,-0.45,"1,937",
聯華,1229,2018/1/31,"3,603,468","134,529,094",37,38.1,36.85,37.75,0.35,"2,372",
聯華,1229,2018/2/1,"3,273,293","125,893,292",37.85,38.75,37.75,38.7,0.95,"1,683",
聯華,1229,2018/2/2,"2,077,395","79,675,353",38.5,38.7,38.15,38.4,-0.3,"1,360",
聯華,1229,2018/2/5,"2,411,736","91,780,031",38.2,38.4,37.65,38.25,-0.15,"1,395",
聯華,1229,2018/2/6,"4,942,208","182,312,561",37.55,37.65,35.5,36.85,-1.4,"2,662",
聯華,1229,2018/2/7,"3,584,067","134,885,839",37.2,38.1,37.1,37.55,0.7,"1,883",
聯華,1229,2018/2/8,"1,173,812","44,181,567",37.6,37.85,37.45,37.55,0,735,
聯華,1229,2018/2/9,"3,678,595","137,725,685",36.8,38.2,36.35,37.9,0.35,"1,653",
聯華,1229,2018/2/12,"2,448,381","93,102,034",38,38.2,37.7,38.1,0.2,"1,293",
聯華,1229,2018/2/21,"2,522,059","97,370,545",38.4,38.8,38.3,38.75,0.65,"1,433",
聯華,1229,2018/2/22,"1,451,694","55,953,405",38.5,38.8,38.2,38.2,-0.55,"1,097",
聯華,1229,2018/2/23,"1,812,920","69,670,854",38.3,38.65,38.05,38.4,0.2,"1,407",
聯華,1229,2018/2/26,"1,916,784","73,545,606",38.5,38.5,38.2,38.2,-0.2,"1,459",
聯華,1229,2018/2/27,"2,984,376","113,948,595",38.3,38.7,37.6,37.9,-0.3,"1,949",
聯華,1229,2018/3/1,"3,318,611","126,596,723",38,38.6,37.55,38.15,0.25,"2,186",
聯華,1229,2018/3/2,"2,714,731","102,826,115",38,38.4,37.55,37.55,-0.6,"1,762",
聯華,1229,2018/3/5,"2,771,034","102,759,337",37.55,37.55,36.85,36.9,-0.65,"1,728",
聯華,1229,2018/3/6,"3,879,443","141,870,990",37.15,37.2,36.2,36.5,-0.4,"2,377",
聯華,1229,2018/3/7,"2,207,507","80,679,503",36.4,36.8,36.1,36.5,0,"1,516",
聯華,1229,2018/3/8,"1,555,258","57,123,269",36.45,37,36.25,36.8,0.3,"1,221",
聯華,1229,2018/3/9,"1,248,416","45,973,942",36.75,37.15,36.5,36.8,0,706,
聯華,1229,2018/3/12,"1,884,638","69,725,212",36.8,37.3,36.7,37,0.2,"1,129",
聯華,1229,2018/3/13,"1,714,621","63,296,327",37.1,37.25,36.75,37,0,"1,224",
聯華,1229,2018/3/14,"722,869","26,686,987",37,37,36.8,37,0,532,
聯華,1229,2018/3/15,"1,057,624","38,869,691",37,37,36.65,36.85,-0.15,714,
聯華,1229,2018/3/16,"1,593,737","58,414,439",36.8,36.85,36.5,36.85,0,920,
聯華,1229,2018/3/19,"1,302,116","47,728,950",36.85,36.85,36.6,36.65,-0.2,890,
