股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
黑松,1234,2018/1/2,"65,931","2,069,437",31.4,31.45,31.3,31.4,-0.05,57,
黑松,1234,2018/1/3,"78,109","2,447,503",31.45,31.45,31.15,31.25,-0.15,70,
黑松,1234,2018/1/4,"51,182","1,605,394",31.4,31.4,31.25,31.4,0.15,41,
黑松,1234,2018/1/5,"94,171","2,950,700",31.4,31.5,31.2,31.5,0.1,53,
黑松,1234,2018/1/8,"86,864","2,735,513",31.5,31.6,31.45,31.45,-0.05,81,
黑松,1234,2018/1/9,"113,121","3,561,097",31.5,31.5,31.45,31.5,0.05,68,
黑松,1234,2018/1/10,"102,258","3,231,523",31.65,31.7,31.5,31.65,0.15,86,
黑松,1234,2018/1/11,"60,751","1,918,754",31.7,31.7,31.55,31.55,-0.1,63,
黑松,1234,2018/1/12,"46,225","1,455,109",31.55,31.55,31.4,31.55,0,51,
黑松,1234,2018/1/15,"43,699","1,379,692",31.55,31.6,31.5,31.6,0.05,57,
黑松,1234,2018/1/16,"87,573","2,768,649",31.6,31.7,31.55,31.65,0.05,61,
黑松,1234,2018/1/17,"134,850","4,269,530",31.65,31.8,31.6,31.8,0.15,134,
黑松,1234,2018/1/18,"53,219","1,690,219",31.8,32,31.65,31.65,-0.15,69,
黑松,1234,2018/1/19,"29,705","937,924",31.65,31.7,31.5,31.6,-0.05,40,
黑松,1234,2018/1/22,"169,615","5,330,544",31.6,31.65,31.25,31.25,-0.35,126,
黑松,1234,2018/1/23,"74,603","2,336,922",31.25,31.5,31.25,31.3,0.05,65,
黑松,1234,2018/1/24,"34,751","1,087,454",31.35,31.4,31.2,31.35,0.05,41,
黑松,1234,2018/1/25,"33,252","1,040,830",31.35,31.45,31.2,31.4,0.05,54,
黑松,1234,2018/1/26,"54,006","1,694,986",31.4,31.4,31.3,31.35,-0.05,30,
黑松,1234,2018/1/29,"77,059","2,420,645",31.5,31.5,31.4,31.4,0.05,68,
黑松,1234,2018/1/30,"35,098","1,103,620",31.4,31.5,31.4,31.4,0,38,
黑松,1234,2018/1/31,"55,146","1,722,986",31.4,31.4,31.2,31.2,-0.2,47,
黑松,1234,2018/2/1,"66,250","2,070,548",31.3,31.3,31.2,31.25,0.05,32,
黑松,1234,2018/2/2,"23,750","743,585",31.4,31.4,31.25,31.3,0.05,24,
黑松,1234,2018/2/5,"104,600","3,261,408",31.3,31.3,31.05,31.3,0,81,
黑松,1234,2018/2/6,"309,009","9,490,014",31,31,30.5,30.7,-0.6,207,
黑松,1234,2018/2/7,"124,651","3,826,000",30.7,30.85,30.6,30.65,-0.05,119,
黑松,1234,2018/2/8,"16,321","501,158",30.7,30.85,30.65,30.85,0.2,28,
黑松,1234,2018/2/9,"189,515","5,750,185",30.3,30.65,30.3,30.55,-0.3,93,
黑松,1234,2018/2/12,"74,151","2,270,365",30.8,30.8,30.55,30.65,0.1,64,
黑松,1234,2018/2/21,"70,602","2,188,370",30.75,31.3,30.75,31.1,0.45,61,
黑松,1234,2018/2/22,"20,305","631,573",31.1,31.2,31,31.1,0,28,
黑松,1234,2018/2/23,"74,609","2,348,307",31.3,31.65,31.1,31.55,0.45,75,
黑松,1234,2018/2/26,"107,946","3,401,896",31.6,31.7,31.2,31.55,0,98,
黑松,1234,2018/2/27,"38,232","1,202,152",31.6,31.6,31.3,31.45,-0.1,38,
黑松,1234,2018/3/1,"22,043","691,340",31.4,31.4,31.3,31.4,-0.05,44,
黑松,1234,2018/3/2,"70,087","2,189,509",31.4,31.45,31.1,31.25,-0.15,86,
黑松,1234,2018/3/5,"54,421","1,692,392",31.25,31.3,31,31.05,-0.2,68,
黑松,1234,2018/3/6,"59,820","1,861,020",31.1,31.35,31.05,31.1,0.05,37,
黑松,1234,2018/3/7,"55,589","1,723,272",30.8,31.15,30.8,31,-0.1,45,
黑松,1234,2018/3/8,"17,265","538,065",31.3,31.3,31.05,31.2,0.2,23,
黑松,1234,2018/3/9,"48,413","1,512,420",31.2,31.3,31.15,31.3,0.1,52,
黑松,1234,2018/3/12,"114,100","3,568,967",31.3,31.35,31.2,31.25,-0.05,90,
黑松,1234,2018/3/13,"196,637","6,162,615",31.25,31.5,31.2,31.35,0.1,114,
黑松,1234,2018/3/14,"44,000","1,377,795",31.35,31.35,31.2,31.3,-0.05,43,
黑松,1234,2018/3/15,"89,268","2,792,159",31.3,31.3,31.2,31.2,-0.1,52,
黑松,1234,2018/3/16,"38,545","1,201,474",31.2,31.2,31.15,31.2,0,38,
黑松,1234,2018/3/19,"44,636","1,390,975",31.2,31.2,31.1,31.15,-0.05,58,
黑松,1234,2018/3/20,"59,298","1,845,645",31.15,31.15,31.1,31.15,0,45,
黑松,1234,2018/3/21,"71,760","2,232,103",31.1,31.2,31,31.15,0,59,
