路線方向,路段,交流道,進出口,週六,週日,平日
國1南向路段,非主線資料,基隆端,進口,31654,28722,27243
國1南向路段,非主線資料,基隆,進口,6626,5942,7081
國1南向路段,非主線資料,八堵,進口,9294,10065,7868
國1南向路段,非主線資料,大華系統,進口,25593,23354,21401
國1南向路段,非主線資料,五堵,進口,7452,6124,9015
國1南向路段,非主線資料,汐止&汐止系統,進口,18027,17674,19764
國1南向路段,非主線資料,東湖,進口,18896,16604,18472
國1南向路段,非主線資料,內湖,進口,15468,12681,19061
國1南向路段,非主線資料,圓山,進口,62056,55740,62059
國1南向路段,非主線資料,台北,進口,20624,17607,20343
國1南向路段,非主線資料,三重,進口,14232,12717,11840
國1南向路段,非主線資料,五股,進口,31001,28991,27698
國1南向路段,非主線資料,高公局,進口,269,211,345
國1南向路段,非主線資料,林口,進口,37118,29878,43796
國1南向路段,非主線資料,桃園,進口,37815,32725,39107
國1南向路段,非主線資料,機場系統,進口,24139,22143,24993
國1南向路段,非主線資料,中壢服務區,進口,3478,2783,3863
國1南向路段,非主線資料,內壢,進口,18847,16370,20200
國1南向路段,非主線資料,中壢,進口,8504,7296,7493
國1南向路段,非主線資料,平鎮系統,進口,18097,16377,19481
國1南向路段,非主線資料,幼獅,進口,2924,2171,4318
國1南向路段,非主線資料,楊梅,進口,5080,4539,6597
國1南向路段,非主線資料,高架楊梅端,進口,36743,32539,30557
國1南向路段,非主線資料,湖口,進口,14694,14288,21233
國1南向路段,非主線資料,竹北,進口,18903,14933,22361
國1南向路段,非主線資料,新竹,進口,26326,19632,28867
國1南向路段,非主線資料,新竹系統,進口,20831,16664,13292
國1南向路段,非主線資料,頭份,進口,7396,6718,6198
國1南向路段,非主線資料,頭屋,進口,1051,1026,940
國1南向路段,非主線資料,苗栗,進口,6331,6208,5783
國1南向路段,非主線資料,銅鑼,進口,3656,4261,3780
國1南向路段,非主線資料,三義,進口,4188,4273,3249
國1南向路段,非主線資料,后里,進口,10802,9714,11052
國1南向路段,非主線資料,台中系統,進口,23939,21907,24656
國1南向路段,非主線資料,豐原,進口,10756,9056,13222
國1南向路段,非主線資料,大雅,進口,10689,8491,12027
國1南向路段,非主線資料,台中,進口,19557,17627,17129
國1南向路段,非主線資料,南屯,進口,13609,11620,13116
國1南向路段,非主線資料,王田,進口,7769,7018,8189
國1南向路段,非主線資料,彰化系統,進口,35760,30522,30093
國1南向路段,非主線資料,彰化,進口,14726,13306,14793
國1南向路段,非主線資料,埔鹽系統,進口,11428,10952,11066
國1南向路段,非主線資料,員林,進口,3191,2998,2717
國1南向路段,非主線資料,北斗,進口,4118,4108,3517
國1南向路段,非主線資料,西螺,進口,6292,5833,5845
國1南向路段,非主線資料,虎尾,進口,2802,2708,2692
國1南向路段,非主線資料,斗南,進口,6049,5029,6469
國1南向路段,非主線資料,雲林系統,進口,9090,8301,7838
國1南向路段,非主線資料,大林,進口,2589,2372,2893
國1南向路段,非主線資料,民雄,進口,5942,5328,5371
國1南向路段,非主線資料,嘉義,進口,8128,7836,7201
國1南向路段,非主線資料,水上,進口,2245,2442,1941
國1南向路段,非主線資料,嘉義系統,進口,8366,9083,6844
國1南向路段,非主線資料,新營服務區,進口,1027,954,1096
國1南向路段,非主線資料,新營,進口,11154,10292,11821
國1南向路段,非主線資料,下營系統,進口,9628,9695,8194
國1南向路段,非主線資料,麻豆,進口,9362,8427,9631
國1南向路段,非主線資料,安定,進口,5860,4846,8793
國1南向路段,非主線資料,台南系統,進口,23099,21672,24342
國1南向路段,非主線資料,永康,進口,15154,13042,16641
國1南向路段,非主線資料,仁德,進口,22524,21307,20075
國1南向路段,非主線資料,仁德系統,進口,17310,15718,16550
國1南向路段,非主線資料,路竹,進口,7152,6689,7579
國1南向路段,非主線資料,高科,進口,6255,4690,9267
國1南向路段,非主線資料,岡山,進口,17044,14069,18925
國1南向路段,非主線資料,楠梓,進口,26024,21614,27408
國1南向路段,非主線資料,鼎金系統,進口,52006,49776,51200
國1南向路段,非主線資料,中正路,進口,26448,23178,25213
國1南向路段,非主線資料,五甲,進口,11060,9649,11811
國3南向路段,非主線資料,基金,進口,20879,20997,22255
國3南向路段,非主線資料,瑪東系統,進口,2425,3736,3532
國3南向路段,非主線資料,汐止系統,進口,32302,29408,32892
國3南向路段,非主線資料,新台五路,進口,14561,12330,18250
國3南向路段,非主線資料,南港,進口,15132,13596,20424
國3南向路段,非主線資料,南港系統,進口,16175,18742,12499
國3南向路段,非主線資料,木柵,進口,15172,13498,14739
國3南向路段,非主線資料,新店,進口,10905,9145,11551
國3南向路段,非主線資料,安坑,進口,31404,27632,29958
國3南向路段,非主線資料,中和,進口,38496,34070,36424
國3南向路段,非主線資料,土城,進口,39288,35511,38555
國3南向路段,非主線資料,三鶯,進口,17684,16210,18105
國3南向路段,非主線資料,鶯歌系統,進口,22834,19538,22950
國3南向路段,非主線資料,大溪,進口,11479,9192,9011
國3南向路段,非主線資料,龍潭,進口,6568,5400,6114
國3南向路段,非主線資料,高原,進口,3187,2987,3056
國3南向路段,非主線資料,關西服務區,進口,997,900,741
國3南向路段,非主線資料,關西,進口,3137,2890,2861
國3南向路段,非主線資料,竹林,進口,7106,5922,7680
國3南向路段,非主線資料,寶山,進口,5860,4439,9783
國3南向路段,非主線資料,新竹系統,進口,32260,25740,31320
國3南向路段,非主線資料,茄苳,進口,6599,5139,5290
國3南向路段,非主線資料,香山,進口,4772,3398,5263
國3南向路段,非主線資料,竹南,進口,5272,4436,4186
國3南向路段,非主線資料,大山,進口,966,926,884
國3南向路段,非主線資料,後龍,進口,3374,3714,3124
國3南向路段,非主線資料,西湖服務區,進口,664,524,565
國3南向路段,非主線資料,通霄,進口,3209,3490,2352
國3南向路段,非主線資料,苑裡,進口,8263,7735,8664
國3南向路段,非主線資料,大甲,進口,10642,9684,10020
國3南向路段,非主線資料,中港系統,進口,7269,6482,7795
國3南向路段,非主線資料,清水服務區,進口,1324,1164,827
國3南向路段,非主線資料,沙鹿,進口,9044,7876,9207
國3南向路段,非主線資料,龍井,進口,11165,9862,11251
國3南向路段,非主線資料,和美,進口,13248,12146,15346
國3南向路段,非主線資料,彰化系統,進口,14423,11404,13480
國3南向路段,非主線資料,快官,進口,24012,20792,23703
國3南向路段,非主線資料,烏日,進口,5177,3756,6006
國3南向路段,非主線資料,中投,進口,10258,8660,8913
國3南向路段,非主線資料,霧峰,進口,38185,35406,30639
國3南向路段,非主線資料,霧峰系統,進口,6130,7390,5111
國3南向路段,非主線資料,草屯,進口,3962,3046,3284
國3南向路段,非主線資料,中興系統,進口,6418,5877,5201
國3南向路段,非主線資料,中興,進口,5033,4385,4780
國3南向路段,非主線資料,南投,進口,2726,2543,2721
國3南向路段,非主線資料,南投服務區,進口,1361,1448,1116
國3南向路段,非主線資料,名間,進口,2110,2091,1857
國3南向路段,非主線資料,竹山,進口,3518,4596,2366
國3南向路段,非主線資料,南雲,進口,2319,2475,1936
國3南向路段,非主線資料,斗六,進口,4240,4140,4136
國3南向路段,非主線資料,古坑(北)&古坑系統,進口,4244,4109,3013
國3南向路段,非主線資料,古坑(南),進口,1626,1658,1108
國3南向路段,非主線資料,古坑服務區,進口,348,384,272
國3南向路段,非主線資料,梅山,進口,5245,5099,4831
國3南向路段,非主線資料,竹崎,進口,6474,6426,6073
國3南向路段,非主線資料,中埔,進口,8069,9346,5504
國3南向路段,非主線資料,水上系統,進口,3024,3407,2526
國3南向路段,非主線資料,白河,進口,3436,4279,2276
國3南向路段,非主線資料,東山服務區,進口,1088,1402,687
國3南向路段,非主線資料,柳營,進口,2985,2894,3087
國3南向路段,非主線資料,烏山頭,進口,3391,3517,3142
國3南向路段,非主線資料,官田系統,進口,7975,8286,6419
國3南向路段,非主線資料,善化,進口,5212,4449,4940
國3南向路段,非主線資料,新化系統,進口,10404,8892,9845
國3南向路段,非主線資料,關廟,進口,9462,8792,6360
國3南向路段,非主線資料,關廟服務區,進口,328,264,290
國3南向路段,非主線資料,田寮,進口,3359,3336,2950
