股票名稱,股票代碼,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差幅度,成交筆數
中砂,1560,2018/1/2,728400,62268451,87,87,85,85.3,-1.7,542
中砂,1560,2018/1/3,865756,74231459,85.7,86.8,84.8,85.4,0.1,649
中砂,1560,2018/1/4,887604,75516957,85.6,86.3,84.7,84.7,-0.7,636
中砂,1560,2018/1/5,463357,39396536,85.5,85.5,84.3,84.7,0,364
中砂,1560,2018/1/8,592100,49859680,84.8,85.2,83.5,83.6,-1.1,394
中砂,1560,2018/1/9,482345,40242500,83.2,84,83.2,83.2,-0.4,378
中砂,1560,2018/1/10,491495,40917336,83.1,84.4,82.7,82.7,-0.5,396
中砂,1560,2018/1/11,611100,51081366,82.8,84.7,82.7,83.7,1,525
中砂,1560,2018/1/12,396575,33442300,83.9,84.6,83.9,84.2,0.5,367
中砂,1560,2018/1/15,442075,37060477,84.3,84.7,83.2,83.7,-0.5,338
中砂,1560,2018/1/16,1100623,93284254,84.5,86,84,84.2,0.5,855
中砂,1560,2018/1/17,438735,36662599,83.8,84.2,83.3,83.4,-0.8,342
中砂,1560,2018/1/18,774929,64395807,84,84,82.8,82.9,-0.5,624
中砂,1560,2018/1/19,523700,43233049,82.9,83.4,82.4,82.4,-0.5,414
中砂,1560,2018/1/22,737167,61716242,82.5,84.5,82.3,84.1,1.7,588
中砂,1560,2018/1/23,460089,38469955,84.1,84.3,83.1,83.8,-0.3,413
中砂,1560,2018/1/24,338328,28275121,84,84.1,82.9,83.5,-0.3,275
中砂,1560,2018/1/25,334550,27857538,83.5,84.2,82.5,82.5,-1,281
中砂,1560,2018/1/26,309479,25551315,82.9,82.9,82.5,82.5,0,247
中砂,1560,2018/1/29,396224,32921735,83,83.7,82.5,83.7,1.2,285
中砂,1560,2018/1/30,1060384,87351231,84,84.1,81.5,81.6,-2.1,832
中砂,1560,2018/1/31,632494,51505310,82.4,82.4,80.8,81.2,-0.4,475
中砂,1560,2018/2/1,586157,48266174,81.7,83.4,81.2,82,0.8,412
中砂,1560,2018/2/2,1074420,89110869,82.7,83.9,81.8,83.9,1.9,689
中砂,1560,2018/2/5,862211,70813143,83,83,81.2,82.1,-1.8,601
中砂,1560,2018/2/6,1696550,132465942,79.8,80.3,76.2,77,-5.1,1158
中砂,1560,2018/2/7,1127860,88637053,78.9,79.4,77.7,78.8,1.8,693
中砂,1560,2018/2/8,425134,33241665,78.8,79,77.7,78.6,-0.2,324
中砂,1560,2018/2/9,953662,72247874,74.7,77.6,74.5,76.9,-1.7,732
中砂,1560,2018/2/12,468114,36113069,77.3,77.8,76.5,77.3,0.4,350
中砂,1560,2018/2/21,689514,54694890,78.9,80.5,78.2,79.7,2.4,490
中砂,1560,2018/2/22,611185,49276574,80.5,81.6,80.1,80.2,0.5,451
中砂,1560,2018/2/23,354207,28467842,80.7,81,80,80,-0.2,288
中砂,1560,2018/2/26,846308,69049940,80.5,82.5,80.4,81.3,1.3,635
中砂,1560,2018/2/27,933100,75922300,82.3,82.8,80.4,80.6,-0.7,607
中砂,1560,2018/3/1,942457,75209605,79.6,80.4,79.3,80.1,-0.5,681
中砂,1560,2018/3/2,598010,47219200,78.5,79.4,78.5,79.1,-1,421
中砂,1560,2018/3/5,515016,40465078,79.2,79.7,78.2,78.4,-0.7,360
中砂,1560,2018/3/6,341515,26923433,78.7,79.2,78.4,79,0.6,287
中砂,1560,2018/3/7,443000,34830600,78.8,79.4,78,78.1,-0.9,372
中砂,1560,2018/3/8,197349,15489695,78.8,78.8,78.3,78.3,0.2,155
中砂,1560,2018/3/9,300116,23538122,78.6,78.9,78.2,78.5,0.2,228
中砂,1560,2018/3/12,279468,22044475,78.7,79.2,78.7,78.7,0.2,226
中砂,1560,2018/3/13,545156,43655611,79.6,80.8,79.2,79.5,0.8,443
中砂,1560,2018/3/14,439100,34920500,79.6,80.2,78.9,80.2,0.7,375
中砂,1560,2018/3/15,652766,52670094,80.9,81.2,80.4,80.5,0.3,515
中砂,1560,2018/3/16,678600,54892138,80.7,81.4,80.5,80.6,0.1,474
