DimDate,年,季,月,月份名稱,星期,工作日,週年序,交通匹配欄,年月
2018-01-01 12:00:00,2018,Q1,1,1月,週一,平日,2018W1,非參考日,201801
2018-01-02 12:00:00,2018,Q1,1,1月,週二,平日,2018W1,週2-4,201801
2018-01-03 12:00:00,2018,Q1,1,1月,週三,平日,2018W1,週2-4,201801
2018-01-04 12:00:00,2018,Q1,1,1月,週四,平日,2018W1,週2-4,201801
2018-01-05 12:00:00,2018,Q1,1,1月,週五,平日,2018W1,非參考日,201801
2018-01-06 12:00:00,2018,Q1,1,1月,週六,週末,2018W1,週六,201801
2018-01-07 12:00:00,2018,Q1,1,1月,週日,週末,2018W1,週日,201801
2018-01-08 12:00:00,2018,Q1,1,1月,週一,平日,2018W2,非參考日,201801
2018-01-09 12:00:00,2018,Q1,1,1月,週二,平日,2018W2,週2-4,201801
2018-01-10 12:00:00,2018,Q1,1,1月,週三,平日,2018W2,週2-4,201801
2018-01-11 12:00:00,2018,Q1,1,1月,週四,平日,2018W2,週2-4,201801
2018-01-12 12:00:00,2018,Q1,1,1月,週五,平日,2018W2,非參考日,201801
2018-01-13 12:00:00,2018,Q1,1,1月,週六,週末,2018W2,週六,201801
2018-01-14 12:00:00,2018,Q1,1,1月,週日,週末,2018W2,週日,201801
2018-01-15 12:00:00,2018,Q1,1,1月,週一,平日,2018W3,非參考日,201801
2018-01-16 12:00:00,2018,Q1,1,1月,週二,平日,2018W3,週2-4,201801
2018-01-17 12:00:00,2018,Q1,1,1月,週三,平日,2018W3,週2-4,201801
2018-01-18 12:00:00,2018,Q1,1,1月,週四,平日,2018W3,週2-4,201801
2018-01-19 12:00:00,2018,Q1,1,1月,週五,平日,2018W3,非參考日,201801
2018-01-20 12:00:00,2018,Q1,1,1月,週六,週末,2018W3,週六,201801
2018-01-21 12:00:00,2018,Q1,1,1月,週日,週末,2018W3,週日,201801
2018-01-22 12:00:00,2018,Q1,1,1月,週一,平日,2018W4,非參考日,201801
2018-01-23 12:00:00,2018,Q1,1,1月,週二,平日,2018W4,週2-4,201801
2018-01-24 12:00:00,2018,Q1,1,1月,週三,平日,2018W4,週2-4,201801
2018-01-25 12:00:00,2018,Q1,1,1月,週四,平日,2018W4,週2-4,201801
2018-01-26 12:00:00,2018,Q1,1,1月,週五,平日,2018W4,非參考日,201801
2018-01-27 12:00:00,2018,Q1,1,1月,週六,週末,2018W4,週六,201801
2018-01-28 12:00:00,2018,Q1,1,1月,週日,週末,2018W4,週日,201801
2018-01-29 12:00:00,2018,Q1,1,1月,週一,平日,2018W5,非參考日,201801
2018-01-30 12:00:00,2018,Q1,1,1月,週二,平日,2018W5,週2-4,201801
2018-01-31 12:00:00,2018,Q1,1,1月,週三,平日,2018W5,週2-4,201801
2018-02-01 12:00:00,2018,Q1,2,2月,週四,平日,2018W5,週2-4,201802
2018-02-02 12:00:00,2018,Q1,2,2月,週五,平日,2018W5,非參考日,201802
2018-02-03 12:00:00,2018,Q1,2,2月,週六,週末,2018W5,週六,201802
