股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
中砂,1560,2018/1/2,"728,400","62,268,451",87,87,85,85.3,-1.7,542,
中砂,1560,2018/1/3,"865,756","74,231,459",85.7,86.8,84.8,85.4,0.1,649,
中砂,1560,2018/1/4,"887,604","75,516,957",85.6,86.3,84.7,84.7,-0.7,636,
中砂,1560,2018/1/5,"463,357","39,396,536",85.5,85.5,84.3,84.7,0,364,
中砂,1560,2018/1/8,"592,100","49,859,680",84.8,85.2,83.5,83.6,-1.1,394,
中砂,1560,2018/1/9,"482,345","40,242,500",83.2,84,83.2,83.2,-0.4,378,
中砂,1560,2018/1/10,"491,495","40,917,336",83.1,84.4,82.7,82.7,-0.5,396,
中砂,1560,2018/1/11,"611,100","51,081,366",82.8,84.7,82.7,83.7,1,525,
中砂,1560,2018/1/12,"396,575","33,442,300",83.9,84.6,83.9,84.2,0.5,367,
中砂,1560,2018/1/15,"442,075","37,060,477",84.3,84.7,83.2,83.7,-0.5,338,
中砂,1560,2018/1/16,"1,100,623","93,284,254",84.5,86,84,84.2,0.5,855,
中砂,1560,2018/1/17,"438,735","36,662,599",83.8,84.2,83.3,83.4,-0.8,342,
中砂,1560,2018/1/18,"774,929","64,395,807",84,84,82.8,82.9,-0.5,624,
中砂,1560,2018/1/19,"523,700","43,233,049",82.9,83.4,82.4,82.4,-0.5,414,
中砂,1560,2018/1/22,"737,167","61,716,242",82.5,84.5,82.3,84.1,1.7,588,
中砂,1560,2018/1/23,"460,089","38,469,955",84.1,84.3,83.1,83.8,-0.3,413,
中砂,1560,2018/1/24,"338,328","28,275,121",84,84.1,82.9,83.5,-0.3,275,
中砂,1560,2018/1/25,"334,550","27,857,538",83.5,84.2,82.5,82.5,-1,281,
中砂,1560,2018/1/26,"309,479","25,551,315",82.9,82.9,82.5,82.5,0,247,
中砂,1560,2018/1/29,"396,224","32,921,735",83,83.7,82.5,83.7,1.2,285,
中砂,1560,2018/1/30,"1,060,384","87,351,231",84,84.1,81.5,81.6,-2.1,832,
中砂,1560,2018/1/31,"632,494","51,505,310",82.4,82.4,80.8,81.2,-0.4,475,
中砂,1560,2018/2/1,"586,157","48,266,174",81.7,83.4,81.2,82,0.8,412,
中砂,1560,2018/2/2,"1,074,420","89,110,869",82.7,83.9,81.8,83.9,1.9,689,
中砂,1560,2018/2/5,"862,211","70,813,143",83,83,81.2,82.1,-1.8,601,
中砂,1560,2018/2/6,"1,696,550","132,465,942",79.8,80.3,76.2,77,-5.1,"1,158",
中砂,1560,2018/2/7,"1,127,860","88,637,053",78.9,79.4,77.7,78.8,1.8,693,
中砂,1560,2018/2/8,"425,134","33,241,665",78.8,79,77.7,78.6,-0.2,324,
中砂,1560,2018/2/9,"953,662","72,247,874",74.7,77.6,74.5,76.9,-1.7,732,
中砂,1560,2018/2/12,"468,114","36,113,069",77.3,77.8,76.5,77.3,0.4,350,
中砂,1560,2018/2/21,"689,514","54,694,890",78.9,80.5,78.2,79.7,2.4,490,
中砂,1560,2018/2/22,"611,185","49,276,574",80.5,81.6,80.1,80.2,0.5,451,
中砂,1560,2018/2/23,"354,207","28,467,842",80.7,81,80,80,-0.2,288,
中砂,1560,2018/2/26,"846,308","69,049,940",80.5,82.5,80.4,81.3,1.3,635,
中砂,1560,2018/2/27,"933,100","75,922,300",82.3,82.8,80.4,80.6,-0.7,607,
中砂,1560,2018/3/1,"942,457","75,209,605",79.6,80.4,79.3,80.1,-0.5,681,
中砂,1560,2018/3/2,"598,010","47,219,200",78.5,79.4,78.5,79.1,-1,421,
中砂,1560,2018/3/5,"515,016","40,465,078",79.2,79.7,78.2,78.4,-0.7,360,
中砂,1560,2018/3/6,"341,515","26,923,433",78.7,79.2,78.4,79,0.6,287,
中砂,1560,2018/3/7,"443,000","34,830,600",78.8,79.4,78,78.1,-0.9,372,
中砂,1560,2018/3/8,"197,349","15,489,695",78.8,78.8,78.3,78.3,0.2,155,
中砂,1560,2018/3/9,"300,116","23,538,122",78.6,78.9,78.2,78.5,0.2,228,
