日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2018/1/2,"1,239,393","257,089,149",208.5,211.5,205.5,207,-2,930,
2018/1/3,"5,561,049","1,221,364,241",209.5,225.5,209.5,219.5,12.5,"4,187",
2018/1/4,"6,877,508","1,573,386,332",222.5,234.5,222,230,10.5,"5,185",
2018/1/5,"2,474,300","559,117,600",231,233,221,227,-3,"1,941",
2018/1/8,"4,641,615","1,075,273,220",230,236,226,228.5,1.5,"3,399",
2018/1/9,"2,696,970","615,706,510",231,233,222,233,4.5,"2,080",
2018/1/10,"2,628,954","598,224,242",233,233,223,225,-8,"1,980",
2018/1/11,"2,370,991","539,608,472",226,232.5,224.5,224.5,-0.5,"1,828",
2018/1/12,"3,912,182","902,001,042",229.5,233,226.5,231,6.5,"2,991",
2018/1/15,"2,845,728","661,274,299",234.5,236,229,230.5,-0.5,"2,176",
2018/1/16,"4,756,689","1,123,375,565",232,239.5,230,234.5,4,"3,413",
2018/1/17,"2,775,370","654,922,871",234.5,239,231,239,4.5,"2,247",
2018/1/18,"10,433,065","2,575,271,295",247,251.5,239.5,243,4,"6,427",
2018/1/19,"3,978,801","982,850,449",243.5,250,240.5,249,6,"3,293",
2018/1/22,"9,237,416","2,428,271,754",252.5,273.5,251.5,273.5,24.5,"6,914",
2018/1/23,"10,205,795","2,838,126,186",278,289.5,266.5,279.5,6,"7,579",
2018/1/24,"4,366,458","1,227,333,782",279.5,286.5,274,280,0.5,"3,629",
2018/1/25,"4,137,446","1,159,336,758",283,287,273.5,273.5,-6.5,"3,206",
2018/1/26,"2,830,473","762,055,791",274,275.5,264.5,268,-5.5,"2,312",
2018/1/29,"2,206,453","599,616,857",274,277.5,268,269,1,"1,907",
2018/1/30,"3,625,282","946,253,891",269,270,253.5,258,-11,"2,961",
2018/1/31,"2,642,668","690,828,680",256,265,255.5,260,2,"2,107",
2018/2/1,"1,768,442","456,624,152",260,262.5,255.5,256,-4,"1,437",
2018/2/2,"1,727,254","437,769,762",255,256.5,251,253,-3,"1,285",
2018/2/5,"1,592,340","389,330,305",246,246,241.5,246,-7,"1,281",
2018/2/6,"3,959,648","897,452,523",231,237,221.5,221.5,-24.5,"2,684",
2018/2/7,"2,916,055","675,282,040",228.5,236,227.5,229,7.5,"2,476",
2018/2/8,"2,673,397","588,794,046",228,231.5,215,217,-12,"2,177",
2018/2/9,"5,159,254","1,033,759,864",200,208,195.5,205.5,-11.5,"4,194",
2018/2/12,"4,902,635","1,068,769,511",213,226,209,220,14.5,"3,755",
2018/2/21,"3,982,301","940,127,138",231,241,227.5,240,20,"3,018",
2018/2/22,"1,993,580","475,108,880",236,243.5,234.5,236,-4,"1,686",
2018/2/23,"1,943,760","463,444,460",239.5,244.5,232,232,-4,"1,632",
2018/2/26,"1,043,940","244,148,546",237,237.5,230,232,0,864,
2018/2/27,"3,575,261","862,489,484",236.5,247.5,235.5,238,6,"2,912",
2018/3/1,"1,603,635","378,289,080",233.5,241,232,240,2,"1,360",
2018/3/2,"1,175,626","278,783,172",237.5,239,234.5,237,-3,953,
2018/3/5,"1,633,605","385,872,264",242,243.5,231.5,232,-5,"1,371",
2018/3/6,"1,066,142","250,226,080",236,237.5,232.5,233.5,1.5,916,
2018/3/7,"2,286,500","546,672,750",234.5,244,233.5,236,2.5,"1,999",
2018/3/8,"1,174,825","280,129,108",237,242,236.5,236.5,0.5,"1,037",
2018/3/9,"2,644,547","642,785,656",239,248,237.5,248,11.5,"2,174",
2018/3/12,"3,406,105","853,633,725",255.5,256,244.5,244.5,-3.5,"2,745",
2018/3/13,"2,171,227","545,031,523",246,254.5,246,249,4.5,"1,879",
2018/3/14,"1,172,655","293,740,074",248,253.5,248,250.5,1.5,"1,055",
2018/3/15,"1,366,735","345,000,586",252,254.5,248.5,253.5,3,"1,153",
2018/3/16,"1,273,937","322,626,717",255,257.5,250.5,250.5,-3,"1,130",
2018/3/19,"1,231,582","312,853,370",251,257,250.5,252,1.5,"1,039",
2018/3/20,"1,694,576","416,613,772",250,250,242.5,245,-7,"1,483",
2018/3/21,"1,087,920","268,674,400",247.5,249.5,245,245,0,872,
2018/3/22,"1,576,164","388,065,688",247.5,251.5,241,242,-3,"1,286",
2018/3/23,"2,516,310","577,291,074",230,234,226,227,-15,"2,056",
2018/3/26,"1,032,729","235,013,044",225.5,230,225.5,228,1,899,
2018/3/27,"1,761,041","417,429,358",234,240,233.5,237,9,"1,428",
2018/3/28,"890,450","207,891,350",235,236,231.5,232,-5,738,
2018/3/29,"726,838","169,216,092",232,236,230.5,231,-1,566,
2018/3/30,"995,300","234,136,649",234,237.5,232.5,232.5,1.5,775,
2018/3/31,"690,750","159,274,500",233.5,234.5,228.5,229.5,-3,577,
2018/4/2,"1,062,161","247,429,269",231,237,230,232,2.5,893,
2018/4/3,"913,252","208,178,964",229.5,231,226,228,-4,785,
2018/4/9,"1,298,372","304,176,292",229.5,239.5,227,238,10,"1,004",
2018/4/10,"832,000","196,522,999",237,238,234.5,235,-3,690,
2018/4/11,"1,029,901","243,898,235",240,240.5,234,234,-1,789,
2018/4/12,"459,875","107,489,250",236.5,237,232,232,-2,415,
2018/4/13,"754,800","174,973,900",235,236,228,230.5,-1.5,632,
2018/4/16,"1,639,485","370,311,110",229,233,221.5,224,-6.5,"1,367",
2018/4/17,"2,470,894","533,154,611",224.5,225,209,214,-10,"2,037",
2018/4/18,"1,532,555","333,326,935",217.5,223,213,217,3,"1,245",
2018/4/19,"1,071,384","232,147,212",217,220.5,214,215,-2,852,
2018/4/20,"1,428,950","300,253,024",213,215.5,207,208.5,-6.5,"1,162",
2018/4/23,"1,624,505","330,141,246",207,209,199,200.5,-8,"1,300",
2018/4/24,"3,652,732","697,748,909",200.5,200.5,187.5,191.5,-9,"2,665",
2018/4/25,"2,208,611","410,968,090",188,190.5,183,187.5,-4,"1,764",
2018/4/26,"1,638,342","312,112,796",192.5,194.5,185,185,-2.5,"1,361",
2018/4/27,"1,215,297","229,135,915",189.5,191.5,185,190,5,921,
2018/4/30,"1,213,313","235,415,535",191.5,197,188,194.5,4.5,990,
2018/5/2,"775,080","150,646,978",195.5,197,192,193,-1.5,607,
2018/5/3,"582,860","111,168,469",192,194,189,189,-4,489,
2018/5/4,"457,708","87,279,436",189,193,188.5,191.5,2.5,398,
2018/5/7,"1,366,902","269,595,498",194,200,193.5,198.5,7,"1,127",
2018/5/8,"983,340","192,621,990",199,200.5,193,193.5,-5,842,
2018/5/9,"843,022","162,643,224",195,197,190.5,191.5,-2,677,
2018/5/10,"1,560,366","305,699,914",193,199,192,198,6.5,"1,204",
2018/5/11,"3,038,770","625,706,580",198,211,197.5,204,6,"2,637",
2018/5/14,"2,499,543","528,028,469",206,215.5,205,214.5,10.5,"2,183",
2018/5/15,"1,636,984","343,034,188",213.5,217,206,206,-8.5,"1,392",
2018/5/16,"1,457,256","294,733,456",205,207.5,199.5,200,-6,"1,310",
2018/5/17,"1,296,615","262,944,766",202,206.5,200,201.5,1.5,"1,050",
2018/5/18,"2,510,910","518,935,370",201,210,201,208,6.5,"2,126",
2018/5/21,"2,602,124","530,916,420",206,209,201,204,-4,"2,198",
2018/5/22,"1,446,300","294,451,000",203.5,207.5,201,201.5,-2.5,"1,214",
2018/5/23,"1,121,680","227,885,580",203,205,201.5,204.5,3,781,
2018/5/24,"2,717,389","566,297,412",207.5,211.5,206,206,1.5,"2,170",
2018/5/25,"1,167,790","238,495,870",206,207,203,203,-3,931,
2018/5/28,"3,503,030","733,137,950",204.5,212.5,204.5,212.5,9.5,"2,468",
2018/5/29,"4,498,834","965,358,480",214,219.5,208.5,219,6.5,"3,343",
2018/5/30,"2,609,318","555,142,370",215,216,210.5,211,-8,"2,043",
2018/5/31,"1,818,356","381,621,292",212.5,214.5,206,211,0,"1,408",
2018/6/1,"975,415","203,616,650",209.5,212,207,208.5,-2.5,847,
2018/6/4,"1,281,358","269,877,538",210.5,213.5,209,210,1.5,998,
2018/6/5,"1,269,225","268,701,925",213,214,209,211,1,972,
2018/6/6,"2,112,125","453,476,431",212,217,212,214.5,3.5,"1,610",
2018/6/7,"1,327,258","285,597,470",216.5,217,213,215,0.5,"1,024",
2018/6/8,"1,464,645","315,922,530",216.5,218.5,213,213,-2,"1,168",
2018/6/11,"793,560","167,438,377",215,215,209,209.5,-3.5,670,
2018/6/12,"1,062,889","220,376,634",210,211.5,205.5,205.5,-4,923,
2018/6/13,"738,761","152,104,005",206.5,208.5,204,204,-1.5,628,
2018/6/14,"807,615","163,348,730",205,206,200.5,200.5,-3.5,696,
2018/6/15,"574,511","116,290,733",202,205,199.5,202.5,2,451,
2018/6/19,"1,148,160","225,633,200",202.5,202.5,193.5,193.5,-9,998,
2018/6/20,"1,223,880","233,634,600",194,195,188.5,192,-1.5,974,
2018/6/21,"498,000","96,135,000",194,194.5,192,193,1,457,
2018/6/22,"415,250","78,914,000",190,191,189,190,-3,374,
2018/6/25,"447,850","85,632,000",192.5,194,189.5,189.5,-0.5,365,
2018/6/26,"1,358,721","246,283,885",177,184.5,177,184,-5.5,"1,140",
2018/6/27,"942,496","172,287,276",185,187,180,180,-4,825,
2018/6/28,"2,224,472","417,934,825",179,195.5,177,194.5,14.5,"1,856",
2018/6/29,"1,568,234","298,689,960",193,195,188.5,189.5,-5,"1,364",
2018/7/2,"833,610","155,770,544",191,191.5,183.5,184,-5.5,720,
2018/7/3,"1,169,067","220,990,230",185,193.5,185,186.5,2.5,"1,039",
2018/7/4,"1,143,011","209,667,491",187.5,188.5,179,180,-6.5,842,
2018/7/5,"1,122,206","200,519,050",181.5,183.5,174,174,-6,848,
2018/7/6,"1,431,050","248,474,850",177,179,169,173,-1,"1,098",
2018/7/9,"928,750","161,280,623",174,176,172,172.5,-0.5,696,
2018/7/10,"1,419,322","254,194,426",175.5,182.5,174,181.5,9,"1,128",
2018/7/11,"1,037,400","186,417,000",181.5,182,176.5,179,-2.5,784,
2018/7/12,"1,401,165","259,749,260",178.5,189.5,178.5,189,10,"1,154",
2018/7/13,"1,485,903","285,940,406",191,194,191,193,4,"1,143",
2018/7/16,"1,465,710","287,031,723",194.5,199,193,197,4,"1,156",
2018/7/17,"1,510,001","294,291,693",198,199.5,191.5,191.5,-5.5,"1,182",
2018/7/18,"1,368,500","265,124,744",192,196,192,194.5,3,"1,035",
2018/7/19,"741,050","144,164,150",195.5,197,193,193,-1.5,536,
2018/7/20,"1,013,372","196,056,168",193,195.5,191.5,194,1,762,
2018/7/23,"1,826,606","351,782,852",195.5,196.5,189,191,-3,"1,184",
2018/7/24,"1,546,774","276,452,368",177,182,176,180.5,X0.00,"1,125",
2018/7/25,"703,078","126,847,657",180,183,179,179,-1.5,514,
2018/7/26,"894,800","159,775,200",179.5,181,177,177.5,-1.5,679,
2018/7/27,"914,990","162,173,180",174,181.5,174,181,3.5,736,
2018/7/30,"716,810","127,395,081",180,180,176,176,-5,557,
2018/7/31,"1,243,902","224,786,360",179,184,177,179,3,973,
2018/8/1,"808,560","145,447,920",180.5,182,179,179,0,591,
2018/8/2,"572,653","101,604,712",179.5,180,176,176,-3,487,
2018/8/3,"642,582","114,171,051",178.5,180,176,178.5,2.5,501,
2018/8/6,"675,564","121,820,584",180,181.5,178.5,181,2.5,556,
