年月,年,月,行業代號,行業名稱,家數
201801,2018,01,561,　　餐館業,103969
201801,2018,01,562,　　飲料店業,21346
201801,2018,01,563,　　餐飲攤販業,9141
201802,2018,02,561,　　餐食業,112396
201802,2018,02,562,　　外燴及團膳承包業,2434
201802,2018,02,563,　　飲料業,21978
201803,2018,03,561,　　餐食業,112545
201803,2018,03,562,　　外燴及團膳承包業,2431
201803,2018,03,563,　　飲料業,22002
201804,2018,04,561,　　餐食業,112705
201804,2018,04,562,　　外燴及團膳承包業,2418
201804,2018,04,563,　　飲料業,22136
201805,2018,05,561,　　餐食業,112950
201805,2018,05,562,　　外燴及團膳承包業,2408
201805,2018,05,563,　　飲料業,22246
201806,2018,06,561,　　餐食業,113304
201806,2018,06,562,　　外燴及團膳承包業,2391
201806,2018,06,563,　　飲料業,22481
201807,2018,07,561,　　餐食業,113533
201807,2018,07,562,　　外燴及團膳承包業,2383
201807,2018,07,563,　　飲料業,22751
201808,2018,08,561,　　餐食業,113772
201808,2018,08,562,　　外燴及團膳承包業,2371
201808,2018,08,563,　　飲料業,22882
201809,2018,09,561,　　餐食業,114331
201809,2018,09,562,　　外燴及團膳承包業,2374
201809,2018,09,563,　　飲料業,23069
201810,2018,10,561,　　餐食業,114891
201810,2018,10,562,　　外燴及團膳承包業,2367
201810,2018,10,563,　　飲料業,23145
201811,2018,11,561,　　餐食業,115458
201811,2018,11,562,　　外燴及團膳承包業,2354
201811,2018,11,563,　　飲料業,23134
201812,2018,12,561,　　餐食業,116311
201812,2018,12,562,　　外燴及團膳承包業,2348
201812,2018,12,563,　　飲料業,23164
201901,2019,01,561,　　餐食業,116311
201901,2019,01,562,　　外燴及團膳承包業,2348
201901,2019,01,563,　　飲料業,23164
201902,2019,02,561,　　餐食業,116276
201902,2019,02,562,　　外燴及團膳承包業,2346
201902,2019,02,563,　　飲料業,23115
201903,2019,03,561,　　餐食業,116290
201903,2019,03,562,　　外燴及團膳承包業,2340
201903,2019,03,563,　　飲料業,23120
201904,2019,04,561,　　餐食業,116637
201904,2019,04,562,　　外燴及團膳承包業,2348
201904,2019,04,563,　　飲料業,23181
201905,2019,05,561,　　餐食業,116813
201905,2019,05,562,　　外燴及團膳承包業,2349
201905,2019,05,563,　　飲料業,23301
201906,2019,06,561,　　餐食業,117044
201906,2019,06,562,　　外燴及團膳承包業,2351
201906,2019,06,563,　　飲料業,23450
201907,2019,07,561,　　餐食業,117217
201907,2019,07,562,　　外燴及團膳承包業,2340
201907,2019,07,563,　　飲料業,23552
201908,2019,08,561,　　餐食業,117546
201908,2019,08,562,　　外燴及團膳承包業,2332
201908,2019,08,563,　　飲料業,23706
201909,2019,09,561,　　餐食業,117981
201909,2019,09,562,　　外燴及團膳承包業,2328
201909,2019,09,563,　　飲料業,23835
201910,2019,10,561,　　餐食業,118563
201910,2019,10,562,　　外燴及團膳承包業,2317
201910,2019,10,563,　　飲料業,23828
201911,2019,11,561,　　餐食業,118967
201911,2019,11,562,　　外燴及團膳承包業,2321
201911,2019,11,563,　　飲料業,23850
201912,2019,12,561,　　餐食業,119356
201912,2019,12,562,　　外燴及團膳承包業,2317
201912,2019,12,563,　　飲料業,23805
202001,2020,01,561,　　餐食業,119861
202001,2020,01,562,　　外燴及團膳承包業,2299
202001,2020,01,563,　　飲料業,23849
202002,2020,02,561,　　餐食業,119805
