"資料期別","縣市","鄉鎮市區","住宅買賣移轉筆數"
"098Q1","全國","",44005
"098Q1","新北市","",12546
"098Q1","新北市","板橋區",2036
"098Q1","新北市","三重區",1135
"098Q1","新北市","中和區",1085
"098Q1","新北市","永和區",487
"098Q1","新北市","新莊區",1054
"098Q1","新北市","新店區",757
"098Q1","新北市","樹林區",1282
"098Q1","新北市","鶯歌區",143
"098Q1","新北市","三峽區",351
"098Q1","新北市","淡水區",885
"098Q1","新北市","汐止區",622
"098Q1","新北市","瑞芳區",21
"098Q1","新北市","土城區",593
"098Q1","新北市","蘆洲區",483
"098Q1","新北市","五股區",187
"098Q1","新北市","泰山區",214
"098Q1","新北市","林口區",919
"098Q1","新北市","深坑區",58
"098Q1","新北市","石碇區",3
"098Q1","新北市","坪林區",0
"098Q1","新北市","三芝區",66
"098Q1","新北市","石門區",6
"098Q1","新北市","八里區",91
"098Q1","新北市","平溪區",0
"098Q1","新北市","雙溪區",2
"098Q1","新北市","貢寮區",3
"098Q1","新北市","金山區",20
"098Q1","新北市","萬里區",43
"098Q1","新北市","烏來區",0
"098Q1","台北市","",7114
"098Q1","台北市","松山區",403
"098Q1","台北市","信義區",413
"098Q1","台北市","大安區",881
"098Q1","台北市","中山區",1123
"098Q1","台北市","中正區",308
"098Q1","台北市","大同區",261
"098Q1","台北市","萬華區",229
"098Q1","台北市","文山區",655
"098Q1","台北市","南港區",396
"098Q1","台北市","內湖區",1059
"098Q1","台北市","士林區",852
"098Q1","台北市","北投區",534
"098Q1","桃園市","",4495
"098Q1","桃園市","桃園區",1239
"098Q1","桃園市","中壢區",904
"098Q1","桃園市","平鎮區",367
"098Q1","桃園市","八德區",472
"098Q1","桃園市","楊梅區",356
"098Q1","桃園市","大溪區",114
"098Q1","桃園市","蘆竹區",368
"098Q1","桃園市","大園區",124
"098Q1","桃園市","龜山區",290
"098Q1","桃園市","龍潭區",144
"098Q1","桃園市","新屋區",42
"098Q1","桃園市","觀音區",75
"098Q1","桃園市","復興區",0
"098Q1","台中市","",3538
"098Q1","台中市","中區",34
"098Q1","台中市","東區",76
"098Q1","台中市","南區",167
"098Q1","台中市","西區",227
"098Q1","台中市","北區",630
"098Q1","台中市","西屯區",1367
"098Q1","台中市","南屯區",450
"098Q1","台中市","北屯區",587
"098Q1","台南市","",1201
"098Q1","台南市","東區",426
"098Q1","台南市","南區",142
"098Q1","台南市","北區",190
"098Q1","台南市","安南區",190
"098Q1","台南市","安平區",132
"098Q1","台南市","中西區",121
"098Q1","高雄市","",2920
"098Q1","高雄市","鹽埕區",16
"098Q1","高雄市","鼓山區",565
"098Q1","高雄市","左營區",630
"098Q1","高雄市","楠梓區",328
"098Q1","高雄市","三民區",478
"098Q1","高雄市","新興區",52
"098Q1","高雄市","前金區",80
"098Q1","高雄市","苓雅區",251
"098Q1","高雄市","前鎮區",294
"098Q1","高雄市","旗津區",11
"098Q1","高雄市","小港區",215
"098Q1","宜蘭縣","",793
"098Q1","宜蘭縣","宜蘭市",195
"098Q1","宜蘭縣","羅東鎮",198
"098Q1","宜蘭縣","蘇澳鎮",33
"098Q1","宜蘭縣","頭城鎮",28
"098Q1","宜蘭縣","礁溪鄉",91
"098Q1","宜蘭縣","壯圍鄉",33
"098Q1","宜蘭縣","員山鄉",63
"098Q1","宜蘭縣","冬山鄉",80
"098Q1","宜蘭縣","五結鄉",55
"098Q1","宜蘭縣","三星鄉",17
"098Q1","宜蘭縣","大同鄉",0
"098Q1","宜蘭縣","南澳鄉",0
"098Q1","新竹縣","",1098
"098Q1","新竹縣","竹北市",591
"098Q1","新竹縣","關西鎮",18
"098Q1","新竹縣","新埔鎮",43
"098Q1","新竹縣","竹東鎮",239
"098Q1","新竹縣","湖口鄉",94
"098Q1","新竹縣","橫山鄉",1
"098Q1","新竹縣","新豐鄉",74
"098Q1","新竹縣","芎林鄉",21
"098Q1","新竹縣","寶山鄉",13
"098Q1","新竹縣","北埔鄉",3
"098Q1","新竹縣","峨眉鄉",0
"098Q1","新竹縣","尖石鄉",1
"098Q1","新竹縣","五峰鄉",0
"098Q1","苗栗縣","",511
"098Q1","苗栗縣","苗栗市",140
"098Q1","苗栗縣","苑裡鎮",25
"098Q1","苗栗縣","通霄鎮",14
"098Q1","苗栗縣","竹南鎮",84
"098Q1","苗栗縣","頭份鎮",162
"098Q1","苗栗縣","後龍鎮",9
"098Q1","苗栗縣","卓蘭鎮",4
"098Q1","苗栗縣","大湖鄉",11
"098Q1","苗栗縣","公館鄉",20
"098Q1","苗栗縣","銅鑼鄉",5
"098Q1","苗栗縣","南庄鄉",4
"098Q1","苗栗縣","頭屋鄉",7
