年月,年,月,屬性,值
2018年1月,2018,1月,餐館,50573485
2018年1月,2018,1月,外燴及團膳承包業,3928470
2018年1月,2018,1月,飲料店,8243773
2018年2月,2018,2月,餐館,57662207
2018年2月,2018,2月,外燴及團膳承包業,3334206
2018年2月,2018,2月,飲料店,8122094
2018年3月,2018,3月,餐館,47673607
2018年3月,2018,3月,外燴及團膳承包業,3704342
2018年3月,2018,3月,飲料店,8311200
2018年4月,2018,4月,餐館,47886801
2018年4月,2018,4月,外燴及團膳承包業,3844305
2018年4月,2018,4月,飲料店,8130913
2018年5月,2018,5月,餐館,51087278
2018年5月,2018,5月,外燴及團膳承包業,3828185
2018年5月,2018,5月,飲料店,8583366
2018年6月,2018,6月,餐館,51829437
2018年6月,2018,6月,外燴及團膳承包業,3889204
2018年6月,2018,6月,飲料店,8425562
2018年7月,2018,7月,餐館,53201736
2018年7月,2018,7月,外燴及團膳承包業,3595068
2018年7月,2018,7月,飲料店,8432106
2018年8月,2018,8月,餐館,54684884
2018年8月,2018,8月,外燴及團膳承包業,3460701
2018年8月,2018,8月,飲料店,8943661
2018年9月,2018,9月,餐館,50150235
2018年9月,2018,9月,外燴及團膳承包業,3356595
2018年9月,2018,9月,飲料店,9380997
2018年10月,2018,10月,餐館,48668303
2018年10月,2018,10月,外燴及團膳承包業,3727001
2018年10月,2018,10月,飲料店,8572238
2018年11月,2018,11月,餐館,47496224
2018年11月,2018,11月,外燴及團膳承包業,3804279
2018年11月,2018,11月,飲料店,7998488
2018年12月,2018,12月,餐館,56091235
2018年12月,2018,12月,外燴及團膳承包業,3888254
2018年12月,2018,12月,飲料店,9662180
2019年1月,2019,1月,餐館,54909175
2019年1月,2019,1月,外燴及團膳承包業,4019363
2019年1月,2019,1月,飲料店,9368304
2019年2月,2019,2月,餐館,56565228
2019年2月,2019,2月,外燴及團膳承包業,3261811
2019年2月,2019,2月,飲料店,8227284
2019年3月,2019,3月,餐館,51344258
2019年3月,2019,3月,外燴及團膳承包業,3724010
2019年3月,2019,3月,飲料店,8649343
2019年4月,2019,4月,餐館,47955537
2019年4月,2019,4月,外燴及團膳承包業,3810034
2019年4月,2019,4月,飲料店,8537767
2019年5月,2019,5月,餐館,53030753
