年,季,日期標準,資料期別,縣市,鄉鎮市區,住宅買賣移轉筆數
2018,1,2018/1/1,107Q1,新北市,板橋區,781
2018,1,2018/1/1,107Q1,新北市,三重區,566
2018,1,2018/1/1,107Q1,新北市,中和區,539
2018,1,2018/1/1,107Q1,新北市,永和區,277
2018,1,2018/1/1,107Q1,新北市,新莊區,465
2018,1,2018/1/1,107Q1,新北市,新店區,555
2018,1,2018/1/1,107Q1,新北市,樹林區,215
2018,1,2018/1/1,107Q1,新北市,鶯歌區,105
2018,1,2018/1/1,107Q1,新北市,三峽區,166
2018,1,2018/1/1,107Q1,新北市,淡水區,1405
2018,1,2018/1/1,107Q1,新北市,汐止區,494
2018,1,2018/1/1,107Q1,新北市,瑞芳區,41
2018,1,2018/1/1,107Q1,新北市,土城區,345
2018,1,2018/1/1,107Q1,新北市,蘆洲區,290
2018,1,2018/1/1,107Q1,新北市,五股區,87
2018,1,2018/1/1,107Q1,新北市,泰山區,93
2018,1,2018/1/1,107Q1,新北市,林口區,154
2018,1,2018/1/1,107Q1,新北市,深坑區,36
2018,1,2018/1/1,107Q1,新北市,石碇區,2
2018,1,2018/1/1,107Q1,新北市,三芝區,71
2018,1,2018/1/1,107Q1,新北市,石門區,2
2018,1,2018/1/1,107Q1,新北市,八里區,93
2018,1,2018/1/1,107Q1,新北市,雙溪區,2
2018,1,2018/1/1,107Q1,新北市,貢寮區,3
2018,1,2018/1/1,107Q1,新北市,金山區,29
2018,1,2018/1/1,107Q1,新北市,萬里區,28
2018,1,2018/1/1,107Q1,新北市,烏來區,2
2018,1,2018/1/1,107Q1,臺北市,松山區,225
2018,1,2018/1/1,107Q1,臺北市,信義區,265
2018,1,2018/1/1,107Q1,臺北市,大安區,394
2018,1,2018/1/1,107Q1,臺北市,中山區,434
2018,1,2018/1/1,107Q1,臺北市,中正區,169
2018,1,2018/1/1,107Q1,臺北市,大同區,145
2018,1,2018/1/1,107Q1,臺北市,萬華區,232
2018,1,2018/1/1,107Q1,臺北市,文山區,367
2018,1,2018/1/1,107Q1,臺北市,南港區,129
2018,1,2018/1/1,107Q1,臺北市,內湖區,477
2018,1,2018/1/1,107Q1,臺北市,士林區,339
2018,1,2018/1/1,107Q1,臺北市,北投區,378
2018,1,2018/1/1,107Q1,桃園市,桃園區,507
2018,1,2018/1/1,107Q1,桃園市,中壢區,231
2018,1,2018/1/1,107Q1,桃園市,平鎮區,101
2018,1,2018/1/1,107Q1,桃園市,八德區,102
2018,1,2018/1/1,107Q1,桃園市,楊梅區,122
2018,1,2018/1/1,107Q1,桃園市,大溪區,36
2018,1,2018/1/1,107Q1,桃園市,蘆竹區,124
2018,1,2018/1/1,107Q1,桃園市,大園區,59
