年,月,居住地,年齡層,性別,旅客數
2019,1,歐洲地區(Europe),1-12歲,男,651
2019,2,歐洲地區(Europe),1-12歲,男,342
2019,3,歐洲地區(Europe),1-12歲,男,230
2019,4,歐洲地區(Europe),1-12歲,男,260
2019,5,歐洲地區(Europe),1-12歲,男,313
2019,6,歐洲地區(Europe),1-12歲,男,813
2019,7,歐洲地區(Europe),1-12歲,男,1293
2019,8,歐洲地區(Europe),1-12歲,男,972
2019,9,歐洲地區(Europe),1-12歲,男,295
2019,10,歐洲地區(Europe),1-12歲,男,232
2019,11,歐洲地區(Europe),1-12歲,男,193
2019,12,歐洲地區(Europe),1-12歲,男,257
2020,1,歐洲地區(Europe),1-12歲,男,644
2020,2,歐洲地區(Europe),1-12歲,男,251
2020,3,歐洲地區(Europe),1-12歲,男,31
2020,4,歐洲地區(Europe),1-12歲,男,1
2020,5,歐洲地區(Europe),1-12歲,男,17
2020,6,歐洲地區(Europe),1-12歲,男,25
2020,7,歐洲地區(Europe),1-12歲,男,61
2020,8,歐洲地區(Europe),1-12歲,男,112
2020,9,歐洲地區(Europe),1-12歲,男,47
2020,10,歐洲地區(Europe),1-12歲,男,29
2020,11,歐洲地區(Europe),1-12歲,男,13
2020,12,歐洲地區(Europe),1-12歲,男,10
2021,1,歐洲地區(Europe),1-12歲,男,16
2021,2,歐洲地區(Europe),1-12歲,男,15
2021,3,歐洲地區(Europe),1-12歲,男,18
2021,4,歐洲地區(Europe),1-12歲,男,23
2021,5,歐洲地區(Europe),1-12歲,男,12
2021,6,歐洲地區(Europe),1-12歲,男,34
2021,7,歐洲地區(Europe),1-12歲,男,36
2021,8,歐洲地區(Europe),1-12歲,男,42
2021,9,歐洲地區(Europe),1-12歲,男,30
2021,10,歐洲地區(Europe),1-12歲,男,16
2021,11,歐洲地區(Europe),1-12歲,男,8
2021,12,歐洲地區(Europe),1-12歲,男,11
2022,1,歐洲地區(Europe),1-12歲,男,15
2022,2,歐洲地區(Europe),1-12歲,男,20
2022,3,歐洲地區(Europe),1-12歲,男,23
2022,4,歐洲地區(Europe),1-12歲,男,26
2022,5,歐洲地區(Europe),1-12歲,男,47
2022,6,歐洲地區(Europe),1-12歲,男,104
2022,7,歐洲地區(Europe),1-12歲,男,107
2022,8,歐洲地區(Europe),1-12歲,男,349
2022,9,歐洲地區(Europe),1-12歲,男,115
2022,10,歐洲地區(Europe),1-12歲,男,88
2022,11,歐洲地區(Europe),1-12歲,男,116
2022,12,歐洲地區(Europe),1-12歲,男,215
2023,1,歐洲地區(Europe),1-12歲,男,543
2023,2,歐洲地區(Europe),1-12歲,男,207
2023,3,歐洲地區(Europe),1-12歲,男,238
2023,4,歐洲地區(Europe),1-12歲,男,255
2023,5,歐洲地區(Europe),1-12歲,男,238
2023,6,歐洲地區(Europe),1-12歲,男,714
2023,7,歐洲地區(Europe),1-12歲,男,1319
2023,8,歐洲地區(Europe),1-12歲,男,1000
2023,9,歐洲地區(Europe),1-12歲,男,327
2023,10,歐洲地區(Europe),1-12歲,男,211
2023,11,歐洲地區(Europe),1-12歲,男,196
2023,12,歐洲地區(Europe),1-12歲,男,305
2024,1,歐洲地區(Europe),1-12歲,男,518
2024,2,歐洲地區(Europe),1-12歲,男,555
2024,3,歐洲地區(Europe),1-12歲,男,314
2024,4,歐洲地區(Europe),1-12歲,男,302
2024,5,歐洲地區(Europe),1-12歲,男,313
2024,6,歐洲地區(Europe),1-12歲,男,812
2024,7,歐洲地區(Europe),1-12歲,男,1197
2024,8,歐洲地區(Europe),1-12歲,男,987
2024,9,歐洲地區(Europe),1-12歲,男,271
2024,10,歐洲地區(Europe),1-12歲,男,201
2024,11,歐洲地區(Europe),1-12歲,男,171
2024,12,歐洲地區(Europe),1-12歲,男,261
2025,1,歐洲地區(Europe),1-12歲,男,654
2025,2,歐洲地區(Europe),1-12歲,男,345
2025,3,歐洲地區(Europe),1-12歲,男,249
2025,4,歐洲地區(Europe),1-12歲,男,328
2025,5,歐洲地區(Europe),1-12歲,男,322
2025,6,歐洲地區(Europe),1-12歲,男,791
2025,7,歐洲地區(Europe),1-12歲,男,1231
2025,8,歐洲地區(Europe),1-12歲,男,980
2025,9,歐洲地區(Europe),1-12歲,男,236
2025,10,歐洲地區(Europe),1-12歲,男,248
2025,11,歐洲地區(Europe),1-12歲,男,175
2025,12,歐洲地區(Europe),1-12歲,男,323
2026,1,歐洲地區(Europe),1-12歲,男,525
2019,1,歐洲地區(Europe),1-12歲,女,630
2019,2,歐洲地區(Europe),1-12歲,女,309
2019,3,歐洲地區(Europe),1-12歲,女,252
2019,4,歐洲地區(Europe),1-12歲,女,234
2019,5,歐洲地區(Europe),1-12歲,女,297
2019,6,歐洲地區(Europe),1-12歲,女,781
2019,7,歐洲地區(Europe),1-12歲,女,1223
2019,8,歐洲地區(Europe),1-12歲,女,994
2019,9,歐洲地區(Europe),1-12歲,女,272
2019,10,歐洲地區(Europe),1-12歲,女,255
2019,11,歐洲地區(Europe),1-12歲,女,202
2019,12,歐洲地區(Europe),1-12歲,女,284
2020,1,歐洲地區(Europe),1-12歲,女,555
2020,2,歐洲地區(Europe),1-12歲,女,255
2020,3,歐洲地區(Europe),1-12歲,女,52
2020,4,歐洲地區(Europe),1-12歲,女,3
2020,5,歐洲地區(Europe),1-12歲,女,12
2020,6,歐洲地區(Europe),1-12歲,女,29
2020,7,歐洲地區(Europe),1-12歲,女,57
2020,8,歐洲地區(Europe),1-12歲,女,118
2020,9,歐洲地區(Europe),1-12歲,女,39
2020,10,歐洲地區(Europe),1-12歲,女,13
2020,11,歐洲地區(Europe),1-12歲,女,10
2020,12,歐洲地區(Europe),1-12歲,女,20
2021,1,歐洲地區(Europe),1-12歲,女,10
2021,2,歐洲地區(Europe),1-12歲,女,15
2021,3,歐洲地區(Europe),1-12歲,女,12
2021,4,歐洲地區(Europe),1-12歲,女,19
2021,5,歐洲地區(Europe),1-12歲,女,7
2021,6,歐洲地區(Europe),1-12歲,女,36
2021,7,歐洲地區(Europe),1-12歲,女,32
2021,8,歐洲地區(Europe),1-12歲,女,45
2021,9,歐洲地區(Europe),1-12歲,女,27
2021,10,歐洲地區(Europe),1-12歲,女,17
2021,11,歐洲地區(Europe),1-12歲,女,6
2021,12,歐洲地區(Europe),1-12歲,女,15
2022,1,歐洲地區(Europe),1-12歲,女,18
2022,2,歐洲地區(Europe),1-12歲,女,24
2022,3,歐洲地區(Europe),1-12歲,女,19
2022,4,歐洲地區(Europe),1-12歲,女,35
2022,5,歐洲地區(Europe),1-12歲,女,52
2022,6,歐洲地區(Europe),1-12歲,女,110
2022,7,歐洲地區(Europe),1-12歲,女,127
2022,8,歐洲地區(Europe),1-12歲,女,293
2022,9,歐洲地區(Europe),1-12歲,女,152
2022,10,歐洲地區(Europe),1-12歲,女,66
2022,11,歐洲地區(Europe),1-12歲,女,94
2022,12,歐洲地區(Europe),1-12歲,女,197
2023,1,歐洲地區(Europe),1-12歲,女,564
2023,2,歐洲地區(Europe),1-12歲,女,217
2023,3,歐洲地區(Europe),1-12歲,女,240
2023,4,歐洲地區(Europe),1-12歲,女,305
2023,5,歐洲地區(Europe),1-12歲,女,285
2023,6,歐洲地區(Europe),1-12歲,女,741
2023,7,歐洲地區(Europe),1-12歲,女,1285
2023,8,歐洲地區(Europe),1-12歲,女,1024
2023,9,歐洲地區(Europe),1-12歲,女,354
2023,10,歐洲地區(Europe),1-12歲,女,195
2023,11,歐洲地區(Europe),1-12歲,女,217
2023,12,歐洲地區(Europe),1-12歲,女,291
2024,1,歐洲地區(Europe),1-12歲,女,595
2024,2,歐洲地區(Europe),1-12歲,女,527
2024,3,歐洲地區(Europe),1-12歲,女,340
2024,4,歐洲地區(Europe),1-12歲,女,320
2024,5,歐洲地區(Europe),1-12歲,女,304
2024,6,歐洲地區(Europe),1-12歲,女,881
2024,7,歐洲地區(Europe),1-12歲,女,1237
2024,8,歐洲地區(Europe),1-12歲,女,1170
2024,9,歐洲地區(Europe),1-12歲,女,296
2024,10,歐洲地區(Europe),1-12歲,女,222
2024,11,歐洲地區(Europe),1-12歲,女,198
2024,12,歐洲地區(Europe),1-12歲,女,301
2025,1,歐洲地區(Europe),1-12歲,女,713
2025,2,歐洲地區(Europe),1-12歲,女,347
2025,3,歐洲地區(Europe),1-12歲,女,311
2025,4,歐洲地區(Europe),1-12歲,女,362
2025,5,歐洲地區(Europe),1-12歲,女,362
2025,6,歐洲地區(Europe),1-12歲,女,845
2025,7,歐洲地區(Europe),1-12歲,女,1220
2025,8,歐洲地區(Europe),1-12歲,女,982
2025,9,歐洲地區(Europe),1-12歲,女,272
2025,10,歐洲地區(Europe),1-12歲,女,251
2025,11,歐洲地區(Europe),1-12歲,女,201
2025,12,歐洲地區(Europe),1-12歲,女,326
2026,1,歐洲地區(Europe),1-12歲,女,549
2019,1,歐洲地區(Europe),13-19歲,男,738
2019,2,歐洲地區(Europe),13-19歲,男,275
2019,3,歐洲地區(Europe),13-19歲,男,75
2019,4,歐洲地區(Europe),13-19歲,男,152
2019,5,歐洲地區(Europe),13-19歲,男,262
2019,6,歐洲地區(Europe),13-19歲,男,750
2019,7,歐洲地區(Europe),13-19歲,男,1580
2019,8,歐洲地區(Europe),13-19歲,男,1197
2019,9,歐洲地區(Europe),13-19歲,男,251
2019,10,歐洲地區(Europe),13-19歲,男,119
2019,11,歐洲地區(Europe),13-19歲,男,96
2019,12,歐洲地區(Europe),13-19歲,男,111
2020,1,歐洲地區(Europe),13-19歲,男,764
2020,2,歐洲地區(Europe),13-19歲,男,169
2020,3,歐洲地區(Europe),13-19歲,男,9
2020,4,歐洲地區(Europe),13-19歲,男,0
2020,5,歐洲地區(Europe),13-19歲,男,2
2020,6,歐洲地區(Europe),13-19歲,男,7
2020,7,歐洲地區(Europe),13-19歲,男,15
2020,8,歐洲地區(Europe),13-19歲,男,100
2020,9,歐洲地區(Europe),13-19歲,男,157
2020,10,歐洲地區(Europe),13-19歲,男,38
2020,11,歐洲地區(Europe),13-19歲,男,13
2020,12,歐洲地區(Europe),13-19歲,男,7
2021,1,歐洲地區(Europe),13-19歲,男,3
2021,2,歐洲地區(Europe),13-19歲,男,6
2021,3,歐洲地區(Europe),13-19歲,男,6
2021,4,歐洲地區(Europe),13-19歲,男,21
