年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數,年月,日期格式
2018,1,2018-01-01,新北市,板橋區,14,201801,2018-01-01
2018,1,2018-01-01,新北市,三重區,13,201801,2018-01-01
2018,1,2018-01-01,新北市,中和區,8,201801,2018-01-01
2018,1,2018-01-01,新北市,永和區,8,201801,2018-01-01
2018,1,2018-01-01,新北市,新莊區,16,201801,2018-01-01
2018,1,2018-01-01,新北市,新店區,16,201801,2018-01-01
2018,1,2018-01-01,新北市,樹林區,2,201801,2018-01-01
2018,1,2018-01-01,新北市,鶯歌區,4,201801,2018-01-01
2018,1,2018-01-01,新北市,三峽區,6,201801,2018-01-01
2018,1,2018-01-01,新北市,淡水區,5,201801,2018-01-01
2018,1,2018-01-01,新北市,汐止區,15,201801,2018-01-01
2018,1,2018-01-01,新北市,瑞芳區,3,201801,2018-01-01
2018,1,2018-01-01,新北市,土城區,7,201801,2018-01-01
2018,1,2018-01-01,新北市,蘆洲區,12,201801,2018-01-01
2018,1,2018-01-01,新北市,五股區,2,201801,2018-01-01
2018,1,2018-01-01,新北市,泰山區,3,201801,2018-01-01
2018,1,2018-01-01,新北市,林口區,3,201801,2018-01-01
2018,1,2018-01-01,新北市,三芝區,7,201801,2018-01-01
2018,1,2018-01-01,新北市,八里區,2,201801,2018-01-01
2018,1,2018-01-01,新北市,貢寮區,1,201801,2018-01-01
2018,1,2018-01-01,臺北市,信義區,4,201801,2018-01-01
2018,1,2018-01-01,臺北市,大安區,7,201801,2018-01-01
2018,1,2018-01-01,臺北市,中山區,5,201801,2018-01-01
2018,1,2018-01-01,臺北市,中正區,5,201801,2018-01-01
2018,1,2018-01-01,臺北市,大同區,5,201801,2018-01-01
2018,1,2018-01-01,臺北市,萬華區,6,201801,2018-01-01
2018,1,2018-01-01,臺北市,文山區,5,201801,2018-01-01
2018,1,2018-01-01,臺北市,南港區,3,201801,2018-01-01
2018,1,2018-01-01,臺北市,內湖區,10,201801,2018-01-01
2018,1,2018-01-01,臺北市,士林區,13,201801,2018-01-01
2018,1,2018-01-01,臺北市,北投區,15,201801,2018-01-01
2018,1,2018-01-01,桃園市,桃園區,11,201801,2018-01-01
2018,1,2018-01-01,桃園市,中壢區,7,201801,2018-01-01
2018,1,2018-01-01,桃園市,平鎮區,6,201801,2018-01-01
2018,1,2018-01-01,桃園市,八德區,1,201801,2018-01-01
2018,1,2018-01-01,桃園市,楊梅區,12,201801,2018-01-01
2018,1,2018-01-01,桃園市,蘆竹區,3,201801,2018-01-01
2018,1,2018-01-01,桃園市,龜山區,1,201801,2018-01-01
