年,季,日期標準,資料期別,縣市,鄉鎮市區,住宅買賣移轉筆數,年月KEY
2018,1,2018-01-01,107Q1,新北市,板橋區,781,201801
2018,1,2018-01-01,107Q1,新北市,三重區,566,201801
2018,1,2018-01-01,107Q1,新北市,中和區,539,201801
2018,1,2018-01-01,107Q1,新北市,永和區,277,201801
2018,1,2018-01-01,107Q1,新北市,新莊區,465,201801
2018,1,2018-01-01,107Q1,新北市,新店區,555,201801
2018,1,2018-01-01,107Q1,新北市,樹林區,215,201801
2018,1,2018-01-01,107Q1,新北市,鶯歌區,105,201801
2018,1,2018-01-01,107Q1,新北市,三峽區,166,201801
2018,1,2018-01-01,107Q1,新北市,淡水區,1405,201801
2018,1,2018-01-01,107Q1,新北市,汐止區,494,201801
2018,1,2018-01-01,107Q1,新北市,瑞芳區,41,201801
2018,1,2018-01-01,107Q1,新北市,土城區,345,201801
2018,1,2018-01-01,107Q1,新北市,蘆洲區,290,201801
2018,1,2018-01-01,107Q1,新北市,五股區,87,201801
2018,1,2018-01-01,107Q1,新北市,泰山區,93,201801
2018,1,2018-01-01,107Q1,新北市,林口區,154,201801
2018,1,2018-01-01,107Q1,新北市,深坑區,36,201801
2018,1,2018-01-01,107Q1,新北市,石碇區,2,201801
2018,1,2018-01-01,107Q1,新北市,三芝區,71,201801
2018,1,2018-01-01,107Q1,新北市,石門區,2,201801
2018,1,2018-01-01,107Q1,新北市,八里區,93,201801
2018,1,2018-01-01,107Q1,新北市,雙溪區,2,201801
2018,1,2018-01-01,107Q1,新北市,貢寮區,3,201801
2018,1,2018-01-01,107Q1,新北市,金山區,29,201801
2018,1,2018-01-01,107Q1,新北市,萬里區,28,201801
2018,1,2018-01-01,107Q1,新北市,烏來區,2,201801
2018,1,2018-01-01,107Q1,臺北市,松山區,225,201801
2018,1,2018-01-01,107Q1,臺北市,信義區,265,201801
2018,1,2018-01-01,107Q1,臺北市,大安區,394,201801
2018,1,2018-01-01,107Q1,臺北市,中山區,434,201801
2018,1,2018-01-01,107Q1,臺北市,中正區,169,201801
2018,1,2018-01-01,107Q1,臺北市,大同區,145,201801
2018,1,2018-01-01,107Q1,臺北市,萬華區,232,201801
2018,1,2018-01-01,107Q1,臺北市,文山區,367,201801
2018,1,2018-01-01,107Q1,臺北市,南港區,129,201801
2018,1,2018-01-01,107Q1,臺北市,內湖區,477,201801
2018,1,2018-01-01,107Q1,臺北市,士林區,339,201801
2018,1,2018-01-01,107Q1,臺北市,北投區,378,201801
2018,1,2018-01-01,107Q1,桃園市,桃園區,507,201801
2018,1,2018-01-01,107Q1,桃園市,中壢區,231,201801
2018,1,2018-01-01,107Q1,桃園市,平鎮區,101,201801
2018,1,2018-01-01,107Q1,桃園市,八德區,102,201801
2018,1,2018-01-01,107Q1,桃園市,楊梅區,122,201801
2018,1,2018-01-01,107Q1,桃園市,大溪區,36,201801
2018,1,2018-01-01,107Q1,桃園市,蘆竹區,124,201801
2018,1,2018-01-01,107Q1,桃園市,大園區,59,201801
2018,1,2018-01-01,107Q1,桃園市,龜山區,104,201801
2018,1,2018-01-01,107Q1,桃園市,龍潭區,101,201801
2018,1,2018-01-01,107Q1,桃園市,新屋區,13,201801
2018,1,2018-01-01,107Q1,桃園市,觀音區,22,201801
2018,1,2018-01-01,107Q1,桃園市,復興區,1,201801
2018,1,2018-01-01,107Q1,臺中市,中區,63,201801
2018,1,2018-01-01,107Q1,臺中市,東區,61,201801
2018,1,2018-01-01,107Q1,臺中市,南區,190,201801
2018,1,2018-01-01,107Q1,臺中市,西區,146,201801
2018,1,2018-01-01,107Q1,臺中市,北區,376,201801
2018,1,2018-01-01,107Q1,臺中市,西屯區,646,201801
2018,1,2018-01-01,107Q1,臺中市,南屯區,318,201801
2018,1,2018-01-01,107Q1,臺中市,北屯區,520,201801
2018,1,2018-01-01,107Q1,臺中市,豐原區,159,201801
2018,1,2018-01-01,107Q1,臺中市,東勢區,23,201801
2018,1,2018-01-01,107Q1,臺中市,大甲區,39,201801
2018,1,2018-01-01,107Q1,臺中市,清水區,38,201801
2018,1,2018-01-01,107Q1,臺中市,沙鹿區,75,201801
2018,1,2018-01-01,107Q1,臺中市,梧棲區,40,201801
2018,1,2018-01-01,107Q1,臺中市,后里區,41,201801
2018,1,2018-01-01,107Q1,臺中市,神岡區,17,201801
2018,1,2018-01-01,107Q1,臺中市,潭子區,69,201801
2018,1,2018-01-01,107Q1,臺中市,大雅區,92,201801
2018,1,2018-01-01,107Q1,臺中市,新社區,3,201801
2018,1,2018-01-01,107Q1,臺中市,石岡區,5,201801
2018,1,2018-01-01,107Q1,臺中市,外埔區,8,201801
2018,1,2018-01-01,107Q1,臺中市,大安區,4,201801
2018,1,2018-01-01,107Q1,臺中市,烏日區,23,201801
2018,1,2018-01-01,107Q1,臺中市,大肚區,54,201801
2018,1,2018-01-01,107Q1,臺中市,龍井區,73,201801
2018,1,2018-01-01,107Q1,臺中市,霧峰區,34,201801
