年月,年,月,家用產品,銷售額_千元,年月KEY
2018-01-01,2018,1,家用電扇,221407.0,201801
2018-01-01,2018,1,電冰箱,554754.0,201801
2018-01-01,2018,1,排油煙機,246553.0,201801
2018-01-01,2018,1,熱水器,427079.0,201801
2018-01-01,2018,1,瓦斯爐,221407.0,201801
2018-01-01,2018,1,其他家用電器及零組件,1160355.0,201801
2018-02-01,2018,2,家用電扇,145624.0,201802
2018-02-01,2018,2,電冰箱,313407.0,201802
2018-02-01,2018,2,排油煙機,177255.0,201802
2018-02-01,2018,2,熱水器,313353.0,201802
2018-02-01,2018,2,瓦斯爐,154936.0,201802
2018-02-01,2018,2,其他家用電器及零組件,766176.0,201802
2018-03-01,2018,3,家用電扇,314691.0,201803
2018-03-01,2018,3,電冰箱,368054.0,201803
2018-03-01,2018,3,排油煙機,180039.0,201803
2018-03-01,2018,3,熱水器,336666.0,201803
2018-03-01,2018,3,瓦斯爐,200280.0,201803
2018-03-01,2018,3,其他家用電器及零組件,973159.0,201803
2018-04-01,2018,4,家用電扇,337489.0,201804
2018-04-01,2018,4,電冰箱,432677.0,201804
2018-04-01,2018,4,排油煙機,174846.0,201804
2018-04-01,2018,4,熱水器,278555.0,201804
2018-04-01,2018,4,瓦斯爐,171975.0,201804
2018-04-01,2018,4,其他家用電器及零組件,1005778.0,201804
2018-05-01,2018,5,家用電扇,403688.0,201805
2018-05-01,2018,5,電冰箱,502524.0,201805
2018-05-01,2018,5,排油煙機,180204.0,201805
2018-05-01,2018,5,熱水器,251337.0,201805
2018-05-01,2018,5,瓦斯爐,208238.0,201805
2018-05-01,2018,5,其他家用電器及零組件,1060741.0,201805
2018-06-01,2018,6,家用電扇,349978.0,201806
2018-06-01,2018,6,電冰箱,594011.0,201806
2018-06-01,2018,6,排油煙機,201869.0,201806
2018-06-01,2018,6,熱水器,253353.0,201806
2018-06-01,2018,6,瓦斯爐,179814.0,201806
2018-06-01,2018,6,其他家用電器及零組件,866221.0,201806
2018-07-01,2018,7,家用電扇,279730.0,201807
2018-07-01,2018,7,電冰箱,548480.0,201807
2018-07-01,2018,7,排油煙機,215331.0,201807
2018-07-01,2018,7,熱水器,270252.0,201807
2018-07-01,2018,7,瓦斯爐,192403.0,201807
2018-07-01,2018,7,其他家用電器及零組件,1036374.0,201807
2018-08-01,2018,8,家用電扇,256456.0,201808
2018-08-01,2018,8,電冰箱,490784.0,201808
2018-08-01,2018,8,排油煙機,229649.0,201808
2018-08-01,2018,8,熱水器,282830.0,201808
2018-08-01,2018,8,瓦斯爐,216679.0,201808
2018-08-01,2018,8,其他家用電器及零組件,1022849.0,201808
2018-09-01,2018,9,家用電扇,191131.0,201809
2018-09-01,2018,9,電冰箱,415825.0,201809
2018-09-01,2018,9,排油煙機,194497.0,201809
2018-09-01,2018,9,熱水器,254489.0,201809
2018-09-01,2018,9,瓦斯爐,172423.0,201809
2018-09-01,2018,9,其他家用電器及零組件,987927.0,201809
2018-10-01,2018,10,家用電扇,174523.0,201810
2018-10-01,2018,10,電冰箱,449559.0,201810
2018-10-01,2018,10,排油煙機,230940.0,201810
2018-10-01,2018,10,熱水器,334971.0,201810
2018-10-01,2018,10,瓦斯爐,170936.0,201810
2018-10-01,2018,10,其他家用電器及零組件,1204659.0,201810
2018-11-01,2018,11,家用電扇,144363.0,201811
2018-11-01,2018,11,電冰箱,485545.0,201811
2018-11-01,2018,11,排油煙機,241605.0,201811
2018-11-01,2018,11,熱水器,380363.0,201811
2018-11-01,2018,11,瓦斯爐,197610.0,201811
2018-11-01,2018,11,其他家用電器及零組件,1129990.0,201811
2018-12-01,2018,12,家用電扇,179922.0,201812
2018-12-01,2018,12,電冰箱,435357.0,201812
2018-12-01,2018,12,排油煙機,236168.0,201812
2018-12-01,2018,12,熱水器,374921.0,201812
2018-12-01,2018,12,瓦斯爐,228988.0,201812
2018-12-01,2018,12,其他家用電器及零組件,1170368.0,201812
2019-01-01,2019,1,家用電扇,274946.0,201901
2019-01-01,2019,1,電冰箱,517300.0,201901
2019-01-01,2019,1,排油煙機,292074.0,201901
2019-01-01,2019,1,熱水器,406766.0,201901
2019-01-01,2019,1,瓦斯爐,270745.0,201901
2019-01-01,2019,1,其他家用電器及零組件,1331479.0,201901
2019-02-01,2019,2,家用電扇,171013.0,201902
2019-02-01,2019,2,電冰箱,252977.0,201902
