股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差幅度,成交筆數
中砂,1560,2018-01-02,728400.0,62268451.0,87.0,87.0,85.0,85.3,-1.7,542.0
中砂,1560,2018-01-03,865756.0,74231459.0,85.7,86.8,84.8,85.4,0.1,649.0
中砂,1560,2018-01-04,887604.0,75516957.0,85.6,86.3,84.7,84.7,-0.7,636.0
中砂,1560,2018-01-05,463357.0,39396536.0,85.5,85.5,84.3,84.7,0,364.0
中砂,1560,2018-01-08,592100.0,49859680.0,84.8,85.2,83.5,83.6,-1.1,394.0
中砂,1560,2018-01-09,482345.0,40242500.0,83.2,84.0,83.2,83.2,-0.4,378.0
中砂,1560,2018-01-10,491495.0,40917336.0,83.1,84.4,82.7,82.7,-0.5,396.0
中砂,1560,2018-01-11,611100.0,51081366.0,82.8,84.7,82.7,83.7,1,525.0
中砂,1560,2018-01-12,396575.0,33442300.0,83.9,84.6,83.9,84.2,0.5,367.0
中砂,1560,2018-01-15,442075.0,37060477.0,84.3,84.7,83.2,83.7,-0.5,338.0
中砂,1560,2018-01-16,1100623.0,93284254.0,84.5,86.0,84.0,84.2,0.5,855.0
中砂,1560,2018-01-17,438735.0,36662599.0,83.8,84.2,83.3,83.4,-0.8,342.0
中砂,1560,2018-01-18,774929.0,64395807.0,84.0,84.0,82.8,82.9,-0.5,624.0
中砂,1560,2018-01-19,523700.0,43233049.0,82.9,83.4,82.4,82.4,-0.5,414.0
中砂,1560,2018-01-22,737167.0,61716242.0,82.5,84.5,82.3,84.1,1.7,588.0
中砂,1560,2018-01-23,460089.0,38469955.0,84.1,84.3,83.1,83.8,-0.3,413.0
中砂,1560,2018-01-24,338328.0,28275121.0,84.0,84.1,82.9,83.5,-0.3,275.0
中砂,1560,2018-01-25,334550.0,27857538.0,83.5,84.2,82.5,82.5,-1,281.0
中砂,1560,2018-01-26,309479.0,25551315.0,82.9,82.9,82.5,82.5,0,247.0
中砂,1560,2018-01-29,396224.0,32921735.0,83.0,83.7,82.5,83.7,1.2,285.0
中砂,1560,2018-01-30,1060384.0,87351231.0,84.0,84.1,81.5,81.6,-2.1,832.0
中砂,1560,2018-01-31,632494.0,51505310.0,82.4,82.4,80.8,81.2,-0.4,475.0
中砂,1560,2018-02-01,586157.0,48266174.0,81.7,83.4,81.2,82.0,0.8,412.0
中砂,1560,2018-02-02,1074420.0,89110869.0,82.7,83.9,81.8,83.9,1.9,689.0
中砂,1560,2018-02-05,862211.0,70813143.0,83.0,83.0,81.2,82.1,-1.8,601.0
中砂,1560,2018-02-06,1696550.0,132465942.0,79.8,80.3,76.2,77.0,-5.1,1158.0
中砂,1560,2018-02-07,1127860.0,88637053.0,78.9,79.4,77.7,78.8,1.8,693.0
中砂,1560,2018-02-08,425134.0,33241665.0,78.8,79.0,77.7,78.6,-0.2,324.0
中砂,1560,2018-02-09,953662.0,72247874.0,74.7,77.6,74.5,76.9,-1.7,732.0
中砂,1560,2018-02-12,468114.0,36113069.0,77.3,77.8,76.5,77.3,0.4,350.0
中砂,1560,2018-02-21,689514.0,54694890.0,78.9,80.5,78.2,79.7,2.4,490.0
中砂,1560,2018-02-22,611185.0,49276574.0,80.5,81.6,80.1,80.2,0.5,451.0
中砂,1560,2018-02-23,354207.0,28467842.0,80.7,81.0,80.0,80.0,-0.2,288.0
中砂,1560,2018-02-26,846308.0,69049940.0,80.5,82.5,80.4,81.3,1.3,635.0
中砂,1560,2018-02-27,933100.0,75922300.0,82.3,82.8,80.4,80.6,-0.7,607.0
中砂,1560,2018-03-01,942457.0,75209605.0,79.6,80.4,79.3,80.1,-0.5,681.0
中砂,1560,2018-03-02,598010.0,47219200.0,78.5,79.4,78.5,79.1,-1,421.0
中砂,1560,2018-03-05,515016.0,40465078.0,79.2,79.7,78.2,78.4,-0.7,360.0
中砂,1560,2018-03-06,341515.0,26923433.0,78.7,79.2,78.4,79.0,0.6,287.0
中砂,1560,2018-03-07,443000.0,34830600.0,78.8,79.4,78.0,78.1,-0.9,372.0
中砂,1560,2018-03-08,197349.0,15489695.0,78.8,78.8,78.3,78.3,0.2,155.0
中砂,1560,2018-03-09,300116.0,23538122.0,78.6,78.9,78.2,78.5,0.2,228.0
中砂,1560,2018-03-12,279468.0,22044475.0,78.7,79.2,78.7,78.7,0.2,226.0
中砂,1560,2018-03-13,545156.0,43655611.0,79.6,80.8,79.2,79.5,0.8,443.0
中砂,1560,2018-03-14,439100.0,34920500.0,79.6,80.2,78.9,80.2,0.7,375.0
中砂,1560,2018-03-15,652766.0,52670094.0,80.9,81.2,80.4,80.5,0.3,515.0
中砂,1560,2018-03-16,678600.0,54892138.0,80.7,81.4,80.5,80.6,0.1,474.0
中砂,1560,2018-03-19,261207.0,20983942.0,80.6,81.2,80.0,80.0,-0.6,207.0
中砂,1560,2018-03-20,459010.0,36164500.0,79.2,79.4,78.4,78.9,-1.1,391.0
中砂,1560,2018-03-21,699415.0,54765752.0,78.6,79.1,78.0,78.2,-0.7,476.0
中砂,1560,2018-03-22,687076.0,53488128.0,78.2,78.6,77.4,77.5,-0.7,507.0
中砂,1560,2018-03-23,652020.0,49469520.0,75.6,76.6,75.2,75.8,-1.7,533.0
中砂,1560,2018-03-26,359234.0,27311886.0,75.8,76.4,75.8,76.4,0.6,268.0
中砂,1560,2018-03-27,429159.0,32945958.0,77.0,77.2,76.5,76.8,0.4,304.0
中砂,1560,2018-03-28,553307.0,41975392.0,76.8,76.8,75.5,75.5,-1.3,455.0
中砂,1560,2018-03-29,541033.0,40656793.0,75.6,76.0,74.5,75.3,-0.2,421.0
中砂,1560,2018-03-30,254100.0,19245610.0,75.7,76.1,75.4,75.6,0.3,228.0
中砂,1560,2018-03-31,890554.0,69031812.0,77.0,78.2,76.2,78.0,2.4,594.0
中砂,1560,2018-04-02,334000.0,25963000.0,78.2,78.2,77.4,77.5,-0.5,277.0
中砂,1560,2018-04-03,1330795.0,104962906.0,78.5,80.1,78.3,78.5,1,1034.0
中砂,1560,2018-04-09,556474.0,43900108.0,79.6,79.6,78.5,78.5,0,454.0
中砂,1560,2018-04-10,371355.0,29059036.0,78.9,78.9,77.8,78.3,-0.2,268.0
中砂,1560,2018-04-11,469259.0,36898857.0,79.0,79.2,78.3,78.3,0,291.0
中砂,1560,2018-04-12,1026560.0,81466500.0,79.1,80.0,78.6,79.8,1.5,835.0
