西元年,區域,屬性,耗水量,年月KEY,日期格式
1995,北部,工業自備水源耗水量,427.99,199501,1995-01-01
1995,北部,公共給水耗水量,139.02,199501,1995-01-01
1995,中部,工業自備水源耗水量,369.16,199501,1995-01-01
1995,中部,公共給水耗水量,23.88,199501,1995-01-01
1995,南部,工業自備水源耗水量,379.92,199501,1995-01-01
1995,南部,公共給水耗水量,228.07,199501,1995-01-01
1995,東部,工業自備水源耗水量,56.62,199501,1995-01-01
1995,東部,公共給水耗水量,1.65,199501,1995-01-01
1996,北部,工業自備水源耗水量,474.44,199601,1996-01-01
1996,北部,公共給水耗水量,150.91,199601,1996-01-01
1996,中部,工業自備水源耗水量,400.22,199601,1996-01-01
1996,中部,公共給水耗水量,26.13,199601,1996-01-01
1996,南部,工業自備水源耗水量,425.43,199601,1996-01-01
1996,南部,公共給水耗水量,237.66,199601,1996-01-01
1996,東部,工業自備水源耗水量,48.92,199601,1996-01-01
1996,東部,公共給水耗水量,1.63,199601,1996-01-01
1997,北部,工業自備水源耗水量,356.28,199701,1997-01-01
1997,北部,公共給水耗水量,156.22,199701,1997-01-01
1997,中部,工業自備水源耗水量,319.84,199701,1997-01-01
1997,中部,公共給水耗水量,28.33,199701,1997-01-01
1997,南部,工業自備水源耗水量,473.9,199701,1997-01-01
1997,南部,公共給水耗水量,225.69,199701,1997-01-01
1997,東部,工業自備水源耗水量,50.0,199701,1997-01-01
1997,東部,公共給水耗水量,3.4,199701,1997-01-01
1998,北部,工業自備水源耗水量,378.27,199801,1998-01-01
1998,北部,公共給水耗水量,146.18,199801,1998-01-01
1998,中部,工業自備水源耗水量,359.42,199801,1998-01-01
1998,中部,公共給水耗水量,32.1,199801,1998-01-01
1998,南部,工業自備水源耗水量,471.18,199801,1998-01-01
1998,南部,公共給水耗水量,258.73,199801,1998-01-01
1998,東部,工業自備水源耗水量,53.87,199801,1998-01-01
1998,東部,公共給水耗水量,2.12,199801,1998-01-01
1999,北部,工業自備水源耗水量,375.06,199901,1999-01-01
1999,北部,公共給水耗水量,158.21,199901,1999-01-01
1999,北部,工業自備水源耗水量,375.06,199901,1999-01-01
1999,北部,公共給水耗水量,158.21,199901,1999-01-01
1999,中部,工業自備水源耗水量,367.06,199901,1999-01-01
1999,中部,公共給水耗水量,38.0,199901,1999-01-01
1999,南部,工業自備水源耗水量,453.86,199901,1999-01-01
1999,南部,公共給水耗水量,270.65,199901,1999-01-01
1999,南部,工業自備水源耗水量,453.89,199901,1999-01-01
1999,南部,公共給水耗水量,270.65,199901,1999-01-01
1999,東部,工業自備水源耗水量,57.64,199901,1999-01-01
1999,東部,公共給水耗水量,2.03,199901,1999-01-01
2000,北部,工業自備水源耗水量,455.6,200001,2000-01-01
2000,北部,公共給水耗水量,192.2,200001,2000-01-01
2000,中部,工業自備水源耗水量,529.1,200001,2000-01-01
2000,中部,公共給水耗水量,43.5,200001,2000-01-01
2000,南部,工業自備水源耗水量,280.0,200001,2000-01-01
2000,南部,公共給水耗水量,308.5,200001,2000-01-01
2000,東部,工業自備水源耗水量,58.8,200001,2000-01-01
2000,東部,公共給水耗水量,2.2,200001,2000-01-01
2001,北部,工業自備水源耗水量,438.31,200101,2001-01-01
2001,北部,公共給水耗水量,191.35,200101,2001-01-01
2001,中部,工業自備水源耗水量,459.28,200101,2001-01-01
2001,中部,公共給水耗水量,43.38,200101,2001-01-01
2001,南部,工業自備水源耗水量,252.45,200101,2001-01-01
2001,南部,公共給水耗水量,296.44,200101,2001-01-01
2001,東部,工業自備水源耗水量,57.03,200101,2001-01-01
2001,東部,公共給水耗水量,1.56,200101,2001-01-01
2001,北部,工業自備水源耗水量,438.31,200101,2001-01-01
2001,北部,公共給水耗水量,191.35,200101,2001-01-01
2001,中部,工業自備水源耗水量,459.28,200101,2001-01-01
2001,中部,公共給水耗水量,43.38,200101,2001-01-01
2001,南部,工業自備水源耗水量,252.45,200101,2001-01-01
2001,南部,公共給水耗水量,296.44,200101,2001-01-01
2001,東部,工業自備水源耗水量,57.03,200101,2001-01-01
2001,東部,公共給水耗水量,1.56,200101,2001-01-01
2002,北部,工業自備水源耗水量,443.42,200201,2002-01-01
2002,北部,公共給水耗水量,186.38,200201,2002-01-01
2002,中部,工業自備水源耗水量,468.72,200201,2002-01-01
2002,中部,公共給水耗水量,42.79,200201,2002-01-01
2002,南部,工業自備水源耗水量,258.92,200201,2002-01-01
2002,南部,公共給水耗水量,307.38,200201,2002-01-01
2002,東部,工業自備水源耗水量,55.7,200201,2002-01-01
2002,東部,公共給水耗水量,2.24,200201,2002-01-01
2003,北部,工業自備水源耗水量,282.21,200301,2003-01-01
2003,北部,公共給水耗水量,216.0,200301,2003-01-01
2003,中部,工業自備水源耗水量,459.81,200301,2003-01-01
2003,中部,公共給水耗水量,49.8,200301,2003-01-01
2003,南部,工業自備水源耗水量,242.96,200301,2003-01-01
2003,南部,公共給水耗水量,298.7,200301,2003-01-01
2003,東部,工業自備水源耗水量,56.41,200301,2003-01-01
2003,東部,公共給水耗水量,2.2,200301,2003-01-01
2004,北部,工業自備水源耗水量,298.3,200401,2004-01-01
2004,北部,公共給水耗水量,247.8,200401,2004-01-01
2004,中部,工業自備水源耗水量,470.4,200401,2004-01-01
2004,中部,公共給水耗水量,56.5,200401,2004-01-01
2004,南部,工業自備水源耗水量,225.98,200401,2004-01-01
2004,南部,公共給水耗水量,300.4,200401,2004-01-01
2004,東部,工業自備水源耗水量,52.93,200401,2004-01-01
2004,東部,公共給水耗水量,2.0,200401,2004-01-01
2005,北部,工業自備水源耗水量,210.31,200501,2005-01-01
2005,北部,公共給水耗水量,253.0,200501,2005-01-01
2005,中部,工業自備水源耗水量,442.11,200501,2005-01-01
2005,中部,公共給水耗水量,61.0,200501,2005-01-01
2005,南部,工業自備水源耗水量,203.32,200501,2005-01-01
