年月,年,月,景氣對策信號_分,景氣狀態,年月KEY
2018-01-01,2018,1,20,轉向低迷,201801
2018-02-01,2018,2,24,穩定,201802
2018-03-01,2018,3,23,穩定,201803
2018-04-01,2018,4,26,穩定,201804
2018-05-01,2018,5,29,穩定,201805
2018-06-01,2018,6,22,轉向低迷,201806
2018-07-01,2018,7,26,穩定,201807
2018-08-01,2018,8,24,穩定,201808
2018-09-01,2018,9,22,轉向低迷,201809
2018-10-01,2018,10,22,轉向低迷,201810
2018-11-01,2018,11,17,轉向低迷,201811
2018-12-01,2018,12,16,低迷,201812
2019-01-01,2019,1,20,轉向低迷,201901
2019-02-01,2019,2,17,轉向低迷,201902
2019-03-01,2019,3,20,轉向低迷,201903
2019-04-01,2019,4,21,轉向低迷,201904
2019-05-01,2019,5,18,轉向低迷,201905
2019-06-01,2019,6,21,轉向低迷,201906
2019-07-01,2019,7,22,轉向低迷,201907
2019-08-01,2019,8,20,轉向低迷,201908
2019-09-01,2019,9,19,轉向低迷,201909
2019-10-01,2019,10,19,轉向低迷,201910
2019-11-01,2019,11,24,穩定,201911
2019-12-01,2019,12,27,穩定,201912
2020-01-01,2020,1,25,穩定,202001
2020-02-01,2020,2,24,穩定,202002
2020-03-01,2020,3,20,轉向低迷,202003
2020-04-01,2020,4,19,轉向低迷,202004
2020-05-01,2020,5,19,轉向低迷,202005
2020-06-01,2020,6,19,轉向低迷,202006
2020-07-01,2020,7,21,轉向低迷,202007
2020-08-01,2020,8,26,穩定,202008
2020-09-01,2020,9,27,穩定,202009
2020-10-01,2020,10,28,穩定,202010
2020-11-01,2020,11,30,穩定,202011
2020-12-01,2020,12,34,轉向熱絡,202012
2021-01-01,2021,1,37,轉向熱絡,202101
2021-02-01,2021,2,40,熱絡,202102
2021-03-01,2021,3,40,熱絡,202103
2021-04-01,2021,4,41,熱絡,202104
2021-05-01,2021,5,41,熱絡,202105
2021-06-01,2021,6,40,熱絡,202106
2021-07-01,2021,7,38,熱絡,202107
2021-08-01,2021,8,39,熱絡,202108
2021-09-01,2021,9,38,熱絡,202109
2021-10-01,2021,10,39,熱絡,202110
2021-11-01,2021,11,37,轉向熱絡,202111
2021-12-01,2021,12,38,熱絡,202112
2022-01-01,2022,1,36,轉向熱絡,202201
2022-02-01,2022,2,34,轉向熱絡,202202
2022-03-01,2022,3,31,穩定,202203
2022-04-01,2022,4,28,穩定,202204
2022-05-01,2022,5,28,穩定,202205
2022-06-01,2022,6,27,穩定,202206
2022-07-01,2022,7,24,穩定,202207
2022-08-01,2022,8,23,穩定,202208
2022-09-01,2022,9,17,轉向低迷,202209
2022-10-01,2022,10,18,轉向低迷,202210
2022-11-01,2022,11,12,低迷,202211
2022-12-01,2022,12,12,低迷,202212
2023-01-01,2023,1,11,低迷,202301
2023-02-01,2023,2,10,低迷,202302
2023-03-01,2023,3,11,低迷,202303
2023-04-01,2023,4,11,低迷,202304
2023-05-01,2023,5,12,低迷,202305
2023-06-01,2023,6,13,低迷,202306
2023-07-01,2023,7,15,低迷,202307
2023-08-01,2023,8,15,低迷,202308
2023-09-01,2023,9,17,轉向低迷,202309
2023-10-01,2023,10,16,低迷,202310
2023-11-01,2023,11,20,轉向低迷,202311
2023-12-01,2023,12,22,轉向低迷,202312
2024-01-01,2024,1,27,穩定,202401
2024-02-01,2024,2,29,穩定,202402
2024-03-01,2024,3,31,穩定,202403
2024-04-01,2024,4,35,轉向熱絡,202404
2024-05-01,2024,5,36,轉向熱絡,202405
2024-06-01,2024,6,38,熱絡,202406
2024-07-01,2024,7,35,轉向熱絡,202407
2024-08-01,2024,8,39,熱絡,202408
2024-09-01,2024,9,34,轉向熱絡,202409
2024-10-01,2024,10,32,轉向熱絡,202410
2024-11-01,2024,11,34,轉向熱絡,202411
2024-12-01,2024,12,38,熱絡,202412
2025-01-01,2025,1,35,轉向熱絡,202501
2025-02-01,2025,2,37,轉向熱絡,202502
2025-03-01,2025,3,35,轉向熱絡,202503
2025-04-01,2025,4,33,轉向熱絡,202504
2025-05-01,2025,5,31,穩定,202505
2025-06-01,2025,6,29,穩定,202506
2025-07-01,2025,7,29,穩定,202507
2025-08-01,2025,8,31,穩定,202508
2025-09-01,2025,9,34,轉向熱絡,202509
2025-10-01,2025,10,35,轉向熱絡,202510
2025-11-01,2025,11,37,轉向熱絡,202511
2025-12-01,2025,12,38,熱絡,202512
2026-01-01,2026,1,39,熱絡,202601
