年月,年,月,行業別,用電量,年月KEY
2018-01-01,2018,1,全國用電量,20695282.0,201801
2018-01-01,2018,1,工業用電,12189232.0,201801
2018-01-01,2018,1,紡織成衣及服飾品製造業,514825.0,201801
2018-01-01,2018,1,紙漿、紙及紙製品製造業,303909.3125,201801
2018-01-01,2018,1,化學材料及肥料製造業,2694312.5,201801
2018-01-01,2018,1,塑膠製品製造業,449108.59375,201801
2018-01-01,2018,1,非金屬礦物製品製造業,487544.6875,201801
2018-01-01,2018,1,基本金屬製造業,1615958.625,201801
2018-01-01,2018,1,金屬製品製造業,571833.3125,201801
2018-01-01,2018,1,電子產品及電力設備製造業,4097906.0,201801
2018-01-01,2018,1,住宅用電,3294707.0,201801
2018-01-01,2018,1,服務業用電,3404896.0,201801
2018-01-01,2018,1,運輸及倉儲業,179173.59375,201801
2018-01-01,2018,1,住宿及餐飲業,484323.1875,201801
2018-01-01,2018,1,出版影音及資通訊業,257298.59375,201801
2018-01-01,2018,1,金融及保險業,135553.296875,201801
2018-01-01,2018,1,不動產業,108009.6015625,201801
2018-01-01,2018,1,醫療保健及社會工作服務業,227018.296875,201801
2018-01-01,2018,1,藝術、娛樂及休閒服務業,82735.0,201801
2018-01-01,2018,1,運輸用電,119149.6015625,201801
2018-01-01,2018,1,公路,3267.60009765625,201801
2018-01-01,2018,1,鐵路,112812.6015625,201801
2018-01-01,2018,1,管線運輸,3069.199951171875,201801
2018-01-01,2018,1,能源部門自用,1475474.25,201801
2018-01-01,2018,1,農業部門,211823.5,201801
2018-02-01,2018,2,全國用電量,18072952.0,201802
2018-02-01,2018,2,工業用電,10414277.0,201802
2018-02-01,2018,2,紡織成衣及服飾品製造業,407642.0,201802
2018-02-01,2018,2,紙漿、紙及紙製品製造業,231149.796875,201802
2018-02-01,2018,2,化學材料及肥料製造業,2404035.0,201802
2018-02-01,2018,2,塑膠製品製造業,358132.6875,201802
2018-02-01,2018,2,非金屬礦物製品製造業,396853.40625,201802
2018-02-01,2018,2,基本金屬製造業,1338788.625,201802
2018-02-01,2018,2,金屬製品製造業,440378.0,201802
2018-02-01,2018,2,電子產品及電力設備製造業,3677472.25,201802
2018-02-01,2018,2,住宅用電,3188497.0,201802
2018-02-01,2018,2,服務業用電,2864713.25,201802
2018-02-01,2018,2,運輸及倉儲業,173901.09375,201802
2018-02-01,2018,2,住宿及餐飲業,424737.59375,201802
2018-02-01,2018,2,出版影音及資通訊業,225530.203125,201802
2018-02-01,2018,2,金融及保險業,109213.796875,201802
2018-02-01,2018,2,不動產業,91981.703125,201802
2018-02-01,2018,2,醫療保健及社會工作服務業,194350.0,201802
2018-02-01,2018,2,藝術、娛樂及休閒服務業,72603.703125,201802
2018-02-01,2018,2,運輸用電,111369.203125,201802
2018-02-01,2018,2,公路,3409.199951171875,201802
2018-02-01,2018,2,鐵路,104906.6015625,201802
2018-02-01,2018,2,管線運輸,3053.300048828125,201802
2018-02-01,2018,2,能源部門自用,1299205.25,201802
2018-02-01,2018,2,農業部門,194890.796875,201802
2018-03-01,2018,3,全國用電量,21128320.0,201803
2018-03-01,2018,3,工業用電,12296613.0,201803
2018-03-01,2018,3,紡織成衣及服飾品製造業,529188.0,201803
2018-03-01,2018,3,紙漿、紙及紙製品製造業,308082.5,201803
2018-03-01,2018,3,化學材料及肥料製造業,2699413.5,201803
2018-03-01,2018,3,塑膠製品製造業,454066.90625,201803
2018-03-01,2018,3,非金屬礦物製品製造業,466805.90625,201803
2018-03-01,2018,3,基本金屬製造業,1669028.875,201803
2018-03-01,2018,3,金屬製品製造業,569091.875,201803
2018-03-01,2018,3,電子產品及電力設備製造業,4133695.75,201803
2018-03-01,2018,3,住宅用電,3481564.25,201803
2018-03-01,2018,3,服務業用電,3496827.5,201803
2018-03-01,2018,3,運輸及倉儲業,203274.09375,201803
2018-03-01,2018,3,住宿及餐飲業,488097.3125,201803
2018-03-01,2018,3,出版影音及資通訊業,267489.6875,201803
2018-03-01,2018,3,金融及保險業,132967.0,201803
2018-03-01,2018,3,不動產業,109971.796875,201803
2018-03-01,2018,3,醫療保健及社會工作服務業,240261.796875,201803
2018-03-01,2018,3,藝術、娛樂及休閒服務業,86567.203125,201803
2018-03-01,2018,3,運輸用電,124614.296875,201803
2018-03-01,2018,3,公路,3605.300048828125,201803
2018-03-01,2018,3,鐵路,117856.296875,201803
2018-03-01,2018,3,管線運輸,3152.5,201803
2018-03-01,2018,3,能源部門自用,1508255.625,201803
2018-03-01,2018,3,農業部門,220444.296875,201803
2018-04-01,2018,4,全國用電量,20920022.0,201804
2018-04-01,2018,4,工業用電,12078346.0,201804
2018-04-01,2018,4,紡織成衣及服飾品製造業,506242.3125,201804
2018-04-01,2018,4,紙漿、紙及紙製品製造業,291959.1875,201804
2018-04-01,2018,4,化學材料及肥料製造業,2671474.5,201804
2018-04-01,2018,4,塑膠製品製造業,425190.5,201804
2018-04-01,2018,4,非金屬礦物製品製造業,472266.5,201804
2018-04-01,2018,4,基本金屬製造業,1597191.5,201804
2018-04-01,2018,4,金屬製品製造業,552064.3125,201804
2018-04-01,2018,4,電子產品及電力設備製造業,4148016.75,201804
2018-04-01,2018,4,住宅用電,3428327.5,201804
2018-04-01,2018,4,服務業用電,3536999.5,201804
2018-04-01,2018,4,運輸及倉儲業,213132.296875,201804
2018-04-01,2018,4,住宿及餐飲業,510210.1875,201804
2018-04-01,2018,4,出版影音及資通訊業,262739.90625,201804
2018-04-01,2018,4,金融及保險業,135074.90625,201804
2018-04-01,2018,4,不動產業,111458.0,201804
2018-04-01,2018,4,醫療保健及社會工作服務業,249766.796875,201804
2018-04-01,2018,4,藝術、娛樂及休閒服務業,92216.703125,201804
2018-04-01,2018,4,運輸用電,125915.8984375,201804
2018-04-01,2018,4,公路,3700.0,201804
2018-04-01,2018,4,鐵路,119137.3984375,201804
2018-04-01,2018,4,管線運輸,3078.39990234375,201804
2018-04-01,2018,4,能源部門自用,1520227.25,201804
2018-04-01,2018,4,農業部門,230206.09375,201804
2018-05-01,2018,5,全國用電量,22777484.0,201805
2018-05-01,2018,5,工業用電,13121115.0,201805
2018-05-01,2018,5,紡織成衣及服飾品製造業,546929.875,201805
2018-05-01,2018,5,紙漿、紙及紙製品製造業,308296.09375,201805
2018-05-01,2018,5,化學材料及肥料製造業,2844863.5,201805
2018-05-01,2018,5,塑膠製品製造業,478107.3125,201805
2018-05-01,2018,5,非金屬礦物製品製造業,503921.90625,201805
2018-05-01,2018,5,基本金屬製造業,1701429.25,201805
2018-05-01,2018,5,金屬製品製造業,606892.8125,201805
2018-05-01,2018,5,電子產品及電力設備製造業,4498935.5,201805
2018-05-01,2018,5,住宅用電,3424884.5,201805
2018-05-01,2018,5,服務業用電,4133524.5,201805
2018-05-01,2018,5,運輸及倉儲業,251428.703125,201805
2018-05-01,2018,5,住宿及餐飲業,597730.375,201805
2018-05-01,2018,5,出版影音及資通訊業,293807.59375,201805
2018-05-01,2018,5,金融及保險業,166320.5,201805
2018-05-01,2018,5,不動產業,131434.703125,201805
2018-05-01,2018,5,醫療保健及社會工作服務業,302371.0,201805
2018-05-01,2018,5,藝術、娛樂及休閒服務業,108163.3984375,201805
2018-05-01,2018,5,運輸用電,131200.09375,201805
2018-05-01,2018,5,公路,3791.0,201805
2018-05-01,2018,5,鐵路,124259.796875,201805
2018-05-01,2018,5,管線運輸,3149.199951171875,201805
2018-05-01,2018,5,能源部門自用,1717093.375,201805
2018-05-01,2018,5,農業部門,249664.703125,201805
2018-06-01,2018,6,全國用電量,22868182.0,201806
2018-06-01,2018,6,工業用電,12620900.0,201806
2018-06-01,2018,6,紡織成衣及服飾品製造業,528474.375,201806
2018-06-01,2018,6,紙漿、紙及紙製品製造業,307930.1875,201806
2018-06-01,2018,6,化學材料及肥料製造業,2654389.75,201806
2018-06-01,2018,6,塑膠製品製造業,466885.09375,201806
2018-06-01,2018,6,非金屬礦物製品製造業,476186.3125,201806
2018-06-01,2018,6,基本金屬製造業,1627284.375,201806
2018-06-01,2018,6,金屬製品製造業,601146.0,201806
2018-06-01,2018,6,電子產品及電力設備製造業,4351302.0,201806
2018-06-01,2018,6,住宅用電,3883662.25,201806
2018-06-01,2018,6,服務業用電,4280540.5,201806
2018-06-01,2018,6,運輸及倉儲業,259882.203125,201806
2018-06-01,2018,6,住宿及餐飲業,650794.375,201806
2018-06-01,2018,6,出版影音及資通訊業,288517.59375,201806
2018-06-01,2018,6,金融及保險業,172102.203125,201806
2018-06-01,2018,6,不動產業,136138.59375,201806
2018-06-01,2018,6,醫療保健及社會工作服務業,307707.90625,201806
