年,名稱,人口數,占總人口比率,年月KEY,日期格式
2026,新北市,4043220.0,17.37,202601,2026-01-01
2026,台北市,2434479.0,10.46,202601,2026-01-01
2026,桃園市,2355512.0,10.12,202601,2026-01-01
2026,台中市,2868409.0,12.32,202601,2026-01-01
2026,台南市,1851244.0,7.95,202601,2026-01-01
2026,高雄市,2715827.0,11.67,202601,2026-01-01
2026,宜蘭縣,448865.0,1.93,202601,2026-01-01
2026,新竹縣,597224.0,2.57,202601,2026-01-01
2026,苗栗縣,530591.0,2.28,202601,2026-01-01
2026,彰化縣,1208018.0,5.19,202601,2026-01-01
2026,南投縣,467487.0,2.01,202601,2026-01-01
2026,雲林縣,649652.0,2.79,202601,2026-01-01
2026,嘉義縣,472361.0,2.03,202601,2026-01-01
2026,屏東縣,781129.0,3.36,202601,2026-01-01
2026,台東縣,208092.0,0.89,202601,2026-01-01
2026,花蓮縣,312161.0,1.34,202601,2026-01-01
2026,澎湖縣,106669.0,0.46,202601,2026-01-01
2026,基隆市,359309.0,1.54,202601,2026-01-01
2026,新竹市,455961.0,1.96,202601,2026-01-01
2026,嘉義市,261529.0,1.12,202601,2026-01-01
2026,金門縣,138903.0,0.6,202601,2026-01-01
2026,連江縣,13631.0,0.06,202601,2026-01-01
2025,新北市,4044831.0,17.36,202501,2025-01-01
2025,台北市,2439507.0,10.47,202501,2025-01-01
2025,桃園市,2355106.0,10.11,202501,2025-01-01
2025,台中市,2868465.0,12.31,202501,2025-01-01
2025,台南市,1852477.0,7.95,202501,2025-01-01
2025,高雄市,2718545.0,11.67,202501,2025-01-01
2025,宜蘭縣,449336.0,1.93,202501,2025-01-01
2025,新竹縣,597235.0,2.56,202501,2025-01-01
2025,苗栗縣,531172.0,2.28,202501,2025-01-01
2025,彰化縣,1210206.0,5.19,202501,2025-01-01
2025,南投縣,467881.0,2.01,202501,2025-01-01
2025,雲林縣,650989.0,2.79,202501,2025-01-01
2025,嘉義縣,473181.0,2.03,202501,2025-01-01
2025,屏東縣,782256.0,3.36,202501,2025-01-01
2025,台東縣,208320.0,0.89,202501,2025-01-01
2025,花蓮縣,312807.0,1.34,202501,2025-01-01
2025,澎湖縣,106716.0,0.46,202501,2025-01-01
2025,基隆市,359836.0,1.54,202501,2025-01-01
2025,新竹市,455740.0,1.96,202501,2025-01-01
2025,嘉義市,261592.0,1.12,202501,2025-01-01
2025,金門縣,139313.0,0.6,202501,2025-01-01
2025,連江縣,13621.0,0.06,202501,2025-01-01
2024,新北市,4047001.0,17.29,202401,2024-01-01
2024,台北市,2490869.0,10.64,202401,2024-01-01
2024,桃園市,2338648.0,9.99,202401,2024-01-01
2024,台中市,2860601.0,12.22,202401,2024-01-01
2024,台南市,1858651.0,7.94,202401,2024-01-01
2024,高雄市,2731412.0,11.67,202401,2024-01-01
2024,宜蘭縣,449212.0,1.92,202401,2024-01-01
2024,新竹縣,594641.0,2.54,202401,2024-01-01
2024,苗栗縣,532854.0,2.28,202401,2024-01-01
2024,彰化縣,1225675.0,5.24,202401,2024-01-01
2024,南投縣,472299.0,2.02,202401,2024-01-01
2024,雲林縣,658427.0,2.81,202401,2024-01-01
2024,嘉義縣,478786.0,2.05,202401,2024-01-01
2024,屏東縣,789239.0,3.37,202401,2024-01-01
2024,台東縣,210219.0,0.9,202401,2024-01-01
2024,花蓮縣,315374.0,1.35,202401,2024-01-01
2024,澎湖縣,107901.0,0.46,202401,2024-01-01
2024,基隆市,361441.0,1.54,202401,2024-01-01
2024,新竹市,457242.0,1.95,202401,2024-01-01
2024,嘉義市,262177.0,1.12,202401,2024-01-01
2024,金門縣,143601.0,0.61,202401,2024-01-01
2024,連江縣,13950.0,0.06,202401,2024-01-01
2023,新北市,4041120.0,17.25,202301,2023-01-01
2023,台北市,2511886.0,10.73,202301,2023-01-01
2023,桃園市,2317445.0,9.89,202301,2023-01-01
2023,台中市,2845909.0,12.15,202301,2023-01-01
2023,台南市,1859946.0,7.94,202301,2023-01-01
2023,高雄市,2737941.0,11.69,202301,2023-01-01
2023,宜蘭縣,449890.0,1.92,202301,2023-01-01
2023,新竹縣,589289.0,2.52,202301,2023-01-01
2023,苗栗縣,534575.0,2.28,202301,2023-01-01
2023,彰化縣,1239048.0,5.29,202301,2023-01-01
2023,南投縣,477094.0,2.04,202301,2023-01-01
2023,雲林縣,659468.0,2.82,202301,2023-01-01
2023,嘉義縣,484560.0,2.07,202301,2023-01-01
2023,屏東縣,794997.0,3.39,202301,2023-01-01
2023,台東縣,211544.0,0.9,202301,2023-01-01
2023,花蓮縣,317489.0,1.36,202301,2023-01-01
2023,澎湖縣,107739.0,0.46,202301,2023-01-01
2023,基隆市,362255.0,1.55,202301,2023-01-01
2023,新竹市,456475.0,1.95,202301,2023-01-01
2023,嘉義市,263584.0,1.13,202301,2023-01-01
2023,金門縣,144149.0,0.62,202301,2023-01-01
2023,連江縣,14039.0,0.06,202301,2023-01-01
2022,新北市,3995551.0,17.17,202201,2022-01-01
2022,台北市,2480681.0,10.66,202201,2022-01-01
2022,桃園市,2281464.0,9.81,202201,2022-01-01
2022,台中市,2814459.0,12.1,202201,2022-01-01
2022,台南市,1852997.0,7.96,202201,2022-01-01
2022,高雄市,2728137.0,11.73,202201,2022-01-01
2022,宜蘭縣,449062.0,1.93,202201,2022-01-01
2022,新竹縣,580503.0,2.5,202201,2022-01-01
2022,苗栗縣,535132.0,2.3,202201,2022-01-01
2022,彰化縣,1245239.0,5.35,202201,2022-01-01
2022,南投縣,479595.0,2.06,202201,2022-01-01
2022,雲林縣,664092.0,2.85,202201,2022-01-01
2022,嘉義縣,488158.0,2.1,202201,2022-01-01
2022,屏東縣,798703.0,3.43,202201,2022-01-01
2022,台東縣,212551.0,0.91,202201,2022-01-01
2022,花蓮縣,318892.0,1.37,202201,2022-01-01
2022,澎湖縣,107223.0,0.46,202201,2022-01-01
2022,基隆市,361526.0,1.55,202201,2022-01-01
2022,新竹市,452473.0,1.94,202201,2022-01-01
2022,嘉義市,262924.0,1.13,202201,2022-01-01
2022,金門縣,141295.0,0.61,202201,2022-01-01
2022,連江縣,13983.0,0.06,202201,2022-01-01
2021,新北市,4008113.0,17.15,202101,2021-01-01
2021,台北市,2524393.0,10.8,202101,2021-01-01
2021,桃園市,2272391.0,9.72,202101,2021-01-01
2021,台中市,2813490.0,12.04,202101,2021-01-01
2021,台南市,1862059.0,7.97,202101,2021-01-01
2021,高雄市,2744691.0,11.74,202101,2021-01-01
2021,宜蘭縣,450692.0,1.93,202101,2021-01-01
2021,新竹縣,575580.0,2.46,202101,2021-01-01
2021,苗栗縣,538178.0,2.3,202101,2021-01-01
2021,彰化縣,1255330.0,5.37,202101,2021-01-01
2021,南投縣,484897.0,2.07,202101,2021-01-01
2021,雲林縣,670132.0,2.87,202101,2021-01-01
2021,嘉義縣,493316.0,2.11,202101,2021-01-01
2021,屏東縣,804440.0,3.44,202101,2021-01-01
2021,台東縣,213386.0,0.91,202101,2021-01-01
2021,花蓮縣,321358.0,1.37,202101,2021-01-01
2021,澎湖縣,106340.0,0.45,202101,2021-01-01
2021,基隆市,363977.0,1.56,202101,2021-01-01
2021,新竹市,452640.0,1.94,202101,2021-01-01
2021,嘉義市,264727.0,1.13,202101,2021-01-01
2021,金門縣,141539.0,0.61,202101,2021-01-01
2021,連江縣,13645.0,0.06,202101,2021-01-01
2020,新北市,4030954.0,17.11,202001,2020-01-01
2020,台北市,2602418.0,11.05,202001,2020-01-01
2020,桃園市,2268807.0,9.63,202001,2020-01-01
2020,台中市,2820787.0,11.97,202001,2020-01-01
2020,台南市,1874917.0,7.96,202001,2020-01-01
2020,高雄市,2765932.0,11.74,202001,2020-01-01
2020,宜蘭縣,453087.0,1.92,202001,2020-01-01
2020,新竹縣,570775.0,2.42,202001,2020-01-01
2020,苗栗縣,542590.0,2.3,202001,2020-01-01
2020,彰化縣,1266670.0,5.38,202001,2020-01-01
2020,南投縣,490832.0,2.08,202001,2020-01-01
2020,雲林縣,676873.0,2.87,202001,2020-01-01
2020,嘉義縣,499481.0,2.12,202001,2020-01-01
2020,屏東縣,812658.0,3.45,202001,2020-01-01
2020,台東縣,215261.0,0.91,202001,2020-01-01
2020,花蓮縣,324372.0,1.38,202001,2020-01-01
2020,澎湖縣,105952.0,0.45,202001,2020-01-01
2020,基隆市,367577.0,1.56,202001,2020-01-01
2020,新竹市,451412.0,1.92,202001,2020-01-01
2020,嘉義市,266005.0,1.13,202001,2020-01-01
2020,金門縣,140597.0,0.6,202001,2020-01-01
2020,連江縣,13279.0,0.06,202001,2020-01-01
2019,新北市,4018696.0,17.03,201901,2019-01-01
2019,台北市,2645041.0,11.21,201901,2019-01-01
2019,桃園市,2249037.0,9.53,201901,2019-01-01
2019,台中市,2815261.0,11.93,201901,2019-01-01
2019,台南市,1880906.0,7.97,201901,2019-01-01
2019,高雄市,2773198.0,11.75,201901,2019-01-01
2019,宜蘭縣,454178.0,1.92,201901,2019-01-01
2019,新竹縣,563933.0,2.39,201901,2019-01-01
2019,苗栗縣,545459.0,2.31,201901,2019-01-01
