年,路線方向,路段,交流道,縣市,進出口,週類別,交通輛數,年月KEY,日期格式
2018,國1南向,非主線資料,三義,苗栗縣,出口,週2-4,4562.0,201801,2018-01-01
2018,國1南向,非主線資料,三義,苗栗縣,進口,週2-4,3733.0,201801,2018-01-01
2018,國1北向,非主線資料,三義,苗栗縣,出口,週2-4,3811.0,201801,2018-01-01
2018,國1北向,非主線資料,三義,苗栗縣,進口,週2-4,5507.0,201801,2018-01-01
2018,國1南向,非主線資料,三義,苗栗縣,出口,週六,6234.0,201801,2018-01-01
2018,國1南向,非主線資料,三義,苗栗縣,進口,週六,4892.0,201801,2018-01-01
2018,國1北向,非主線資料,三義,苗栗縣,出口,週六,5271.0,201801,2018-01-01
2018,國1北向,非主線資料,三義,苗栗縣,進口,週六,5724.0,201801,2018-01-01
2018,國1南向,非主線資料,三義,苗栗縣,出口,週日,5375.0,201801,2018-01-01
2018,國1南向,非主線資料,三義,苗栗縣,進口,週日,5373.0,201801,2018-01-01
2018,國1北向,非主線資料,三義,苗栗縣,出口,週日,5528.0,201801,2018-01-01
2018,國1北向,非主線資料,三義,苗栗縣,進口,週日,6478.0,201801,2018-01-01
2018,國1南向,非主線資料,三重,新北市,出口,週2-4,22386.0,201801,2018-01-01
2018,國1南向,非主線資料,三重,新北市,進口,週2-4,13560.0,201801,2018-01-01
2018,國1北向,非主線資料,三重,新北市,出口,週2-4,13494.0,201801,2018-01-01
2018,國1北向,非主線資料,三重,新北市,進口,週2-4,25700.0,201801,2018-01-01
2018,國1南向,非主線資料,三重,新北市,出口,週六,21904.0,201801,2018-01-01
2018,國1南向,非主線資料,三重,新北市,進口,週六,15722.0,201801,2018-01-01
2018,國1北向,非主線資料,三重,新北市,出口,週六,14325.0,201801,2018-01-01
2018,國1北向,非主線資料,三重,新北市,進口,週六,24674.0,201801,2018-01-01
2018,國1南向,非主線資料,三重,新北市,出口,週日,20266.0,201801,2018-01-01
2018,國1南向,非主線資料,三重,新北市,進口,週日,14479.0,201801,2018-01-01
2018,國1北向,非主線資料,三重,新北市,出口,週日,13891.0,201801,2018-01-01
2018,國1北向,非主線資料,三重,新北市,進口,週日,21426.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,出口-1鶯歌,週2-4,6920.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,出口2-三峽,週2-4,7586.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,進口,週2-4,18885.0,201801,2018-01-01
2018,國3北向,非主線資料,三鶯,新北市,出口,週2-4,19618.0,201801,2018-01-01
2018,國3北向,非主線資料,三鶯,新北市,進口,週2-4,14792.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,出口-1鶯歌,週六,6667.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,出口2-三峽,週六,8349.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,進口,週六,19080.0,201801,2018-01-01
2018,國3北向,非主線資料,三鶯,新北市,出口,週六,19452.0,201801,2018-01-01
2018,國3北向,非主線資料,三鶯,新北市,進口,週六,14918.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,出口-1鶯歌,週日,6259.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,出口2-三峽,週日,8483.0,201801,2018-01-01
2018,國3南向,非主線資料,三鶯,新北市,進口,週日,18195.0,201801,2018-01-01
2018,國3北向,非主線資料,三鶯,新北市,出口,週日,19621.0,201801,2018-01-01
2018,國3北向,非主線資料,三鶯,新北市,進口,週日,14216.0,201801,2018-01-01
2018,國1高架北向,非主線資料,下塔悠,臺北市,出口,週2-4,9757.0,201801,2018-01-01
2018,國1高架北向,非主線資料,下塔悠,臺北市,出口,週六,6874.0,201801,2018-01-01
2018,國1高架北向,非主線資料,下塔悠,臺北市,出口,週日,6562.0,201801,2018-01-01
2018,國1南向,非主線資料,下營系統,雲林縣,出口,週2-4,2958.0,201801,2018-01-01
2018,國1南向,非主線資料,下營系統,雲林縣,進口,週2-4,6873.0,201801,2018-01-01
2018,國1北向,非主線資料,下營系統,雲林縣,出口,週2-4,6730.0,201801,2018-01-01
2018,國1北向,非主線資料,下營系統,雲林縣,進口,週2-4,2861.0,201801,2018-01-01
2018,國1南向,非主線資料,下營系統,雲林縣,出口,週六,3975.0,201801,2018-01-01
2018,國1南向,非主線資料,下營系統,雲林縣,進口,週六,8587.0,201801,2018-01-01
2018,國1北向,非主線資料,下營系統,雲林縣,出口,週六,8194.0,201801,2018-01-01
2018,國1北向,非主線資料,下營系統,雲林縣,進口,週六,3536.0,201801,2018-01-01
2018,國1南向,非主線資料,下營系統,雲林縣,出口,週日,4049.0,201801,2018-01-01
2018,國1南向,非主線資料,下營系統,雲林縣,進口,週日,8999.0,201801,2018-01-01
2018,國1北向,非主線資料,下營系統,雲林縣,出口,週日,8679.0,201801,2018-01-01
2018,國1北向,非主線資料,下營系統,雲林縣,進口,週日,4024.0,201801,2018-01-01
2018,國3南向,非主線資料,中和,新北市,出口,週2-4,25153.0,201801,2018-01-01
2018,國3南向,非主線資料,中和,新北市,進口,週2-4,35742.0,201801,2018-01-01
2018,國3北向,非主線資料,中和,新北市,出口,週2-4,33863.0,201801,2018-01-01
2018,國3北向,非主線資料,中和,新北市,進口,週2-4,23204.0,201801,2018-01-01
2018,國3南向,非主線資料,中和,新北市,出口,週六,23890.0,201801,2018-01-01
2018,國3南向,非主線資料,中和,新北市,進口,週六,37861.0,201801,2018-01-01
2018,國3北向,非主線資料,中和,新北市,出口,週六,36201.0,201801,2018-01-01
2018,國3北向,非主線資料,中和,新北市,進口,週六,23005.0,201801,2018-01-01
2018,國3南向,非主線資料,中和,新北市,出口,週日,22540.0,201801,2018-01-01
2018,國3南向,非主線資料,中和,新北市,進口,週日,34145.0,201801,2018-01-01
2018,國3北向,非主線資料,中和,新北市,出口,週日,35945.0,201801,2018-01-01
2018,國3北向,非主線資料,中和,新北市,進口,週日,20564.0,201801,2018-01-01
2018,國3南向,非主線資料,中埔,嘉義縣,出口,週2-4,4847.0,201801,2018-01-01
2018,國3南向,非主線資料,中埔,嘉義縣,進口,週2-4,5322.0,201801,2018-01-01
2018,國3北向,非主線資料,中埔,嘉義縣,出口,週2-4,4883.0,201801,2018-01-01
2018,國3北向,非主線資料,中埔,嘉義縣,進口,週2-4,4779.0,201801,2018-01-01
2018,國3南向,非主線資料,中埔,嘉義縣,出口,週六,7064.0,201801,2018-01-01
2018,國3南向,非主線資料,中埔,嘉義縣,進口,週六,7497.0,201801,2018-01-01
2018,國3北向,非主線資料,中埔,嘉義縣,出口,週六,7876.0,201801,2018-01-01
2018,國3北向,非主線資料,中埔,嘉義縣,進口,週六,6022.0,201801,2018-01-01
2018,國3南向,非主線資料,中埔,嘉義縣,出口,週日,6449.0,201801,2018-01-01
2018,國3南向,非主線資料,中埔,嘉義縣,進口,週日,9227.0,201801,2018-01-01
2018,國3北向,非主線資料,中埔,嘉義縣,出口,週日,8249.0,201801,2018-01-01
2018,國3北向,非主線資料,中埔,嘉義縣,進口,週日,7169.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,出口,週2-4,15958.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,"進口1-民族路,中環",週2-4,11070.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,進口2-新屋,週2-4,5000.0,201801,2018-01-01
2018,國1北向,非主線資料,中壢,桃園市,出口,週2-4,17018.0,201801,2018-01-01
