年,月,年月,居住地,年齡層,性別,旅客數,年月KEY
2019,1,2019-01-01,亞洲地區(Asia),1-12歲,男,58760,201901
2019,1,2019-01-01,非洲地區(Africa),1-12歲,男,0,201901
2019,1,2019-01-01,美洲地區(Americas),1-12歲,男,2165,201901
2019,1,2019-01-01,大洋洲地區(Oceania),1-12歲,男,1230,201901
2019,1,2019-01-01,歐洲地區(Europe),1-12歲,男,651,201901
2019,1,2019-01-01,其他未列明(Unknow),1-12歲,男,0,201901
2019,2,2019-02-01,亞洲地區(Asia),1-12歲,男,57005,201902
2019,2,2019-02-01,非洲地區(Africa),1-12歲,男,0,201902
2019,2,2019-02-01,美洲地區(Americas),1-12歲,男,1158,201902
2019,2,2019-02-01,大洋洲地區(Oceania),1-12歲,男,781,201902
2019,2,2019-02-01,歐洲地區(Europe),1-12歲,男,342,201902
2019,2,2019-02-01,其他未列明(Unknow),1-12歲,男,132,201902
2019,3,2019-03-01,亞洲地區(Asia),1-12歲,男,30517,201903
2019,3,2019-03-01,非洲地區(Africa),1-12歲,男,0,201903
2019,3,2019-03-01,美洲地區(Americas),1-12歲,男,835,201903
2019,3,2019-03-01,大洋洲地區(Oceania),1-12歲,男,470,201903
2019,3,2019-03-01,歐洲地區(Europe),1-12歲,男,230,201903
2019,3,2019-03-01,其他未列明(Unknow),1-12歲,男,427,201903
2019,4,2019-04-01,亞洲地區(Asia),1-12歲,男,33724,201904
2019,4,2019-04-01,非洲地區(Africa),1-12歲,男,0,201904
2019,4,2019-04-01,美洲地區(Americas),1-12歲,男,838,201904
2019,4,2019-04-01,大洋洲地區(Oceania),1-12歲,男,441,201904
2019,4,2019-04-01,歐洲地區(Europe),1-12歲,男,260,201904
2019,4,2019-04-01,其他未列明(Unknow),1-12歲,男,262,201904
2019,5,2019-05-01,亞洲地區(Asia),1-12歲,男,33750,201905
2019,5,2019-05-01,非洲地區(Africa),1-12歲,男,0,201905
2019,5,2019-05-01,美洲地區(Americas),1-12歲,男,900,201905
2019,5,2019-05-01,大洋洲地區(Oceania),1-12歲,男,328,201905
2019,5,2019-05-01,歐洲地區(Europe),1-12歲,男,313,201905
2019,5,2019-05-01,其他未列明(Unknow),1-12歲,男,152,201905
2019,6,2019-06-01,亞洲地區(Asia),1-12歲,男,56847,201906
2019,6,2019-06-01,非洲地區(Africa),1-12歲,男,0,201906
2019,6,2019-06-01,美洲地區(Americas),1-12歲,男,2656,201906
2019,6,2019-06-01,大洋洲地區(Oceania),1-12歲,男,822,201906
2019,6,2019-06-01,歐洲地區(Europe),1-12歲,男,813,201906
2019,6,2019-06-01,其他未列明(Unknow),1-12歲,男,194,201906
2019,7,2019-07-01,亞洲地區(Asia),1-12歲,男,85737,201907
2019,7,2019-07-01,非洲地區(Africa),1-12歲,男,0,201907
2019,7,2019-07-01,美洲地區(Americas),1-12歲,男,3401,201907
2019,7,2019-07-01,大洋洲地區(Oceania),1-12歲,男,1047,201907
2019,7,2019-07-01,歐洲地區(Europe),1-12歲,男,1293,201907
2019,7,2019-07-01,其他未列明(Unknow),1-12歲,男,153,201907
2019,8,2019-08-01,亞洲地區(Asia),1-12歲,男,68329,201908
2019,8,2019-08-01,非洲地區(Africa),1-12歲,男,0,201908
2019,8,2019-08-01,美洲地區(Americas),1-12歲,男,2476,201908
2019,8,2019-08-01,大洋洲地區(Oceania),1-12歲,男,1197,201908
2019,8,2019-08-01,歐洲地區(Europe),1-12歲,男,972,201908
