年,月,年月,縣市,營業行車次數_班次,年月KEY
2016,1,2016-01-01,南投縣,52.0,201601
2016,1,2016-01-01,嘉義市,1550.0,201601
2016,1,2016-01-01,嘉義縣,1515.0,201601
2016,1,2016-01-01,基隆市,66136.0,201601
2016,1,2016-01-01,宜蘭縣,12356.0,201601
2016,1,2016-01-01,屏東縣,6021.0,201601
2016,1,2016-01-01,彰化縣,3698.0,201601
2016,1,2016-01-01,新北市,689593.0,201601
2016,1,2016-01-01,新竹市,21015.0,201601
2016,1,2016-01-01,新竹縣,6704.0,201601
2016,1,2016-01-01,桃園市,123196.0,201601
2016,1,2016-01-01,澎湖縣,6806.0,201601
2016,1,2016-01-01,臺中市,277488.0,201601
2016,1,2016-01-01,臺北市,1096772.0,201601
2016,1,2016-01-01,臺南市,79667.0,201601
2016,1,2016-01-01,臺東縣,2604.0,201601
2016,1,2016-01-01,花蓮縣,1430.0,201601
2016,1,2016-01-01,苗栗縣,1178.0,201601
2016,1,2016-01-01,連江縣,2402.0,201601
2016,1,2016-01-01,金門縣,12332.0,201601
2016,1,2016-01-01,雲林縣,3036.0,201601
2016,1,2016-01-01,高雄市,251926.0,201601
2016,2,2016-02-01,南投縣,44.0,201602
2016,2,2016-02-01,嘉義市,1504.0,201602
2016,2,2016-02-01,嘉義縣,1404.0,201602
2016,2,2016-02-01,基隆市,58030.0,201602
2016,2,2016-02-01,宜蘭縣,11846.0,201602
2016,2,2016-02-01,屏東縣,6561.0,201602
2016,2,2016-02-01,彰化縣,3386.0,201602
2016,2,2016-02-01,新北市,579304.0,201602
2016,2,2016-02-01,新竹市,19002.0,201602
2016,2,2016-02-01,新竹縣,6226.0,201602
2016,2,2016-02-01,桃園市,105975.0,201602
2016,2,2016-02-01,澎湖縣,6234.0,201602
2016,2,2016-02-01,臺中市,249530.0,201602
2016,2,2016-02-01,臺北市,936926.0,201602
2016,2,2016-02-01,臺南市,184030.0,201602
2016,2,2016-02-01,臺東縣,2349.0,201602
2016,2,2016-02-01,花蓮縣,1187.0,201602
2016,2,2016-02-01,苗栗縣,1102.0,201602
2016,2,2016-02-01,連江縣,2176.0,201602
2016,2,2016-02-01,金門縣,11466.0,201602
2016,2,2016-02-01,雲林縣,2914.0,201602
2016,2,2016-02-01,高雄市,233523.0,201602
2016,3,2016-03-01,南投縣,92.0,201603
2016,3,2016-03-01,嘉義市,1612.0,201603
2016,3,2016-03-01,嘉義縣,1541.0,201603
2016,3,2016-03-01,基隆市,67176.0,201603
2016,3,2016-03-01,宜蘭縣,12296.0,201603
2016,3,2016-03-01,屏東縣,7711.0,201603
