年,月,年月,品牌,領牌數,年月KEY
2018,1,2018-01-01,Gogoro,3551,201801
2018,1,2018-01-01,Tesla,42,201801
2018,2,2018-02-01,Gogoro,3531,201802
2018,2,2018-02-01,Tesla,42,201802
2018,3,2018-03-01,Gogoro,5120,201803
2018,3,2018-03-01,Tesla,75,201803
2018,4,2018-04-01,Gogoro,4342,201804
2018,4,2018-04-01,Tesla,14,201804
2018,5,2018-05-01,Gogoro,5080,201805
2018,5,2018-05-01,Tesla,35,201805
2018,6,2018-06-01,Gogoro,5613,201806
2018,6,2018-06-01,Tesla,73,201806
2018,7,2018-07-01,Gogoro,6316,201807
2018,7,2018-07-01,Tesla,9,201807
2018,8,2018-08-01,Gogoro,5801,201808
2018,8,2018-08-01,Tesla,33,201808
2018,9,2018-09-01,Gogoro,7404,201809
2018,9,2018-09-01,Tesla,88,201809
2018,10,2018-10-01,Gogoro,8741,201810
2018,10,2018-10-01,Tesla,5,201810
2018,11,2018-11-01,Gogoro,8347,201811
2018,11,2018-11-01,Tesla,36,201811
2018,12,2018-12-01,Gogoro,8220,201812
2018,12,2018-12-01,Tesla,71,201812
2019,1,2019-01-01,Gogoro,7514,201901
2019,1,2019-01-01,Tesla,25,201901
2019,2,2019-02-01,Gogoro,5360,201902
2019,2,2019-02-01,Tesla,17,201902
2019,3,2019-03-01,Gogoro,9433,201903
2019,3,2019-03-01,Tesla,100,201903
2019,4,2019-04-01,Gogoro,9817,201904
2019,4,2019-04-01,Tesla,5,201904
2019,5,2019-05-01,Gogoro,11643,201905
2019,5,2019-05-01,Tesla,374,201905
2019,6,2019-06-01,Gogoro,11639,201906
2019,6,2019-06-01,Tesla,423,201906
2019,7,2019-07-01,Gogoro,11698,201907
2019,7,2019-07-01,Tesla,50,201907
2019,8,2019-08-01,Gogoro,10974,201908
2019,8,2019-08-01,Tesla,59,201908
2019,9,2019-09-01,Gogoro,11167,201909
2019,9,2019-09-01,Tesla,488,201909
2019,10,2019-10-01,Gogoro,15153,201910
2019,10,2019-10-01,Tesla,68,201910
2019,11,2019-11-01,Gogoro,18530,201911
2019,11,2019-11-01,Tesla,423,201911
2019,12,2019-12-01,Gogoro,22750,201912
2019,12,2019-12-01,Tesla,1104,201912
2020,1,2020-01-01,Gogoro,1487,202001
2020,1,2020-01-01,Tesla,112,202001
2020,2,2020-02-01,Gogoro,6154,202002
2020,2,2020-02-01,Tesla,86,202002
2020,3,2020-03-01,Gogoro,8618,202003
2020,3,2020-03-01,Tesla,1510,202003
2020,4,2020-04-01,Gogoro,7296,202004
2020,4,2020-04-01,Tesla,91,202004
2020,5,2020-05-01,Gogoro,5244,202005
2020,5,2020-05-01,Tesla,68,202005
2020,6,2020-06-01,Gogoro,5957,202006
2020,6,2020-06-01,Tesla,341,202006
2020,7,2020-07-01,Gogoro,8588,202007
2020,7,2020-07-01,Tesla,20,202007
2020,8,2020-08-01,Gogoro,6273,202008
2020,8,2020-08-01,Tesla,803,202008
2020,9,2020-09-01,Gogoro,8199,202009
2020,9,2020-09-01,Tesla,1070,202009
2020,10,2020-10-01,Gogoro,7331,202010
2020,10,2020-10-01,Tesla,19,202010
2020,11,2020-11-01,Gogoro,5815,202011
2020,11,2020-11-01,Tesla,446,202011
2020,12,2020-12-01,Gogoro,7466,202012
2020,12,2020-12-01,Tesla,1180,202012
2021,1,2021-01-01,Gogoro,1067,202101
2021,1,2021-01-01,Tesla,156,202101
2021,2,2021-02-01,Gogoro,1108,202102
2021,2,2021-02-01,Tesla,410,202102
2021,3,2021-03-01,Gogoro,5945,202103
2021,3,2021-03-01,Tesla,722,202103
2021,4,2021-04-01,Gogoro,7039,202104
2021,4,2021-04-01,Tesla,0,202104
2021,5,2021-05-01,Gogoro,6655,202105
2021,5,2021-05-01,Tesla,971,202105
2021,6,2021-06-01,Gogoro,5416,202106
2021,6,2021-06-01,Tesla,663,202106
2021,7,2021-07-01,Gogoro,5978,202107
2021,7,2021-07-01,Tesla,17,202107
2021,8,2021-08-01,Gogoro,6483,202108
2021,8,2021-08-01,Tesla,435,202108
2021,9,2021-09-01,Gogoro,7119,202109
2021,9,2021-09-01,Tesla,655,202109
2021,10,2021-10-01,Gogoro,7851,202110
2021,10,2021-10-01,Tesla,17,202110
2021,11,2021-11-01,Gogoro,8722,202111
2021,11,2021-11-01,Tesla,1227,202111
2021,12,2021-12-01,Gogoro,10550,202112
2021,12,2021-12-01,Tesla,262,202112
2022,1,2022-01-01,Gogoro,2298,202201
2022,1,2022-01-01,Tesla,1,202201
2022,2,2022-02-01,Gogoro,3332,202202
2022,2,2022-02-01,Tesla,653,202202
2022,3,2022-03-01,Gogoro,7176,202203
2022,3,2022-03-01,Tesla,1625,202203
2022,4,2022-04-01,Gogoro,4631,202204
2022,4,2022-04-01,Tesla,0,202204
2022,5,2022-05-01,Gogoro,4802,202205
2022,5,2022-05-01,Tesla,1649,202205
2022,6,2022-06-01,Gogoro,5935,202206
2022,6,2022-06-01,Tesla,598,202206
2022,7,2022-07-01,Gogoro,5901,202207
2022,7,2022-07-01,Tesla,1,202207
2022,8,2022-08-01,Gogoro,5808,202208
2022,8,2022-08-01,Tesla,1763,202208
2022,9,2022-09-01,Gogoro,6948,202209
2022,9,2022-09-01,Tesla,661,202209
2022,10,2022-10-01,Gogoro,5732,202210
2022,10,2022-10-01,Tesla,7,202210
2022,11,2022-11-01,Gogoro,5933,202211
2022,11,2022-11-01,Tesla,507,202211
2022,12,2022-12-01,Gogoro,6167,202212
2022,12,2022-12-01,Tesla,4056,202212
2023,1,2023-01-01,Gogoro,1647,202301
2023,1,2023-01-01,Tesla,69,202301
2023,2,2023-02-01,Gogoro,3503,202302
2023,2,2023-02-01,Tesla,518,202302
2023,3,2023-03-01,Gogoro,5443,202303
2023,3,2023-03-01,Tesla,2519,202303
2023,4,2023-04-01,Gogoro,3974,202304
2023,4,2023-04-01,Tesla,565,202304
2023,5,2023-05-01,Gogoro,4883,202305
2023,5,2023-05-01,Tesla,1299,202305
2023,6,2023-06-01,Gogoro,5261,202306
2023,6,2023-06-01,Tesla,2292,202306
2023,7,2023-07-01,Gogoro,4671,202307
2023,7,2023-07-01,Tesla,377,202307
2023,8,2023-08-01,Gogoro,5280,202308
2023,8,2023-08-01,Tesla,939,202308
2023,9,2023-09-01,Gogoro,5351,202309
2023,9,2023-09-01,Tesla,1240,202309
2023,10,2023-10-01,Gogoro,5919,202310
2023,10,2023-10-01,Tesla,701,202310
2023,11,2023-11-01,Gogoro,4744,202311
2023,11,2023-11-01,Tesla,812,202311
2023,12,2023-12-01,Gogoro,6017,202312
2023,12,2023-12-01,Tesla,1792,202312
2024,1,2024-01-01,Gogoro,2090,202401
2024,1,2024-01-01,Tesla,12,202401
2024,2,2024-02-01,Gogoro,2135,202402
2024,2,2024-02-01,Tesla,7,202402
2024,3,2024-03-01,Gogoro,3096,202403
2024,3,2024-03-01,Tesla,2125,202403
2024,4,2024-04-01,Gogoro,3850,202404
2024,4,2024-04-01,Tesla,11,202404
2024,5,2024-05-01,Gogoro,6049,202405
2024,5,2024-05-01,Tesla,1823,202405
2024,6,2024-06-01,Gogoro,5747,202406
2024,6,2024-06-01,Tesla,3897,202406
2024,7,2024-07-01,Gogoro,5227,202407
2024,7,2024-07-01,Tesla,646,202407
2024,8,2024-08-01,Gogoro,5120,202408
2024,8,2024-08-01,Tesla,906,202408
2024,9,2024-09-01,Gogoro,5204,202409
2024,9,2024-09-01,Tesla,2260,202409
2024,10,2024-10-01,Gogoro,5854,202410
2024,10,2024-10-01,Tesla,512,202410
2024,11,2024-11-01,Gogoro,5035,202411
2024,11,2024-11-01,Tesla,1152,202411
2024,12,2024-12-01,Gogoro,3106,202412
2024,12,2024-12-01,Tesla,1911,202412
