股票名稱,日期,開盤價,最高價,最低價,收盤價,成交量
佳明,2018-01-02,48.989688,49.170402,48.620046,48.907547,885400.0
佳明,2018-01-03,49.006106,49.531817,48.923965,49.507175,655100.0
佳明,2018-01-04,49.482533,49.581103,49.112892,49.507175,1096000.0
佳明,2018-01-05,49.605746,49.696103,48.97325,49.071823,843000.0
佳明,2018-01-08,48.956823,49.597535,48.603611,49.564678,1263400.0
佳明,2018-01-09,49.720738,49.770024,49.071816,49.16217,975000.0
佳明,2018-01-10,49.153965,49.868602,49.014321,49.671463,759000.0
佳明,2018-01-11,49.66325,50.59146,49.630393,50.451816,915800.0
佳明,2018-01-12,50.492897,50.911822,50.410753,50.895393,1483300.0
佳明,2018-01-16,51.05146,51.453955,50.402535,50.476463,1612800.0
佳明,2018-01-17,50.78861,51.831815,50.763965,51.782531,1099900.0
佳明,2018-01-18,51.700382,52.028952,51.642882,51.946811,820000.0
佳明,2018-01-19,52.160383,52.497167,51.790742,52.464309,1216000.0
佳明,2018-01-22,52.094662,52.612162,51.864664,52.603946,1038200.0
佳明,2018-01-23,52.645013,53.088583,52.447874,52.998226,861300.0
佳明,2018-01-24,53.261089,53.359662,52.382169,52.743595,1385400.0
佳明,2018-01-25,52.932522,53.006447,52.185023,52.365737,1248000.0
佳明,2018-01-26,52.677867,53.063937,52.554656,53.047512,912300.0
佳明,2018-01-29,52.521801,52.998225,52.168589,52.332874,1092900.0
佳明,2018-01-30,52.111092,52.201449,51.601811,51.807167,1185900.0
佳明,2018-01-31,51.881104,52.193245,51.338964,51.700389,3278100.0
佳明,2018-02-01,51.577165,51.905733,50.911811,51.486808,1298500.0
佳明,2018-02-02,51.429319,52.028957,51.166463,51.265033,975200.0
佳明,2018-02-05,51.026817,51.577172,49.92611,49.934326,1510100.0
佳明,2018-02-06,49.285395,51.380024,48.603612,51.182884,1589800.0
佳明,2018-02-07,52.078239,52.447877,50.188963,51.815383,1630100.0
佳明,2018-02-08,51.831797,52.061798,50.188951,50.213596,1293300.0
