股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
儒鴻,1476,2018-01-02,1154855.0,345978435.0,300.0,304.0,297.0,297.0,-0.5,1037.0
儒鴻,1476,2018-01-03,1028710.0,305368090.0,299.0,299.0,295.5,297.0,0,1009.0
儒鴻,1476,2018-01-04,1820174.0,550522282.0,299.0,307.0,297.5,301.0,4,1468.0
儒鴻,1476,2018-01-05,904898.0,269699308.0,302.5,303.0,296.0,296.0,-5,844.0
儒鴻,1476,2018-01-08,1063440.0,311559740.0,297.5,300.0,288.5,293.5,-2.5,933.0
儒鴻,1476,2018-01-09,1149986.0,335797870.0,291.5,296.5,288.5,295.0,1.5,1006.0
儒鴻,1476,2018-01-10,1668049.0,495257406.0,300.0,300.5,294.0,294.0,-1,1449.0
儒鴻,1476,2018-01-11,595435.0,175382971.0,294.5,297.0,291.5,296.5,2.5,544.0
儒鴻,1476,2018-01-12,693262.0,205400076.0,298.5,298.5,294.5,298.0,1.5,556.0
儒鴻,1476,2018-01-15,2183163.0,658721052.0,300.0,305.5,298.5,303.5,5.5,1536.0
儒鴻,1476,2018-01-16,988252.0,298681471.0,304.5,305.5,300.0,301.0,-2.5,936.0
儒鴻,1476,2018-01-17,958368.0,286548400.0,300.0,300.0,297.0,299.5,-1.5,911.0
儒鴻,1476,2018-01-18,4552368.0,1409504448.0,302.0,315.0,300.0,312.0,12.5,3658.0
儒鴻,1476,2018-01-19,1379193.0,423758456.0,312.0,312.0,305.0,305.5,-6.5,1161.0
儒鴻,1476,2018-01-22,1162217.0,360621873.0,308.0,313.5,306.5,310.5,5,1017.0
儒鴻,1476,2018-01-23,959947.0,297380017.0,312.0,312.0,306.5,311.0,0.5,836.0
儒鴻,1476,2018-01-24,856300.0,265278600.0,310.5,313.0,308.0,308.5,-2.5,784.0
儒鴻,1476,2018-01-25,618945.0,190491560.0,308.5,310.5,306.5,307.5,-1,615.0
儒鴻,1476,2018-01-26,643528.0,198895568.0,311.0,311.5,306.0,306.0,-1.5,567.0
儒鴻,1476,2018-01-29,663920.0,203072057.0,306.5,310.0,303.5,303.5,-2.5,542.0
儒鴻,1476,2018-01-30,822497.0,248150097.0,303.5,306.5,298.5,299.5,-4,700.0
儒鴻,1476,2018-01-31,1377630.0,404588850.0,299.5,299.5,292.0,292.5,-7,1155.0
儒鴻,1476,2018-02-01,990142.0,291076098.0,291.0,296.5,290.0,296.5,4,939.0
儒鴻,1476,2018-02-02,612954.0,180634384.0,294.5,296.5,293.0,294.0,-2.5,535.0
儒鴻,1476,2018-02-05,1546759.0,439212146.0,286.0,288.0,278.0,285.5,-8.5,1309.0
儒鴻,1476,2018-02-06,2896220.0,792564660.0,278.0,284.0,263.5,272.5,-13,2347.0
儒鴻,1476,2018-02-07,2363110.0,686619510.0,284.0,295.0,280.5,290.0,17.5,1916.0
儒鴻,1476,2018-02-08,932748.0,270324412.0,290.0,293.0,286.5,291.0,1,825.0
儒鴻,1476,2018-02-09,3586925.0,1067564625.0,284.0,305.0,283.5,305.0,14,3094.0
儒鴻,1476,2018-02-12,1273260.0,383760368.0,305.5,309.0,298.0,299.0,-6,1112.0
儒鴻,1476,2018-02-21,3517625.0,1089129875.0,303.0,312.0,303.0,311.0,12,2169.0
儒鴻,1476,2018-02-22,1637296.0,510364852.0,310.5,315.0,305.5,312.0,1,1356.0
