月,年,月2,修改,行業別,營業額_千元,日期格式
2018年1月,2018,1月,1,百貨公司業,24224703.0,2018-01-01
2018年1月,2018,1月,1,超級市場業,15538120.0,2018-01-01
2018年1月,2018,1月,1,便利商店業,27197516.0,2018-01-01
2018年1月,2018,1月,1,零售式量販業,18148286.0,2018-01-01
2018年1月,2018,1月,1,其他綜合商品零售業,12819156.0,2018-01-01
2018年1月,2018,1月,1,食品、飲料及菸草製品零售業,24968168.0,2018-01-01
2018年1月,2018,1月,1,文教育樂用品零售業,5870959.0,2018-01-01
2018年1月,2018,1月,1,燃料及相關產品零售業,21816499.0,2018-01-01
2018年1月,2018,1月,1,資通訊及家電設備零售業,22987766.0,2018-01-01
2018年1月,2018,1月,1,汽機車及其零配件、用品零售業,70566420.0,2018-01-01
2018年1月,2018,1月,1,電子購物及郵購業,19164890.0,2018-01-01
2018年1月,2018,1月,1,餐飲業,62745728.0,2018-01-01
2018年2月,2018,2月,2,百貨公司業,30819612.0,2018-02-01
2018年2月,2018,2月,2,超級市場業,16387025.0,2018-02-01
2018年2月,2018,2月,2,便利商店業,25489437.0,2018-02-01
2018年2月,2018,2月,2,零售式量販業,20405491.0,2018-02-01
2018年2月,2018,2月,2,其他綜合商品零售業,14393713.0,2018-02-01
2018年2月,2018,2月,2,食品、飲料及菸草製品零售業,24936794.0,2018-02-01
2018年2月,2018,2月,2,文教育樂用品零售業,6550568.0,2018-02-01
2018年2月,2018,2月,2,燃料及相關產品零售業,20117193.0,2018-02-01
2018年2月,2018,2月,2,資通訊及家電設備零售業,22924402.0,2018-02-01
2018年2月,2018,2月,2,汽機車及其零配件、用品零售業,39695267.0,2018-02-01
2018年2月,2018,2月,2,電子購物及郵購業,17630542.0,2018-02-01
2018年2月,2018,2月,2,餐飲業,69118507.0,2018-02-01
2018年3月,2018,3月,3,百貨公司業,22742033.0,2018-03-01
2018年3月,2018,3月,3,超級市場業,14791437.0,2018-03-01
2018年3月,2018,3月,3,便利商店業,26631271.0,2018-03-01
2018年3月,2018,3月,3,零售式量販業,13920917.0,2018-03-01
2018年3月,2018,3月,3,其他綜合商品零售業,13009793.0,2018-03-01
2018年3月,2018,3月,3,食品、飲料及菸草製品零售業,22666513.0,2018-03-01
2018年3月,2018,3月,3,文教育樂用品零售業,5912009.0,2018-03-01
2018年3月,2018,3月,3,燃料及相關產品零售業,21769441.0,2018-03-01
2018年3月,2018,3月,3,資通訊及家電設備零售業,19910409.0,2018-03-01
2018年3月,2018,3月,3,汽機車及其零配件、用品零售業,56966101.0,2018-03-01
2018年3月,2018,3月,3,電子購物及郵購業,17358651.0,2018-03-01
2018年3月,2018,3月,3,餐飲業,59689149.0,2018-03-01
2018年4月,2018,4月,4,百貨公司業,28786209.0,2018-04-01
2018年4月,2018,4月,4,超級市場業,14883954.0,2018-04-01
2018年4月,2018,4月,4,便利商店業,25853636.0,2018-04-01
2018年4月,2018,4月,4,零售式量販業,14511659.0,2018-04-01
2018年4月,2018,4月,4,其他綜合商品零售業,13791258.0,2018-04-01
2018年4月,2018,4月,4,食品、飲料及菸草製品零售業,22013195.0,2018-04-01
2018年4月,2018,4月,4,文教育樂用品零售業,6014796.0,2018-04-01
2018年4月,2018,4月,4,燃料及相關產品零售業,21566513.0,2018-04-01
2018年4月,2018,4月,4,資通訊及家電設備零售業,19661963.0,2018-04-01
2018年4月,2018,4月,4,汽機車及其零配件、用品零售業,50901672.0,2018-04-01
2018年4月,2018,4月,4,電子購物及郵購業,16522474.0,2018-04-01
2018年4月,2018,4月,4,餐飲業,59862019.0,2018-04-01
2018年5月,2018,5月,5,百貨公司業,27587829.0,2018-05-01
2018年5月,2018,5月,5,超級市場業,15688447.0,2018-05-01
2018年5月,2018,5月,5,便利商店業,27510763.0,2018-05-01
2018年5月,2018,5月,5,零售式量販業,15123533.0,2018-05-01
2018年5月,2018,5月,5,其他綜合商品零售業,14127011.0,2018-05-01
2018年5月,2018,5月,5,食品、飲料及菸草製品零售業,23450199.0,2018-05-01
2018年5月,2018,5月,5,文教育樂用品零售業,5866415.0,2018-05-01
2018年5月,2018,5月,5,燃料及相關產品零售業,23648495.0,2018-05-01
2018年5月,2018,5月,5,資通訊及家電設備零售業,21983758.0,2018-05-01
2018年5月,2018,5月,5,汽機車及其零配件、用品零售業,53121953.0,2018-05-01
2018年5月,2018,5月,5,電子購物及郵購業,17894172.0,2018-05-01
2018年5月,2018,5月,5,餐飲業,63498829.0,2018-05-01
2018年6月,2018,6月,6,百貨公司業,23449654.0,2018-06-01
