年,月,餐飲細分行業,營業額_千元,年月,日期格式
2018,01,餐館,50573485.0,201801,2018-01-01
2018,01,外燴及團膳承包業,3928470.0,201801,2018-01-01
2018,01,飲料店,8243773.0,201801,2018-01-01
2018,02,餐館,57662207.0,201802,2018-02-01
2018,02,外燴及團膳承包業,3334206.0,201802,2018-02-01
2018,02,飲料店,8122094.0,201802,2018-02-01
2018,03,餐館,47673607.0,201803,2018-03-01
2018,03,外燴及團膳承包業,3704342.0,201803,2018-03-01
2018,03,飲料店,8311200.0,201803,2018-03-01
2018,04,餐館,47886801.0,201804,2018-04-01
2018,04,外燴及團膳承包業,3844305.0,201804,2018-04-01
2018,04,飲料店,8130913.0,201804,2018-04-01
2018,05,餐館,51087278.0,201805,2018-05-01
2018,05,外燴及團膳承包業,3828185.0,201805,2018-05-01
2018,05,飲料店,8583366.0,201805,2018-05-01
2018,06,餐館,51829437.0,201806,2018-06-01
2018,06,外燴及團膳承包業,3889204.0,201806,2018-06-01
2018,06,飲料店,8425562.0,201806,2018-06-01
2018,07,餐館,53201736.0,201807,2018-07-01
2018,07,外燴及團膳承包業,3595068.0,201807,2018-07-01
2018,07,飲料店,8432106.0,201807,2018-07-01
2018,08,餐館,54684884.0,201808,2018-08-01
2018,08,外燴及團膳承包業,3460701.0,201808,2018-08-01
2018,08,飲料店,8943661.0,201808,2018-08-01
2018,09,餐館,50150235.0,201809,2018-09-01
2018,09,外燴及團膳承包業,3356595.0,201809,2018-09-01
2018,09,飲料店,9380997.0,201809,2018-09-01
2018,10,餐館,48668303.0,201810,2018-10-01
2018,10,外燴及團膳承包業,3727001.0,201810,2018-10-01
2018,10,飲料店,8572238.0,201810,2018-10-01
2018,11,餐館,47496224.0,201811,2018-11-01
2018,11,外燴及團膳承包業,3804279.0,201811,2018-11-01
2018,11,飲料店,7998488.0,201811,2018-11-01
2018,12,餐館,56091235.0,201812,2018-12-01
2018,12,外燴及團膳承包業,3888254.0,201812,2018-12-01
2018,12,飲料店,9662180.0,201812,2018-12-01
2019,01,餐館,54909175.0,201901,2019-01-01
2019,01,外燴及團膳承包業,4019363.0,201901,2019-01-01
2019,01,飲料店,9368304.0,201901,2019-01-01
2019,02,餐館,56565228.0,201902,2019-02-01
2019,02,外燴及團膳承包業,3261811.0,201902,2019-02-01
2019,02,飲料店,8227284.0,201902,2019-02-01
2019,03,餐館,51344258.0,201903,2019-03-01
2019,03,外燴及團膳承包業,3724010.0,201903,2019-03-01
2019,03,飲料店,8649343.0,201903,2019-03-01
2019,04,餐館,47955537.0,201904,2019-04-01
2019,04,外燴及團膳承包業,3810034.0,201904,2019-04-01
2019,04,飲料店,8537767.0,201904,2019-04-01
2019,05,餐館,53030753.0,201905,2019-05-01
2019,05,外燴及團膳承包業,3975316.0,201905,2019-05-01
2019,05,飲料店,8687719.0,201905,2019-05-01
2019,06,餐館,53837725.0,201906,2019-06-01
2019,06,外燴及團膳承包業,3860574.0,201906,2019-06-01
2019,06,飲料店,8797858.0,201906,2019-06-01
2019,07,餐館,54655020.0,201907,2019-07-01
