年月,年,月,行業代號,行業名稱,家數
2020-01-18,2018,01,561,　　餐館業,103969.0
2020-01-18,2018,01,562,　　飲料店業,21346.0
2020-01-18,2018,01,563,　　餐飲攤販業,9141.0
2020-02-18,2018,02,561,　　餐食業,112396.0
2020-02-18,2018,02,562,　　外燴及團膳承包業,2434.0
2020-02-18,2018,02,563,　　飲料業,21978.0
2020-03-18,2018,03,561,　　餐食業,112545.0
2020-03-18,2018,03,562,　　外燴及團膳承包業,2431.0
2020-03-18,2018,03,563,　　飲料業,22002.0
2020-04-18,2018,04,561,　　餐食業,112705.0
2020-04-18,2018,04,562,　　外燴及團膳承包業,2418.0
2020-04-18,2018,04,563,　　飲料業,22136.0
2020-05-18,2018,05,561,　　餐食業,112950.0
2020-05-18,2018,05,562,　　外燴及團膳承包業,2408.0
2020-05-18,2018,05,563,　　飲料業,22246.0
2020-06-18,2018,06,561,　　餐食業,113304.0
2020-06-18,2018,06,562,　　外燴及團膳承包業,2391.0
2020-06-18,2018,06,563,　　飲料業,22481.0
2020-07-18,2018,07,561,　　餐食業,113533.0
2020-07-18,2018,07,562,　　外燴及團膳承包業,2383.0
2020-07-18,2018,07,563,　　飲料業,22751.0
2020-08-18,2018,08,561,　　餐食業,113772.0
2020-08-18,2018,08,562,　　外燴及團膳承包業,2371.0
2020-08-18,2018,08,563,　　飲料業,22882.0
2020-09-18,2018,09,561,　　餐食業,114331.0
2020-09-18,2018,09,562,　　外燴及團膳承包業,2374.0
2020-09-18,2018,09,563,　　飲料業,23069.0
2020-10-18,2018,10,561,　　餐食業,114891.0
2020-10-18,2018,10,562,　　外燴及團膳承包業,2367.0
2020-10-18,2018,10,563,　　飲料業,23145.0
2020-11-18,2018,11,561,　　餐食業,115458.0
2020-11-18,2018,11,562,　　外燴及團膳承包業,2354.0
2020-11-18,2018,11,563,　　飲料業,23134.0
2020-12-18,2018,12,561,　　餐食業,116311.0
2020-12-18,2018,12,562,　　外燴及團膳承包業,2348.0
2020-12-18,2018,12,563,　　飲料業,23164.0
2020-01-19,2019,01,561,　　餐食業,116311.0
2020-01-19,2019,01,562,　　外燴及團膳承包業,2348.0
2020-01-19,2019,01,563,　　飲料業,23164.0
2020-02-19,2019,02,561,　　餐食業,116276.0
2020-02-19,2019,02,562,　　外燴及團膳承包業,2346.0
2020-02-19,2019,02,563,　　飲料業,23115.0
2020-03-19,2019,03,561,　　餐食業,116290.0
2020-03-19,2019,03,562,　　外燴及團膳承包業,2340.0
2020-03-19,2019,03,563,　　飲料業,23120.0
2020-04-19,2019,04,561,　　餐食業,116637.0
2020-04-19,2019,04,562,　　外燴及團膳承包業,2348.0
2020-04-19,2019,04,563,　　飲料業,23181.0
2020-05-19,2019,05,561,　　餐食業,116813.0
2020-05-19,2019,05,562,　　外燴及團膳承包業,2349.0
