日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價成,交筆數
2010/1/4,"39,511,138","2,557,720,928",65,65,64,64.9,0.4,"8,255"
2010/1/5,"38,394,084","2,464,115,096",65,65.1,63.9,64.5,-0.4,"9,205"
2010/1/6,"52,734,385","3,390,698,544",64.5,64.9,63.7,64.9,0.4,"12,597"
2010/1/7,"53,294,614","3,437,221,996",64.9,65,64.2,64.2,-0.7,"11,195"
2010/1/8,"48,047,497","3,068,341,466",63.5,64.3,63.5,64,-0.2,"9,804"
2010/1/11,"37,446,686","2,413,758,179",64,64.9,63.5,64.5,0.5,"8,066"
2010/1/12,"52,444,792","3,337,576,396",64.4,64.4,63.3,63.6,-0.9,"12,865"
2010/1/13,"49,806,496","3,129,817,596",63,63.1,62.6,62.8,-0.8,"10,609"
2010/1/14,"39,254,264","2,469,193,916",63.6,63.6,63,63.2,0.4,"8,755"
2010/1/15,"50,011,109","3,155,482,441",62.9,63.5,62.8,63.5,0.3,"11,048"
2010/1/18,"30,586,332","1,924,772,947",62.8,63.1,62.8,62.9,-0.6,"9,875"
2010/1/19,"47,541,231","2,970,283,048",63,63.2,62,62.5,-0.4,"14,132"
2010/1/20,"52,519,052","3,292,097,534",62.9,63.2,62.2,63,0.5,"13,043"
2010/1/21,"24,842,055","1,552,278,255",63,63,62.1,62.6,-0.4,"8,212"
2010/1/22,"64,001,109","3,916,952,764",61.5,61.7,61,61.1,-1.5,"18,967"
2010/1/25,"62,230,836","3,759,976,086",60.1,60.8,60.1,60.4,-0.7,"18,763"
2010/1/26,"80,078,237","4,839,012,506",60.6,61.2,60,60.1,-0.3,"17,643"
2010/1/27,"53,876,237","3,227,674,030",60.1,60.4,59.5,59.6,-0.5,"13,505"
2010/1/28,"44,033,633","2,666,239,239",60.5,61.5,59.8,60,0.4,"11,197"
2010/1/29,"98,124,608","5,948,654,037",60.1,61.5,59.4,61.5,1.5,"18,337"
2010/2/1,"82,234,872","4,934,428,435",60.7,60.7,59.5,59.8,-1.7,"16,893"
2010/2/2,"72,141,345","4,296,416,714",60.2,60.4,59,59,-0.8,"15,211"
2010/2/3,"42,627,861","2,534,155,240",60.2,60.3,58.8,59.8,0.8,"9,966"
2010/2/4,"46,032,165","2,726,713,591",60,60,59,59.1,-0.7,"11,819"
2010/2/5,"66,295,018","3,811,514,312",57.6,57.9,57.2,57.2,-1.9,"18,203"
2010/2/6,"16,391,569","948,580,952",57.6,58.1,57.3,58,0.8,"5,867"
2010/2/8,"45,835,431","2,635,605,686",58,58.2,57,57.4,-0.6,"11,834"
2010/2/9,"49,551,665","2,905,054,055",58.4,59.2,57.7,58.6,1.2,"10,807"
2010/2/10,"53,809,831","3,156,970,629",59,59.2,58.2,58.4,-0.2,"13,992"
2010/2/22,"49,684,787","2,964,348,523",60.5,60.5,59,59,0.6,"15,040"
2010/2/23,"52,030,754","3,098,100,688",59.6,59.9,59.1,59.8,0.8,"11,574"
2010/2/24,"60,489,712","3,559,090,588",59.2,59.2,58.4,58.5,-1.3,"13,513"
2010/2/25,"57,502,162","3,357,159,422",58.5,58.9,57.9,58.2,-0.3,"12,447"
2010/2/26,"31,376,014","1,835,097,974",58.2,58.9,58,58.8,0.6,"8,183"
2010/3/1,"65,860,360","3,910,413,197",59.5,59.9,58.2,59.6,0.8,"14,348"
2010/3/2,"54,451,553","3,269,667,531",60.5,60.5,59.5,59.9,0.3,"13,024"
2010/3/3,"34,984,387","2,093,549,040",59.6,60.1,59.6,60,0.1,"5,904"
2010/3/4,"54,471,642","3,220,104,005",59.8,59.8,58.4,59.2,-0.8,"13,969"
2010/3/5,"60,054,500","3,606,334,057",59.8,60.4,59.6,60.4,1.2,"12,880"
2010/3/8,"44,396,339","2,704,346,592",60.9,61.2,60.6,61.2,0.8,"11,378"
2010/3/9,"31,475,924","1,924,797,115",61.2,61.4,60.8,61.3,0.1,"6,949"
2010/3/10,"30,588,530","1,870,897,516",61.3,61.4,60.8,61.4,0.1,"6,050"
2010/3/11,"30,381,134","1,864,708,630",61.6,61.8,61.2,61.4,0,"6,607"
2010/3/12,"69,392,867","4,236,637,111",61.4,61.5,60.6,60.8,-0.6,"9,260"
2010/3/15,"41,567,794","2,503,666,271",61.3,61.3,59.8,59.8,-1,"8,294"
2010/3/16,"29,927,456","1,791,764,421",60.1,60.2,59.7,59.7,-0.1,"7,444"
2010/3/17,"69,118,250","4,174,403,125",60.5,60.9,59.9,60.5,0.8,"10,228"
2010/3/18,"70,256,871","4,238,210,166",60.1,60.6,60,60.4,-0.1,"10,353"
2010/3/19,"46,018,065","2,758,221,800",60,60.3,59.7,60,-0.4,"12,648"
2010/3/22,"47,084,489","2,782,670,724",59.6,59.6,58.8,59,-1,"14,854"
2010/3/23,"51,751,303","3,093,844,050",59.5,60.1,59.5,59.6,0.6,"10,645"
2010/3/24,"48,661,236","2,940,235,842",60.1,60.8,60.1,60.6,1,"10,606"
2010/3/25,"64,155,258","3,908,737,600",60.9,61.5,60.2,61.5,0.9,"13,334"
2010/3/26,"81,172,895","4,989,163,519",61.3,62,60.3,62,0.5,"16,419"
2010/3/29,"37,559,622","2,333,337,564",62,62.3,61.7,62.2,0.2,"9,423"
2010/3/30,"30,055,532","1,865,717,231",62.4,62.4,61.7,62.2,0,"7,639"
2010/3/31,"39,288,879","2,433,883,486",62.2,62.2,61.5,61.5,-0.7,"6,916"
2010/4/1,"54,739,709","3,404,396,540",61.5,62.5,61.5,62.1,0.6,"10,586"
2010/4/2,"17,373,507","1,083,207,922",62.5,62.5,62.1,62.4,0.3,"4,724"
2010/4/6,"53,216,421","3,367,687,345",62.8,63.5,62.8,63.4,1,"14,967"
2010/4/7,"49,685,972","3,150,811,649",63.5,63.5,63.1,63.5,0.1,"13,008"
2010/4/8,"48,608,322","3,038,128,062",62.8,63,62.1,62.3,-1.2,"10,165"
2010/4/9,"31,648,457","1,981,046,902",61.9,63,61.9,62.7,0.4,"8,230"
2010/4/12,"36,942,889","2,330,663,522",63.3,63.4,62.8,63.1,0.4,"6,735"
2010/4/13,"42,767,182","2,688,670,621",63,63.1,62.1,62.9,-0.2,"8,860"
2010/4/14,"55,676,512","3,527,079,086",63.1,63.8,62.9,63.8,0.9,"11,370"
2010/4/15,"72,063,334","4,640,697,360",64.5,64.9,64,64.4,0.6,"16,835"
2010/4/16,"49,739,068","3,141,988,184",63.6,63.7,62.9,63,-1.4,"10,410"
2010/4/19,"71,160,569","4,470,883,925",62.5,63.2,62.4,62.6,-0.4,"12,360"
2010/4/20,"37,544,680","2,356,565,247",62.9,63,62.4,62.8,0.2,"5,688"
2010/4/21,"46,602,838","2,920,088,786",62.9,63.1,62.3,62.4,-0.4,"7,337"
2010/4/22,"92,244,238","5,654,288,355",61.8,61.8,60.8,61.6,-0.8,"20,151"
2010/4/23,"48,952,350","3,029,878,300",61.9,62.4,61.6,61.7,0.1,"9,075"
2010/4/26,"67,547,718","4,269,797,576",62.4,63.6,62.4,63.5,1.8,"15,594"
2010/4/27,"25,421,212","1,613,547,865",63.5,63.7,63.1,63.7,0.2,"7,737"
2010/4/28,"73,211,720","4,560,692,856",62.1,62.6,62,62.1,-1.6,"17,781"
2010/4/29,"41,236,312","2,546,990,946",62.2,62.2,61.6,61.6,-0.5,"11,966"
2010/4/30,"43,450,247","2,706,561,981",61.8,62.7,61.8,61.8,0.2,"9,089"
2010/5/3,"22,439,818","1,385,450,014",62.6,62.6,61.4,61.6,-0.2,"6,710"
2010/5/4,"38,777,618","2,376,239,427",61.9,62,60.8,61,-0.6,"9,981"
2010/5/5,"94,194,138","5,645,924,542",59.9,60.2,59.8,59.8,-1.2,"20,462"
2010/5/6,"52,111,898","3,101,589,477",59.8,59.9,59.2,59.5,-0.3,"13,732"
2010/5/7,"61,576,134","3,655,990,467",58.6,60.1,58.5,59.4,-0.1,"13,096"
2010/5/10,"56,310,864","3,357,154,081",59.4,60,59,59.8,0.4,"10,944"
2010/5/11,"69,348,267","4,169,995,425",60.4,60.6,59.9,60.1,0.3,"12,600"
2010/5/12,"27,731,388","1,678,095,823",61,61,60,60.1,0,"6,714"
2010/5/13,"39,908,872","2,435,149,845",60.6,61.5,60.5,61.2,1.1,"10,578"
2010/5/14,"35,601,187","2,170,501,328",60.7,61.5,60.5,61.2,0,"5,834"
2010/5/17,"73,215,488","4,365,205,080",60.5,60.5,59.1,59.2,-2,"17,347"
2010/5/18,"30,477,112","1,819,941,228",59.6,60,59.4,59.5,0.3,"8,112"
2010/5/19,"51,605,073","3,046,472,074",59,59.6,58.6,59.3,-0.2,"12,043"
2010/5/20,"31,740,239","1,877,107,593",59.5,59.7,58.9,58.9,-0.4,"7,298"
2010/5/21,"46,257,409","2,701,929,090",58.3,59.1,57.9,58.8,-0.1,"10,795"
2010/5/24,"19,317,628","1,144,068,926",59.6,59.6,58.7,59,0.2,"5,152"
2010/5/25,"51,282,269","3,002,288,110",58.8,58.9,58.1,58.4,-0.6,"9,811"
2010/5/26,"42,971,865","2,525,447,035",58.9,59,58.5,58.9,0.5,"7,675"
