日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2018/01/02,"728,400","62,268,451",87.00,87.00,85.00,85.30,-1.70,542,
2018/01/03,"865,756","74,231,459",85.70,86.80,84.80,85.40,+0.10,649,
2018/01/04,"887,604","75,516,957",85.60,86.30,84.70,84.70,-0.70,636,
2018/01/05,"463,357","39,396,536",85.50,85.50,84.30,84.70,0.00,364,
2018/01/08,"592,100","49,859,680",84.80,85.20,83.50,83.60,-1.10,394,
2018/01/09,"482,345","40,242,500",83.20,84.00,83.20,83.20,-0.40,378,
2018/01/10,"491,495","40,917,336",83.10,84.40,82.70,82.70,-0.50,396,
2018/01/11,"611,100","51,081,366",82.80,84.70,82.70,83.70,+1.00,525,
2018/01/12,"396,575","33,442,300",83.90,84.60,83.90,84.20,+0.50,367,
2018/01/15,"442,075","37,060,477",84.30,84.70,83.20,83.70,-0.50,338,
2018/01/16,"1,100,623","93,284,254",84.50,86.00,84.00,84.20,+0.50,855,
2018/01/17,"438,735","36,662,599",83.80,84.20,83.30,83.40,-0.80,342,
2018/01/18,"774,929","64,395,807",84.00,84.00,82.80,82.90,-0.50,624,
2018/01/19,"523,700","43,233,049",82.90,83.40,82.40,82.40,-0.50,414,
2018/01/22,"737,167","61,716,242",82.50,84.50,82.30,84.10,+1.70,588,
2018/01/23,"460,089","38,469,955",84.10,84.30,83.10,83.80,-0.30,413,
2018/01/24,"338,328","28,275,121",84.00,84.10,82.90,83.50,-0.30,275,
2018/01/25,"334,550","27,857,538",83.50,84.20,82.50,82.50,-1.00,281,
2018/01/26,"309,479","25,551,315",82.90,82.90,82.50,82.50,0.00,247,
2018/01/29,"396,224","32,921,735",83.00,83.70,82.50,83.70,+1.20,285,
2018/01/30,"1,060,384","87,351,231",84.00,84.10,81.50,81.60,-2.10,832,
2018/01/31,"632,494","51,505,310",82.40,82.40,80.80,81.20,-0.40,475,
2018/02/01,"586,157","48,266,174",81.70,83.40,81.20,82.00,+0.80,412,
2018/02/02,"1,074,420","89,110,869",82.70,83.90,81.80,83.90,+1.90,689,
2018/02/05,"862,211","70,813,143",83.00,83.00,81.20,82.10,-1.80,601,
2018/02/06,"1,696,550","132,465,942",79.80,80.30,76.20,77.00,-5.10,"1,158",
2018/02/07,"1,127,860","88,637,053",78.90,79.40,77.70,78.80,+1.80,693,
2018/02/08,"425,134","33,241,665",78.80,79.00,77.70,78.60,-0.20,324,
2018/02/09,"953,662","72,247,874",74.70,77.60,74.50,76.90,-1.70,732,
2018/02/12,"468,114","36,113,069",77.30,77.80,76.50,77.30,+0.40,350,
2018/02/21,"689,514","54,694,890",78.90,80.50,78.20,79.70,+2.40,490,
2018/02/22,"611,185","49,276,574",80.50,81.60,80.10,80.20,+0.50,451,
2018/02/23,"354,207","28,467,842",80.70,81.00,80.00,80.00,-0.20,288,
2018/02/26,"846,308","69,049,940",80.50,82.50,80.40,81.30,+1.30,635,
2018/02/27,"933,100","75,922,300",82.30,82.80,80.40,80.60,-0.70,607,
2018/03/01,"942,457","75,209,605",79.60,80.40,79.30,80.10,-0.50,681,
2018/03/02,"598,010","47,219,200",78.50,79.40,78.50,79.10,-1.00,421,
2018/03/05,"515,016","40,465,078",79.20,79.70,78.20,78.40,-0.70,360,
2018/03/06,"341,515","26,923,433",78.70,79.20,78.40,79.00,+0.60,287,
