股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
兆聯,6944,2025/5/28,"2,813,448","1,085,217,606",375,397,368,390,X0.00,"3,297",
兆聯,6944,2025/5/29,"2,200,647","869,365,505",393.5,408.5,384,397,7,"3,104",
兆聯,6944,2025/6/2,"909,784","349,218,237",388,390.5,372.5,389,-8,"1,431",
兆聯,6944,2025/6/3,"754,737","294,769,217",391,395,387,391.5,2.5,"1,037",
兆聯,6944,2025/6/4,"1,549,182","634,608,824",394.5,417.5,394.5,416,24.5,"2,641",
兆聯,6944,2025/6/5,"944,056","392,181,791",416,425,408.5,415,-1,"1,750",
兆聯,6944,2025/6/6,"2,561,401","1,140,941,782",415,456.5,414.5,456.5,41.5,"6,434",
兆聯,6944,2025/6/9,"2,249,874","1,060,452,841",456,490,453,473,16.5,"8,093",
兆聯,6944,2025/6/10,"1,350,055","629,700,436",473,476.5,456,467,-6,"2,320",
兆聯,6944,2025/6/11,"1,295,472","613,562,354",469,485,464,485,18,"2,226",
兆聯,6944,2025/6/12,"1,129,674","538,643,777",486,486,468,474,-11,"2,199",
兆聯,6944,2025/6/13,"1,717,607","773,671,794",470,470,440,443,-31,"3,834",
兆聯,6944,2025/6/16,"918,930","400,178,276",431,445.5,425.5,435,-8,"2,153",
兆聯,6944,2025/6/17,"1,029,490","448,971,608",437.5,453,425.5,425.5,-9.5,"2,055",
兆聯,6944,2025/6/18,"757,330","326,458,309",424,437,423.5,433,7.5,"1,363",
兆聯,6944,2025/6/19,"582,637","248,581,288",433,434.5,423.5,424,-9,"1,369",
兆聯,6944,2025/6/20,"1,059,629","456,899,098",421,445,414.5,440,16,"2,302",
兆聯,6944,2025/6/23,"666,082","284,378,561",433,434.5,419,431,-9,"1,522",
兆聯,6944,2025/6/24,"1,728,238","788,597,380",438.5,464,437.5,462,31,"3,045",
兆聯,6944,2025/6/25,"1,097,642","501,296,434",466.5,467,451,453,-9,"3,652",
兆聯,6944,2025/6/26,"623,542","279,857,184",455,459,443,443,-10,"1,638",
兆聯,6944,2025/6/27,"760,854","333,720,157",441,448,430.5,430.5,-12.5,"1,785",
兆聯,6944,2025/6/30,"433,103","186,930,373",432.5,437,428,431.5,1,828,
兆聯,6944,2025/7/1,"515,947","223,797,077",433.5,440,428,428,-3.5,"1,087",
兆聯,6944,2025/7/2,"1,277,706","576,901,136",429,463,429,458,30,"2,399",
兆聯,6944,2025/7/3,"853,716","383,622,395",458.5,459.5,443.5,446.5,-11.5,"2,196",
兆聯,6944,2025/7/4,"582,146","255,399,981",446.5,449,432.5,434,-12.5,"1,516",
兆聯,6944,2025/7/7,"474,909","203,559,443",430,434.5,423,434.5,0.5,"1,177",
兆聯,6944,2025/7/8,"481,718","207,155,160",433.5,440,423,435.5,1,"1,164",
兆聯,6944,2025/7/9,"682,233","302,910,675",435,452,432,442,6.5,"1,533",
兆聯,6944,2025/7/10,"3,560,690","1,697,546,179",461,486,456,486,44,"5,897",
兆聯,6944,2025/7/11,"1,782,887","851,318,780",473,485,471,477,X0.00,"5,506",
兆聯,6944,2025/7/14,"1,190,630","548,110,079",473,473,452,455,-22,"10,227",
兆聯,6944,2025/7/15,"589,983","267,986,945",454,462,443,459.5,4.5,"1,325",
兆聯,6944,2025/7/16,"559,915","255,480,723",460.5,465,452,453,-6.5,"1,503",
兆聯,6944,2025/7/17,"472,488","215,790,278",459,463,449,457,4,"1,014",
兆聯,6944,2025/7/18,"751,059","345,934,611",462,473.5,452,457,0,"1,299",
兆聯,6944,2025/7/21,"748,734","334,496,949",454.5,455,441,447,-10,"1,666",
兆聯,6944,2025/7/22,"421,634","187,602,193",446.5,450,442.5,443,-4,"1,131",
兆聯,6944,2025/7/23,"361,746","160,805,685",445,451,440.5,442,-1,"1,010",
兆聯,6944,2025/7/24,"470,996","206,859,292",445,446,434,437,-5,"1,440",
兆聯,6944,2025/7/25,"477,611","206,631,788",437,438,431,431,-6,"1,255",
兆聯,6944,2025/7/28,"483,721","208,546,693",432,435,428.5,429,-2,956,
兆聯,6944,2025/7/29,"981,836","417,194,772",430,437,416,436,7,"2,391",
兆聯,6944,2025/7/30,"523,428","224,131,654",436,436,423,427,-9,"1,167",
兆聯,6944,2025/7/31,"396,072","169,390,938",427,434,424.5,425.5,-1.5,"1,068",
兆聯,6944,2025/8/1,"430,674","184,319,434",419.5,433.5,418.5,431,5.5,946,
兆聯,6944,2025/8/4,"346,004","146,568,946",426,428,419,424.5,-6.5,848,
兆聯,6944,2025/8/5,"623,636","270,853,002",430,442,430,430,5.5,"1,127",
兆聯,6944,2025/8/6,"319,253","137,159,560",429.5,434.5,425,430,0,"1,034",
兆聯,6944,2025/8/7,"1,699,195","775,440,585",445,470.5,442,458.5,28.5,"3,804",
兆聯,6944,2025/8/8,"1,107,007","507,844,645",460,471,451.5,451.5,-7,"8,345",
兆聯,6944,2025/8/11,"1,505,023","708,229,545",462,482.5,460,472.5,21,"2,979",
兆聯,6944,2025/8/12,"720,879","342,271,875",476,481,468.5,475.5,3,"2,008",
兆聯,6944,2025/8/13,"1,047,948","500,464,120",479,488,470.5,472.5,-3,"3,227",
兆聯,6944,2025/8/14,"1,514,446","745,482,590",482,499,476,498.5,26,"4,274",
兆聯,6944,2025/8/15,"957,360","477,423,255",499.5,506,488,500,1.5,"3,293",
兆聯,6944,2025/8/18,"790,574","403,694,184",502,520,496,512,12,"5,125",
兆聯,6944,2025/8/19,"809,603","417,559,316",509,524,503,520,8,"1,955",
兆聯,6944,2025/8/20,"1,312,993","674,213,887",518,526,499,518,-2,"2,920",
兆聯,6944,2025/8/21,"1,491,922","798,887,989",525,554,520,534,16,"6,519",
兆聯,6944,2025/8/22,"585,139","313,215,397",534,541,526,541,7,"1,745",
兆聯,6944,2025/8/25,"1,476,973","863,780,239",555,595,553,595,54,"4,869",
兆聯,6944,2025/8/26,"2,550,291","1,559,036,948",618,625,596,615,20,"4,374",
兆聯,6944,2025/8/27,"1,246,212","761,325,735",608,619,603,609,-6,"3,061",
兆聯,6944,2025/8/28,"2,411,362","1,408,265,954",605,611,563,588,-21,"5,494",
兆聯,6944,2025/8/29,"872,478","511,094,496",588,592,575,583,-5,"2,179",
兆聯,6944,2025/9/1,"693,836","399,987,185",578,587,569,575,-8,"2,260",
兆聯,6944,2025/9/2,"957,731","541,577,057",581,586,552,559,-16,"2,857",
兆聯,6944,2025/9/3,"484,118","269,380,265",559,565,550,554,-5,"1,841",
兆聯,6944,2025/9/4,"429,612","238,172,650",562,565,550,550,-4,"1,232",
兆聯,6944,2025/9/5,"771,349","430,697,922",556,566,550,556,6,"1,691",
兆聯,6944,2025/9/8,"577,726","326,638,456",559,575,554,562,6,"1,474",
兆聯,6944,2025/9/9,"836,953","477,427,157",576,581,563,564,2,"1,915",
兆聯,6944,2025/9/10,"1,587,974","927,463,588",567,604,556,598,34,"3,329",
兆聯,6944,2025/9/11,"1,284,736","753,297,072",598,600,572,572,-26,"4,312",
兆聯,6944,2025/9/12,"897,975","502,110,054",574,579,551,551,-21,"3,505",
兆聯,6944,2025/9/15,"793,222","433,274,127",552,565,530,560,9,"2,208",
