股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
帆宣,6196,2010/1/4,"5,976,149","116,267,724",19.3,19.85,18.7,19.35,0.35,"1,731",
帆宣,6196,2010/1/5,"2,768,831","52,805,103",19.6,19.6,18.5,18.6,-0.75,882,
帆宣,6196,2010/1/6,"1,312,083","24,352,823",18.6,18.9,18.4,18.45,-0.15,507,
帆宣,6196,2010/1/7,"2,445,100","43,708,270",18.5,18.5,17.2,17.3,-1.15,849,
帆宣,6196,2010/1/8,"1,521,265","26,060,764",17.3,17.5,16.9,17.1,-0.2,496,
帆宣,6196,2010/1/11,"1,538,593","26,865,644",17.15,17.8,17,17.55,0.45,465,
帆宣,6196,2010/1/12,"813,824","14,321,758",17.55,17.8,17.5,17.6,0.05,270,
帆宣,6196,2010/1/13,"6,359,114","117,399,269",17.3,18.8,17.3,18.75,1.15,"1,923",
帆宣,6196,2010/1/14,"2,328,681","43,023,171",18.75,18.8,18.3,18.3,-0.45,820,
帆宣,6196,2010/1/15,"1,824,793","33,862,252",18.55,18.8,18.3,18.35,0.05,694,
帆宣,6196,2010/1/18,"948,083","17,199,198",18.1,18.35,18,18.25,-0.1,401,
帆宣,6196,2010/1/19,"1,715,538","31,163,477",18.4,18.6,17.8,17.95,-0.3,613,
帆宣,6196,2010/1/20,"4,391,960","82,267,612",18.2,19,18.1,18.45,0.5,"1,447",
帆宣,6196,2010/1/21,"1,526,285","27,699,355",18.45,18.5,17.8,17.8,-0.65,501,
帆宣,6196,2010/1/22,"1,096,700","18,827,529",16.75,17.45,16.75,17.35,-0.45,392,
帆宣,6196,2010/1/25,"1,428,700","24,991,644",16.8,17.9,16.8,17.45,0.1,451,
帆宣,6196,2010/1/26,"1,685,463","28,196,443",17.6,17.7,16.25,16.4,-1.05,504,
帆宣,6196,2010/1/27,"1,118,595","18,172,438",16.8,16.8,16,16.1,-0.3,401,
帆宣,6196,2010/1/28,"2,213,056","37,859,561",16.5,17.2,16.3,17.2,1.1,436,
帆宣,6196,2010/1/29,"3,219,935","55,339,331",16.5,17.45,16.5,17.2,0,"1,114",
帆宣,6196,2010/2/1,"950,417","16,192,289",17.05,17.35,16.85,17,-0.2,374,
帆宣,6196,2010/2/2,"1,734,200","29,329,259",17.35,17.4,16,16.35,-0.65,574,
帆宣,6196,2010/2/3,"892,751","14,751,340",16.6,16.7,16.35,16.7,0.35,363,
帆宣,6196,2010/2/4,"984,166","16,735,169",16.8,17.25,16.6,16.8,0.1,389,
帆宣,6196,2010/2/5,"1,467,527","23,324,328",16,16.3,15.65,15.75,-1.05,529,
帆宣,6196,2010/2/6,"1,007,888","15,168,079",15.85,16,14.65,14.8,-0.95,341,
帆宣,6196,2010/2/8,"865,176","13,115,280",14.8,15.4,14.7,15.1,0.3,293,
帆宣,6196,2010/2/9,"593,216","9,113,002",15.1,15.6,15,15.5,0.4,242,
帆宣,6196,2010/2/10,"975,974","15,328,192",15.55,15.95,15.45,15.65,0.15,366,
帆宣,6196,2010/2/22,"877,824","13,946,061",15.9,16.15,15.5,15.5,-0.15,280,
帆宣,6196,2010/2/23,"531,900","8,348,763",15.5,15.9,15.5,15.7,0.2,195,
帆宣,6196,2010/2/24,"1,187,336","18,907,058",15.7,16.3,15.55,15.75,0.05,408,
帆宣,6196,2010/2/25,"1,647,900","26,534,044",16.1,16.3,15.85,15.9,0.15,585,
帆宣,6196,2010/2/26,"445,020","7,042,166",16,16.1,15.55,15.7,-0.2,184,
帆宣,6196,2010/3/1,"704,432","11,264,162",15.7,16.2,15.7,16.1,0.4,260,
帆宣,6196,2010/3/2,"508,795","8,187,038",16.3,16.3,16,16,-0.1,199,
帆宣,6196,2010/3/3,"749,356","12,106,397",16,16.3,16,16.25,0.25,286,
帆宣,6196,2010/3/4,"1,242,219","20,556,513",16.4,16.8,16.2,16.5,0.25,428,
帆宣,6196,2010/3/5,"1,137,159","18,832,712",16.7,16.7,16.35,16.55,0.05,334,
帆宣,6196,2010/3/8,"1,182,274","19,769,798",16.65,16.95,16.55,16.6,0.05,328,
帆宣,6196,2010/3/9,"466,477","7,740,542",16.75,16.75,16.5,16.5,-0.1,182,
帆宣,6196,2010/3/10,"526,153","8,688,805",16.5,16.8,16.3,16.5,0,218,
帆宣,6196,2010/3/11,"577,150","9,546,863",16.8,16.8,16.3,16.3,-0.2,211,
帆宣,6196,2010/3/12,"225,121","3,670,020",16.5,16.5,16.15,16.3,0,117,
帆宣,6196,2010/3/15,"452,526","7,354,413",16.3,16.6,16.05,16.1,-0.2,156,
帆宣,6196,2010/3/16,"243,300","3,953,009",16.1,16.35,16.1,16.3,0.2,130,
帆宣,6196,2010/3/17,"1,072,135","17,773,627",16.4,16.75,16.4,16.6,0.3,366,
帆宣,6196,2010/3/18,"981,022","16,346,613",16.75,16.75,16.55,16.6,0,297,
帆宣,6196,2010/3/19,"972,019","16,181,612",16.6,16.75,16.55,16.7,0.1,299,
帆宣,6196,2010/3/22,"752,530","12,448,660",16.6,16.7,16.45,16.5,-0.2,241,
帆宣,6196,2010/3/23,"3,291,425","56,076,909",16.6,17.2,16.6,17.1,0.6,955,
帆宣,6196,2010/3/24,"1,623,695","27,895,804",17.35,17.4,16.85,16.85,-0.25,536,
帆宣,6196,2010/3/25,"1,434,300","24,453,100",17,17.3,16.7,17.1,0.25,440,
帆宣,6196,2010/3/26,"1,141,060","19,673,275",17.1,17.45,17.1,17.1,0,370,
帆宣,6196,2010/3/29,"977,113","16,731,756",17.2,17.3,16.9,17.05,-0.05,323,
帆宣,6196,2010/3/30,"447,224","7,614,112",17.3,17.3,16.9,16.95,-0.1,198,
帆宣,6196,2010/3/31,"710,457","11,984,736",16.95,17.1,16.6,16.75,-0.2,256,
帆宣,6196,2010/4/1,"3,721,390","65,348,324",16.8,17.9,16.75,17.35,0.6,977,
帆宣,6196,2010/4/2,"887,098","15,361,434",17.3,17.55,17.2,17.25,-0.1,334,
帆宣,6196,2010/4/6,"792,859","13,612,135",17.4,17.5,17.05,17.15,-0.1,307,
帆宣,6196,2010/4/7,"548,083","9,437,519",17.4,17.4,17.1,17.15,0,192,
帆宣,6196,2010/4/8,"757,708","12,957,428",17.15,17.25,16.9,16.9,-0.25,270,
帆宣,6196,2010/4/9,"1,009,865","16,901,248",17,17,16.55,16.8,-0.1,271,
帆宣,6196,2010/4/12,"683,202","11,457,031",17,17,16.6,16.7,-0.1,230,
