股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
辛耘,3583,2018/1/2,"714,001","59,215,983",84,84.4,81.8,83,-1.7,583,
辛耘,3583,2018/1/3,"1,020,000","85,308,400",83.6,84.7,82.3,82.3,-0.7,774,
辛耘,3583,2018/1/4,"1,138,735","95,761,540",83.2,85,82.5,84,1.7,868,
辛耘,3583,2018/1/5,"1,120,056","94,502,925",83.6,85.3,83.3,84.4,0.4,740,
辛耘,3583,2018/1/8,"2,428,300","211,235,360",87.5,88.6,85.5,86.6,2.2,"1,499",
辛耘,3583,2018/1/9,"1,075,310","92,823,684",86,87.4,85.1,86.9,0.3,675,
辛耘,3583,2018/1/10,"850,010","73,156,060",86.1,86.9,84.6,85,-1.9,515,
辛耘,3583,2018/1/11,"1,482,536","122,869,159",85.1,86.3,81.1,81.4,-3.6,"1,151",
辛耘,3583,2018/1/12,"975,180","80,530,004",81.4,83.5,81.4,82.8,1.4,685,
辛耘,3583,2018/1/15,"705,050","59,320,450",83.3,84.9,82.5,83.5,0.7,430,
辛耘,3583,2018/1/16,"1,018,296","86,730,412",84.2,86.5,84.2,84.6,1.1,826,
辛耘,3583,2018/1/17,"1,863,604","162,360,683",84.9,88.6,84.7,86.8,2.2,"1,302",
辛耘,3583,2018/1/18,"2,529,397","225,281,251",88.2,90.6,87,89.2,2.4,"1,722",
辛耘,3583,2018/1/19,"1,972,300","175,255,680",88.5,90.4,87.4,88.7,-0.5,"1,242",
辛耘,3583,2018/1/22,"1,090,243","95,116,962",88.7,88.7,86,87.1,-1.6,708,
辛耘,3583,2018/1/23,"647,020","56,683,760",87.9,88.3,86.3,88,0.9,438,
辛耘,3583,2018/1/24,"2,953,257","265,403,877",89.4,92.9,86.2,86.2,-1.8,"2,218",
辛耘,3583,2018/1/25,"676,025","58,292,856",86.2,87.1,85.5,85.5,-0.7,478,
辛耘,3583,2018/1/26,"490,070","41,704,715",88,88,84,84.5,-1,366,
辛耘,3583,2018/1/29,"485,436","40,748,106",86.5,86.5,83.1,83.5,-1,385,
辛耘,3583,2018/1/30,"563,000","46,680,900",83.8,83.8,82.4,82.6,-0.9,349,
辛耘,3583,2018/1/31,"627,153","52,599,687",83,85.3,81.1,85.3,2.7,494,
辛耘,3583,2018/2/1,"492,000","42,014,400",85,85.9,84.5,85.5,0.2,366,
辛耘,3583,2018/2/2,"452,011","37,633,040",84.8,85.5,82.5,82.9,-2.6,343,
辛耘,3583,2018/2/5,"521,049","41,847,211",80,81.2,79.5,80.9,-2,439,
辛耘,3583,2018/2/6,"842,553","64,174,019",77.5,78.7,73,75.2,-5.7,605,
辛耘,3583,2018/2/7,"768,000","58,306,800",77.9,78,74.5,74.5,-0.7,560,
辛耘,3583,2018/2/8,"602,000","45,004,300",74.5,75.9,73.2,75.7,1.2,509,
辛耘,3583,2018/2/9,"547,000","40,150,600",71,76.3,70.5,74.9,-0.8,430,
辛耘,3583,2018/2/12,"1,076,103","77,421,964",75.7,75.7,70,71,-3.9,759,
辛耘,3583,2018/2/21,"621,190","45,486,641",72.5,74.3,71.4,74.3,3.3,457,
辛耘,3583,2018/2/22,"611,000","47,054,100",73.5,78.8,73.5,78.8,4.5,509,
辛耘,3583,2018/2/23,"1,586,110","125,866,148",81.9,82,76,76.1,-2.7,"1,308",
辛耘,3583,2018/2/26,"217,000","16,673,200",77.9,77.9,76,76.2,0.1,201,
辛耘,3583,2018/2/27,"315,000","23,828,400",76.8,76.8,74.7,74.7,-1.5,263,
辛耘,3583,2018/3/1,"221,010","16,531,655",73.4,75.9,73.4,74.8,0.1,184,
辛耘,3583,2018/3/2,"208,000","15,589,300",74.1,75.5,74.1,74.7,-0.1,178,
辛耘,3583,2018/3/5,"108,010","8,015,137",75,75.3,73.7,73.7,-1,103,
辛耘,3583,2018/3/6,"247,070","18,143,666",74.2,74.5,72.8,72.8,-0.9,206,
辛耘,3583,2018/3/7,"357,330","26,392,821",72.6,74.7,72.6,74,1.2,304,
辛耘,3583,2018/3/8,"316,156","23,260,903",74,74.8,72.8,73.5,-0.5,253,
辛耘,3583,2018/3/9,"457,156","33,182,872",73.6,73.9,71.8,71.9,-1.6,345,
辛耘,3583,2018/3/12,"502,000","36,530,200",72.5,73.9,71.8,72.3,0.4,429,
辛耘,3583,2018/3/13,"324,000","23,403,600",72.1,72.6,71.9,72.5,0.2,248,
辛耘,3583,2018/3/14,"217,000","15,751,000",72.6,73,72.2,72.7,0.2,167,
辛耘,3583,2018/3/15,"490,000","36,168,200",72.9,74.4,72.8,74.2,1.5,381,
辛耘,3583,2018/3/16,"730,763","54,732,325",75.4,76.6,74,74,-0.2,587,
辛耘,3583,2018/3/19,"283,300","20,908,669",74.5,74.5,73.4,73.6,-0.4,242,
辛耘,3583,2018/3/20,"446,274","32,479,647",73.7,74,72.2,72.2,-1.4,387,
辛耘,3583,2018/3/21,"435,000","31,276,000",72.2,72.6,71.5,72,-0.2,318,
辛耘,3583,2018/3/22,"284,000","20,363,300",71.7,72.6,71.1,71.1,-0.9,222,
辛耘,3583,2018/3/23,"810,486","55,164,650",70.7,70.7,67.1,67.1,-4,587,
辛耘,3583,2018/3/26,"860,000","56,613,700",67.5,67.5,64.7,65.3,-1.8,659,
辛耘,3583,2018/3/27,"605,000","39,688,400",66.8,66.8,64.8,65,-0.3,525,
辛耘,3583,2018/3/28,"418,000","27,184,700",65,66.2,64.1,64.5,-0.5,396,
辛耘,3583,2018/3/29,"372,100","24,039,400",65,65.4,64.1,64.2,-0.3,310,
辛耘,3583,2018/3/30,"537,070","35,024,313",64.9,66.5,64.4,65.4,1.2,460,
辛耘,3583,2018/3/31,"1,059,000","71,995,500",66.9,69.3,66.6,67.9,2.5,895,
辛耘,3583,2018/4/2,"341,000","23,088,600",68,68.4,67,67,-0.9,283,
辛耘,3583,2018/4/3,"408,100","27,364,400",67,68,66.4,66.7,-0.3,313,
辛耘,3583,2018/4/9,"343,062","23,159,978",66.7,68.5,66.5,68.3,1.6,245,
