日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2010/1/4,"2,581,005","113,501,555",44.9,45,43.45,43.55,-0.65,"1,283",
2010/1/5,"2,353,638","101,730,118",44.2,44.35,42.5,42.5,-1.05,"1,235",
2010/1/6,"1,736,729","74,934,279",42.6,43.75,42.55,42.8,0.3,948,
2010/1/7,"1,919,305","81,711,478",43,43.25,41.9,42,-0.8,915,
2010/1/8,"1,565,331","64,857,915",42,42.2,40.75,41.9,-0.1,849,
2010/1/11,"2,127,952","90,835,269",42.3,43.3,42,43.3,1.4,"1,072",
2010/1/12,"2,142,096","92,808,849",43.2,43.8,42.8,43,-0.3,"1,003",
2010/1/13,"1,141,185","48,717,460",42.5,43.2,42.5,42.6,-0.4,616,
2010/1/14,"1,894,373","81,073,844",43.2,43.4,42.5,42.65,0.05,912,
2010/1/15,"3,332,301","145,814,266",43.5,44.45,42.8,44,1.35,"1,649",
2010/1/18,"1,234,300","53,459,946",43.4,43.75,43.05,43.1,-0.9,676,
2010/1/19,"5,266,365","241,131,793",43.1,46.1,43.1,46.1,3,"1,878",
2010/1/20,"13,032,106","615,464,201",47.6,48.5,46.1,46.1,0,"5,265",
2010/1/21,"6,974,361","324,326,331",46.4,47.1,45.5,45.7,-0.4,"2,932",
2010/1/22,"7,805,648","359,084,179",45.5,46.7,44.6,45.3,-0.4,"3,084",
2010/1/25,"3,932,715","178,846,179",45,46.4,44.5,44.9,-0.4,"1,719",
2010/1/26,"5,123,287","218,806,938",45.5,45.75,41.8,41.8,-3.1,"2,068",
2010/1/27,"2,976,877","119,520,053",42,42,38.9,38.9,-2.9,"1,411",
2010/1/28,"1,515,345","62,025,896",39.9,41.6,39.5,41.6,2.7,630,
2010/1/29,"5,541,735","234,491,020",41.6,43.1,41.25,42.2,0.6,"2,652",
2010/2/1,"1,126,755","46,563,155",42.2,42.3,41,41.1,-1.1,675,
2010/2/2,"2,034,887","85,026,021",42.6,42.7,40.5,40.5,-0.6,"1,114",
2010/2/3,"1,769,075","73,266,075",41.4,42.2,40.9,41.2,0.7,916,
2010/2/4,"1,465,103","60,178,664",42,42,40.55,40.8,-0.4,756,
2010/2/5,"2,206,699","84,312,058",38.1,38.8,37.95,38.25,-2.55,"1,065",
2010/2/6,"1,116,444","41,657,222",38.25,38.7,35.7,37.4,-0.85,624,
2010/2/8,"622,392","23,459,980",37.5,38.15,37.15,37.6,0.2,373,
2010/2/9,"1,406,206","54,556,626",37.35,39.2,37.35,38.75,1.15,708,
2010/2/10,"2,039,285","81,151,413",39.55,40.35,39.3,39.3,0.55,"1,103",
2010/2/22,"1,260,118","50,591,970",40.8,40.8,39.6,39.8,0.5,720,
2010/2/23,"1,392,103","55,895,530",40.8,40.8,39.6,40.15,0.35,834,
2010/2/24,"1,104,683","44,252,032",40.4,40.5,39.6,39.6,-0.55,512,
2010/2/25,"1,134,991","45,257,792",40.2,40.35,39.1,39.2,-0.4,654,
2010/2/26,"1,087,528","42,784,105",39,39.8,38.5,39.6,0.4,573,
2010/3/1,"1,151,259","46,203,010",39.4,40.5,39.4,40.2,0.6,553,
2010/3/2,"2,578,036","106,867,276",41.2,41.85,41,41.2,1,"1,159",
2010/3/3,"1,152,951","47,371,113",41.2,41.7,40.8,40.85,-0.35,606,
2010/3/4,"1,487,637","60,129,280",40.95,41.2,39.7,40,-0.85,768,
2010/3/5,"1,229,870","50,219,567",40.05,41.25,40.05,40.7,0.7,629,
2010/3/8,"1,176,000","48,677,146",41.9,42,41,41,0.3,644,
2010/3/9,"890,640","36,934,282",41.5,41.8,41.2,41.35,0.35,532,
2010/3/10,"798,855","32,657,815",41.7,41.7,40.55,40.7,-0.65,472,
2010/3/11,"2,865,259","120,004,395",41.3,42.4,41.2,41.75,1.05,"1,281",
2010/3/12,"4,099,350","175,576,050",42.2,43.35,41.75,43.05,1.3,"1,972",
2010/3/15,"1,843,500","78,234,496",43.1,43.35,41.5,41.6,-1.45,"1,001",
2010/3/16,"758,072","31,727,110",41.5,42.3,41.5,41.8,0.2,430,
2010/3/17,"1,665,635","70,350,710",42.4,42.6,41.95,42.35,0.55,731,
2010/3/18,"1,292,858","54,903,543",42.45,42.9,42.15,42.3,-0.05,650,
2010/3/19,"1,104,096","46,991,146",42.8,42.85,42.3,42.45,0.15,577,
