日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2010/1/4,"2,960,145","82,290,265",28,28.1,27.5,27.6,-0.05,912,
2010/1/5,"3,254,765","88,735,705",27.95,27.95,26.8,27.4,-0.2,"1,008",
2010/1/6,"5,143,024","137,525,972",27.4,27.5,26.15,26.35,-1.05,"1,792",
2010/1/7,"4,948,208","128,699,924",26.35,26.5,25.3,26.5,0.15,"1,631",
2010/1/8,"1,803,456","46,706,223",26.5,26.55,25.5,26,-0.5,691,
2010/1/11,"2,357,984","62,807,822",26.5,27,26.3,26.5,0.5,984,
2010/1/12,"6,560,542","178,990,345",26.8,28,26.05,27.4,0.9,"2,591",
2010/1/13,"8,425,871","236,233,710",27.15,28.45,27.1,27.95,0.55,"2,954",
2010/1/14,"3,722,855","103,954,661",28.25,28.35,27.7,27.75,-0.2,"1,284",
2010/1/15,"2,388,568","66,135,379",28,28.05,27.45,27.45,-0.3,911,
2010/1/18,"2,293,990","63,376,122",27.45,27.9,27.4,27.45,0,802,
2010/1/19,"2,028,635","54,730,814",27.65,27.8,26.5,26.9,-0.55,728,
2010/1/20,"6,527,403","182,061,580",26.9,28.3,26.9,27.6,0.7,"2,067",
2010/1/21,"1,715,658","46,577,015",27.6,27.7,26.75,26.8,-0.8,744,
2010/1/22,"1,784,946","46,659,931",26.3,26.5,25.85,26,-0.8,713,
2010/1/25,"3,510,715","96,511,122",26,27.8,26,27.8,1.8,962,
2010/1/26,"6,096,250","167,772,659",28,28.05,26,26.25,-1.55,"1,837",
2010/1/27,"8,601,937","236,915,125",26.3,28.05,25.5,28.05,1.8,"2,861",
2010/1/28,"20,830,070","605,186,043",28.6,30,28.3,28.65,0.6,"6,461",
2010/1/29,"7,148,154","203,435,192",28.1,29.15,27.55,28.7,0.05,"2,570",
2010/2/1,"21,956,359","662,898,351",29.2,30.7,28.55,30.7,2,"6,497",
2010/2/2,"14,359,345","429,091,116",31,31.1,28.6,28.65,-2.05,"4,493",
2010/2/3,"17,011,404","506,695,888",29.1,30.5,28.7,30.1,1.45,"5,887",
2010/2/4,"6,157,650","183,751,673",30.2,30.3,29.35,29.7,-0.4,"2,474",
2010/2/5,"8,869,239","249,650,528",28.15,28.95,27.65,27.7,-2,"2,981",
2010/2/6,"7,190,277","190,438,293",28,28,25.8,26.05,-1.65,"2,413",
2010/2/8,"4,108,044","109,785,088",26.15,27.1,26.1,27,0.95,"1,784",
2010/2/9,"4,771,703","132,139,968",26.5,28.3,26.5,27.85,0.85,"1,977",
2010/2/10,"6,083,692","174,527,710",28.3,29.3,28,28.3,0.45,"2,347",
2010/2/22,"2,842,769","81,826,676",29.2,29.2,28.4,28.6,0.3,"1,147",
2010/2/23,"12,833,459","385,358,293",28.6,30.55,28.6,30.45,1.85,"4,528",
2010/2/24,"11,906,015","367,445,902",30.25,31.25,30.25,30.55,0.1,"4,297",
2010/2/25,"13,448,299","423,492,665",31,32,30.8,31.5,0.95,"5,047",
2010/2/26,"6,834,046","215,241,176",31.8,32.2,30.85,31.25,-0.25,"2,873",
2010/3/1,"5,559,022","175,731,283",31.8,31.95,31.25,31.35,0.1,"2,226",
2010/3/2,"6,215,968","199,560,673",31.7,32.5,31.6,32,0.65,"2,593",
2010/3/3,"4,490,200","143,679,279",32.2,32.35,31.8,31.9,-0.1,"1,722",
2010/3/4,"13,104,979","433,175,413",32,33.8,32,32.65,0.75,"4,516",
2010/3/5,"6,146,091","201,523,804",33,33.35,32.4,32.65,0,"2,146",
2010/3/8,"7,096,843","233,441,355",33.2,33.5,32.05,32.9,0.25,"2,881",
2010/3/9,"7,435,049","237,983,951",32.9,33,31.65,31.8,-1.1,"2,997",
2010/3/10,"11,584,560","366,704,702",31.8,32.3,31.2,31.35,-0.45,"4,012",
2010/3/11,"7,132,656","223,942,286",31.2,31.85,31,31,-0.35,"2,824",
2010/3/12,"3,952,570","123,053,058",31.1,31.4,30.8,31.05,0.05,"1,672",
2010/3/15,"7,597,332","241,336,936",31.35,32.2,31.3,31.3,0.25,"3,086",
2010/3/16,"5,115,659","161,104,873",31.3,31.9,31.1,31.35,0.05,"1,968",
2010/3/17,"5,609,134","178,783,024",31.9,32.25,31.6,31.7,0.35,"2,248",
2010/3/18,"5,113,647","163,325,603",32,32.2,31.65,31.7,0,"2,071",
2010/3/19,"6,843,650","221,194,460",32,32.75,31.8,32.2,0.5,"2,737",
2010/3/22,"4,794,621","151,217,045",32.1,32.1,31.3,31.4,-0.8,"1,856",
2010/3/23,"5,428,514","173,040,034",31.9,32.45,31.45,31.45,0.05,"2,149",
2010/3/24,"3,852,672","120,443,627",31.9,31.95,30.6,30.8,-0.65,"1,600",
2010/3/25,"3,397,350","104,517,178",30.7,31.4,30.2,30.85,0.05,"1,367",
2010/3/26,"3,693,486","115,084,790",31,31.45,30.75,30.75,-0.1,"1,458",
2010/3/29,"2,814,934","86,857,537",30.75,31.15,30.5,30.55,-0.2,"1,228",
2010/3/30,"2,120,547","64,909,673",30.8,30.85,30.5,30.5,-0.05,754,
2010/3/31,"2,959,636","91,435,520",30.6,31.2,30.6,30.85,0.35,"1,097",
2010/4/1,"1,921,664","59,284,879",31,31.1,30.7,30.8,-0.05,793,
2010/4/2,"1,569,400","48,655,097",31.05,31.2,30.8,30.9,0.1,719,
2010/4/6,"1,970,704","60,774,840",31.2,31.2,30.6,30.65,-0.25,856,
2010/4/7,"2,366,390","72,964,011",30.65,31,30.6,30.7,0.05,880,
2010/4/8,"4,497,233","140,666,346",30.75,31.75,30.75,30.95,0.25,"1,719",
2010/4/9,"1,929,447","60,031,509",31.45,31.45,30.9,31,0.05,782,
2010/4/12,"1,667,859","51,702,802",31.35,31.35,30.8,31,0,605,
2010/4/13,"2,093,390","63,674,839",30.7,30.75,30.05,30.05,-0.95,871,
2010/4/14,"1,586,133","48,226,605",30.2,30.85,30.05,30.6,0.55,712,
2010/4/15,"2,008,379","62,339,749",30.75,31.25,30.6,31.2,0.6,887,
2010/4/16,"1,696,247","52,276,881",31.3,31.3,30.6,30.6,-0.6,720,
2010/4/19,"3,365,722","98,684,896",30,30.4,28.6,28.8,-1.8,"1,133",
2010/4/20,"974,777","28,460,537",29.7,29.7,28.8,29.2,0.4,462,
2010/4/21,"7,434,633","230,253,193",29.5,31.2,29.5,31.2,2,"2,244",
2010/4/22,"3,025,085","93,737,506",31.2,31.5,30.6,30.8,-0.4,"1,268",
2010/4/23,"1,788,154","55,153,697",31.2,31.2,30.4,30.5,-0.3,711,
2010/4/26,"1,672,472","51,172,196",30.7,30.95,30.45,30.45,-0.05,590,
2010/4/27,"2,193,012","67,651,716",30.8,31.15,30.5,30.85,0.4,840,
2010/4/28,"2,617,700","80,376,294",30.1,31.15,30.1,31,0.15,950,
2010/4/29,"11,243,177","360,742,312",31.2,32.6,31.1,31.55,0.55,"3,498",
2010/4/30,"5,123,905","160,214,536",32,32.1,30.6,30.65,-0.9,"1,517",
2010/5/3,"1,767,877","53,595,671",30.85,31,30,30.2,-0.45,691,
2010/5/4,"2,481,205","74,657,050",30.35,30.6,29.6,29.9,-0.3,887,
2010/5/5,"2,053,595","59,931,513",29,29.5,28.8,29.1,-0.8,916,
2010/5/6,"1,361,254","39,588,776",29.2,29.5,28.75,28.9,-0.2,532,
2010/5/7,"2,408,697","66,634,662",27.2,28.55,27,28.45,-0.45,872,
2010/5/10,"1,555,260","45,382,156",28.8,29.7,28.7,29.6,1.15,639,
2010/5/11,"7,325,960","229,945,513",31.65,31.65,30.7,31,1.4,"2,188",
2010/5/12,"2,459,609","76,254,644",31.2,31.35,30.7,30.85,-0.15,870,
2010/5/13,"4,248,043","133,917,685",31.2,31.9,31.2,31.2,0.35,"1,562",
2010/5/14,"1,569,950","48,951,532",31.2,31.4,30.95,31.4,0.2,681,
2010/5/17,"2,168,582","66,174,197",31,31.15,30.1,30.1,-1.3,828,
2010/5/18,"1,542,928","46,725,490",30.3,30.6,29.85,30,-0.1,622,
2010/5/19,"1,599,698","48,267,543",29.7,30.45,29.6,30.3,0.3,648,
2010/5/20,"1,419,032","42,458,630",30.4,30.5,29.2,29.4,-0.9,596,
2010/5/21,"2,050,643","57,445,154",27.55,28.55,27.5,28.2,-1.2,766,
2010/5/24,"936,151","26,658,776",28.8,28.85,28.2,28.5,0.3,372,
2010/5/25,"1,895,850","51,649,891",28.15,28.15,26.55,27.2,-1.3,706,
2010/5/26,"817,868","22,359,939",27.2,27.6,27,27.35,0.15,324,
2010/5/27,"1,029,000","28,809,050",27.55,28.35,27.4,28,0.65,440,
2010/5/28,"1,636,366","47,330,485",28.6,29.4,28.4,28.8,0.8,742,
2010/5/31,"1,706,120","50,321,424",29.3,29.8,29,29.4,0.6,704,
2010/6/1,"926,550","26,912,143",29.4,29.4,28.85,29,-0.4,427,
2010/6/2,"829,406","24,018,574",28.7,29.4,28.55,28.75,-0.25,376,
2010/6/3,"954,611","27,824,219",29.3,29.4,29,29.1,0.35,370,
2010/6/4,"1,334,347","39,314,896",29.1,29.75,29.1,29.25,0.15,490,
2010/6/7,"537,884","15,190,158",28.05,28.55,28.05,28.55,-0.7,262,
2010/6/8,"871,932","24,996,812",28.4,28.95,28.3,28.65,0.1,352,
2010/6/9,"1,024,535","28,799,059",28.85,28.85,27.7,27.9,-0.75,475,
2010/6/10,"2,782,015","81,027,547",28.2,29.85,28.05,29.85,1.95,"1,013",
2010/6/11,"4,679,682","143,809,846",31,31.2,30.3,30.35,0.5,"1,620",
2010/6/14,"1,780,067","54,463,189",30.9,30.9,30.35,30.45,0.1,757,
2010/6/15,"2,780,299","85,768,450",30.5,31.15,30.4,30.6,0.15,"1,037",
2010/6/17,"5,676,511","178,599,488",31,31.85,30.75,31.3,0.7,"1,999",
2010/6/18,"2,281,578","71,383,774",31.5,31.65,30.85,31.1,-0.2,931,
2010/6/21,"2,098,617","65,678,927",31.6,31.6,31.1,31.2,0.1,792,
2010/6/22,"5,550,894","176,445,375",31.2,32.05,31.2,31.5,0.3,"1,902",
2010/6/23,"1,921,101","60,523,094",31.3,31.8,31.2,31.3,-0.2,701,
2010/6/24,"1,475,582","46,213,298",31.3,31.55,31.1,31.25,-0.05,598,
2010/6/25,"2,082,042","63,945,984",31,31,30.4,30.6,-0.65,780,
2010/6/28,"3,215,100","100,613,900",31.15,31.65,30.9,31.05,0.45,"1,150",
2010/6/29,"1,465,542","45,249,614",31.4,31.4,30.5,30.65,-0.4,668,
2010/6/30,"1,293,000","39,045,800",29.9,30.65,29.85,30.6,-0.05,554,
2010/7/1,"1,091,150","33,449,697",30.6,30.95,30.45,30.7,0.1,455,
2010/7/2,"1,911,734","59,428,389",30.7,31.3,30.7,31.2,0.5,817,
2010/7/5,"17,628,083","573,823,575",31.7,33.2,31.6,32.5,1.3,"5,421",
2010/7/6,"18,958,648","643,891,895",33.2,34.75,32.7,34.75,2.25,"5,156",
2010/7/7,"11,467,602","400,836,243",35.05,35.3,34.2,34.95,0.2,"3,636",
2010/7/8,"9,826,046","348,138,937",35.3,36,34.4,36,1.05,"3,264",
2010/7/9,"6,952,650","250,287,221",35.9,36.5,35.5,35.6,-0.4,"2,348",
2010/7/12,"11,145,307","413,171,563",35.4,37.8,35.4,37,1.4,"3,052",
2010/7/13,"13,074,200","478,628,330",36.8,37.75,35.7,35.85,X0.00,"4,134",
2010/7/14,"19,491,255","732,761,084",37,38.35,36,38.35,2.5,"6,020",
2010/7/15,"13,445,611","526,978,447",38.65,39.8,38.65,38.85,0.5,"5,011",
2010/7/16,"17,939,629","717,571,930",39,41.5,38.35,39.5,0.65,"6,988",
2010/7/19,"16,233,384","667,186,477",39.5,42.25,39.5,42.25,2.75,"6,642",
2010/7/20,"15,188,589","634,908,641",43,43.2,40.6,42,-0.25,"5,952",
2010/7/21,"11,654,037","481,859,779",42,42.25,40.5,40.5,-1.5,"4,556",
2010/7/22,"9,409,185","385,545,565",41,42,40.1,40.4,-0.1,"4,002",
2010/7/23,"11,666,250","473,184,528",41.1,41.6,39.6,39.95,-0.45,"4,483",
2010/7/26,"9,040,898","363,821,291",40,40.9,39.5,39.7,-0.25,"3,492",
2010/7/27,"15,929,039","657,256,711",40,42.1,39.95,41.75,2.05,"6,288",
2010/7/28,"6,272,173","258,145,193",41.7,41.7,40.8,41,-0.75,"2,474",
2010/7/29,"14,671,034","614,318,844",41.15,42.8,41,41,0,"5,559",
2010/7/30,"5,899,516","241,366,897",41.5,41.75,40.4,40.45,-0.55,"2,340",
2010/8/2,"5,507,344","224,257,579",40.5,41.45,40.3,40.7,0.25,"2,041",
2010/8/3,"11,902,931","481,765,640",40.8,41.45,39.5,39.9,-0.8,"4,182",
2010/8/4,"9,954,706","388,317,888",39.4,39.7,38.5,39,-0.9,"3,532",
2010/8/5,"7,660,371","300,456,145",39.2,39.9,38.4,38.8,-0.2,"2,863",
2010/8/6,"10,596,641","418,312,374",38.6,40,38.6,39.95,1.15,"3,371",
2010/8/9,"6,984,537","279,833,662",39.9,40.35,39.6,39.85,-0.1,"2,262",
2010/8/10,"14,961,672","614,112,020",40.25,41.8,40.25,41.1,1.25,"4,958",
2010/8/11,"6,068,541","248,482,357",41.2,41.65,40.4,40.6,-0.5,"2,162",
2010/8/12,"8,130,301","334,293,591",39.9,41.75,39.9,41.2,0.6,"3,092",
2010/8/13,"16,450,063","712,772,045",41.6,44.05,41.45,44.05,2.85,"4,818",
2010/8/16,"14,461,245","666,611,557",45.05,47.1,44.65,47.1,3.05,"4,038",
2010/8/17,"20,324,261","977,893,953",48.5,49.8,46.5,46.8,-0.3,"8,021",
2010/8/18,"8,898,295","415,685,619",47,47.6,46,46.05,-0.75,"3,269",
2010/8/19,"12,834,047","606,499,668",46.15,48.1,46.15,46.7,0.65,"5,134",
2010/8/20,"6,669,781","310,072,446",47,47.2,45.8,46.9,0.2,"2,551",
2010/8/23,"19,371,433","946,277,405",47,50.1,46.35,50.1,3.2,"6,884",
2010/8/24,"20,289,614","1,025,794,737",50.6,52,49.3,49.3,-0.8,"8,478",
2010/8/25,"11,047,749","526,342,404",49,49.1,46.1,46.3,-3,"4,438",
2010/8/26,"11,484,977","516,928,044",46.3,47,43.5,43.5,-2.8,"4,259",
2010/8/27,"9,712,896","439,853,261",43.5,46.5,43.3,46.5,3,"3,988",
2010/8/30,"12,567,771","598,130,522",47.4,48.5,46.55,47.45,0.95,"5,360",
2010/8/31,"8,218,339","379,224,374",46.5,47.45,44.9,47.45,0,"3,318",
2010/9/1,"19,961,375","966,150,542",47.45,49.3,47.45,47.8,0.35,"8,271",
2010/9/2,"9,209,664","441,532,417",48.1,48.8,46.65,46.65,-1.15,"3,939",
2010/9/3,"10,735,656","517,268,088",47.8,48.9,47.3,48.3,1.65,"4,216",
2010/9/6,"20,411,308","1,027,989,867",49.4,51.6,48.8,51.6,3.3,"7,103",
2010/9/7,"17,625,979","899,244,989",51.6,52.1,49.9,50,-1.6,"7,023",
2010/9/8,"14,871,588","750,123,737",50,51.5,49.8,50.4,0.4,"6,218",
2010/9/9,"20,349,943","990,254,362",50.8,51.9,46.9,46.9,-3.5,"8,497",
2010/9/10,"14,000,534","628,764,151",46.9,47.4,43.8,44.6,-2.3,"6,289",
2010/9/13,"8,337,359","375,262,582",44.6,45.55,44.3,44.75,0.15,"3,933",
2010/9/14,"7,729,644","354,696,878",45,46.6,45,45.5,0.75,"3,718",
2010/9/15,"6,149,039","279,176,820",45.7,46,44.55,45.5,0,"2,835",
2010/9/16,"7,667,544","338,510,828",45.5,45.75,43.35,43.8,-1.7,"3,488",
2010/9/17,"3,956,275","174,672,650",43.6,44.6,43.55,44.15,0.35,"2,021",
2010/9/20,"5,948,991","266,061,795",44.2,45.15,44.05,44.55,0.4,"2,445",
2010/9/21,"4,355,650","192,172,084",45,45,43.55,43.6,-0.95,"2,049",
2010/9/23,"2,762,635","121,187,027",43.65,44.5,43.6,43.65,0.05,"1,329",
2010/9/24,"8,702,372","360,843,657",43.6,43.8,41,41.3,-2.35,"3,777",
2010/9/27,"8,334,429","332,810,754",41.6,41.7,39.1,39.2,-2.1,"3,757",
2010/9/28,"5,686,461","228,170,181",39.2,40.5,39,40.25,1.05,"2,543",
2010/9/29,"4,577,539","187,146,949",40.9,41.3,40.4,41,0.75,"2,276",
2010/9/30,"5,277,388","219,807,915",41.8,42.15,41.05,41.55,0.55,"2,410",
2010/10/1,"4,014,450","166,984,325",41.8,42.25,40.8,40.95,-0.6,"1,842",
