項目別, ,營業額 (千元),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,營業額指數 (110年=100),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31, .1
 , ,百貨公司業,超級市場業,便利商店業,零售式量販業,其他綜合商品零售業,食品、飲料及菸草製品零售業,文教育樂用品零售業,燃料及相關產品零售業,資通訊及家電設備零售業,汽機車及其零配件、用品零售業,電子購物及郵購業,餐飲業,,,,百貨公司業,超級市場業,便利商店業,零售式量販業,其他綜合商品零售業,食品、飲料及菸草製品零售業,文教育樂用品零售業,燃料及相關產品零售業,資通訊及家電設備零售業,汽機車及其零配件、用品零售業,電子購物及郵購業,餐飲業,,,, 
 , , , , , , , , , , , , , ,餐館,外燴及團膳承包業,飲料店, , , , , , , , , , , , ,餐館,外燴及團膳承包業,飲料店, 
107年,1月,24224703,15538120,27197516,18148286,12819156,24968168,5870959,21816499,22987766,70566420,19164890,62745728,50573485,3928470,8243773,86.92,81.83,97.4,95.06,147.04,115.64,94.35,107.08,101.88,121.69,58.92,112.57,113.55,146.17,96.83, 
107年,2月,30819612,16387025,25489437,20405491,14393713,24936794,6550568,20117193,22924402,39695267,17630542,69118507,57662207,3334206,8122094,110.62,86.33,91.31,106.91,165.15,115.53,105.31,98.77,101.64,68.47,54.22,123.7,129.15,123.75,95.16, 
107年,3月,22742033,14791437,26631271,13920917,13009793,22666513,5912009,21769441,19910409,56966101,17358651,59689149,47673607,3704342,8311200,81.97,78.25,95.81,73.25,149.91,105.46,95.44,107.33,88.65,98.68,53.61,106.64,106.6,137.25,97.21, 
107年,4月,28786209,14883954,25853636,14511659,13791258,22013195,6014796,21566513,19661963,50901672,16522474,59862019,47886801,3844305,8130913,102.48,77.77,91.86,75.41,156.95,101.15,95.9,105.02,86.46,87.09,50.4,106.64,106.76,142.03,94.83, 
107年,5月,27587829,15688447,27510763,15123533,14127011,23450199,5866415,23648495,21983758,53121953,17894172,63498829,51087278,3828185,8583366,98.31,82.05,97.85,78.67,160.93,107.86,93.63,115.27,96.77,90.98,54.64,112.85,113.63,141.1,99.87, 
107年,6月,23449654,15323961,27341855,15263352,13464515,21913890,5772360,23746040,19546066,52814358,17205795,64144203,51829437,3889204,8425562,83.21,79.81,96.84,79.07,152.74,100.38,91.75,115.27,85.68,90.07,52.32,113.87,115.15,143.18,97.92, 
107年,7月,24537695,16783503,28155687,16566901,12729182,21849852,6051910,24786771,20734710,57726306,16964511,65228910,53201736,3595068,8432106,87.09,87.43,99.75,85.84,144.43,100.1,96.21,120.34,90.91,98.47,51.59,115.61,118.01,132.15,97.85, 
107年,8月,24184353,18796934,27819381,19449513,13573247,23901354,6296670,23966482,19524691,40492262,17483556,67089246,54684884,3460701,8943661,85.94,98.03,98.66,100.88,154.18,109.62,100.21,116.49,85.7,69.15,53.23,118.79,121.18,127.08,103.67, 
107年,9月,25514492,16783417,26752016,17268291,13062403,26990748,5756801,24348649,19906469,44751712,16671567,62887827,50150235,3356595,9380997,89.75,86.64,93.92,88.67,146.88,122.54,90.69,117.15,86.49,75.65,50.25,111.29,111.07,123.19,108.69, 
107年,10月,39677586,16227763,26460073,14541342,14399946,23824254,6157063,23990267,20155206,51401468,17992701,60967542,48668303,3727001,8572238,139.14,83.52,92.61,74.44,161.43,107.84,96.71,115.08,87.31,86.63,54.06,107.85,107.75,136.73,99.28, 
107年,11月,36976534,15838576,25983485,14904578,13365160,22397766,6500235,22479494,20862614,53761054,23709989,59298991,47496224,3804279,7998488,131.18,82.47,92,77.18,151.57,102.56,103.28,109.09,91.42,91.66,72.07,104.87,105.12,139.52,92.6, 
107年,12月,32625935,17161073,26410554,16863382,14795950,24533062,7505486,22309445,20122788,60707808,21528659,69641669,56091235,3888254,9662180,117.1,90.4,94.61,88.35,169.77,113.66,120.66,109.53,89.21,104.72,66.21,123.11,124.09,142.54,111.82, 
108年,1月,27765234,16086420,28307520,20890281,14034844,27973444,7277465,21600400,23266079,66510812,23039172,68296842,54909175,4019363,9368304,100.06,85.08,101.82,109.89,161.69,130.12,117.46,106.48,103.57,115.19,71.14,120.52,121.26,147.09,108.23, 
108年,2月,28401199,15312662,25710829,16388909,14405847,21059668,6416481,19315045,18316346,31368290,17932705,68054323,56565228,3261811,8227284,102.04,80.75,92.2,85.96,165.46,97.67,103.26,94.93,81.29,54.17,55.21,119.82,124.64,119.1,94.83, 
108年,3月,24722761,15698595,26322232,15675090,13879321,22535632,6257994,21976619,19247677,51814140,19364845,63717611,51344258,3724010,8649343,88.64,82.6,94.19,82.04,159.07,104.29,100.49,107.78,85.24,89.28,59.49,111.95,112.9,135.7,99.49, 
108年,4月,30124882,15782987,26398777,14992878,14818099,22184788,6157866,22346398,20169052,54803817,18972600,60303338,47955537,3810034,8537767,106.84,82.15,93.44,77.62,168,101.55,97.81,108.41,88.35,93.41,57.65,105.67,105.17,138.46,97.95, 
108年,5月,29263010,16460538,27581786,15893290,15401532,23623306,6284251,23453171,20291009,57176987,20568248,65693788,53030753,3975316,8687719,103.23,85.23,97.12,81.85,173.69,107.57,99.3,113.18,88.42,96.94,62.17,114.93,116.11,144.24,99.51, 
108年,6月,25701701,16223119,28016613,16518215,14265676,21711817,6077841,23200791,19460191,58308749,19925447,66496157,53837725,3860574,8797858,90.4,83.74,98.35,84.81,160.39,98.57,95.74,111.62,84.54,98.56,60.05,116.25,117.8,139.97,100.7, 
108年,7月,25974139,17405420,29040900,17506009,14255932,22497177,6536651,23109333,21926887,69307703,20157698,67303879,54655020,3443960,9204899,92.06,90.54,102.73,90.57,161.52,102.92,103.77,112.04,96,118.06,61.22,117.61,119.52,124.8,105.3, 
108年,8月,26394920,19904855,28658054,20600130,14459136,25321000,6553328,22649735,20247287,42325614,21049254,70008935,56910133,3578035,9520767,93.33,103.3,101.14,106.33,163.44,115.57,103.79,109.55,88.44,71.93,63.78,122.18,124.3,129.5,108.78, 
108年,9月,26145196,17173527,27501357,17575829,12819816,25263547,5974653,21723134,20074031,55546716,19954665,62615899,49983360,3459937,9172602,91.74,88.44,96.32,90.03,143.8,114.42,93.9,104.27,87.01,93.67,60,109.21,109.11,125.15,104.74, 
108年,10月,40735723,17462625,28141572,15629490,13971282,24102362,6500604,22015184,20535036,60953362,20781030,62765102,50147349,3810580,8807173,142.87,89.89,98.51,80.02,156.64,109.11,102.11,105.62,88.96,102.74,62.45,109.43,109.42,137.78,100.53, 
108年,11月,39667129,16462176,26864042,16354276,13165899,22979442,6551185,21325228,20936808,61151187,29152558,61974827,49686463,3789413,8498951,140.12,85.35,94.72,84.33,148.68,104.78,103.65,103.04,91.35,103.81,88.24,107.99,108.35,136.93,96.95, 
108年,12月,31887817,17036628,27528509,18060078,13760158,24715293,7580201,22987682,18910313,68814193,25595438,70188995,56242103,3936450,10010442,112.57,88.27,97,93.07,155.29,112.62,119.86,111.01,82.46,116.75,77.42,122.29,122.63,142.23,114.18, 
109年,1月,33297062,18568282,30181690,24414066,13863991,25355521,7463726,22416761,22272440,59634696,24647217,79687845,65582073,4023692,10082080,118.08,96.64,106.82,126.38,157.16,116.06,118.54,108.74,97.56,101.63,74.89,138.43,142.58,144.96,114.66, 
109年,2月,21169573,17177413,25004897,16634597,9853865,19383561,5953602,18815441,18959048,44593813,24742484,55891678,45717136,2391432,7783110,75.55,89.97,89.06,86.66,112.41,89.29,95.16,91.85,83.57,76.48,75.66,97.01,99.31,86.08,88.44, 
109年,3月,19450138,20185349,26909220,18792338,9135934,19789743,5663799,17295774,18936411,55977704,25738666,50489651,39356650,2905495,8227506,69.99,106.61,96.65,98.72,105.1,91.92,91.29,85.14,84.17,96.81,79.36,87.65,85.5,104.6,93.5, 
109年,4月,23506679,17932756,26417326,15806028,8573235,19301847,6271128,13465694,19073870,53018232,24118468,46515258,36266902,3023251,7225105,84.82,94.97,95.14,83.25,98.89,89.9,101.35,66.46,85.01,91.94,74.57,80.69,78.73,108.76,82.05, 
