年,月,產業別,營業額(千元)
2018,1,便利商店業,27197516
2018,1,其他綜合商品零售業,12819156
2018,1,文教育樂用品零售業,5870959
2018,1,汽機車及其零配件、用品零售業,70566420
2018,1,燃料及相關產品零售業,21816499
2018,1,百貨公司業,24224703
2018,1,資通訊及家電設備零售業,22987766
2018,1,超級市場業,15538120
2018,1,零售式量販業,18148286
2018,1,電子購物及郵購業,19164890
2018,1,食品、飲料及菸草製品零售業,24968168
2018,1,餐飲業_外燴及團膳承包業,3928470
2018,1,餐飲業_飲料店,8243773
2018,1,餐飲業_餐館,50573485
2018,2,便利商店業,25489437
2018,2,其他綜合商品零售業,14393713
2018,2,文教育樂用品零售業,6550568
2018,2,汽機車及其零配件、用品零售業,39695267
2018,2,燃料及相關產品零售業,20117193
2018,2,百貨公司業,30819612
2018,2,資通訊及家電設備零售業,22924402
2018,2,超級市場業,16387025
2018,2,零售式量販業,20405491
2018,2,電子購物及郵購業,17630542
2018,2,食品、飲料及菸草製品零售業,24936794
2018,2,餐飲業_外燴及團膳承包業,3334206
2018,2,餐飲業_飲料店,8122094
2018,2,餐飲業_餐館,57662207
2018,3,便利商店業,26631271
2018,3,其他綜合商品零售業,13009793
2018,3,文教育樂用品零售業,5912009
2018,3,汽機車及其零配件、用品零售業,56966101
2018,3,燃料及相關產品零售業,21769441
2018,3,百貨公司業,22742033
2018,3,資通訊及家電設備零售業,19910409
2018,3,超級市場業,14791437
2018,3,零售式量販業,13920917
2018,3,電子購物及郵購業,17358651
2018,3,食品、飲料及菸草製品零售業,22666513
2018,3,餐飲業_外燴及團膳承包業,3704342
2018,3,餐飲業_飲料店,8311200
2018,3,餐飲業_餐館,47673607
2018,4,便利商店業,25853636
2018,4,其他綜合商品零售業,13791258
2018,4,文教育樂用品零售業,6014796
2018,4,汽機車及其零配件、用品零售業,50901672
2018,4,燃料及相關產品零售業,21566513
2018,4,百貨公司業,28786209
2018,4,資通訊及家電設備零售業,19661963
2018,4,超級市場業,14883954
2018,4,零售式量販業,14511659
2018,4,電子購物及郵購業,16522474
2018,4,食品、飲料及菸草製品零售業,22013195
2018,4,餐飲業_外燴及團膳承包業,3844305
2018,4,餐飲業_飲料店,8130913
2018,4,餐飲業_餐館,47886801
2018,5,便利商店業,27510763
2018,5,其他綜合商品零售業,14127011
2018,5,文教育樂用品零售業,5866415
2018,5,汽機車及其零配件、用品零售業,53121953
2018,5,燃料及相關產品零售業,23648495
2018,5,百貨公司業,27587829
2018,5,資通訊及家電設備零售業,21983758
2018,5,超級市場業,15688447
2018,5,零售式量販業,15123533
2018,5,電子購物及郵購業,17894172
2018,5,食品、飲料及菸草製品零售業,23450199
