年月,年,月,分類,營業而(千元)
2018/1/1,2018,2026/1/1,餐館,50573485
2018/1/1,2018,2026/1/1,外燴及團膳承包業,3928470
2018/1/1,2018,2026/1/1,飲料店,8243773
2018/2/1,2018,2026/2/1,餐館,57662207
2018/2/1,2018,2026/2/1,外燴及團膳承包業,3334206
2018/2/1,2018,2026/2/1,飲料店,8122094
2018/3/1,2018,2026/3/1,餐館,47673607
2018/3/1,2018,2026/3/1,外燴及團膳承包業,3704342
2018/3/1,2018,2026/3/1,飲料店,8311200
2018/4/1,2018,2026/4/1,餐館,47886801
2018/4/1,2018,2026/4/1,外燴及團膳承包業,3844305
2018/4/1,2018,2026/4/1,飲料店,8130913
2018/5/1,2018,2026/5/1,餐館,51087278
2018/5/1,2018,2026/5/1,外燴及團膳承包業,3828185
2018/5/1,2018,2026/5/1,飲料店,8583366
2018/6/1,2018,2026/6/1,餐館,51829437
2018/6/1,2018,2026/6/1,外燴及團膳承包業,3889204
2018/6/1,2018,2026/6/1,飲料店,8425562
2018/7/1,2018,2026/7/1,餐館,53201736
2018/7/1,2018,2026/7/1,外燴及團膳承包業,3595068
2018/7/1,2018,2026/7/1,飲料店,8432106
2018/8/1,2018,2026/8/1,餐館,54684884
2018/8/1,2018,2026/8/1,外燴及團膳承包業,3460701
2018/8/1,2018,2026/8/1,飲料店,8943661
2018/9/1,2018,2026/9/1,餐館,50150235
2018/9/1,2018,2026/9/1,外燴及團膳承包業,3356595
2018/9/1,2018,2026/9/1,飲料店,9380997
2018/10/1,2018,2026/10/1,餐館,48668303
2018/10/1,2018,2026/10/1,外燴及團膳承包業,3727001
2018/10/1,2018,2026/10/1,飲料店,8572238
2018/11/1,2018,2026/11/1,餐館,47496224
2018/11/1,2018,2026/11/1,外燴及團膳承包業,3804279
2018/11/1,2018,2026/11/1,飲料店,7998488
2018/12/1,2018,2026/12/1,餐館,56091235
2018/12/1,2018,2026/12/1,外燴及團膳承包業,3888254
2018/12/1,2018,2026/12/1,飲料店,9662180
2019/1/1,2019,2026/1/1,餐館,54909175
2019/1/1,2019,2026/1/1,外燴及團膳承包業,4019363
2019/1/1,2019,2026/1/1,飲料店,9368304
2019/2/1,2019,2026/2/1,餐館,56565228
2019/2/1,2019,2026/2/1,外燴及團膳承包業,3261811
2019/2/1,2019,2026/2/1,飲料店,8227284
2019/3/1,2019,2026/3/1,餐館,51344258
2019/3/1,2019,2026/3/1,外燴及團膳承包業,3724010
2019/3/1,2019,2026/3/1,飲料店,8649343
2019/4/1,2019,2026/4/1,餐館,47955537
2019/4/1,2019,2026/4/1,外燴及團膳承包業,3810034
2019/4/1,2019,2026/4/1,飲料店,8537767
2019/5/1,2019,2026/5/1,餐館,53030753
2019/5/1,2019,2026/5/1,外燴及團膳承包業,3975316
2019/5/1,2019,2026/5/1,飲料店,8687719
2019/6/1,2019,2026/6/1,餐館,53837725
2019/6/1,2019,2026/6/1,外燴及團膳承包業,3860574
2019/6/1,2019,2026/6/1,飲料店,8797858
2019/7/1,2019,2026/7/1,餐館,54655020
2019/7/1,2019,2026/7/1,外燴及團膳承包業,3443960
2019/7/1,2019,2026/7/1,飲料店,9204899
2019/8/1,2019,2026/8/1,餐館,56910133
2019/8/1,2019,2026/8/1,外燴及團膳承包業,3578035
2019/8/1,2019,2026/8/1,飲料店,9520767
2019/9/1,2019,2026/9/1,餐館,49983360
2019/9/1,2019,2026/9/1,外燴及團膳承包業,3459937
2019/9/1,2019,2026/9/1,飲料店,9172602
2019/10/1,2019,2026/10/1,餐館,50147349
2019/10/1,2019,2026/10/1,外燴及團膳承包業,3810580
2019/10/1,2019,2026/10/1,飲料店,8807173
2019/11/1,2019,2026/11/1,餐館,49686463
2019/11/1,2019,2026/11/1,外燴及團膳承包業,3789413
2019/11/1,2019,2026/11/1,飲料店,8498951
2019/12/1,2019,2026/12/1,餐館,56242103
2019/12/1,2019,2026/12/1,外燴及團膳承包業,3936450
2019/12/1,2019,2026/12/1,飲料店,10010442
2020/1/1,2020,2026/1/1,餐館,65582073
2020/1/1,2020,2026/1/1,外燴及團膳承包業,4023692
2020/1/1,2020,2026/1/1,飲料店,10082080
2020/2/1,2020,2026/2/1,餐館,45717136
2020/2/1,2020,2026/2/1,外燴及團膳承包業,2391432
2020/2/1,2020,2026/2/1,飲料店,7783110
2020/3/1,2020,2026/3/1,餐館,39356650
2020/3/1,2020,2026/3/1,外燴及團膳承包業,2905495
2020/3/1,2020,2026/3/1,飲料店,8227506
2020/4/1,2020,2026/4/1,餐館,36266902
2020/4/1,2020,2026/4/1,外燴及團膳承包業,3023251
2020/4/1,2020,2026/4/1,飲料店,7225105
2020/5/1,2020,2026/5/1,餐館,48631839
2020/5/1,2020,2026/5/1,外燴及團膳承包業,3123644
2020/5/1,2020,2026/5/1,飲料店,8157935
2020/6/1,2020,2026/6/1,餐館,49459709
2020/6/1,2020,2026/6/1,外燴及團膳承包業,2981133
2020/6/1,2020,2026/6/1,飲料店,9105532
2020/7/1,2020,2026/7/1,餐館,54463200
2020/7/1,2020,2026/7/1,外燴及團膳承包業,2948937
2020/7/1,2020,2026/7/1,飲料店,9554541
2020/8/1,2020,2026/8/1,餐館,58527127
2020/8/1,2020,2026/8/1,外燴及團膳承包業,2518605
2020/8/1,2020,2026/8/1,飲料店,9680914
2020/9/1,2020,2026/9/1,餐館,49971415
2020/9/1,2020,2026/9/1,外燴及團膳承包業,2851438
2020/9/1,2020,2026/9/1,飲料店,9451374
