日期,年,月,日,農曆,屬性,值
2018/1/1,2018,1,1,十五,白肉雞(2.0Kg以上),30
2018/1/1,2018,1,1,十五,白肉雞(1.75-1.95Kg),30
2018/1/1,2018,1,1,十五,白肉雞(門市價高屏),31.5
2018/1/1,2018,1,1,十五,雞蛋(大運輸價),24.5
2018/1/2,2018,1,2,十六,白肉雞(2.0Kg以上),30.3
2018/1/2,2018,1,2,十六,白肉雞(1.75-1.95Kg),30.3
2018/1/2,2018,1,2,十六,白肉雞(門市價高屏),31.8
2018/1/2,2018,1,2,十六,雞蛋(大運輸價),24.5
2018/1/3,2018,1,3,十七,白肉雞(2.0Kg以上),30.3
2018/1/3,2018,1,3,十七,白肉雞(1.75-1.95Kg),30.3
2018/1/3,2018,1,3,十七,白肉雞(門市價高屏),31.8
2018/1/3,2018,1,3,十七,雞蛋(大運輸價),26.5
2018/1/4,2018,1,4,十八,白肉雞(2.0Kg以上),30.3
2018/1/4,2018,1,4,十八,白肉雞(1.75-1.95Kg),30.3
2018/1/4,2018,1,4,十八,白肉雞(門市價高屏),31.8
2018/1/4,2018,1,4,十八,雞蛋(大運輸價),26.5
2018/1/5,2018,1,5,小寒,白肉雞(2.0Kg以上),30.3
2018/1/5,2018,1,5,小寒,白肉雞(1.75-1.95Kg),30.3
2018/1/5,2018,1,5,小寒,白肉雞(門市價高屏),31.8
2018/1/5,2018,1,5,小寒,雞蛋(大運輸價),26.5
2018/1/6,2018,1,6,二十,白肉雞(2.0Kg以上),30.3
2018/1/6,2018,1,6,二十,白肉雞(1.75-1.95Kg),30.3
2018/1/6,2018,1,6,二十,白肉雞(門市價高屏),31.8
2018/1/6,2018,1,6,二十,雞蛋(大運輸價),26.5
2018/1/7,2018,1,7,廿一,白肉雞(2.0Kg以上),30.3
2018/1/7,2018,1,7,廿一,白肉雞(1.75-1.95Kg),30.3
2018/1/7,2018,1,7,廿一,白肉雞(門市價高屏),31.8
2018/1/7,2018,1,7,廿一,雞蛋(大運輸價),26.5
2018/1/8,2018,1,8,廿二,白肉雞(2.0Kg以上),30.3
2018/1/8,2018,1,8,廿二,白肉雞(1.75-1.95Kg),30.3
2018/1/8,2018,1,8,廿二,白肉雞(門市價高屏),31.8
2018/1/8,2018,1,8,廿二,雞蛋(大運輸價),26.5
2018/1/9,2018,1,9,廿三,白肉雞(2.0Kg以上),30.3
2018/1/9,2018,1,9,廿三,白肉雞(1.75-1.95Kg),30.3
2018/1/9,2018,1,9,廿三,白肉雞(門市價高屏),31.8
2018/1/9,2018,1,9,廿三,雞蛋(大運輸價),26.5
2018/1/10,2018,1,10,廿四,白肉雞(2.0Kg以上),30.3
