年,月,縣市,行政區,店面數,土地面積,超商密度
2018,1,宜蘭縣,三星鄉,2,144.2238,0.013867
2018,1,宜蘭縣,五結鄉,8,38.8671,0.20583
2018,1,宜蘭縣,冬山鄉,6,79.8573,0.075134
2018,1,宜蘭縣,壯圍鄉,2,38.4769,0.051979
2018,1,宜蘭縣,宜蘭市,37,29.408,1.258161
2018,1,宜蘭縣,南澳鄉,2,740.652,0.0027
2018,1,宜蘭縣,員山鄉,1,111.9106,0.008936
2018,1,宜蘭縣,頭城鎮,6,100.893,0.059469
2018,1,宜蘭縣,礁溪鄉,5,101.4278,0.049296
2018,1,宜蘭縣,羅東鎮,27,11.3448,2.379945
2018,1,宜蘭縣,蘇澳鎮,10,89.0196,0.112335
2018,1,花蓮縣,玉里鎮,4,252.3719,0.01585
2018,1,花蓮縣,光復鄉,2,157.11,0.01273
2018,1,花蓮縣,吉安鄉,8,65.2582,0.12259
2018,1,花蓮縣,秀林鄉,3,1641.86,0.001827
2018,1,花蓮縣,花蓮市,24,29.4095,0.816063
2018,1,花蓮縣,新城鄉,3,29.4095,0.102008
2018,1,花蓮縣,瑞穗鄉,1,135.5862,0.007375
2018,1,花蓮縣,壽豐鄉,4,218.4448,0.018311
2018,1,花蓮縣,鳳林鎮,2,120.5181,0.016595
2018,1,金門縣,金沙鎮,1,41.19,0.024278
2018,1,金門縣,金城鎮,4,21.713,0.184221
2018,1,金門縣,金湖鎮,4,41.696,0.095932
2018,1,金門縣,金寧鄉,3,29.854,0.100489
2018,1,南投縣,仁愛鄉,5,1273.53,0.003926
2018,1,南投縣,水里鄉,2,106.8424,0.018719
2018,1,南投縣,名間鄉,3,83.0955,0.036103
2018,1,南投縣,竹山鎮,7,247.3339,0.028302
2018,1,南投縣,信義鄉,1,1422.42,0.000703
2018,1,南投縣,南投市,17,71.6021,0.237423
2018,1,南投縣,埔里鎮,24,162.2227,0.147945
2018,1,南投縣,草屯鎮,13,104.0327,0.124961
2018,1,南投縣,國姓鄉,2,175.7042,0.011383
2018,1,南投縣,魚池鄉,6,121.3735,0.049434
2018,1,南投縣,鹿谷鄉,4,141.8981,0.028189
2018,1,南投縣,集集鎮,2,49.7268,0.04022
2018,1,屏東縣,九如鄉,6,42.0187,0.142794
2018,1,屏東縣,三地門鄉,1,196.3965,0.005092
2018,1,屏東縣,內埔鄉,16,81.8554,0.195467
2018,1,屏東縣,車城鄉,4,49.8517,0.080238
2018,1,屏東縣,里港鄉,2,68.9208,0.029019
2018,1,屏東縣,佳冬鄉,3,30.9842,0.096824
2018,1,屏東縣,枋山鄉,2,17.2697,0.11581
2018,1,屏東縣,枋寮鄉,5,57.7347,0.086603
2018,1,屏東縣,東港鎮,8,29.4635,0.271522
2018,1,屏東縣,林邊鄉,2,15.6233,0.128014
2018,1,屏東縣,長治鄉,7,39.8861,0.1755
2018,1,屏東縣,南州鄉,2,18.97,0.10543
2018,1,屏東縣,屏東市,35,65.067,0.537907
2018,1,屏東縣,恆春鎮,9,136.763,0.065807
2018,1,屏東縣,崁頂鄉,2,31.2659,0.063967
2018,1,屏東縣,琉球鄉,1,6.8018,0.14702
2018,1,屏東縣,高樹鄉,2,90.1522,0.022185
2018,1,屏東縣,新埤鄉,2,59.0102,0.033892
2018,1,屏東縣,新園鄉,5,38.3109,0.130511
2018,1,屏東縣,萬丹鄉,9,57.4679,0.156609
2018,1,屏東縣,萬巒鄉,3,60.7315,0.049398
2018,1,屏東縣,潮州鎮,11,42.4331,0.259232
2018,1,屏東縣,麟洛鄉,1,16.26,0.061501
2018,1,屏東縣,鹽埔鄉,4,64.3493,0.062161
2018,1,苗栗縣,三義鄉,3,69.3424,0.043264
2018,1,苗栗縣,三灣鄉,2,52.2964,0.038244
2018,1,苗栗縣,大湖鄉,4,90.8396,0.044034
2018,1,苗栗縣,公館鄉,6,71.4523,0.083972
2018,1,苗栗縣,竹南鎮,25,37.5592,0.665616
2018,1,苗栗縣,卓蘭鎮,4,76.3153,0.052414
2018,1,苗栗縣,南庄鄉,2,165.4938,0.012085
2018,1,苗栗縣,後龍鎮,8,75.8079,0.10553
2018,1,苗栗縣,苗栗市,26,37.8878,0.686237
2018,1,苗栗縣,苑裡鎮,8,68.2473,0.117221
2018,1,苗栗縣,泰安鄉,2,614.5127,0.003255
2018,1,苗栗縣,通霄鎮,1,107.8486,0.009272
2018,1,苗栗縣,造橋鄉,1,47.9978,0.020834
2018,1,苗栗縣,銅鑼鄉,2,78.3805,0.025517
2018,1,苗栗縣,頭份市,32,53.3205,0.600144
2018,1,苗栗縣,頭屋鄉,2,52.5046,0.038092
2018,1,桃園市,八德區,56,33.7111,1.661174
2018,1,桃園市,大園區,25,87.3925,0.286066
2018,1,桃園市,大溪區,18,105.1206,0.171232
2018,1,桃園市,中壢區,119,76.52,1.555149
2018,1,桃園市,平鎮區,52,47.7532,1.088932
2018,1,桃園市,桃園區,107,34.8046,3.074306
2018,1,桃園市,新屋區,12,85.0166,0.141149
2018,1,桃園市,楊梅區,41,89.1229,0.460039
2018,1,桃園市,龍潭區,37,75.2341,0.491798
2018,1,桃園市,龜山區,55,72.0177,0.763701
2018,1,桃園市,蘆竹區,58,75.5025,0.768186
2018,1,桃園市,觀音區,14,87.9807,0.159126
2018,1,高雄市,三民區,58,19.7866,2.931277
2018,1,高雄市,大社區,5,26.5848,0.188077
2018,1,高雄市,大寮區,24,71.04,0.337838
2018,1,高雄市,大樹區,7,66.9811,0.104507
2018,1,高雄市,小港區,19,45.4426,0.41811
2018,1,高雄市,仁武區,25,36.0808,0.692889
2018,1,高雄市,內門區,2,95.6224,0.020916
2018,1,高雄市,六龜區,1,194.1584,0.00515
2018,1,高雄市,左營區,36,19.3823,1.857365
2018,1,高雄市,永安區,1,22.6141,0.04422
2018,1,高雄市,甲仙區,1,124.034,0.008062
2018,1,高雄市,杉林區,2,104.0036,0.01923
2018,1,高雄市,岡山區,23,47.9421,0.479745
2018,1,高雄市,林園區,12,32.286,0.371678
2018,1,高雄市,阿蓮區,1,34.6164,0.028888
2018,1,高雄市,前金區,13,1.8573,6.999408
2018,1,高雄市,前鎮區,27,19.1207,1.412082
2018,1,高雄市,美濃區,5,120.0316,0.041656
2018,1,高雄市,茄萣區,5,15.7624,0.317211
2018,1,高雄市,苓雅區,39,8.1522,4.783985
2018,1,高雄市,梓官區,4,11.5967,0.344926
2018,1,高雄市,鳥松區,13,24.5927,0.528612
2018,1,高雄市,湖內區,2,20.1615,0.099199
2018,1,高雄市,新興區,14,1.9764,7.083586
2018,1,高雄市,楠梓區,34,25.8276,1.316421
2018,1,高雄市,路竹區,11,48.4348,0.227109
2018,1,高雄市,鼓山區,36,14.7523,2.440297
2018,1,高雄市,旗山區,3,94.6122,0.031708
2018,1,高雄市,旗津區,2,1.7341,1.153336
2018,1,高雄市,鳳山區,69,26.759,2.578572
2018,1,高雄市,橋頭區,5,25.9379,0.192768
2018,1,高雄市,燕巢區,4,65.395,0.061167
