股票名稱,股票金額,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
統一,1216,2018/1/2,"6,245,001","415,959,326",66,67.2,65.7,67.2,1.2,"3,125",
統一,1216,2018/1/3,"8,154,266","547,058,499",67.2,67.7,66.4,67.5,0.3,"4,473",
統一,1216,2018/1/4,"7,408,237","497,030,455",67.2,67.5,66.7,67.5,0,"3,661",
統一,1216,2018/1/5,"7,507,133","503,194,164",67.4,67.4,66.7,67.3,-0.2,"2,983",
統一,1216,2018/1/8,"5,859,656","396,079,852",67.2,67.9,67,67.9,0.6,"3,222",
統一,1216,2018/1/9,"8,385,336","565,823,221",67.2,67.9,67.1,67.6,-0.3,"3,238",
統一,1216,2018/1/10,"4,103,565","275,930,488",67.5,67.6,67,67.6,0,"1,692",
統一,1216,2018/1/11,"4,772,094","322,778,031",67.6,67.9,67.2,67.9,0.3,"1,988",
統一,1216,2018/1/12,"4,853,112","329,143,952",67.7,68.1,67.5,68.1,0.2,"2,248",
統一,1216,2018/1/15,"6,355,881","434,799,432",68.4,68.9,67.9,68.7,0.6,"2,567",
統一,1216,2018/1/16,"4,345,567","296,207,656",68.3,68.5,67.8,68.3,-0.4,"2,455",
統一,1216,2018/1/17,"5,274,480","356,297,567",68.3,68.3,67.2,67.6,-0.7,"2,804",
統一,1216,2018/1/18,"10,092,114","689,511,508",67.9,69,67.3,68.2,0.6,"3,700",
統一,1216,2018/1/19,"7,216,777","498,152,254",68.3,69.3,68.1,69.2,1,"3,728",
統一,1216,2018/1/22,"6,988,807","485,835,734",68.7,69.9,68.6,69.9,0.7,"2,908",
統一,1216,2018/1/23,"5,789,627","399,783,944",69.7,69.8,68.6,69.1,-0.8,"3,342",
統一,1216,2018/1/24,"8,259,277","565,739,536",68.6,69.4,68.1,68.4,-0.7,"4,025",
統一,1216,2018/1/25,"9,107,465","625,834,672",68.2,69,68.1,68.7,0.3,"3,923",
統一,1216,2018/1/26,"6,072,908","410,984,667",68.5,68.5,67,67.5,-1.2,"3,672",
統一,1216,2018/1/29,"8,559,924","588,676,188",67.5,69.3,67.5,69.2,1.7,"4,028",
統一,1216,2018/1/30,"10,127,509","697,097,171",69,69.4,68.1,69.4,0.2,"3,705",
統一,1216,2018/1/31,"10,084,350","703,074,105",69.1,70.2,68.6,70,0.6,"3,647",
統一,1216,2018/2/1,"8,280,437","578,273,002",69.4,70.3,69.4,70.3,0.3,"3,916",
統一,1216,2018/2/2,"9,468,857","651,291,441",69.5,70,68.1,69,-1.3,"4,590",
統一,1216,2018/2/5,"6,984,778","476,250,893",68,68.8,68,68.3,-0.7,"2,940",
統一,1216,2018/2/6,"16,091,295","1,058,231,737",66.4,66.6,65,65.7,-2.6,"6,519",
統一,1216,2018/2/7,"10,210,777","683,610,883",66.5,68,66.3,66.8,1.1,"4,882",
統一,1216,2018/2/8,"5,937,287","393,812,489",66.7,67.3,66,66.6,-0.2,"2,963",
統一,1216,2018/2/9,"8,699,275","572,234,060",64.7,66.7,64.6,66,-0.6,"4,967",
統一,1216,2018/2/12,"7,623,134","499,056,956",65.9,65.9,65.1,65.5,-0.5,"2,684",
統一,1216,2018/2/21,"11,910,939","814,940,135",67.9,69.2,66.7,69.2,3.7,"5,653",
統一,1216,2018/2/22,"13,553,525","904,440,575",67.5,67.6,66.1,66.8,-2.4,"6,645",
統一,1216,2018/2/23,"11,154,159","742,164,805",66.4,66.9,66.3,66.8,0,"4,718",
統一,1216,2018/2/26,"11,514,695","791,701,725",68,69.2,68,68.4,1.6,"6,796",
統一,1216,2018/2/27,"8,425,162","580,762,097",69,69.2,68.6,69,0.6,"2,846",
統一,1216,2018/3/1,"12,259,742","847,036,067",67.8,69.6,67.8,69.3,0.3,"5,008",
統一,1216,2018/3/2,"9,503,062","654,425,310",68.3,69.5,68.3,68.7,-0.6,"3,999",
統一,1216,2018/3/5,"6,887,391","467,507,283",68.4,68.5,67.3,67.8,-0.9,"2,923",
統一,1216,2018/3/6,"4,716,325","319,049,597",68.2,68.6,67.3,67.5,-0.3,"2,136",
統一,1216,2018/3/7,"7,002,167","480,285,626",68,69,67.7,69,1.5,"2,945",
統一,1216,2018/3/8,"2,754,821","189,027,720",68.9,68.9,68.5,68.5,-0.5,"1,577",
統一,1216,2018/3/9,"1,726,365","117,960,972",68.3,68.6,68.1,68.2,-0.3,"1,256",
統一,1216,2018/3/12,"6,017,910","417,514,739",69,69.7,68.5,69.6,1.4,"3,306",
統一,1216,2018/3/13,"4,414,304","306,251,766",69,69.8,68.3,69.8,0.2,"2,664",
統一,1216,2018/3/14,"5,558,191","383,616,379",69.5,69.5,68.6,69.3,-0.5,"3,596",
統一,1216,2018/3/15,"3,431,404","236,927,576",69.3,69.3,68.7,69,-0.3,"1,573",
統一,1216,2018/3/16,"18,926,505","1,314,654,764",68.7,70.1,68,70.1,1.1,"5,078",
統一,1216,2018/3/19,"3,901,002","269,165,811",69.3,69.4,68.7,69.3,-0.8,"2,576",
統一,1216,2018/3/20,"6,123,015","418,633,900",69.2,69.2,68.1,68.1,-1.2,"3,562",
統一,1216,2018/3/21,"6,152,781","420,259,485",68.5,68.8,67.9,68.8,0.7,"3,696",
統一,1216,2018/3/22,"7,695,883","525,027,294",68.6,68.8,67.7,68.6,-0.2,"4,681",
統一,1216,2018/3/23,"6,623,500","449,256,900",67.4,68.1,67.4,68,-0.6,"3,200",
統一,1216,2018/3/26,"5,928,576","400,574,168",68,68,67.3,68,0,"3,183",
統一,1216,2018/3/27,"5,425,818","370,331,924",68.2,68.7,68,68.2,0.2,"3,079",
統一,1216,2018/3/28,"8,994,723","611,186,166",68.2,68.3,67.7,68,-0.2,"2,081",
統一,1216,2018/3/29,"17,148,089","1,184,308,871",69.1,70,68.3,68.3,0.3,"8,367",
統一,1216,2018/3/30,"6,690,954","460,617,007",68.9,69.3,68.3,68.5,0.2,"3,724",
統一,1216,2018/3/31,"2,361,599","163,057,832",68.8,69.3,68.5,69,0.5,"1,651",
統一,1216,2018/4/2,"3,095,714","214,571,510",69.2,69.5,69.1,69.4,0.4,"2,162",
統一,1216,2018/4/3,"8,853,532","605,210,103",69,69.1,68.1,68.2,-1.2,"4,951",
統一,1216,2018/4/9,"12,352,027","862,290,490",68.9,70.4,68.5,70.2,2,"5,826",
統一,1216,2018/4/10,"13,892,282","975,482,681",69.4,71,69.4,70.6,0.4,"4,925",
統一,1216,2018/4/11,"5,963,256","419,967,469",70.6,70.8,69.9,70.7,0.1,"3,917",
統一,1216,2018/4/12,"5,376,124","379,225,102",70.7,71,70.2,70.8,0.1,"2,796",
統一,1216,2018/4/13,"7,438,166","526,472,690",70.8,71.3,70.5,70.7,-0.1,"3,277",
統一,1216,2018/4/16,"6,306,044","451,991,692",70.8,72.5,70.8,71.6,0.9,"3,490",
統一,1216,2018/4/17,"7,913,732","559,498,038",71.7,71.7,70.4,70.5,-1.1,"3,540",
統一,1216,2018/4/18,"9,074,366","644,670,886",71.3,71.3,70.8,71.2,0.7,"3,134",
統一,1216,2018/4/19,"11,542,004","842,564,092",71.3,73.5,71.2,73.4,2.2,"5,368",
統一,1216,2018/4/20,"8,367,955","599,603,299",73,73,71,71.4,-2,"4,144",
統一,1216,2018/4/23,"7,212,762","507,356,224",71.3,71.3,69.9,70.3,-1.1,"4,010",
統一,1216,2018/4/24,"6,504,758","456,910,653",71,71.1,69.8,70.3,0,"3,485",
統一,1216,2018/4/25,"6,920,920","481,555,995",70,70,69.3,69.6,-0.7,"3,612",
統一,1216,2018/4/26,"6,647,193","468,058,413",70.1,70.8,70.1,70.8,1.2,"3,613",
統一,1216,2018/4/27,"12,040,402","844,520,537",70.1,70.5,69.9,70.3,-0.5,"3,672",
統一,1216,2018/4/30,"10,130,735","723,901,255",70,72.2,70,71.6,1.3,"3,960",
統一,1216,2018/5/2,"8,583,304","604,605,974",71,71.6,70.1,70.5,-1.1,"3,629",
統一,1216,2018/5/3,"12,138,766","838,051,603",70,70.2,68.7,68.8,-1.7,"5,583",
統一,1216,2018/5/4,"12,241,099","854,712,320",68.5,70.6,68.5,70,1.2,"4,536",
統一,1216,2018/5/7,"4,683,061","328,577,446",70.1,70.5,69.8,70.2,0.2,"2,900",
統一,1216,2018/5/8,"6,525,672","455,456,574",69.8,70.2,69.6,69.8,-0.4,"3,508",
統一,1216,2018/5/9,"8,874,162","613,368,676",69.5,69.8,68.8,68.9,-0.9,"4,451",
統一,1216,2018/5/10,"6,213,206","434,258,632",69,70.3,69,70.3,1.4,"3,311",
統一,1216,2018/5/11,"5,590,530","391,953,408",70.5,70.5,69.9,70,-0.3,"2,895",
統一,1216,2018/5/14,"11,917,791","850,108,104",70.5,72.2,70.4,72,2,"5,476",
統一,1216,2018/5/15,"8,605,893","621,324,896",72,72.7,71.2,72,0,"4,594",
統一,1216,2018/5/16,"6,763,080","488,124,200",72.3,72.5,71.2,72.5,0.5,"3,063",
統一,1216,2018/5/17,"10,787,865","768,048,621",72,72,70.7,70.7,-1.8,"5,400",
統一,1216,2018/5/18,"7,010,955","500,151,531",71,71.8,71,71.4,0.7,"3,059",
統一,1216,2018/5/21,"4,197,661","300,721,639",71.4,71.8,71,71.7,0.3,"3,417",
統一,1216,2018/5/22,"5,312,739","382,004,118",71.7,72.2,71.6,71.8,0.1,"2,999",
統一,1216,2018/5/23,"6,671,691","482,711,794",72.2,72.8,71.9,72,0.2,"3,798",
統一,1216,2018/5/24,"7,848,352","567,361,404",72.8,72.8,71.8,72.1,0.1,"3,729",
統一,1216,2018/5/25,"6,647,257","480,549,089",72.1,72.5,72.1,72.4,0.3,"3,106",
統一,1216,2018/5/28,"5,311,014","388,127,381",72.4,73.5,72.3,73.3,0.9,"3,810",
統一,1216,2018/5/29,"5,572,132","410,349,142",73.3,74.1,73.3,73.5,0.2,"3,121",
統一,1216,2018/5/30,"12,323,731","891,723,832",72.5,73,71.9,71.9,-1.6,"5,298",
統一,1216,2018/5/31,"34,496,892","2,511,802,360",72.9,73.1,72.1,73.1,1.2,"4,270",
統一,1216,2018/6/1,"7,395,215","542,950,997",73,74,72.5,74,0.9,"4,143",
統一,1216,2018/6/4,"8,486,390","634,619,288",74.2,75.1,73.9,75.1,1.1,"4,444",
統一,1216,2018/6/5,"7,614,273","570,642,877",75,75.2,74.5,75,-0.1,"3,880",
統一,1216,2018/6/6,"8,336,562","630,702,604",75.4,76,74.6,75.9,0.9,"4,224",
統一,1216,2018/6/7,"10,092,667","762,380,390",76,76.1,75.3,75.5,-0.4,"5,186",
統一,1216,2018/6/8,"6,467,673","485,465,675",75.5,75.5,74.8,75,-0.5,"3,130",
統一,1216,2018/6/11,"7,460,982","553,556,168",74.9,74.9,73.8,74,-1,"4,234",
統一,1216,2018/6/12,"12,002,171","888,897,404",73.2,74.8,73.2,74.5,0.5,"4,627",
統一,1216,2018/6/13,"6,848,338","505,259,277",74,74,73.6,73.7,-0.8,"3,632",
統一,1216,2018/6/14,"9,964,250","726,865,005",73,73.4,72.5,72.5,-1.2,"4,277",
統一,1216,2018/6/15,"14,602,344","1,079,080,356",72.2,74.2,72.2,74.2,1.7,"4,087",
統一,1216,2018/6/19,"15,467,126","1,141,593,134",72.5,75,72.3,74.3,0.1,"7,432",
統一,1216,2018/6/20,"14,492,905","1,093,584,608",75,76.2,74.4,75.9,1.6,"6,033",
統一,1216,2018/6/21,"10,409,212","799,515,243",76.8,77.7,76,77,1.1,"5,825",
統一,1216,2018/6/22,"9,875,211","753,605,233",76.5,77,75.8,76.7,-0.3,"4,021",
統一,1216,2018/6/25,"6,610,466","507,064,231",76.6,77.1,76.1,76.7,0,"2,990",
統一,1216,2018/6/26,"6,541,868","503,485,049",76.8,77.4,76.7,76.8,0.1,"2,995",
統一,1216,2018/6/27,"8,390,448","647,925,909",76.8,77.9,76.2,77.5,0.7,"4,613",
統一,1216,2018/6/28,"13,091,649","990,256,775",77,77.4,75,75,-2.5,"5,909",
統一,1216,2018/6/29,"15,029,466","1,148,107,740",74.6,77.4,74.5,77.4,2.4,"5,382",
統一,1216,2018/7/2,"8,285,751","638,792,012",76.9,77.7,76.8,76.9,-0.5,"3,227",
統一,1216,2018/7/3,"8,395,636","644,131,670",76.8,77.5,76.3,76.6,-0.3,"3,579",
統一,1216,2018/7/4,"4,414,282","340,954,814",76.9,78,76.8,77.1,0.5,"2,066",
統一,1216,2018/7/5,"6,035,174","464,055,298",77.5,77.5,76.4,77,-0.1,"2,533",
統一,1216,2018/7/6,"10,562,157","820,546,086",77.5,78.3,76.7,78,1,"5,357",
統一,1216,2018/7/9,"6,637,614","522,347,071",78.8,79.2,78.2,78.8,0.8,"3,409",
統一,1216,2018/7/10,"8,199,417","653,079,350",79.5,80,78.8,79.7,0.9,"4,288",
統一,1216,2018/7/11,"7,013,302","560,736,560",79.6,80.4,79.1,80.1,0.4,"4,276",
統一,1216,2018/7/12,"8,261,853","657,929,651",79.7,80,79,79.5,-0.6,"4,141",
統一,1216,2018/7/13,"6,953,605","551,064,328",80,80,78.8,79.3,-0.2,"3,749",
統一,1216,2018/7/16,"3,786,029","299,791,991",79,79.7,79,79,-0.3,"2,334",
統一,1216,2018/7/17,"15,943,099","1,268,475,720",79,80.3,78.6,79.4,0.4,"5,079",
統一,1216,2018/7/18,"15,988,972","1,312,789,654",80,83.8,79.7,82.4,3,"7,501",
統一,1216,2018/7/19,"17,194,932","1,413,544,606",82.1,83,81.8,82.1,-0.3,"5,992",
統一,1216,2018/7/20,"15,115,885","1,231,311,885",82.7,82.7,80.7,80.8,-1.3,"5,688",
統一,1216,2018/7/23,"13,831,254","1,108,784,646",80.4,80.7,79.8,80.1,-0.7,"5,897",
統一,1216,2018/7/24,"11,745,523","944,099,007",80.7,80.8,80.1,80.6,0.5,"4,245",
統一,1216,2018/7/25,"12,758,857","1,025,163,641",81,81.8,79.6,79.8,-0.8,"5,768",
統一,1216,2018/7/26,"11,240,948","907,763,089",80.5,81.6,80.2,80.7,0.9,"5,067",
統一,1216,2018/7/27,"11,151,394","897,614,294",80.9,80.9,80.2,80.7,0,"4,287",
統一,1216,2018/7/30,"9,564,373","775,607,142",81.3,81.5,80.7,80.7,0,"4,150",
統一,1216,2018/7/31,"19,223,720","1,547,322,028",80.7,81,79.8,80.8,0.1,"6,122",
統一,1216,2018/8/1,"33,999,841","2,671,748,644",78,79.7,78,78.8,-2,"12,625",
統一,1216,2018/8/2,"26,595,904","1,964,929,828",73.5,74.8,73.5,73.9,X0.00,"9,786",
統一,1216,2018/8/3,"8,105,187","604,032,115",74.1,74.8,74.1,74.6,0.7,"4,136",
統一,1216,2018/8/6,"5,430,057","404,141,222",75,75,74,74.2,-0.4,"2,934",
統一,1216,2018/8/7,"7,304,678","538,949,172",74.2,74.7,73.4,73.4,-0.8,"4,272",
統一,1216,2018/8/8,"14,334,913","1,044,232,823",73.6,74,72.1,72.2,-1.2,"8,260",
統一,1216,2018/8/9,"15,983,427","1,135,286,892",72.2,72.2,70.6,71,-1.2,"6,696",
統一,1216,2018/8/10,"10,678,635","774,473,485",71.1,72.9,71.1,72.7,1.7,"5,798",
統一,1216,2018/8/13,"8,594,717","623,470,767",73.1,73.2,71.4,72.2,-0.5,"4,777",
統一,1216,2018/8/14,"19,276,534","1,440,497,750",74,75.5,73.5,75,2.8,"8,641",
統一,1216,2018/8/15,"10,438,716","784,202,000",75,75.8,74.6,74.8,-0.2,"4,624",
統一,1216,2018/8/16,"9,668,036","725,591,450",74.8,75.5,74.8,75.1,0.3,"3,730",
統一,1216,2018/8/17,"14,473,161","1,107,679,509",75.8,77,75.8,77,1.9,"6,646",
統一,1216,2018/8/20,"11,745,419","890,247,889",77.1,77.5,74.8,75.4,-1.6,"5,548",
統一,1216,2018/8/21,"5,465,180","415,408,174",75.8,76.4,75.6,76.2,0.8,"3,700",
統一,1216,2018/8/22,"7,887,136","603,116,842",76.9,76.9,76,76.3,0.1,"3,479",
統一,1216,2018/8/23,"11,362,908","879,230,308",77,78,76.8,78,1.7,"6,359",
統一,1216,2018/8/24,"9,691,235","751,213,628",78.1,78.2,77,77.7,-0.3,"5,299",
統一,1216,2018/8/27,"9,775,532","761,241,267",78,78.5,77.3,77.9,0.2,"4,594",
統一,1216,2018/8/28,"8,064,482","631,175,515",78.2,78.8,77.9,78.8,0.9,"4,047",
統一,1216,2018/8/29,"12,463,572","972,870,354",78.9,79.2,77.3,77.5,-1.3,"5,144",
統一,1216,2018/8/30,"7,663,581","589,619,823",77.2,77.8,76.5,77.2,-0.3,"4,465",
統一,1216,2018/8/31,"7,341,477","567,571,153",77.2,77.6,76.7,77.6,0.4,"2,874",
統一,1216,2018/9/3,"3,207,060","244,815,033",77.3,77.3,76,76.2,-1.4,"2,599",
統一,1216,2018/9/4,"3,722,784","284,105,809",76.3,76.9,76,76.6,0.4,"2,451",
統一,1216,2018/9/5,"6,599,998","497,483,229",76.1,76.4,75,75,-1.6,"3,532",
統一,1216,2018/9/6,"6,976,408","527,188,285",74.9,76.4,74.2,75.5,0.5,"3,896",
統一,1216,2018/9/7,"6,928,171","519,125,236",74.9,75.4,74.6,74.8,-0.7,"3,635",
統一,1216,2018/9/10,"6,173,590","464,831,639",76,76,74.7,75.7,0.9,"3,803",
統一,1216,2018/9/11,"5,859,705","446,517,270",76,76.8,75.5,76.8,1.1,"3,147",
統一,1216,2018/9/12,"6,068,730","461,369,436",77,77,75.4,76.4,-0.4,"3,499",
統一,1216,2018/9/13,"6,554,045","492,936,735",75.8,75.8,75,75,-1.4,"3,863",
統一,1216,2018/9/14,"8,072,175","609,209,233",75.4,75.9,75.2,75.4,0.4,"3,648",
統一,1216,2018/9/17,"4,141,046","313,604,349",76.1,76.2,75.4,75.6,0.2,"2,572",
統一,1216,2018/9/18,"14,386,596","1,117,848,868",76.3,78.4,75.9,78.4,2.8,"7,685",
統一,1216,2018/9/19,"9,583,366","750,955,925",78.5,79,77.5,79,0.6,"5,063",
統一,1216,2018/9/20,"5,877,299","456,879,332",77.6,78.2,77.2,77.7,-1.3,"3,420",
統一,1216,2018/9/21,"11,275,019","883,440,582",78.1,78.8,78,78.1,0.4,"4,577",
統一,1216,2018/9/25,"7,962,145","630,420,090",80,80,78.5,79.1,1,"4,233",
統一,1216,2018/9/26,"8,336,350","661,464,161",78.6,79.9,78.3,79.8,0.7,"4,002",
統一,1216,2018/9/27,"6,853,575","544,455,159",79.9,80,78.8,79.3,-0.5,"3,525",
統一,1216,2018/9/28,"6,285,501","499,328,313",78.9,79.8,78.7,79.7,0.4,"2,591",
統一,1216,2018/10/1,"3,764,570","298,351,230",80,80,78.8,78.9,-0.8,"2,627",
統一,1216,2018/10/2,"5,540,960","429,963,571",78.5,78.6,77.1,77.5,-1.4,"3,005",
統一,1216,2018/10/3,"2,946,458","229,992,116",77.9,78.4,77.8,78.3,0.8,"1,686",
統一,1216,2018/10/4,"11,410,393","868,677,808",77.5,77.9,75.4,75.4,-2.9,"5,952",
統一,1216,2018/10/5,"8,466,937","638,640,212",75,76.4,75,75.3,-0.1,"4,184",
統一,1216,2018/10/8,"5,096,602","383,872,022",75.5,75.6,75,75.5,0.2,"2,328",
統一,1216,2018/10/9,"6,549,038","494,247,559",75.6,75.8,75.3,75.3,-0.2,"3,738",
統一,1216,2018/10/11,"27,095,451","1,917,327,821",72.2,73.1,69.7,70.2,-5.1,"12,032",
統一,1216,2018/10/12,"11,788,184","843,610,306",69.7,72.9,69.7,72.9,2.7,"5,816",
統一,1216,2018/10/15,"10,655,730","763,449,252",71.2,72.9,70.6,72.8,-0.1,"4,496",
統一,1216,2018/10/16,"7,481,137","546,808,445",72.6,74.2,72,73.3,0.5,"4,288",
統一,1216,2018/10/17,"7,481,889","551,478,095",73.8,74.4,73,73.5,0.2,"4,112",
統一,1216,2018/10/18,"4,526,834","331,238,197",73.8,74,72.7,72.7,-0.8,"2,198",
統一,1216,2018/10/19,"28,995,758","2,167,503,626",72.7,76.3,72.5,74.9,2.2,"5,721",
統一,1216,2018/10/22,"6,280,002","464,507,537",74.3,74.9,73.5,74.1,-0.8,"3,089",
統一,1216,2018/10/23,"7,206,610","524,606,330",73.1,74,72.3,72.8,-1.3,"2,967",
統一,1216,2018/10/24,"7,990,223","585,784,367",72.8,74,72.6,73.1,0.3,"4,763",
統一,1216,2018/10/25,"13,437,491","1,002,395,859",73.5,75.3,73.1,75,1.9,"6,332",
統一,1216,2018/10/26,"8,806,622","661,353,550",74.9,75.8,73.7,75.8,0.8,"3,466",
統一,1216,2018/10/29,"5,407,571","413,745,912",76,76.9,76,76.7,0.9,"2,602",
統一,1216,2018/10/30,"11,203,193","840,113,075",76,76,74.2,74.8,-1.9,"4,233",
統一,1216,2018/10/31,"9,721,344","724,969,400",74,75.1,74,74.9,0.1,"3,908",
統一,1216,2018/11/1,"13,230,502","995,035,852",74.4,76.2,74.1,76.2,1.3,"3,903",
統一,1216,2018/11/2,"7,767,233","582,209,349",76.2,76.2,74.2,75.6,-0.6,"3,462",
統一,1216,2018/11/5,"5,288,804","399,543,803",75.2,76.3,74.3,76.3,0.7,"2,745",
