Stock_Name,日期,Close,High,Low,Open,Volume,Ticker
儒鴻,2018/1/2,297,304,297,300,1154855,1476
儒鴻,2018/1/3,297,299,295.5,299,1026890,1476
儒鴻,2018/1/4,301,307,297.5,299,1820174,1476
儒鴻,2018/1/5,296,303,296,302.5,904898,1476
儒鴻,2018/1/8,293.5,300,288.5,297.5,1063440,1476
儒鴻,2018/1/9,295,296.5,288.5,291.5,1149986,1476
儒鴻,2018/1/10,294,300.5,294,300,1668049,1476
儒鴻,2018/1/11,296.5,297,291.5,294.5,595435,1476
儒鴻,2018/1/12,298,298.5,294.5,298.5,693262,1476
儒鴻,2018/1/15,303.5,305.5,298.5,300,1883163,1476
儒鴻,2018/1/16,301,305.5,300,304.5,988252,1476
儒鴻,2018/1/17,299.5,300,297,300,958368,1476
儒鴻,2018/1/18,312,315,300,302,4552368,1476
儒鴻,2018/1/19,305.5,312,305,312,1379193,1476
儒鴻,2018/1/22,310.5,313.5,306.5,308,1162217,1476
儒鴻,2018/1/23,311,312,306.5,312,959947,1476
儒鴻,2018/1/24,308.5,313,308,310.5,856300,1476
儒鴻,2018/1/25,307.5,310.5,306.5,308.5,618945,1476
儒鴻,2018/1/26,306,311.5,306,311,643528,1476
儒鴻,2018/1/29,303.5,310,303.5,306.5,583920,1476
儒鴻,2018/1/30,299.5,306.5,298.5,303.5,822497,1476
儒鴻,2018/1/31,292.5,299.5,292,299.5,1377630,1476
儒鴻,2018/2/1,296.5,296.5,290,291,990142,1476
儒鴻,2018/2/2,294,296.5,293,294.5,612954,1476
儒鴻,2018/2/5,285.5,288,278,286,1546759,1476
儒鴻,2018/2/6,272.5,284,263.5,278,2896220,1476
儒鴻,2018/2/7,290,295,280.5,284,2363110,1476
儒鴻,2018/2/8,291,293,286.5,290,932748,1476
儒鴻,2018/2/9,305,305,283.5,284,3586925,1476
儒鴻,2018/2/12,299,309,298,305.5,1273260,1476
儒鴻,2018/2/21,311,312,303,303,2608625,1476
儒鴻,2018/2/22,312,315,305.5,310.5,1637296,1476
儒鴻,2018/2/23,310,316.5,309,314,946710,1476
儒鴻,2018/2/26,309.5,314,308,314,736415,1476
儒鴻,2018/2/27,312,314,310.5,312.5,655808,1476
儒鴻,2018/3/1,305,320,305,308,2351952,1476
儒鴻,2018/3/2,308,309.5,302.5,303.5,1113456,1476
儒鴻,2018/3/5,305.5,311,305,308,540300,1476
儒鴻,2018/3/6,314,317,308,308.5,1044295,1476
儒鴻,2018/3/7,314,316,309.5,314,780040,1476
儒鴻,2018/3/8,319.5,320,313.5,314,1237033,1476
儒鴻,2018/3/9,327,331,322,329,3100246,1476
儒鴻,2018/3/12,330,334.5,329,331,1875592,1476
儒鴻,2018/3/13,328,333,327,333,737456,1476
儒鴻,2018/3/14,325.5,328,324,328,754975,1476
儒鴻,2018/3/15,328.5,332.5,321.5,324,708628,1476
儒鴻,2018/3/16,325.5,329.5,322,328.5,823976,1476
儒鴻,2018/3/19,321,326,320.5,324,619092,1476
儒鴻,2018/3/20,321,322.5,318,318,643670,1476
儒鴻,2018/3/21,346,348.5,329,329.5,4496530,1476
儒鴻,2018/3/22,341,347.5,338,346,1337166,1476
儒鴻,2018/3/23,337,338,329.5,334.5,1616333,1476
儒鴻,2018/3/26,342,355,337,337,2695953,1476
儒鴻,2018/3/27,339,347.5,338,346,1426341,1476
儒鴻,2018/3/28,341,348,340,342,1694635,1476
儒鴻,2018/3/29,340,348,340,346,1068840,1476
儒鴻,2018/3/30,339,344,339,342.5,641483,1476
儒鴻,2018/4/2,351,354,344.5,344.5,1988010,1476
儒鴻,2018/4/3,353,361,349,350,2809496,1476
儒鴻,2018/4/9,366,368,355,358.5,3108119,1476
儒鴻,2018/4/10,368,369,361.5,366,1106387,1476
儒鴻,2018/4/11,377,383.5,372,377,2912300,1476
儒鴻,2018/4/12,375.5,378,371.5,377,1074004,1476
儒鴻,2018/4/13,370,378,369,378,1010543,1476
儒鴻,2018/4/16,373,377,370.5,371,1048541,1476
儒鴻,2018/4/17,359,375.5,358,375.5,1886542,1476
儒鴻,2018/4/18,359.5,368.5,359,360,1464599,1476
儒鴻,2018/4/19,365,370,361,362.5,1739382,1476
儒鴻,2018/4/20,366,367,359,365,631118,1476
儒鴻,2018/4/23,354.5,366,348.5,366,1157526,1476
