日期,開盤價,最高價,最低價,收盤價,交易量
2018/1/2,236.3332,239.4843,233.9699,233.9699,1154855
2018/1/3,235.5454,235.5454,232.7882,233.9699,1026890
2018/1/4,235.5455,241.8477,234.3638,237.1210,1820174
2018/1/5,238.3027,238.6966,233.1821,233.1821,904898
2018/1/8,234.3638,236.3333,227.2738,231.2127,1063440
2018/1/9,229.6371,233.5760,227.2738,232.3943,1149986
2018/1/10,236.3332,236.7271,231.6066,231.6066,1668049
2018/1/11,232.0005,233.9699,229.6372,233.5760,595435
2018/1/12,235.1516,235.1516,232.0005,234.7577,693262
2018/1/15,236.3333,240.6660,235.1516,239.0905,1883163
2018/1/16,239.8782,240.6660,236.3332,237.1210,988252
2018/1/17,236.3333,236.3333,233.9699,235.9394,958368
2018/1/18,237.9088,248.1499,236.3332,245.7866,4552368
2018/1/19,245.7866,245.7866,240.2721,240.6660,1379193
2018/1/22,242.6355,246.9682,241.4538,244.6049,1162217
2018/1/23,245.7866,245.7866,241.4538,244.9988,959947
2018/1/24,244.6049,246.5743,242.6355,243.0293,856300
2018/1/25,243.0294,244.6049,241.4538,242.2416,618945
2018/1/26,244.9988,245.3927,241.0599,241.0599,643528
2018/1/29,241.4538,244.2110,239.0905,239.0905,583920
2018/1/30,239.0905,241.4538,235.1516,235.9394,822497
2018/1/31,235.9394,235.9394,230.0310,230.4249,1377630
2018/2/1,229.2433,233.5760,228.4555,233.5760,990142
2018/2/2,232.0005,233.5760,230.8188,231.6066,612954
2018/2/5,225.3044,226.8799,219.0022,224.9105,1546759
2018/2/6,219.0021,223.7288,207.5794,214.6694,2896220
2018/2/7,223.7288,232.3944,220.9716,228.4555,2363110
2018/2/8,228.4554,230.8188,225.6982,229.2432,932748
2018/2/9,223.7288,240.2722,223.3349,240.2722,3586925
2018/2/12,240.6660,243.4232,234.7577,235.5455,1273260
2018/2/21,238.6966,245.7866,238.6966,244.9988,2608625
2018/2/22,244.6049,248.1499,240.6660,245.7866,1637296
2018/2/23,247.3622,249.3316,243.4233,244.2111,946710
2018/2/26,247.3621,247.3621,242.6354,243.8171,736415
2018/2/27,246.1804,247.3621,244.6049,245.7866,655808
2018/3/1,242.6355,252.0888,240.2722,240.2722,2351952
2018/3/2,239.0904,243.8171,238.3026,242.6354,1113456
2018/3/5,242.6355,244.9988,240.2721,240.6660,540300
2018/3/6,243.0294,249.7255,242.6355,247.3621,1044295
2018/3/7,247.3621,248.9377,243.8171,247.3621,780040
2018/3/8,247.3621,252.0888,246.9682,251.6949,1237033
2018/3/9,259.1788,260.7544,253.6644,257.6033,3100246
2018/3/12,260.7544,263.5116,259.1788,259.9666,1875592
2018/3/13,262.3299,262.3299,257.6032,258.3910,737456
2018/3/14,258.3910,258.3910,255.2399,256.4216,754975
2018/3/15,255.2399,261.9360,253.2705,258.7849,708628
2018/3/16,258.7849,259.5727,253.6644,256.4216,823976
2018/3/19,255.2399,256.8155,252.4827,252.8766,619092
2018/3/20,250.5132,254.0582,250.5132,252.8766,643670
2018/3/21,259.5727,274.5405,259.1788,272.5710,4496530
2018/3/22,272.5710,273.7527,266.2688,268.6321,1337166
2018/3/23,263.5115,266.2688,259.5727,265.4810,1616333
2018/3/26,265.4811,279.6611,265.4811,269.4200,2695953
2018/3/27,272.5710,273.7527,266.2688,267.0566,1426341
2018/3/28,269.4199,274.1466,267.8444,268.6321,1694635
2018/3/29,272.5710,274.1466,267.8444,267.8444,1068840
2018/3/30,269.8138,270.9955,267.0566,267.0566,641483
2018/4/2,271.3893,278.8732,271.3893,276.5099,1988010
2018/4/3,275.7221,284.3877,274.9343,278.0854,2809496
2018/4/9,282.4182,289.9021,279.6610,288.3266,3108119
2018/4/10,288.3265,290.6899,284.7815,289.9021,1106387
2018/4/11,296.9921,302.1127,293.0532,296.9921,2912300
2018/4/12,296.9922,297.7799,292.6594,295.8105,1074004
2018/4/13,297.7799,297.7799,290.6899,291.4777,1010543
2018/4/16,292.2654,296.9921,291.8716,293.8410,1048541
2018/4/17,295.8105,295.8105,282.0244,282.8121,1886542
2018/4/18,283.5999,290.2960,282.8121,283.2060,1464599
2018/4/19,285.5694,291.4777,284.3877,287.5388,1739382
2018/4/20,287.5388,289.1143,282.8121,288.3266,631118
2018/4/23,288.3266,288.3266,274.5405,279.2671,1157526
2018/4/24,282.8121,282.8121,267.8443,278.4793,1348586
2018/4/25,275.7222,284.3877,272.5711,283.5999,902220
2018/4/26,286.3571,286.7510,280.8427,281.6305,1047222
2018/4/27,283.9938,285.1755,278.8733,283.5999,538106
2018/4/30,285.1754,285.1754,280.0549,283.2060,835025
2018/5/2,285.9632,285.9632,280.4488,280.4488,772038
2018/5/3,280.8427,283.9938,276.9038,282.4182,1124507
2018/5/4,281.6304,282.0243,256.0277,262.3299,3658006
2018/5/7,259.9666,272.1772,259.9666,269.8138,1679656
2018/5/8,283.5999,292.6594,280.0549,283.5999,4684919
2018/5/9,285.9632,291.4777,280.4488,291.4777,1822230
2018/5/10,293.8410,295.4165,289.9021,291.4777,2164475
2018/5/11,287.5388,293.0532,285.5694,289.1143,1327615
2018/5/14,289.9021,293.8410,285.1755,293.4471,991255
2018/5/15,293.4471,293.8410,288.7204,291.8716,650933
2018/5/16,291.8716,296.5982,290.6899,292.2654,1136705
2018/5/17,293.4471,301.7188,291.4777,299.3555,3113376
2018/5/18,296.9922,299.3555,294.6288,296.2044,1433556
2018/5/21,298.1738,304.0821,296.5982,298.9616,1637683
2018/5/22,300.5371,300.9310,295.4166,296.9921,854128
2018/5/23,297.7799,300.1432,293.0532,297.7799,620399
2018/5/24,297.7799,298.5677,291.4777,291.4777,648452
2018/5/25,292.6594,296.5983,287.9327,293.4471,645697
2018/5/28,294.2349,296.9921,289.1143,291.8716,687064
2018/5/29,293.4471,293.8410,287.5388,293.0532,842529
2018/5/30,290.6899,291.0838,281.6305,282.8121,1422993
2018/5/31,285.9632,289.5082,285.9632,288.3266,1291888
2018/6/1,291.0838,298.5677,291.0838,298.1738,1624008
2018/6/4,299.3555,305.2638,298.1738,303.2944,1926229
2018/6/5,301.7188,302.5066,297.3860,298.5677,1152111
2018/6/6,300.1432,309.9905,300.1432,306.8394,1643573
2018/6/7,297.7799,297.7799,282.8121,284.3877,4587687
2018/6/8,288.3265,291.4777,283.9938,290.6899,1907794
2018/6/11,286.3571,286.3571,276.9038,279.2671,2175013
2018/6/12,282.8121,289.1143,280.4488,282.0243,2066040
2018/6/13,285.9632,287.5388,277.6916,281.2366,1491185
2018/6/14,282.8121,283.2060,273.3588,273.7527,2074578
2018/6/15,275.7221,280.8427,274.5405,280.8427,1404480
2018/6/19,275.3282,282.4182,273.7527,280.0549,1106760
2018/6/20,280.0549,280.8427,275.7222,275.7222,762213
2018/6/21,278.0855,280.4488,274.9344,275.7222,681092
2018/6/22,278.0855,278.0855,271.7833,272.1772,652159
2018/6/25,273.7527,275.7222,269.8138,271.7833,549106
2018/6/26,269.0260,274.5405,265.4810,273.3588,943672
2018/6/27,272.5710,278.4793,272.5710,277.6916,676281
2018/6/28,278.8732,278.8732,272.9649,277.6916,601709
2018/6/29,279.2671,285.5693,278.8732,285.5693,1019541
2018/7/2,285.9633,288.3266,283.5999,285.1755,895781
2018/7/3,285.9632,287.5388,277.2976,278.8732,1092917
2018/7/4,282.8121,287.5388,279.6610,281.2366,513423
2018/7/5,284.7816,286.3571,281.6305,283.9938,734275
2018/7/6,283.9938,284.7816,278.0855,279.6610,765001
2018/7/9,279.6610,285.3271,279.6610,282.4940,610055
2018/7/10,279.2563,283.3035,272.7808,280.8752,1471308
