日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2018/01/02,"637,596","8,764,607",13.65,13.80,13.65,13.80,+0.20,291,
2018/01/03,"901,452","12,349,863",13.80,13.80,13.60,13.65,-0.15,263,
2018/01/04,"729,998","10,011,312",13.75,13.80,13.65,13.75,+0.10,304,
2018/01/05,"694,470","9,521,308",13.75,13.80,13.65,13.75,0.00,229,
2018/01/08,"1,758,360","24,438,856",13.80,14.00,13.80,13.85,+0.10,622,
2018/01/09,"1,939,662","27,104,670",13.85,14.05,13.85,14.05,+0.20,630,
2018/01/10,"4,813,655","68,681,720",14.05,14.55,14.00,14.10,+0.05,"1,182",
2018/01/11,"1,896,349","26,632,586",14.10,14.25,13.90,14.05,-0.05,482,
2018/01/12,"10,331,917","150,765,882",14.30,15.10,14.30,14.55,+0.50,"2,747",
2018/01/15,"2,945,171","42,960,684",14.55,14.75,14.40,14.70,+0.15,"1,129",
2018/01/16,"1,921,760","28,206,493",14.70,14.75,14.60,14.70,0.00,578,
2018/01/17,"1,978,854","28,775,923",14.60,14.60,14.45,14.55,-0.15,834,
2018/01/18,"2,217,821","32,252,611",14.50,14.70,14.45,14.50,-0.05,622,
2018/01/19,"1,591,915","23,344,849",14.45,14.80,14.45,14.70,+0.20,661,
2018/01/22,"2,713,081","39,052,092",14.70,14.70,14.30,14.30,-0.40,937,
2018/01/23,"1,676,009","23,746,926",14.30,14.30,14.05,14.10,-0.20,514,
2018/01/24,"1,287,643","18,281,173",14.15,14.30,14.10,14.30,+0.20,434,
2018/01/25,"557,694","7,993,031",14.30,14.40,14.25,14.35,+0.05,229,
2018/01/26,"948,533","13,654,466",14.35,14.50,14.25,14.50,+0.15,535,
2018/01/29,"886,638","12,827,528",14.50,14.65,14.35,14.45,-0.05,384,
2018/01/30,"1,598,037","22,516,068",14.45,14.45,13.95,14.00,-0.45,519,
2018/01/31,"1,359,389","18,802,311",13.85,13.95,13.80,13.80,-0.20,418,
2018/02/01,"429,874","5,948,261",13.80,13.90,13.80,13.80,0.00,170,
2018/02/02,"756,586","10,427,131",13.80,13.95,13.70,13.85,+0.05,284,
2018/02/05,"586,461","7,980,889",13.60,13.80,13.55,13.65,-0.20,258,
2018/02/06,"2,640,265","34,872,443",13.45,13.45,13.05,13.20,-0.45,824,
2018/02/07,"1,389,537","18,406,337",13.25,13.40,13.10,13.30,+0.10,937,
2018/02/08,"1,444,479","18,974,324",13.30,13.30,13.10,13.10,-0.20,403,
2018/02/09,"1,107,649","14,320,433",13.00,13.05,12.85,13.05,-0.05,334,
2018/02/12,"1,177,872","15,393,567",13.20,13.20,13.00,13.10,+0.05,363,
2018/02/21,"948,708","12,601,375",13.15,13.40,13.15,13.35,+0.25,500,
2018/02/22,"303,321","4,037,615",13.35,13.35,13.25,13.35,0.00,214,
2018/02/23,"706,093","9,429,033",13.40,13.45,13.30,13.40,+0.05,300,
2018/02/26,"615,307","8,303,441",13.50,13.55,13.45,13.50,+0.10,223,
2018/02/27,"912,025","12,232,132",13.60,13.60,13.30,13.40,-0.10,473,
2018/03/01,"822,622","11,083,111",13.35,13.60,13.25,13.50,+0.10,383,
2018/03/02,"811,651","10,783,873",13.35,13.40,13.20,13.25,-0.25,449,
2018/03/05,"678,526","8,931,562",13.15,13.25,13.10,13.20,-0.05,358,
2018/03/06,"417,803","5,569,724",13.40,13.40,13.20,13.40,+0.20,173,
2018/03/07,"475,565","6,341,208",13.35,13.40,13.25,13.40,0.00,182,
2018/03/08,"718,202","9,626,651",13.30,13.50,13.25,13.50,+0.10,302,
2018/03/09,"446,768","6,023,677",13.50,13.55,13.40,13.50,0.00,164,
2018/03/12,"682,028","9,221,615",13.55,13.60,13.45,13.55,+0.05,280,
2018/03/13,"613,421","8,244,002",13.50,13.55,13.40,13.45,-0.10,351,
2018/03/14,"655,949","8,748,764",13.40,13.40,13.30,13.30,-0.15,262,
2018/03/15,"373,189","4,958,598",13.30,13.35,13.20,13.35,+0.05,185,
2018/03/16,"1,072,305","14,180,153",13.30,13.35,13.20,13.20,-0.15,343,
2018/03/19,"234,030","3,094,293",13.20,13.30,13.15,13.20,0.00,113,
2018/03/20,"258,032","3,417,417",13.20,13.30,13.20,13.30,+0.10,162,
2018/03/21,"451,934","6,011,020",13.30,13.35,13.25,13.25,-0.05,263,
2018/03/22,"540,207","7,170,064",13.25,13.35,13.20,13.25,0.00,245,
2018/03/23,"729,780","9,544,090",13.15,13.15,13.00,13.05,-0.20,232,
2018/03/26,"658,068","8,602,734",13.05,13.15,13.00,13.10,+0.05,395,
2018/03/27,"625,555","8,204,113",13.20,13.20,13.05,13.10,0.00,327,
2018/03/28,"563,149","7,382,447",13.10,13.20,13.00,13.15,+0.05,251,
2018/03/29,"164,786","2,163,080",13.15,13.20,13.10,13.10,-0.05,92,
2018/03/30,"610,431","8,044,840",13.15,13.25,13.10,13.20,+0.10,205,
2018/03/31,"366,764","4,864,931",13.20,13.30,13.20,13.30,+0.10,146,
2018/04/02,"587,425","7,784,430",13.20,13.30,13.20,13.25,-0.05,212,
2018/04/03,"524,448","6,971,685",13.20,13.35,13.20,13.30,+0.05,191,
2018/04/09,"1,221,595","16,436,076",13.40,13.55,13.40,13.50,+0.20,458,
2018/04/10,"824,803","11,085,764",13.50,13.50,13.35,13.40,-0.10,268,
2018/04/11,"555,705","7,470,839",13.40,13.50,13.40,13.45,+0.05,172,
2018/04/12,"714,541","9,641,219",13.45,13.55,13.40,13.55,+0.10,261,
2018/04/13,"475,013","6,408,117",13.55,13.60,13.40,13.40,-0.15,189,
2018/04/16,"602,793","8,031,801",13.40,13.45,13.25,13.25,-0.15,187,
2018/04/17,"287,582","3,805,281",13.25,13.30,13.15,13.20,-0.05,123,
2018/04/18,"385,198","5,078,241",13.30,13.30,13.15,13.15,-0.05,221,
2018/04/19,"543,325","7,165,916",13.15,13.25,13.10,13.20,+0.05,226,
2018/04/20,"814,056","10,668,329",13.20,13.20,13.05,13.10,-0.10,235,
2018/04/23,"594,256","7,804,664",13.10,13.20,13.10,13.20,+0.10,144,
2018/04/24,"307,784","4,031,192",13.20,13.20,13.05,13.10,-0.10,135,
2018/04/25,"284,884","3,713,324",13.00,13.10,13.00,13.10,0.00,129,
2018/04/26,"447,098","5,876,925",13.15,13.20,13.05,13.10,0.00,133,
2018/04/27,"333,578","4,350,167",13.10,13.10,13.00,13.10,0.00,156,
2018/04/30,"252,796","3,319,072",13.20,13.20,13.10,13.15,+0.05,111,
2018/05/02,"292,757","3,848,913",13.10,13.20,13.10,13.15,0.00,216,
2018/05/03,"378,420","4,969,550",13.10,13.20,13.10,13.15,0.00,104,
2018/05/04,"463,285","6,078,764",13.15,13.20,13.05,13.05,-0.10,197,
2018/05/07,"369,724","4,829,712",13.10,13.10,13.05,13.05,0.00,144,
2018/05/08,"398,040","5,240,523",13.10,13.20,13.10,13.20,+0.15,151,
2018/05/09,"523,656","6,872,305",13.15,13.20,13.05,13.10,-0.10,248,
2018/05/10,"961,041","12,573,933",13.10,13.15,13.00,13.05,-0.05,304,
2018/05/11,"816,349","10,667,287",13.10,13.15,13.00,13.10,+0.05,232,
2018/05/14,"799,478","10,505,326",13.15,13.20,13.10,13.20,+0.10,225,
2018/05/15,"496,798","6,508,424",13.15,13.15,13.05,13.05,-0.15,187,
2018/05/16,"320,546","4,186,465",13.05,13.15,13.05,13.05,0.00,142,
2018/05/17,"258,146","3,378,199",13.10,13.15,13.05,13.10,+0.05,110,
2018/05/18,"724,539","9,462,577",13.05,13.10,13.00,13.10,0.00,276,
2018/05/21,"778,067","10,230,270",13.15,13.25,13.10,13.10,0.00,292,
2018/05/22,"927,814","12,222,845",13.10,13.25,13.10,13.20,+0.10,242,
2018/05/23,"1,215,758","16,051,150",13.20,13.30,13.15,13.25,+0.05,346,
2018/05/24,"3,217,020","43,280,360",13.30,13.55,13.30,13.40,+0.15,765,
2018/05/25,"1,212,099","16,267,162",13.50,13.55,13.35,13.35,-0.05,303,
2018/05/28,"517,992","6,908,086",13.40,13.40,13.30,13.35,0.00,144,
2018/05/29,"2,230,051","30,017,221",13.30,13.55,13.30,13.55,+0.20,446,
2018/05/30,"11,608,200","164,178,448",13.80,14.40,13.80,14.40,+0.85,"3,118",
2018/05/31,"18,771,522","279,638,010",14.70,15.20,14.60,15.20,+0.80,"4,866",
2018/06/01,"6,485,578","96,683,853",15.20,15.20,14.60,15.00,-0.20,"2,344",
2018/06/04,"4,236,015","63,312,116",15.05,15.25,14.65,15.00,0.00,"1,533",
2018/06/05,"4,232,238","63,444,091",15.15,15.35,14.65,14.75,-0.25,"1,275",
2018/06/06,"2,837,420","42,038,538",14.85,14.90,14.75,14.85,+0.10,625,
2018/06/07,"2,031,787","29,693,708",14.90,14.95,14.50,14.50,-0.35,771,
2018/06/08,"2,449,101","35,418,840",14.55,14.65,14.30,14.40,-0.10,715,
2018/06/11,"1,891,550","27,791,975",14.70,14.85,14.55,14.70,+0.30,550,
2018/06/12,"2,573,988","38,221,067",14.90,15.05,14.65,14.85,+0.15,820,
2018/06/13,"3,194,020","47,659,587",14.95,15.15,14.65,14.95,+0.10,"1,195",
2018/06/14,"2,675,047","39,944,492",14.95,15.00,14.85,14.85,-0.10,889,
2018/06/15,"2,328,323","34,750,051",14.95,15.00,14.75,15.00,+0.15,"1,282",
2018/06/19,"1,952,616","28,454,048",14.95,14.95,14.35,14.40,-0.60,648,
2018/06/20,"2,416,629","33,860,120",14.45,14.50,13.85,14.00,-0.40,832,
2018/06/21,"672,465","9,406,462",14.05,14.15,13.90,13.95,-0.05,274,
2018/06/22,"1,601,311","22,028,508",13.95,13.95,13.60,13.70,-0.25,612,
2018/06/25,"622,621","8,572,986",13.70,13.90,13.70,13.75,+0.05,318,
2018/06/26,"642,973","8,739,377",13.70,13.70,13.55,13.55,-0.20,294,
2018/06/27,"701,226","9,498,127",13.55,13.70,13.45,13.45,-0.10,255,
2018/06/28,"858,989","11,594,299",13.45,13.65,13.40,13.40,-0.05,477,
2018/06/29,"924,337","12,412,374",13.40,13.55,13.35,13.45,+0.05,405,
2018/07/02,"401,310","5,410,351",13.50,13.55,13.40,13.50,+0.05,185,
2018/07/03,"795,364","10,627,187",13.50,13.50,13.30,13.40,-0.10,344,
2018/07/04,"1,686,553","22,208,524",13.35,13.35,13.10,13.25,-0.15,610,
2018/07/05,"231,120","3,061,895",13.25,13.30,13.20,13.30,+0.05,84,
2018/07/06,"873,480","11,455,535",13.30,13.30,13.00,13.10,-0.20,387,
2018/07/09,"803,091","10,517,590",13.10,13.20,13.05,13.20,+0.10,449,
2018/07/10,"958,132","12,587,989",13.20,13.20,13.10,13.10,-0.10,400,
2018/07/11,"637,477","8,368,145",13.10,13.20,13.05,13.15,+0.05,309,
2018/07/12,"787,786","10,332,294",13.10,13.20,13.05,13.10,-0.05,329,
2018/07/13,"329,904","4,353,482",13.20,13.25,13.10,13.25,+0.15,150,
2018/07/16,"842,405","11,076,873",13.25,13.25,13.10,13.10,-0.15,201,
2018/07/17,"347,175","4,576,456",13.20,13.25,13.15,13.25,+0.15,126,
2018/07/18,"1,771,105","23,235,781",13.25,13.30,13.05,13.30,+0.05,562,
2018/07/19,"340,432","4,507,305",13.30,13.30,13.20,13.20,-0.10,155,
2018/07/20,"256,025","3,392,177",13.20,13.30,13.20,13.30,+0.10,104,
2018/07/23,"421,400","5,592,474",13.30,13.35,13.20,13.25,-0.05,189,
2018/07/24,"222,549","2,950,670",13.20,13.30,13.20,13.30,+0.05,130,
2018/07/25,"138,077","1,831,264",13.30,13.30,13.25,13.25,-0.05,66,
2018/07/26,"605,076","8,086,911",13.30,13.45,13.25,13.45,+0.20,233,
2018/07/27,"423,945","5,673,811",13.45,13.45,13.30,13.40,-0.05,141,
2018/07/30,"444,129","5,943,707",13.40,13.45,13.35,13.40,0.00,122,
2018/07/31,"418,692","5,596,018",13.40,13.40,13.35,13.35,-0.05,237,
2018/08/01,"1,734,627","23,549,541",13.40,13.75,13.40,13.65,+0.30,522,
