股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
儒鴻,1476,2018/1/2,"1,154,855","345,978,435",300,304,297,297,-0.5,"1,037",
儒鴻,1476,2018/1/3,"1,028,710","305,368,090",299,299,295.5,297,0,"1,009",
儒鴻,1476,2018/1/4,"1,820,174","550,522,282",299,307,297.5,301,4,"1,468",
儒鴻,1476,2018/1/5,"904,898","269,699,308",302.5,303,296,296,-5,844,
儒鴻,1476,2018/1/8,"1,063,440","311,559,740",297.5,300,288.5,293.5,-2.5,933,
儒鴻,1476,2018/1/9,"1,149,986","335,797,870",291.5,296.5,288.5,295,1.5,"1,006",
儒鴻,1476,2018/1/10,"1,668,049","495,257,406",300,300.5,294,294,-1,"1,449",
儒鴻,1476,2018/1/11,"595,435","175,382,971",294.5,297,291.5,296.5,2.5,544,
儒鴻,1476,2018/1/12,"693,262","205,400,076",298.5,298.5,294.5,298,1.5,556,
儒鴻,1476,2018/1/15,"2,183,163","658,721,052",300,305.5,298.5,303.5,5.5,"1,536",
儒鴻,1476,2018/1/16,"988,252","298,681,471",304.5,305.5,300,301,-2.5,936,
儒鴻,1476,2018/1/17,"958,368","286,548,400",300,300,297,299.5,-1.5,911,
儒鴻,1476,2018/1/18,"4,552,368","1,409,504,448",302,315,300,312,12.5,"3,658",
儒鴻,1476,2018/1/19,"1,379,193","423,758,456",312,312,305,305.5,-6.5,"1,161",
儒鴻,1476,2018/1/22,"1,162,217","360,621,873",308,313.5,306.5,310.5,5,"1,017",
儒鴻,1476,2018/1/23,"959,947","297,380,017",312,312,306.5,311,0.5,836,
儒鴻,1476,2018/1/24,"856,300","265,278,600",310.5,313,308,308.5,-2.5,784,
儒鴻,1476,2018/1/25,"618,945","190,491,560",308.5,310.5,306.5,307.5,-1,615,
儒鴻,1476,2018/1/26,"643,528","198,895,568",311,311.5,306,306,-1.5,567,
儒鴻,1476,2018/1/29,"663,920","203,072,057",306.5,310,303.5,303.5,-2.5,542,
儒鴻,1476,2018/1/30,"822,497","248,150,097",303.5,306.5,298.5,299.5,-4,700,
儒鴻,1476,2018/1/31,"1,377,630","404,588,850",299.5,299.5,292,292.5,-7,"1,155",
儒鴻,1476,2018/2/1,"990,142","291,076,098",291,296.5,290,296.5,4,939,
儒鴻,1476,2018/2/2,"612,954","180,634,384",294.5,296.5,293,294,-2.5,535,
儒鴻,1476,2018/2/5,"1,546,759","439,212,146",286,288,278,285.5,-8.5,"1,309",
儒鴻,1476,2018/2/6,"2,896,220","792,564,660",278,284,263.5,272.5,-13,"2,347",
儒鴻,1476,2018/2/7,"2,363,110","686,619,510",284,295,280.5,290,17.5,"1,916",
儒鴻,1476,2018/2/8,"932,748","270,324,412",290,293,286.5,291,1,825,
儒鴻,1476,2018/2/9,"3,586,925","1,067,564,625",284,305,283.5,305,14,"3,094",
儒鴻,1476,2018/2/12,"1,273,260","383,760,368",305.5,309,298,299,-6,"1,112",
儒鴻,1476,2018/2/21,"3,517,625","1,089,129,875",303,312,303,311,12,"2,169",
儒鴻,1476,2018/2/22,"1,637,296","510,364,852",310.5,315,305.5,312,1,"1,356",
儒鴻,1476,2018/2/23,"946,710","296,403,600",314,316.5,309,310,-2,830,
儒鴻,1476,2018/2/26,"736,415","229,280,480",314,314,308,309.5,-0.5,665,
