股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
南紡,1440,2018/1/2,"637,596","8,764,607",13.65,13.8,13.65,13.8,0.2,291,
南紡,1440,2018/1/3,"901,452","12,349,863",13.8,13.8,13.6,13.65,-0.15,263,
南紡,1440,2018/1/4,"729,998","10,011,312",13.75,13.8,13.65,13.75,0.1,304,
南紡,1440,2018/1/5,"694,470","9,521,308",13.75,13.8,13.65,13.75,0,229,
南紡,1440,2018/1/8,"1,758,360","24,438,856",13.8,14,13.8,13.85,0.1,622,
南紡,1440,2018/1/9,"1,939,662","27,104,670",13.85,14.05,13.85,14.05,0.2,630,
南紡,1440,2018/1/10,"4,813,655","68,681,720",14.05,14.55,14,14.1,0.05,"1,182",
南紡,1440,2018/1/11,"1,896,349","26,632,586",14.1,14.25,13.9,14.05,-0.05,482,
南紡,1440,2018/1/12,"10,331,917","150,765,882",14.3,15.1,14.3,14.55,0.5,"2,747",
南紡,1440,2018/1/15,"2,945,171","42,960,684",14.55,14.75,14.4,14.7,0.15,"1,129",
南紡,1440,2018/1/16,"1,921,760","28,206,493",14.7,14.75,14.6,14.7,0,578,
南紡,1440,2018/1/17,"1,978,854","28,775,923",14.6,14.6,14.45,14.55,-0.15,834,
南紡,1440,2018/1/18,"2,217,821","32,252,611",14.5,14.7,14.45,14.5,-0.05,622,
南紡,1440,2018/1/19,"1,591,915","23,344,849",14.45,14.8,14.45,14.7,0.2,661,
南紡,1440,2018/1/22,"2,713,081","39,052,092",14.7,14.7,14.3,14.3,-0.4,937,
南紡,1440,2018/1/23,"1,676,009","23,746,926",14.3,14.3,14.05,14.1,-0.2,514,
南紡,1440,2018/1/24,"1,287,643","18,281,173",14.15,14.3,14.1,14.3,0.2,434,
南紡,1440,2018/1/25,"557,694","7,993,031",14.3,14.4,14.25,14.35,0.05,229,
南紡,1440,2018/1/26,"948,533","13,654,466",14.35,14.5,14.25,14.5,0.15,535,
南紡,1440,2018/1/29,"886,638","12,827,528",14.5,14.65,14.35,14.45,-0.05,384,
南紡,1440,2018/1/30,"1,598,037","22,516,068",14.45,14.45,13.95,14,-0.45,519,
南紡,1440,2018/1/31,"1,359,389","18,802,311",13.85,13.95,13.8,13.8,-0.2,418,
南紡,1440,2018/2/1,"429,874","5,948,261",13.8,13.9,13.8,13.8,0,170,
南紡,1440,2018/2/2,"756,586","10,427,131",13.8,13.95,13.7,13.85,0.05,284,
南紡,1440,2018/2/5,"586,461","7,980,889",13.6,13.8,13.55,13.65,-0.2,258,
南紡,1440,2018/2/6,"2,640,265","34,872,443",13.45,13.45,13.05,13.2,-0.45,824,
南紡,1440,2018/2/7,"1,389,537","18,406,337",13.25,13.4,13.1,13.3,0.1,937,
南紡,1440,2018/2/8,"1,444,479","18,974,324",13.3,13.3,13.1,13.1,-0.2,403,
南紡,1440,2018/2/9,"1,107,649","14,320,433",13,13.05,12.85,13.05,-0.05,334,
南紡,1440,2018/2/12,"1,177,872","15,393,567",13.2,13.2,13,13.1,0.05,363,
南紡,1440,2018/2/21,"948,708","12,601,375",13.15,13.4,13.15,13.35,0.25,500,
南紡,1440,2018/2/22,"303,321","4,037,615",13.35,13.35,13.25,13.35,0,214,
南紡,1440,2018/2/23,"706,093","9,429,033",13.4,13.45,13.3,13.4,0.05,300,
南紡,1440,2018/2/26,"615,307","8,303,441",13.5,13.55,13.45,13.5,0.1,223,
南紡,1440,2018/2/27,"912,025","12,232,132",13.6,13.6,13.3,13.4,-0.1,473,
南紡,1440,2018/3/1,"822,622","11,083,111",13.35,13.6,13.25,13.5,0.1,383,
