股票名稱,股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
遠東新,1402,2018/1/2,"10,242,170","276,136,879",27,27.2,26.8,26.8,0,"4,022",
遠東新,1402,2018/1/3,"9,017,599","240,740,164",26.85,26.9,26.55,26.6,-0.2,"2,958",
遠東新,1402,2018/1/4,"11,931,979","315,004,637",26.7,26.8,26.2,26.35,-0.25,"5,373",
遠東新,1402,2018/1/5,"8,505,440","224,497,896",26.45,26.65,26.2,26.65,0.3,"4,029",
遠東新,1402,2018/1/8,"11,787,858","313,911,278",26.8,26.9,26.4,26.5,-0.15,"4,693",
遠東新,1402,2018/1/9,"8,499,315","226,583,789",26.55,26.8,26.5,26.75,0.25,"4,160",
遠東新,1402,2018/1/10,"13,764,040","371,258,730",26.85,27.35,26.6,27,0.25,"4,317",
遠東新,1402,2018/1/11,"9,591,867","257,539,027",27.1,27.15,26.7,26.75,-0.25,"2,999",
遠東新,1402,2018/1/12,"8,783,778","236,787,898",26.95,27.2,26.8,26.9,0.15,"3,226",
遠東新,1402,2018/1/15,"13,505,091","367,514,797",27.2,27.4,27,27.3,0.4,"5,576",
遠東新,1402,2018/1/16,"12,970,225","351,809,837",27.4,27.6,26.85,27,-0.3,"4,770",
遠東新,1402,2018/1/17,"7,402,828","199,258,895",27.05,27.1,26.8,26.9,-0.1,"3,326",
遠東新,1402,2018/1/18,"8,890,632","240,146,505",27.1,27.1,26.9,27,0.1,"3,252",
遠東新,1402,2018/1/19,"9,833,810","264,686,054",27.1,27.2,26.7,26.9,-0.1,"4,738",
遠東新,1402,2018/1/22,"10,754,979","288,158,526",26.9,27,26.65,26.7,-0.2,"4,649",
遠東新,1402,2018/1/23,"8,763,902","234,414,267",26.8,26.9,26.55,26.9,0.2,"3,964",
遠東新,1402,2018/1/24,"11,834,841","313,308,178",26.8,26.85,26.25,26.55,-0.35,"4,027",
遠東新,1402,2018/1/25,"8,244,332","217,637,268",26.55,26.6,26.25,26.4,-0.15,"4,255",
遠東新,1402,2018/1/26,"6,517,720","171,797,578",26.5,26.6,26.2,26.55,0.15,"2,951",
遠東新,1402,2018/1/29,"5,950,555","156,983,973",26.65,26.7,26.25,26.45,-0.1,"2,279",
遠東新,1402,2018/1/30,"6,486,636","170,199,338",26.45,26.45,26.1,26.1,-0.35,"3,363",
遠東新,1402,2018/1/31,"10,537,171","274,336,771",26.1,26.3,25.9,26.05,-0.05,"3,103",
遠東新,1402,2018/2/1,"8,232,261","215,276,247",26.25,26.35,26.05,26.1,0.05,"3,881",
