年月,年, 月,家用產品,銷售額(千元)
2018年1月,2018,1,家用電扇,221407
2018年1月,2018,1,電冰箱,554754
2018年1月,2018,1,排油煙機,246553
2018年1月,2018,1,熱水器,427079
2018年1月,2018,1,瓦斯爐,221407
2018年1月,2018,1,其他家用電器及零組件,1160355
2018年2月,2018,2,家用電扇,145624
2018年2月,2018,2,電冰箱,313407
2018年2月,2018,2,排油煙機,177255
2018年2月,2018,2,熱水器,313353
2018年2月,2018,2,瓦斯爐,154936
2018年2月,2018,2,其他家用電器及零組件,766176
2018年3月,2018,3,家用電扇,314691
2018年3月,2018,3,電冰箱,368054
2018年3月,2018,3,排油煙機,180039
2018年3月,2018,3,熱水器,336666
2018年3月,2018,3,瓦斯爐,200280
2018年3月,2018,3,其他家用電器及零組件,973159
2018年4月,2018,4,家用電扇,337489
2018年4月,2018,4,電冰箱,432677
2018年4月,2018,4,排油煙機,174846
2018年4月,2018,4,熱水器,278555
2018年4月,2018,4,瓦斯爐,171975
2018年4月,2018,4,其他家用電器及零組件,1005778
2018年5月,2018,5,家用電扇,403688
2018年5月,2018,5,電冰箱,502524
2018年5月,2018,5,排油煙機,180204
2018年5月,2018,5,熱水器,251337
2018年5月,2018,5,瓦斯爐,208238
2018年5月,2018,5,其他家用電器及零組件,1060741
2018年6月,2018,6,家用電扇,349978
2018年6月,2018,6,電冰箱,594011
2018年6月,2018,6,排油煙機,201869
2018年6月,2018,6,熱水器,253353
2018年6月,2018,6,瓦斯爐,179814
2018年6月,2018,6,其他家用電器及零組件,866221
2018年7月,2018,7,家用電扇,279730
2018年7月,2018,7,電冰箱,548480
2018年7月,2018,7,排油煙機,215331
2018年7月,2018,7,熱水器,270252
2018年7月,2018,7,瓦斯爐,192403
2018年7月,2018,7,其他家用電器及零組件,1036374
2018年8月,2018,8,家用電扇,256456
2018年8月,2018,8,電冰箱,490784
2018年8月,2018,8,排油煙機,229649
2018年8月,2018,8,熱水器,282830
2018年8月,2018,8,瓦斯爐,216679
2018年8月,2018,8,其他家用電器及零組件,1022849
2018年9月,2018,9,家用電扇,191131
2018年9月,2018,9,電冰箱,415825
2018年9月,2018,9,排油煙機,194497
2018年9月,2018,9,熱水器,254489
2018年9月,2018,9,瓦斯爐,172423
2018年9月,2018,9,其他家用電器及零組件,987927
2018年10月,2018,10,家用電扇,174523
2018年10月,2018,10,電冰箱,449559
2018年10月,2018,10,排油煙機,230940
2018年10月,2018,10,熱水器,334971
2018年10月,2018,10,瓦斯爐,170936
2018年10月,2018,10,其他家用電器及零組件,1204659
2018年11月,2018,11,家用電扇,144363
2018年11月,2018,11,電冰箱,485545
2018年11月,2018,11,排油煙機,241605
2018年11月,2018,11,熱水器,380363
2018年11月,2018,11,瓦斯爐,197610
2018年11月,2018,11,其他家用電器及零組件,1129990
2018年12月,2018,12,家用電扇,179922
2018年12月,2018,12,電冰箱,435357
2018年12月,2018,12,排油煙機,236168
2018年12月,2018,12,熱水器,374921
2018年12月,2018,12,瓦斯爐,228988
2018年12月,2018,12,其他家用電器及零組件,1170368
2019年1月,2019,1,家用電扇,274946
2019年1月,2019,1,電冰箱,517300
2019年1月,2019,1,排油煙機,292074
2019年1月,2019,1,熱水器,406766
2019年1月,2019,1,瓦斯爐,270745
2019年1月,2019,1,其他家用電器及零組件,1331479
2019年2月,2019,2,家用電扇,171013
2019年2月,2019,2,電冰箱,252977
2019年2月,2019,2,排油煙機,145680
2019年2月,2019,2,熱水器,242187
2019年2月,2019,2,瓦斯爐,153541
2019年2月,2019,2,其他家用電器及零組件,780321
2019年3月,2019,3,家用電扇,307194
2019年3月,2019,3,電冰箱,332345
2019年3月,2019,3,排油煙機,184248
2019年3月,2019,3,熱水器,298541
2019年3月,2019,3,瓦斯爐,175214
2019年3月,2019,3,其他家用電器及零組件,1048157
2019年4月,2019,4,家用電扇,388626
2019年4月,2019,4,電冰箱,491143
2019年4月,2019,4,排油煙機,171431
2019年4月,2019,4,熱水器,272814
2019年4月,2019,4,瓦斯爐,166286
2019年4月,2019,4,其他家用電器及零組件,1209510
2019年5月,2019,5,家用電扇,455263
2019年5月,2019,5,電冰箱,505646
2019年5月,2019,5,排油煙機,202526
2019年5月,2019,5,熱水器,283432
2019年5月,2019,5,瓦斯爐,196174
2019年5月,2019,5,其他家用電器及零組件,1162573
2019年6月,2019,6,家用電扇,364858
2019年6月,2019,6,電冰箱,526627
2019年6月,2019,6,排油煙機,196408
2019年6月,2019,6,熱水器,253835
2019年6月,2019,6,瓦斯爐,187677
2019年6月,2019,6,其他家用電器及零組件,948700
2019年7月,2019,7,家用電扇,422631
2019年7月,2019,7,電冰箱,568709
2019年7月,2019,7,排油煙機,201149
2019年7月,2019,7,熱水器,240697
2019年7月,2019,7,瓦斯爐,188604
2019年7月,2019,7,其他家用電器及零組件,1143676
2019年8月,2019,8,家用電扇,395544
2019年8月,2019,8,電冰箱,483911
2019年8月,2019,8,排油煙機,216019
2019年8月,2019,8,熱水器,274836
2019年8月,2019,8,瓦斯爐,225706
2019年8月,2019,8,其他家用電器及零組件,1201381
2019年9月,2019,9,家用電扇,349057
2019年9月,2019,9,電冰箱,394149
2019年9月,2019,9,排油煙機,202225
2019年9月,2019,9,熱水器,272232
2019年9月,2019,9,瓦斯爐,181832
2019年9月,2019,9,其他家用電器及零組件,1054166
2019年10月,2019,10,家用電扇,315513
2019年10月,2019,10,電冰箱,460532
2019年10月,2019,10,排油煙機,213806
2019年10月,2019,10,熱水器,342435
2019年10月,2019,10,瓦斯爐,207078
2019年10月,2019,10,其他家用電器及零組件,1150325
2019年11月,2019,11,家用電扇,311533
2019年11月,2019,11,電冰箱,486721
2019年11月,2019,11,排油煙機,209584
2019年11月,2019,11,熱水器,375093
2019年11月,2019,11,瓦斯爐,219895
2019年11月,2019,11,其他家用電器及零組件,1120799
2019年12月,2019,12,家用電扇,312830
2019年12月,2019,12,電冰箱,493032
2019年12月,2019,12,排油煙機,263271
2019年12月,2019,12,熱水器,461348
2019年12月,2019,12,瓦斯爐,249838
2019年12月,2019,12,其他家用電器及零組件,1218209
2020年1月,2020,1,家用電扇,286485
2020年1月,2020,1,電冰箱,545017
2020年1月,2020,1,排油煙機,261808
2020年1月,2020,1,熱水器,366923
2020年1月,2020,1,瓦斯爐,226311
2020年1月,2020,1,其他家用電器及零組件,1129108
2020年2月,2020,2,家用電扇,313337
2020年2月,2020,2,電冰箱,254778
2020年2月,2020,2,排油煙機,178453
2020年2月,2020,2,熱水器,382250
2020年2月,2020,2,瓦斯爐,192945
2020年2月,2020,2,其他家用電器及零組件,1036552
2020年3月,2020,3,家用電扇,402612
2020年3月,2020,3,電冰箱,280163
2020年3月,2020,3,排油煙機,207554
2020年3月,2020,3,熱水器,389545
2020年3月,2020,3,瓦斯爐,206192
2020年3月,2020,3,其他家用電器及零組件,1145880
2020年4月,2020,4,家用電扇,344290
2020年4月,2020,4,電冰箱,455451
2020年4月,2020,4,排油煙機,177965
2020年4月,2020,4,熱水器,285769
2020年4月,2020,4,瓦斯爐,186652
2020年4月,2020,4,其他家用電器及零組件,1143463
2020年5月,2020,5,家用電扇,468021
2020年5月,2020,5,電冰箱,442015
2020年5月,2020,5,排油煙機,176471
2020年5月,2020,5,熱水器,257455
2020年5月,2020,5,瓦斯爐,169871
2020年5月,2020,5,其他家用電器及零組件,1017924
2020年6月,2020,6,家用電扇,545236
2020年6月,2020,6,電冰箱,591967
2020年6月,2020,6,排油煙機,186600
2020年6月,2020,6,熱水器,228825
2020年6月,2020,6,瓦斯爐,191572
2020年6月,2020,6,其他家用電器及零組件,1070845
2020年7月,2020,7,家用電扇,538678
2020年7月,2020,7,電冰箱,616094
2020年7月,2020,7,排油煙機,200719
2020年7月,2020,7,熱水器,228629
2020年7月,2020,7,瓦斯爐,209780
2020年7月,2020,7,其他家用電器及零組件,1098291
2020年8月,2020,8,家用電扇,465106
2020年8月,2020,8,電冰箱,534382
2020年8月,2020,8,排油煙機,235409
2020年8月,2020,8,熱水器,267886
2020年8月,2020,8,瓦斯爐,230940
2020年8月,2020,8,其他家用電器及零組件,1182855
2020年9月,2020,9,家用電扇,431811
2020年9月,2020,9,電冰箱,474520
2020年9月,2020,9,排油煙機,240532
2020年9月,2020,9,熱水器,268382
2020年9月,2020,9,瓦斯爐,232565
2020年9月,2020,9,其他家用電器及零組件,1251146
2020年10月,2020,10,家用電扇,357278
2020年10月,2020,10,電冰箱,477563
