年,季,日期標準,資料期別,縣市,鄉鎮市區,住宅買賣移轉筆數
2009,1,2009/1/1,098Q1,新北市,板橋區,2036
2009,1,2009/1/1,098Q1,新北市,三重區,1135
2009,1,2009/1/1,098Q1,新北市,中和區,1085
2009,1,2009/1/1,098Q1,新北市,永和區,487
2009,1,2009/1/1,098Q1,新北市,新莊區,1054
2009,1,2009/1/1,098Q1,新北市,新店區,757
2009,1,2009/1/1,098Q1,新北市,樹林區,1282
2009,1,2009/1/1,098Q1,新北市,鶯歌區,143
2009,1,2009/1/1,098Q1,新北市,三峽區,351
2009,1,2009/1/1,098Q1,新北市,淡水區,885
2009,1,2009/1/1,098Q1,新北市,汐止區,622
2009,1,2009/1/1,098Q1,新北市,瑞芳區,21
2009,1,2009/1/1,098Q1,新北市,土城區,593
2009,1,2009/1/1,098Q1,新北市,蘆洲區,483
2009,1,2009/1/1,098Q1,新北市,五股區,187
2009,1,2009/1/1,098Q1,新北市,泰山區,214
2009,1,2009/1/1,098Q1,新北市,林口區,919
2009,1,2009/1/1,098Q1,新北市,深坑區,58
2009,1,2009/1/1,098Q1,新北市,石碇區,3
2009,1,2009/1/1,098Q1,新北市,坪林區,0
2009,1,2009/1/1,098Q1,新北市,三芝區,66
2009,1,2009/1/1,098Q1,新北市,石門區,6
2009,1,2009/1/1,098Q1,新北市,八里區,91
2009,1,2009/1/1,098Q1,新北市,平溪區,0
2009,1,2009/1/1,098Q1,新北市,雙溪區,2
2009,1,2009/1/1,098Q1,新北市,貢寮區,3
2009,1,2009/1/1,098Q1,新北市,金山區,20
2009,1,2009/1/1,098Q1,新北市,萬里區,43
2009,1,2009/1/1,098Q1,新北市,烏來區,0
2009,1,2009/1/1,098Q1,台北市,松山區,403
2009,1,2009/1/1,098Q1,台北市,信義區,413
2009,1,2009/1/1,098Q1,台北市,大安區,881
2009,1,2009/1/1,098Q1,台北市,中山區,1123
2009,1,2009/1/1,098Q1,台北市,中正區,308
2009,1,2009/1/1,098Q1,台北市,大同區,261
2009,1,2009/1/1,098Q1,台北市,萬華區,229
2009,1,2009/1/1,098Q1,台北市,文山區,655
2009,1,2009/1/1,098Q1,台北市,南港區,396
2009,1,2009/1/1,098Q1,台北市,內湖區,1059
2009,1,2009/1/1,098Q1,台北市,士林區,852
2009,1,2009/1/1,098Q1,台北市,北投區,534
2009,1,2009/1/1,098Q1,桃園市,桃園區,1239
2009,1,2009/1/1,098Q1,桃園市,中壢區,904
2009,1,2009/1/1,098Q1,桃園市,平鎮區,367
2009,1,2009/1/1,098Q1,桃園市,八德區,472
2009,1,2009/1/1,098Q1,桃園市,楊梅區,356
2009,1,2009/1/1,098Q1,桃園市,大溪區,114
2009,1,2009/1/1,098Q1,桃園市,蘆竹區,368
2009,1,2009/1/1,098Q1,桃園市,大園區,124
2009,1,2009/1/1,098Q1,桃園市,龜山區,290
2009,1,2009/1/1,098Q1,桃園市,龍潭區,144
2009,1,2009/1/1,098Q1,桃園市,新屋區,42
2009,1,2009/1/1,098Q1,桃園市,觀音區,75
2009,1,2009/1/1,098Q1,桃園市,復興區,0
2009,1,2009/1/1,098Q1,台中市,中區,34
2009,1,2009/1/1,098Q1,台中市,東區,76
2009,1,2009/1/1,098Q1,台中市,南區,167
2009,1,2009/1/1,098Q1,台中市,西區,227
2009,1,2009/1/1,098Q1,台中市,北區,630
2009,1,2009/1/1,098Q1,台中市,西屯區,1367
2009,1,2009/1/1,098Q1,台中市,南屯區,450
2009,1,2009/1/1,098Q1,台中市,北屯區,587
2009,1,2009/1/1,098Q1,台南市,東區,426
2009,1,2009/1/1,098Q1,台南市,南區,142
2009,1,2009/1/1,098Q1,台南市,北區,190
2009,1,2009/1/1,098Q1,台南市,安南區,190
2009,1,2009/1/1,098Q1,台南市,安平區,132
2009,1,2009/1/1,098Q1,台南市,中西區,121
2009,1,2009/1/1,098Q1,高雄市,鹽埕區,16
2009,1,2009/1/1,098Q1,高雄市,鼓山區,565
