年,月,TESLA新領牌輛數
2018,1,42
2018,2,42
2018,3,75
2018,4,14
2018,5,35
2018,6,73
2018,7,9
2018,8,33
2018,9,88
2018,10,5
2018,11,36
2018,12,71
2019,1,25
2019,2,17
2019,3,100
2019,4,5
2019,5,374
2019,6,423
2019,7,50
2019,8,59
2019,9,488
2019,10,68
2019,11,423
2019,12,"1,104"
2020,1,112
2020,2,86
2020,3,"1,510"
2020,4,91
2020,5,68
2020,6,341
2020,7,20
2020,8,803
2020,9,"1,070"
2020,10,19
2020,11,446
2020,12,"1,180"
2021,1,156
2021,2,410
2021,3,722
2021,4,-
2021,5,971
2021,6,663
2021,7,17
2021,8,435
2021,9,655
2021,10,17
2021,11,"1,227"
2021,12,262
2022,1,1
2022,2,653
2022,3,"1,625"
2022,4,-
2022,5,"1,649"
2022,6,598
2022,7,1
2022,8,"1,763"
2022,9,661
2022,10,7
2022,11,507
2022,12,"4,056"
2023,1,69
2023,2,518
2023,3,"2,519"
2023,4,565
2023,5,"1,299"
2023,6,"2,292"
2023,7,377
2023,8,939
2023,9,"1,240"
2023,10,701
2023,11,812
2023,12,"1,792"
2024,1,12
2024,2,7
2024,3,"2,125"
2024,4,11
2024,5,"1,823"
2024,6,"3,897"
2024,7,646
2024,8,906
2024,9,"2,260"
2024,10,512
2024,11,"1,152"
2024,12,"1,911"
2025,1,365
2025,2,959
2025,3,"1,312"
2025,4,163
2025,5,197
2025,6,"1,693"
2025,7,"1,333"
2025,8,"1,976"
2025,9,"2,491"
2025,10,21
2025,11,532
2025,12,"5,546"
2026,1,6
2026,2,5
